"issue_id","priority","tag","domain","issue","2d0_root_cause","historical_relevance","proposed_fix_direction","resolution_phase","runtime_required","risk","dependencies","notes"
"2D0-016","P1","NET","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-017","P1","OMA","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-018","P0","RUS","naval","NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET","Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","HIGH","Final formation target and 1.13.9 defines repair",""
"2D0-019","P1","SAR","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-020","P0","SC4","naval","NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET","Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","HIGH","Final formation target and 1.13.9 defines repair",""
"2D0-021","P1","SIC","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-022","P1","SPA","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-023","P1","SWE","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-024","P0","USA","naval","NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET","Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","HIGH","Final formation target and 1.13.9 defines repair",""
"2D0-025","P1","VEN","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-026","INFO","ABB","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D0-027","INFO","JBB","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D0-028","INFO","KBB","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D0-029","INFO","MBB","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D0-030","INFO","NBB","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D0-031","INFO","SD1","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D0-032","INFO","SKH","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D0-033","INFO","ULT","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D0-034","INFO","ZWY","conscription","DECENTRALIZED_ACTIVE_CONSCRIPTION_EXCEPTION","A decentralized tag has an explicit native-conscription effect but no active army/fleet formation.","2D-1 evidence applied or structural uncertainty preserved","Preserve outside the 210-tag model; audit native-conscription effects only in a dedicated decentralized/map phase.","FUTURE_DECENTRALIZED_MAP_MILITARY_PHASE","NO","LOW","2D-2 reviewed targets",""
"2D2-001","P0","GLOBAL","land/buildings","TARGET_BARRACKS_RECONSTRUCTION_REQUIRED","894 explicit barracks versus 2948 current formation-required levels; 2D-2 target is a new 1:1 capacity floor.","Standing targets must not be implemented without matching barracks.","After formation reconstruction, set barracks totals exactly to each non-deferred target standing count and allocate by recruiting state; do not use barracks for mobilization targets.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","HIGH","2D-3B target formations","Global target barracks total is calculated from the land target CSV."
"2D2-002","P0","GLOBAL","imperial allocation","IMPERIAL_AND_COMPANY_DOUBLE_COUNT_GUARD","Fork tags overlap sovereign, colonial, Habsburg and company military systems.","Without allocation guards, parent establishments multiply across tags.","Implement exactly one owner for every allocation row; colonial deployment rows remain parent-tag formations unless a reviewed tag transfer subtracts the same units from the parent.","CLEANUP-2D-3B_FORMATIONS","YES","HIGH","Allocation CSV","Habsburg represented pool sums 200; BIC excludes eight Crown units; colonial force double count target is zero."
"2D2-003","P1","GLOBAL","commanders","EVERY_TARGET_FORMATION_REQUIRES_COMMANDER_LATER","Commander completeness intentionally deferred.","Initial formation functionality and historical presentation.","After all formation scopes stabilize, assign at least one general per army and one admiral per fleet; prefer documented historical candidates and mark any generic commander non-historical.","CLEANUP-2D-4_COMMANDERS","YES","MEDIUM","2D-3B formation reconstruction","Do not create commanders during 2D-2 or before formation scope stabilization."
