record_id,tag,formation,source_file,character_scope,general_category,reused_ruler_general,starting_standing_battalions,potential_conscript_battalions,rank_before,base_command_limit_before,explicit_traits,deterministic_command_limit_modifier,reliable_command_limit_before,status_before,action,final_rank,final_base_command_limit,final_reliable_command_limit,standing_capacity_result,conscripts_used_to_select_rank,character_source_file
GEN1776-014,TRS,generalkommando_hermannstadt,00_military_formations_europe.txt,cleanup2d4_general_014,PROCEDURAL,NO,8,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-015,FRA,cleanup2d3b_fra_land_1,00_military_formations_europe.txt,cleanup2d4_general_015,HISTORICAL,NO,42,72,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-016,FRA,cleanup2d3b_fra_land_2,00_military_formations_europe.txt,cleanup2d4_general_016,HISTORICAL,NO,42,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-017,FRA,cleanup2d3b_fra_land_3,00_military_formations_europe.txt,cleanup2d4_general_017,HISTORICAL,NO,41,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-018,FRA,cleanup2d3b_fra_land_4,00_military_formations_europe.txt,cleanup2d4_general_018,HISTORICAL,NO,40,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-019,GBR,cleanup2d3b_gbr_land_2,00_military_formations_europe.txt,cleanup2d4_general_019,HISTORICAL,NO,11,43,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-020,GBR,Home_Army,00_military_formations_europe.txt,cleanup2d4_general_020,HISTORICAL,NO,11,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-021,GBR,cleanup2d3b_gbr_land_4,00_military_formations_europe.txt,cleanup2d4_general_021,HISTORICAL,NO,9,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-022,GBR,cleanup2d3b_gbr_land_3,00_military_formations_europe.txt,cleanup2d4_general_022,PROCEDURAL,NO,9,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-023,GBR,cleanup2d3b_gbr_land_5,00_military_formations_europe.txt,cleanup2d4_general_023,PROCEDURAL,NO,9,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-024,RUS,cleanup2d3b_rus_land_1,00_military_formations_europe.txt,cleanup2d4_general_024,HISTORICAL,NO,44,120,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-025,RUS,cleanup2d3b_rus_land_2,00_military_formations_europe.txt,cleanup2d4_general_025,PROCEDURAL,NO,44,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-026,RUS,cleanup2d3b_rus_land_3,00_military_formations_europe.txt,cleanup2d4_general_026,PROCEDURAL,NO,43,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-027,RUS,cleanup2d3b_rus_land_4,00_military_formations_europe.txt,cleanup2d4_general_027,HISTORICAL,NO,42,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-028,RUS,cleanup2d3b_rus_land_5,00_military_formations_europe.txt,cleanup2d4_general_028,HISTORICAL,NO,42,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-029,CIR,cleanup2d3e_r1_cir_land_1,00_military_formations_europe.txt,cleanup2d4_general_029,PROCEDURAL,NO,14,3,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-030,CHC,Murtazeki,00_military_formations_europe.txt,cleanup2d4_general_030,PROCEDURAL,NO,8,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-031,BAD,Groherzoglich_Badische_Armee,00_military_formations_europe.txt,cleanup2d4_general_031,PROCEDURAL,NO,9,3,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-032,WUR,Kniglich_Wrttembergische_Armee,00_military_formations_europe.txt,cleanup2d4_general_032,PROCEDURAL,NO,13,4,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-033,SAX,Kniglich_Schsische_Armee,00_military_formations_europe.txt,cleanup2d4_general_033,HISTORICAL,NO,22,4,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-034,BAV,I_ArmeeKorps,00_military_formations_europe.txt,cleanup2d4_general_034,PROCEDURAL,NO,8,4,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-035,HEK,Kurfrstlich_Hessische_Armee,00_military_formations_europe.txt,cleanup2d4_general_035,PROCEDURAL,NO,5,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-036,HES,Groherzoglich_Hessische_Armee,00_military_formations_europe.txt,cleanup2d4_general_036,PROCEDURAL,NO,4,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-037,NAS,Herzoglich_Nassauische_Armee,00_military_formations_europe.txt,cleanup2d4_general_037,PROCEDURAL,NO,3,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-038,HAN,Kniglich_Hannoversche_Armee,00_military_formations_europe.txt,cleanup2d4_general_038,HISTORICAL,NO,21,3,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-039,MEC,Groherzoglich_MecklenburgischSchwerinsche_Armee,00_military_formations_europe.txt,cleanup2d4_general_039,PROCEDURAL,NO,5,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-040,OLD,Groherzoglich_Oldenburgische_Armee,00_military_formations_europe.txt,cleanup2d4_general_040,PROCEDURAL,NO,3,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-041,HAM,Hamburger_Burgermilitar,00_military_formations_europe.txt,cleanup2d4_general_041,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-042,BRE,Bremer_Stadtmilitar,00_military_formations_europe.txt,cleanup2d4_general_042,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-043,LUB,Lubecker_Militar,00_military_formations_europe.txt,cleanup2d4_general_043,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-044,FRM,Linienbataillon_Frankfurt,00_military_formations_europe.txt,cleanup2d4_general_044,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-045,WLD,Waldecksches_Bataillon,00_military_formations_europe.txt,cleanup2d4_general_045,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-046,LUX,Luxemburger_Miliz,00_military_formations_europe.txt,cleanup2d4_general_046,PROCEDURAL,NO,3,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-047,SWE,Kungliga_Svenska_Armn,00_military_formations_europe.txt,cleanup2d4_general_047,HISTORICAL,NO,30,7,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-048,DENNOR,Hren,00_military_formations_europe.txt,cleanup2d4_general_048,PROCEDURAL,NO,18,3,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-049,SCH,Schleswigsche_Armee,00_military_formations_europe.txt,cleanup2d4_general_049,PROCEDURAL,NO,2,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-050,HOL,Holsteinische_Armee,00_military_formations_europe.txt,cleanup2d4_general_050,PROCEDURAL,NO,4,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-051,WAL,Armata_rii_Romneti,00_military_formations_europe.txt,cleanup2d4_general_051,PROCEDURAL,NO,4,2,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-052,MON,Montengrin_Raiders,00_military_formations_europe.txt,cleanup2d4_general_052,PROCEDURAL,NO,6,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-053,MOL,Armata_Principatului_Moldovei,00_military_formations_europe.txt,cleanup2d4_general_053,PROCEDURAL,NO,3,2,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-054,SIC,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,00_military_formations_europe.txt,cleanup2d4_general_054,PROCEDURAL,NO,20,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-055,SIC,Guardia_Reale,00_military_formations_europe.txt,cleanup2d4_general_055,PROCEDURAL,NO,10,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-056,SAR,I_Corpo_dArmata,00_military_formations_europe.txt,cleanup2d4_general_056,PROCEDURAL,NO,19,8,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-057,PAP,Esercito_dello_Stato_della_Chiesa,00_military_formations_europe.txt,cleanup2d4_general_057,PROCEDURAL,NO,6,3,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-058,TUS,Esercito_del_Granducato_di_Toscana,00_military_formations_europe.txt,cleanup2d4_general_058,PROCEDURAL,NO,7,4,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-059,LUC,Esercito_Ducale,00_military_formations_europe.txt,cleanup2d4_general_059,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-060,MOD,Esercito_del_Ducato_di_Modena_e_Reggio,00_military_formations_europe.txt,cleanup2d4_general_060,PROCEDURAL,NO,4,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-061,PAR,Truppe_Reali_Parmensi,00_military_formations_europe.txt,cleanup2d4_general_061,PROCEDURAL,NO,3,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-062,NET,Koninklijk_Nederlands_Leger,00_military_formations_europe.txt,cleanup2d4_general_062,HISTORICAL,NO,24,6,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-063,BEO,Armee_Belge,00_military_formations_europe.txt,cleanup2d4_general_063,HISTORICAL,NO,12,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-064,POR,Exercito_Portugues,00_military_formations_europe.txt,cleanup2d4_general_064,HISTORICAL,NO,24,30,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-065,SPA,cleanup2d3b_spa_land_2,00_military_formations_europe.txt,cleanup2d4_general_065,HISTORICAL,NO,32,70,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-066,SPA,cleanup2d3b_spa_land_1,00_military_formations_europe.txt,cleanup2d4_general_066,HISTORICAL,NO,33,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-067,SPA,cleanup2d3b_spa_land_3,00_military_formations_europe.txt,cleanup2d4_general_067,HISTORICAL,NO,30,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-068,UBD,cleanup2d3e_r1_ubd_land_1,00_military_formations_europe.txt,cleanup2d5_reuse_068,HISTORICAL,YES,6,0,commander_rank_ruler,50,NONE,NONE,50,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_ruler,50,50,PASS,NO,common/history/characters/cleanup2b3 - residual europe rulers 1776.txt
GEN1776-069,BHU,cleanup2d3b_bhu_land_1,00_military_formations_europe.txt,cleanup2d4_general_069,PROCEDURAL,NO,1,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-070,BUK,cleanup2d3b_buk_land_1,00_military_formations_europe.txt,cleanup2d5_reuse_070,HISTORICAL,YES,8,8,commander_rank_ruler,50,NONE,NONE,50,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_ruler,50,50,PASS,NO,common/history/characters/cleanup2c1 - non europe rulers 1776.txt
GEN1776-071,COB,cleanup2d3b_cob_land_1,00_military_formations_europe.txt,cleanup2d4_general_071,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-072,GAL,cleanup2d3b_gal_land_1,00_military_formations_europe.txt,cleanup2d4_general_072,PROCEDURAL,NO,12,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-073,HOH,cleanup2d3b_hoh_land_1,00_military_formations_europe.txt,cleanup2d4_general_073,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-074,KHI,cleanup2d3b_khi_land_1,00_military_formations_europe.txt,cleanup2d5_reuse_074,HISTORICAL,YES,8,7,commander_rank_ruler,50,NONE,NONE,50,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_ruler,50,50,PASS,NO,common/history/characters/cleanup2c1 - non europe rulers 1776.txt
GEN1776-075,KOK,cleanup2d3b_kok_land_1,00_military_formations_europe.txt,cleanup2d4_general_075,PROCEDURAL,NO,8,8,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-076,KOR,cleanup2d3b_kor_land_1,00_military_formations_europe.txt,cleanup2d4_general_076,HISTORICAL,NO,18,30,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-077,KZH,cleanup2d3b_kzh_land_1,00_military_formations_europe.txt,cleanup2d4_general_077,PROCEDURAL,NO,1,3,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-078,MEI,cleanup2d3b_mei_land_1,00_military_formations_europe.txt,cleanup2d4_general_078,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-079,MST,cleanup2d3b_mst_land_1,00_military_formations_europe.txt,cleanup2d4_general_079,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-080,NEP,cleanup2d3b_nep_land_1,00_military_formations_europe.txt,cleanup2d4_general_080,HISTORICAL,NO,14,10,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-081,OZH,cleanup2d3b_ozh_land_1,00_military_formations_europe.txt,cleanup2d5_reuse_081,HISTORICAL,YES,1,1,commander_rank_ruler,50,NONE,NONE,50,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_ruler,50,50,PASS,NO,common/history/characters/cleanup2c1 - non europe rulers 1776.txt
GEN1776-082,SCW,cleanup2d3b_scw_land_1,00_military_formations_europe.txt,cleanup2d4_general_082,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-083,SIK,cleanup2d3b_sik_land_1,00_military_formations_europe.txt,cleanup2d4_general_083,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-084,SWI,cleanup2d3b_swi_land_1,00_military_formations_europe.txt,cleanup2d4_general_084,PROCEDURAL,NO,4,2,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-085,TIB,cleanup2d3b_tib_land_1,00_military_formations_europe.txt,cleanup2d4_general_085,PROCEDURAL,NO,7,10,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-086,WEI,cleanup2d3b_wei_land_1,00_military_formations_europe.txt,cleanup2d4_general_086,PROCEDURAL,NO,1,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-087,USA,cleanup2d3b_usa_land_1,01_military_formations_north_america.txt,cleanup2d4_general_087,HISTORICAL,NO,20,80,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/01_military_formations_north_america.txt
