tag,country_name,domain,action,old_formation,new_formation,old_scope,new_scope,hq,unit_type,old_unit_count,new_unit_count,infantry,cavalry,artillery,other_land,frigates,ships_of_the_line,other_ships,manpower_or_crew,commander_preserved,commander_reassignment_required_2d4,cross_reference_risk,plan_row_match,static_result,notes
AWA,Awadh,land,RESIZE,OudhRoyalArmy,OudhRoyalArmy,,,region_north_india,combat_unit_type_cannon_artillery=3;combat_unit_type_lancers=9;combat_unit_type_line_infantry=24,49,36,24,9,3,0,0,0,0,36000,NO,NO,NONE_STATIC,ROW_12,PASS,
BAD,Baden,land,RESIZE,Groherzoglich_Badische_Armee,Groherzoglich_Badische_Armee,,,region_central_europe,combat_unit_type_cannon_artillery=1;combat_unit_type_dragoons=1;combat_unit_type_line_infantry=7,10,9,7,1,1,0,0,0,0,9000,NO,NO,NONE_STATIC,ROW_13,PASS,
BAL,Bali,land,CREATE,,Modeled 1776 Field Force 1,,,region_indonesia,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=3,0,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_14,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_indochina lacked direct BAL territory
BAV,Bavaria,land,MERGE,I_ArmeeKorps;II_ArmeeKorps,I_ArmeeKorps,,,region_central_europe,combat_unit_type_cannon_artillery=1;combat_unit_type_hussars=1;combat_unit_type_line_infantry=6,30,8,6,1,1,0,0,0,0,8000,NO,NO,NONE_STATIC,ROW_15,PASS,Merged source formations; all technical scopes preserved
BEN,Benin,land,CREATE,,Modeled 1776 Field Force 1,,,region_west_africa,combat_unit_type_dragoons=2;combat_unit_type_irregular_infantry=6,0,8,6,2,0,0,0,0,0,8000,NO,NO,NONE_STATIC,ROW_16,PASS,
BEO,Austrian Netherlands (BEO/Belgium),land,RESIZE,Armee_Belge,Armee_Belge,,,region_western_europe,combat_unit_type_cannon_artillery=1;combat_unit_type_lancers=2;combat_unit_type_line_infantry=9,24,12,9,2,1,0,0,0,0,12000,NO,NO,NONE_STATIC,ROW_17,PASS,
BGI,Bagirmi,land,CREATE,,Modeled 1776 Field Force 1,,,region_equatorial_africa,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_18,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct BGI territory
BHU,Bhutan,land,CREATE,,Modeled 1776 Field Force 1,,,region_himalayas,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_19,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_north_india lacked direct BHU territory
BHV,Bhavnagar,land,RESIZE,BhavnagarArmy,BhavnagarArmy,,,region_north_india,combat_unit_type_irregular_infantry=2;combat_unit_type_lancers=1,4,3,2,1,0,0,0,0,0,3000,NO,NO,NONE_STATIC,ROW_20,PASS,
BIC,East India,land,SPLIT,Bengal_Army,Bengal Army,bengal_army,bengal_army,region_north_india,combat_unit_type_cannon_artillery=3;combat_unit_type_lancers=4;combat_unit_type_line_infantry=23,80,30,23,4,3,0,0,0,0,30000,YES,NO,NONE_STATIC,ROW_21,PASS,Applied the explicit 2D2 narrative and imperial allocation authority: Bengal 30
BIC,East India,land,CREATE,,Madras Army,,,region_south_india,combat_unit_type_cannon_artillery=1;combat_unit_type_lancers=3;combat_unit_type_line_infantry=12,0,16,12,3,1,0,0,0,0,16000,NO,NO,NONE_STATIC,ROW_22,PASS,Applied the explicit 2D2 narrative and imperial allocation authority: Madras 16
BIC,East India,land,CREATE,,Bombay Army,,,region_south_india,combat_unit_type_cannon_artillery=1;combat_unit_type_lancers=1;combat_unit_type_line_infantry=7,0,9,7,1,1,0,0,0,0,9000,NO,NO,NONE_STATIC,ROW_23,PASS,Applied the explicit 2D2 narrative and imperial allocation authority: Bombay 9
BLG,Bulungan,land,CREATE,,Modeled 1776 Field Force 1,,,region_indonesia,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_24,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_indochina lacked direct BLG territory
BNJ,Banjar,land,CREATE,,Modeled 1776 Field Force 1,,,region_indonesia,combat_unit_type_irregular_infantry=2,0,2,2,0,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_25,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_indochina lacked direct BNJ territory
BNY,Bunyoro,land,CREATE,,Modeled 1776 Field Force 1,,,region_east_africa,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_26,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct BNY territory
BOR,Bornu,land,CREATE,,Modeled 1776 Field Force 1,,,region_west_africa,combat_unit_type_dragoons=2;combat_unit_type_irregular_infantry=4,0,6,4,2,0,0,0,0,0,6000,NO,NO,NONE_STATIC,ROW_27,PASS,
BRD,Burundi,land,CREATE,,Modeled 1776 Field Force 1,,,region_east_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=1,0,2,1,1,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_28,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct BRD territory
BRE,Bremen,land,KEEP,Bremer_Stadtmilitar,Bremer_Stadtmilitar,,,region_central_europe,combat_unit_type_irregular_infantry=1,1,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_29,PASS,
BRG,Borgu,land,CREATE,,Modeled 1776 Field Force 1,,,region_west_africa,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_30,PASS,
BRU,Brunei,land,CREATE,,Modeled 1776 Field Force 1,,,region_indonesia,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_31,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_indochina lacked direct BRU territory
BRZ,Brazil,land,STRUCTURAL_DEFER,Exrcito_Imperial_Brasileiro,Exrcito_Imperial_Brasileiro,,,region_brazil,combat_unit_type_cuirassiers=1;combat_unit_type_irregular_infantry=2;combat_unit_type_line_infantry=1,4,4,0,0,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_32,PASS,Frozen exactly as directed by 2D2 STRUCTURAL_DEFER
BST,Basutoland,land,CREATE,,Modeled 1776 Field Force 1,,,region_southern_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=1,0,2,1,1,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_33,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct BST territory
BTN,Buton,land,CREATE,,Modeled 1776 Field Force 1,,,region_indonesia,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_34,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_indochina lacked direct BTN territory
BUG,Buganda,land,CREATE,,Modeled 1776 Field Force 1,,,region_east_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=3,0,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_35,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct BUG territory
BUK,Bukhara,land,CREATE,,Modeled 1776 Field Force 1,,,region_central_asia,combat_unit_type_dragoons=4;combat_unit_type_irregular_infantry=4,0,8,4,4,0,0,0,0,0,8000,NO,NO,NONE_STATIC,ROW_36,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_greater_persia lacked direct BUK territory
BUR,Burma,land,RESIZE,tatmadaw,tatmadaw,,,region_indochina,combat_unit_type_cannon_artillery=1;combat_unit_type_cuirassiers=5;combat_unit_type_irregular_infantry=24,34,30,24,5,1,0,0,0,0,30000,NO,NO,NONE_STATIC,ROW_37,PASS,
CAM,Cambodia,land,CREATE,,Modeled 1776 Field Force 1,,,region_indochina,combat_unit_type_irregular_infantry=5;combat_unit_type_lancers=1,0,6,5,1,0,0,0,0,0,6000,NO,NO,NONE_STATIC,ROW_38,PASS,
CHC,Chechnya,land,MERGE,Murtazeki;Milishia,Murtazeki,,,region_russia,combat_unit_type_hussars=4;combat_unit_type_irregular_infantry=4,10,8,4,4,0,0,0,0,0,8000,NO,NO,NONE_STATIC,ROW_39,PASS,Merged source formations; all technical scopes preserved
CHI,China,land,MERGE,Bordered_Yellow_Banner;Plain_Yellow_Banner,Yellow Banner Command,bordered_yellow_banner;plain_yellow_banner,bordered_yellow_banner;plain_yellow_banner,region_north_china,combat_unit_type_hussars=8;combat_unit_type_irregular_infantry=29,50,37,29,8,0,0,0,0,0,37000,YES,NO,NONE_STATIC,ROW_40,PASS,Merged source formations; all technical scopes preserved
CHI,China,land,MERGE,Plain_White_Banner;Bordered_White_Banner,White Banner Command,plain_white_banner;bordered_white_scope,plain_white_banner;bordered_white_scope,region_north_china,combat_unit_type_hussars=8;combat_unit_type_irregular_infantry=29,45,37,29,8,0,0,0,0,0,37000,YES,NO,NONE_STATIC,ROW_41,PASS,Merged source formations; all technical scopes preserved
CHI,China,land,MERGE,Plain_Red_Banner;Bordered_Red_Banner,Red Banner Command,plain_red_banner;bordered_red_scope,plain_red_banner;bordered_red_scope,region_northeast_asia,combat_unit_type_hussars=8;combat_unit_type_irregular_infantry=29,50,37,29,8,0,0,0,0,0,37000,YES,NO,NONE_STATIC,ROW_42,PASS,Merged source formations; all technical scopes preserved
CHI,China,land,MERGE,Plain_Blue_Banner;Bordered_Blue_Banner,Blue Banner Command,plain_blue_banner;bordered_blue_banner,plain_blue_banner;bordered_blue_banner,region_south_china,combat_unit_type_hussars=8;combat_unit_type_irregular_infantry=29,60,37,29,8,0,0,0,0,0,37000,YES,NO,NONE_STATIC,ROW_43,PASS,Merged source formations; all technical scopes preserved
CHI,China,land,MERGE,Zhili_Green_Standard_Army;ShaanGan_Green_Standard_Army,Zhili-Shaanxi Green Standard,,,region_north_china,combat_unit_type_dragoons=7;combat_unit_type_irregular_infantry=29,80,36,29,7,0,0,0,0,0,36000,NO,NO,NONE_STATIC,ROW_44,PASS,Merged source formations; all technical scopes preserved
CHI,China,land,MERGE,LiangJiang_Green_Standard_Army;MinZhe_Green_Standard_Army,Liangjiang-MinZhe Green Standard,,,region_south_china,combat_unit_type_dragoons=7;combat_unit_type_irregular_infantry=29,75,36,29,7,0,0,0,0,0,36000,NO,NO,NONE_STATIC,ROW_45,PASS,Merged source formations; all technical scopes preserved
CHI,China,land,MERGE,LiangHu_Green_Standard_Army;LiangGuang_Green_Standard_Army,Lianghu-Liangguang Green Standard,,,region_south_china,combat_unit_type_dragoons=7;combat_unit_type_irregular_infantry=28,80,35,28,7,0,0,0,0,0,35000,NO,NO,NONE_STATIC,ROW_46,PASS,Merged source formations; all technical scopes preserved
CHI,China,land,MERGE,Sichuan_Green_Standard_Army;YunGui_Green_Standard_Army,Sichuan-Yungui Green Standard,,,region_south_china,combat_unit_type_dragoons=7;combat_unit_type_irregular_infantry=28,45,35,28,7,0,0,0,0,0,35000,NO,NO,NONE_STATIC,ROW_47,PASS,Merged source formations; all technical scopes preserved
CHP,Champasak,land,CREATE,,Modeled 1776 Field Force 1,,,region_indochina,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_48,PASS,
CIR,Circassia,land,MERGE,<unnamed@2417>;<unnamed@2434>,<unnamed@2417>,,,region_russia,combat_unit_type_cannon_artillery=1;combat_unit_type_hussars=7;combat_unit_type_irregular_infantry=6,18,14,6,7,1,0,0,0,0,14000,NO,NO,NONE_STATIC,ROW_49,PASS,Merged source formations; all technical scopes preserved
CMI,Chiang Mai,land,CREATE,,Modeled 1776 Field Force 1,,,region_indochina,combat_unit_type_irregular_infantry=3;combat_unit_type_lancers=1,0,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_50,PASS,
COB,Saxe-Coburg-Gotha,land,CREATE,,Modeled 1776 Field Force 1,,,region_central_europe,combat_unit_type_line_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_51,PASS,
COC,Cochin,land,KEEP,CochinArmy,CochinArmy,,,region_south_india,combat_unit_type_lancers=1;combat_unit_type_line_infantry=1,2,2,1,1,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_52,PASS,
CON,Constantine,land,CREATE,,Modeled 1776 Field Force 1,,,region_north_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=1,0,2,1,1,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_53,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_near_east lacked direct CON territory
COO,Cooch Behar,land,RESIZE,CoochBeharArmy,CoochBeharArmy,,,region_north_india,combat_unit_type_irregular_infantry=1;combat_unit_type_lancers=1,3,2,1,1,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_54,PASS,
CRI,Crimea,land,RESIZE,<unnamed@3>,<unnamed@3>,crimea_army,crimea_army,region_eastern_europe,combat_unit_type_cannon_artillery=1;combat_unit_type_hussars=5;combat_unit_type_irregular_infantry=4,13,10,4,5,1,0,0,0,0,10000,YES,NO,NONE_STATIC,ROW_55,PASS,
CUB,Cuba,land,STRUCTURAL_DEFER,MiliciasdeCuba,MiliciasdeCuba,,,region_central_america,combat_unit_type_cannon_artillery=1;combat_unit_type_dragoons=1;combat_unit_type_line_infantry=9,11,11,0,0,0,0,0,0,0,11000,NO,NO,NONE_STATIC,ROW_56,PASS,Frozen exactly as directed by 2D2 STRUCTURAL_DEFER
DAH,Dahomey,land,CREATE,,Modeled 1776 Field Force 1,,,region_west_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=6,0,7,6,1,0,0,0,0,0,7000,NO,NO,NONE_STATIC,ROW_57,PASS,
DEI,East Indies,land,RESIZE,Koninklijk_Nederlandsch_Indisch_Leger,Koninklijk_Nederlandsch_Indisch_Leger,,,region_indonesia,combat_unit_type_cannon_artillery=1;combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=10,20,12,10,1,1,0,0,0,0,12000,NO,NO,NONE_STATIC,ROW_58,PASS,
DENNOR,Denmark-Norway,land,KEEP,Hren,Hren,,,region_northern_europe,combat_unit_type_cannon_artillery=1;combat_unit_type_dragoons=3;combat_unit_type_line_infantry=14,18,18,14,3,1,0,0,0,0,18000,NO,NO,NONE_STATIC,ROW_59,PASS,
DFR,Darfur,land,CREATE,,Modeled 1776 Field Force 1,,,region_nile_basin,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=1,0,2,1,1,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_60,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct DFR territory
DUR,Afghanistan,land,MERGE,<unnamed@384>;<unnamed@418>;<unnamed@452>;<unnamed@486>,<unnamed@384>,,,region_greater_persia,combat_unit_type_cannon_artillery=1;combat_unit_type_hussars=11;combat_unit_type_irregular_infantry=11,45,23,11,11,1,0,0,0,0,23000,NO,NO,NONE_STATIC,ROW_61,PASS,Merged source formations; all technical scopes preserved
DUR,Afghanistan,land,MERGE,<unnamed@407>;<unnamed@435>;<unnamed@469>;<unnamed@502>,<unnamed@407>,,,region_greater_persia,combat_unit_type_hussars=11;combat_unit_type_irregular_infantry=11,31,22,11,11,0,0,0,0,0,22000,NO,NO,NONE_STATIC,ROW_62,PASS,Merged source formations; all technical scopes preserved
ETH,Ethiopia,land,CREATE,,Modeled 1776 Field Force 1,,,region_east_africa,combat_unit_type_dragoons=4;combat_unit_type_irregular_infantry=12,0,16,11,4,0,1,0,0,0,16000,NO,NO,NONE_STATIC,ROW_63,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct ETH territory
FRA,France,land,RESIZE,1er_Corps_dArme,Armée du Nord,frencharmy1,frencharmy1,region_western_europe,combat_unit_type_cannon_artillery=2;combat_unit_type_lancers=5;combat_unit_type_line_infantry=35,50,42,35,5,2,0,0,0,0,42000,YES,NO,NONE_STATIC,ROW_64,PASS,
FRA,France,land,RESIZE,2e_Corps_dArme,Armée de l Est,secondcorpfra,secondcorpfra,region_western_europe,combat_unit_type_cannon_artillery=2;combat_unit_type_lancers=5;combat_unit_type_line_infantry=35,60,42,35,5,2,0,0,0,0,42000,YES,NO,NONE_STATIC,ROW_65,PASS,
FRA,France,land,RESIZE,3e_Corps_dArme,Armée du Midi,thirdcorpfra,thirdcorpfra,region_southern_europe,combat_unit_type_cannon_artillery=2;combat_unit_type_lancers=5;combat_unit_type_line_infantry=34,40,41,34,5,2,0,0,0,0,41000,YES,NO,NONE_STATIC,ROW_66,PASS,
FRA,France,land,RESIZE,Arme_dAfrique,Garnisons Coloniales,africacorpfra,africacorpfra,region_central_america,combat_unit_type_cannon_artillery=2;combat_unit_type_lancers=4;combat_unit_type_line_infantry=34,37,40,34,4,2,0,0,0,0,40000,YES,NO,NONE_STATIC,ROW_67,PASS,
FRM,Frankfurt,land,KEEP,Linienbataillon_Frankfurt,Linienbataillon_Frankfurt,,,region_central_europe,combat_unit_type_line_infantry=1,1,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_68,PASS,
FTJ,Futa Jallon,land,CREATE,,Modeled 1776 Field Force 1,,,region_west_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=3,0,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_69,PASS,
FTR,Futa Toro,land,CREATE,,Modeled 1776 Field Force 1,,,region_west_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=3,0,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_70,PASS,
GAL,Galicia-Lodomeria,land,CREATE,,Modeled 1776 Field Force 1,,,region_eastern_europe,combat_unit_type_cannon_artillery=1;combat_unit_type_hussars=2;combat_unit_type_irregular_infantry=9,0,12,9,2,1,0,0,0,0,12000,NO,NO,NONE_STATIC,ROW_71,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_central_europe lacked direct GAL territory
GAR,Garhwal,land,RESIZE,GarhwalArmy,GarhwalArmy,,,region_north_india,combat_unit_type_irregular_infantry=1;combat_unit_type_lancers=1,3,2,1,1,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_72,PASS,
GBR,Great Britain,land,SPLIT,Home_Army,Home Army,home_army_army,home_army_army,region_western_europe,combat_unit_type_cannon_artillery=1;combat_unit_type_dragoons=1;combat_unit_type_line_infantry=9,49,11,9,1,1,0,0,0,0,11000,YES,NO,NONE_STATIC,ROW_73,PASS,
GBR,Great Britain,land,SPLIT,,North American Command,,,region_atlantic_coast,combat_unit_type_cannon_artillery=1;combat_unit_type_dragoons=1;combat_unit_type_line_infantry=9,0,11,9,1,1,0,0,0,0,11000,NO,NO,NONE_STATIC,ROW_74,PASS,
GBR,Great Britain,land,SPLIT,Army_of_the_West_Indies,West Indies Garrison,west_indies_army,west_indies_army,region_central_america,combat_unit_type_dragoons=1;combat_unit_type_line_infantry=8,29,9,8,1,0,0,0,0,0,9000,YES,NO,NONE_STATIC,ROW_75,PASS,
GBR,Great Britain,land,SPLIT,Army_of_the_Mediterranean,Mediterranean Garrison,army_med_army,army_med_army,region_southern_europe,combat_unit_type_dragoons=1;combat_unit_type_line_infantry=8,16,9,8,1,0,0,0,0,0,9000,YES,NO,NONE_STATIC,ROW_76,PASS,
GBR,Great Britain,land,CREATE,Army_of_India,India Crown Detachment,army_india_army,army_india_army,region_south_india,combat_unit_type_dragoons=1;combat_unit_type_line_infantry=8,27,9,8,1,0,0,0,0,0,9000,YES,NO,NONE_STATIC,ROW_77,PASS,
GEN,Most Serene Republic of Genoa,land,KEEP,<unnamed@505>,<unnamed@505>,,,region_southern_europe,combat_unit_type_line_infantry=2,2,2,2,0,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_78,PASS,
GLD,Geledi,land,CREATE,,Modeled 1776 Field Force 1,,,region_east_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=1,0,2,1,1,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_79,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct GLD territory
GWA,Gwalior,land,RESIZE,GwaliorArmy,GwaliorArmy,,,region_north_india,combat_unit_type_cannon_artillery=2;combat_unit_type_lancers=10;combat_unit_type_line_infantry=18,43,30,18,10,2,0,0,0,0,30000,NO,NO,NONE_STATIC,ROW_80,PASS,
HAI,Haiti,land,STRUCTURAL_DEFER,ArmeeIndigene,ArmeeIndigene,,,region_central_america,combat_unit_type_cannon_artillery=1;combat_unit_type_dragoons=2;combat_unit_type_irregular_infantry=14;combat_unit_type_line_infantry=3,20,20,0,0,0,0,0,0,0,20000,NO,NO,NONE_STATIC,ROW_81,PASS,Frozen exactly as directed by 2D2 STRUCTURAL_DEFER
HAM,Hamburg,land,KEEP,Hamburger_Burgermilitar,Hamburger_Burgermilitar,,,region_central_europe,combat_unit_type_irregular_infantry=1,1,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_82,PASS,
HAN,Hanover,land,RESIZE,Kniglich_Hannoversche_Armee,Kniglich_Hannoversche_Armee,,,region_central_europe,combat_unit_type_cannon_artillery=2;combat_unit_type_lancers=3;combat_unit_type_line_infantry=16,18,21,16,3,2,0,0,0,0,21000,NO,NO,NONE_STATIC,ROW_83,PASS,
HAU,Gobir,land,CREATE,,Modeled 1776 Field Force 1,,,region_west_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=3,0,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_84,PASS,
HBC,Hudson's Bay Company,land,CREATE,,Modeled 1776 Field Force 1,,,region_canada,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_85,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_central_europe lacked direct HBC territory
HDJ,Hedjaz,land,CREATE,,Modeled 1776 Field Force 1,,,region_arabia,combat_unit_type_irregular_infantry=3;combat_unit_type_lancers=1,0,4,2,1,0,1,0,0,0,4000,NO,NO,NONE_STATIC,ROW_86,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_near_east lacked direct HDJ territory
HEK,Hesse-Kassel,land,RESIZE,Kurfrstlich_Hessische_Armee,Kurfrstlich_Hessische_Armee,,,region_central_europe,combat_unit_type_hussars=1;combat_unit_type_line_infantry=4,6,5,4,1,0,0,0,0,0,5000,NO,NO,NONE_STATIC,ROW_87,PASS,
HES,Hesse-Darmstadt,land,RESIZE,Groherzoglich_Hessische_Armee,Groherzoglich_Hessische_Armee,,,region_central_europe,combat_unit_type_lancers=1;combat_unit_type_line_infantry=3,5,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_88,PASS,
HOH,Hohenzollern,land,CREATE,,Modeled 1776 Field Force 1,,,region_central_europe,combat_unit_type_line_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_89,PASS,
HOL,Holstein,land,KEEP,Holsteinische_Armee,Holsteinische_Armee,,,region_central_europe,combat_unit_type_lancers=1;combat_unit_type_line_infantry=3,4,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_90,PASS,
HUN,Hungary,land,RESIZE,generalkommando_ofen,generalkommando_ofen,,,region_balkans,combat_unit_type_cannon_artillery=2;combat_unit_type_hussars=6;combat_unit_type_line_infantry=20,37,28,20,6,2,0,0,0,0,28000,NO,NO,NONE_STATIC,ROW_91,PASS,
HYD,Hyderabad,land,RESIZE,sarf_e_khas,sarf_e_khas,,,region_south_india,combat_unit_type_cannon_artillery=2;combat_unit_type_lancers=8;combat_unit_type_line_infantry=18,34,28,18,8,2,0,0,0,0,28000,NO,NO,NONE_STATIC,ROW_92,PASS,
IR1,Mamluk Iraq,land,RESIZE,<unnamed@3>,<unnamed@3>,mamluk_army,mamluk_army,region_near_east,combat_unit_type_cannon_artillery=1;combat_unit_type_hussars=4;combat_unit_type_irregular_infantry=5,14,10,5,4,1,0,0,0,0,10000,YES,NO,NONE_STATIC,ROW_93,PASS,
