record_id,tag,country_name,formation,source_file,hq_region,expected_runtime_total,implementation_decision,recommended_character,formation_scopes_before,commanders_before,planned_action,formation_scope_after,character_scope_after,commander_after,historical_after,attachment_after,static_result
GEN1776-011,AUS,Austria,cleanup2d3b_aus_land_1,00_military_formations_europe.txt,region_central_europe,36,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,Franz Moritz von Lacy,NONE,NONE,ADD_NAMED,cleanup2d4_formation_011,cleanup2d4_general_011,Franz Moritz von Lacy,YES,scope:cleanup2d4_general_011->scope:cleanup2d4_formation_011,PASS
GEN1776-012,AUS,Austria,cleanup2d3b_aus_land_2,00_military_formations_europe.txt,region_southern_europe,35,PROCEDURAL_ALLOWED,,armee_in_italien_scope,NONE,ADD_PROCEDURAL,armee_in_italien_scope,cleanup2d4_general_012,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_012->scope:armee_in_italien_scope,PASS
GEN1776-013,HUN,Hungary,generalkommando_ofen,00_military_formations_europe.txt,region_balkans,28,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_013,cleanup2d4_general_013,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_013->scope:cleanup2d4_formation_013,PASS
GEN1776-014,TRS,Transylvania,generalkommando_hermannstadt,00_military_formations_europe.txt,region_balkans,8,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_014,cleanup2d4_general_014,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_014->scope:cleanup2d4_formation_014,PASS
GEN1776-015,FRA,France,cleanup2d3b_fra_land_1,00_military_formations_europe.txt,region_western_europe,114,PROCEDURAL_ALLOWED,,frencharmy1,<procedural>|<procedural>,REPLACE_LEGACY_WITH_PROCEDURAL,frencharmy1,cleanup2d4_general_015,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_015->scope:frencharmy1,PASS
GEN1776-016,FRA,France,cleanup2d3b_fra_land_2,00_military_formations_europe.txt,region_western_europe,42,PROCEDURAL_ALLOWED,,secondcorpfra,<procedural>,REPLACE_LEGACY_WITH_PROCEDURAL,secondcorpfra,cleanup2d4_general_016,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_016->scope:secondcorpfra,PASS
GEN1776-017,FRA,France,cleanup2d3b_fra_land_3,00_military_formations_europe.txt,region_southern_europe,41,PROCEDURAL_ALLOWED,,thirdcorpfra,<procedural>,REPLACE_LEGACY_WITH_PROCEDURAL,thirdcorpfra,cleanup2d4_general_017,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_017->scope:thirdcorpfra,PASS
GEN1776-018,FRA,France,cleanup2d3b_fra_land_4,00_military_formations_europe.txt,region_central_america,40,PROCEDURAL_ALLOWED,,africacorpfra,<procedural>|<procedural>,REPLACE_LEGACY_WITH_PROCEDURAL,africacorpfra,cleanup2d4_general_018,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_018->scope:africacorpfra,PASS
GEN1776-019,GBR,Great Britain,cleanup2d3b_gbr_land_2,00_military_formations_europe.txt,region_atlantic_coast,54,IMPLEMENT_NAMED_HISTORICAL_GENERAL,William Howe,NONE,NONE,ADD_NAMED,cleanup2d4_formation_019,cleanup2d4_general_019,William Howe,YES,scope:cleanup2d4_general_019->scope:cleanup2d4_formation_019,PASS
GEN1776-020,GBR,Great Britain,Home_Army,00_military_formations_europe.txt,region_western_europe,11,PROCEDURAL_ALLOWED,,home_army_army,<procedural>|<procedural>|John Colborne|Matthew Whitworth,REPLACE_LEGACY_WITH_PROCEDURAL,home_army_army,cleanup2d4_general_020,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_020->scope:home_army_army,PASS
GEN1776-021,GBR,Great Britain,cleanup2d3b_gbr_land_4,00_military_formations_europe.txt,region_southern_europe,9,PROCEDURAL_ALLOWED,,army_med_army,<missing:aylmer_gen>,REPLACE_LEGACY_WITH_PROCEDURAL,army_med_army,cleanup2d4_general_021,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_021->scope:army_med_army,PASS
GEN1776-022,GBR,Great Britain,cleanup2d3b_gbr_land_3,00_military_formations_europe.txt,region_central_america,9,PROCEDURAL_ALLOWED,,west_indies_army,Henry Hardinge,REPLACE_LEGACY_WITH_PROCEDURAL,west_indies_army,cleanup2d4_general_022,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_022->scope:west_indies_army,PASS
GEN1776-023,GBR,Great Britain,cleanup2d3b_gbr_land_5,00_military_formations_europe.txt,region_south_india,9,PROCEDURAL_ALLOWED,,army_india_army,Hugh Gough,REPLACE_LEGACY_WITH_PROCEDURAL,army_india_army,cleanup2d4_general_023,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_023->scope:army_india_army,PASS
GEN1776-024,RUS,Russia,cleanup2d3b_rus_land_1,00_military_formations_europe.txt,region_russia,164,PROCEDURAL_ALLOWED,,gvardeyskiy_korpus_army|grenaderskiy_korpus,Mikhail vorontsov|Nikolay Karsky,REPLACE_LEGACY_WITH_PROCEDURAL,gvardeyskiy_korpus_army,cleanup2d4_general_024,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_024->scope:gvardeyskiy_korpus_army,PASS
GEN1776-025,RUS,Russia,cleanup2d3b_rus_land_2,00_military_formations_europe.txt,region_russia,44,PROCEDURAL_ALLOWED,,ii_pekhotniy_korpus,Matvey Khrapovitsky,REPLACE_LEGACY_WITH_PROCEDURAL,ii_pekhotniy_korpus,cleanup2d4_general_025,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_025->scope:ii_pekhotniy_korpus,PASS
GEN1776-026,RUS,Russia,cleanup2d3b_rus_land_3,00_military_formations_europe.txt,region_russia,43,PROCEDURAL_ALLOWED,,iii_pekhotniy_korpus,Friedrich von_Berg,REPLACE_LEGACY_WITH_PROCEDURAL,iii_pekhotniy_korpus,cleanup2d4_general_026,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_026->scope:iii_pekhotniy_korpus,PASS
GEN1776-027,RUS,Russia,cleanup2d3b_rus_land_4,00_military_formations_europe.txt,region_balkans,42,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,Pyotr Rumyantsev,iiii_pekhotniy_korpus,Aleksandr Chernyshyov,REPLACE_LEGACY_WITH_NAMED,iiii_pekhotniy_korpus,cleanup2d4_general_027,Pyotr Rumyantsev,YES,scope:cleanup2d4_general_027->scope:iiii_pekhotniy_korpus,PASS
GEN1776-028,RUS,Russia,cleanup2d3b_rus_land_5,00_military_formations_europe.txt,region_siberia,42,PROCEDURAL_ALLOWED,,v_pekhotniy_korpus,Ivan Paskevich,REPLACE_LEGACY_WITH_PROCEDURAL,v_pekhotniy_korpus,cleanup2d4_general_028,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_028->scope:v_pekhotniy_korpus,PASS
GEN1776-029,CIR,Circassia,cleanup2d3e_r1_cir_land_1,00_military_formations_europe.txt,region_russia,17,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_029,cleanup2d4_general_029,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_029->scope:cleanup2d4_formation_029,PASS
GEN1776-030,CHC,Chechnya,Murtazeki,00_military_formations_europe.txt,region_russia,9,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_030,cleanup2d4_general_030,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_030->scope:cleanup2d4_formation_030,PASS
GEN1776-031,BAD,Baden,Groherzoglich_Badische_Armee,00_military_formations_europe.txt,region_central_europe,12,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_031,cleanup2d4_general_031,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_031->scope:cleanup2d4_formation_031,PASS
GEN1776-032,WUR,Württemberg,Kniglich_Wrttembergische_Armee,00_military_formations_europe.txt,region_central_europe,17,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_032,cleanup2d4_general_032,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_032->scope:cleanup2d4_formation_032,PASS
GEN1776-033,SAX,Saxony,Kniglich_Schsische_Armee,00_military_formations_europe.txt,region_central_europe,26,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_033,cleanup2d4_general_033,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_033->scope:cleanup2d4_formation_033,PASS
GEN1776-034,BAV,Bavaria,I_ArmeeKorps,00_military_formations_europe.txt,region_central_europe,12,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_034,cleanup2d4_general_034,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_034->scope:cleanup2d4_formation_034,PASS
GEN1776-035,HEK,Hesse-Kassel,Kurfrstlich_Hessische_Armee,00_military_formations_europe.txt,region_central_europe,6,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_035,cleanup2d4_general_035,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_035->scope:cleanup2d4_formation_035,PASS
GEN1776-036,HES,Hesse-Darmstadt,Groherzoglich_Hessische_Armee,00_military_formations_europe.txt,region_central_europe,5,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_036,cleanup2d4_general_036,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_036->scope:cleanup2d4_formation_036,PASS
GEN1776-037,NAS,Nassau,Herzoglich_Nassauische_Armee,00_military_formations_europe.txt,region_central_europe,4,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_037,cleanup2d4_general_037,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_037->scope:cleanup2d4_formation_037,PASS
GEN1776-038,HAN,Hanover,Kniglich_Hannoversche_Armee,00_military_formations_europe.txt,region_central_europe,24,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_038,cleanup2d4_general_038,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_038->scope:cleanup2d4_formation_038,PASS
GEN1776-039,MEC,Mecklenburg-Schwerin,Groherzoglich_MecklenburgischSchwerinsche_Armee,00_military_formations_europe.txt,region_central_europe,6,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_039,cleanup2d4_general_039,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_039->scope:cleanup2d4_formation_039,PASS
GEN1776-040,OLD,Oldenburg,Groherzoglich_Oldenburgische_Armee,00_military_formations_europe.txt,region_central_europe,3,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_040,cleanup2d4_general_040,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_040->scope:cleanup2d4_formation_040,PASS
GEN1776-041,HAM,Hamburg,Hamburger_Burgermilitar,00_military_formations_europe.txt,region_central_europe,1,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_041,cleanup2d4_general_041,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_041->scope:cleanup2d4_formation_041,PASS
GEN1776-042,BRE,Bremen,Bremer_Stadtmilitar,00_military_formations_europe.txt,region_central_europe,1,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_042,cleanup2d4_general_042,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_042->scope:cleanup2d4_formation_042,PASS
GEN1776-043,LUB,Lübeck,Lubecker_Militar,00_military_formations_europe.txt,region_central_europe,1,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_043,cleanup2d4_general_043,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_043->scope:cleanup2d4_formation_043,PASS
GEN1776-044,FRM,Frankfurt,Linienbataillon_Frankfurt,00_military_formations_europe.txt,region_central_europe,1,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_044,cleanup2d4_general_044,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_044->scope:cleanup2d4_formation_044,PASS
GEN1776-045,WLD,Waldeck,Waldecksches_Bataillon,00_military_formations_europe.txt,region_central_europe,1,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_045,cleanup2d4_general_045,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_045->scope:cleanup2d4_formation_045,PASS
GEN1776-046,LUX,Luxembourg,Luxemburger_Miliz,00_military_formations_europe.txt,region_western_europe,3,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_046,cleanup2d4_general_046,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_046->scope:cleanup2d4_formation_046,PASS
GEN1776-047,SWE,Sweden,Kungliga_Svenska_Armn,00_military_formations_europe.txt,region_northern_europe,37,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_047,cleanup2d4_general_047,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_047->scope:cleanup2d4_formation_047,PASS
GEN1776-048,DENNOR,Denmark-Norway,Hren,00_military_formations_europe.txt,region_northern_europe,21,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_048,cleanup2d4_general_048,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_048->scope:cleanup2d4_formation_048,PASS
GEN1776-049,SCH,Schleswig,Schleswigsche_Armee,00_military_formations_europe.txt,region_central_europe,2,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_049,cleanup2d4_general_049,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_049->scope:cleanup2d4_formation_049,PASS
GEN1776-050,HOL,Holstein,Holsteinische_Armee,00_military_formations_europe.txt,region_central_europe,5,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_050,cleanup2d4_general_050,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_050->scope:cleanup2d4_formation_050,PASS
GEN1776-051,WAL,Wallachia,Armata_rii_Romneti,00_military_formations_europe.txt,region_balkans,6,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_051,cleanup2d4_general_051,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_051->scope:cleanup2d4_formation_051,PASS
GEN1776-052,MON,Montenegro,Montengrin_Raiders,00_military_formations_europe.txt,region_balkans,7,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_052,cleanup2d4_general_052,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_052->scope:cleanup2d4_formation_052,PASS
GEN1776-053,MOL,Moldavia,Armata_Principatului_Moldovei,00_military_formations_europe.txt,region_balkans,5,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_053,cleanup2d4_general_053,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_053->scope:cleanup2d4_formation_053,PASS
GEN1776-054,SIC,Two Sicilies,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,00_military_formations_europe.txt,region_southern_europe,20,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_054,cleanup2d4_general_054,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_054->scope:cleanup2d4_formation_054,PASS
GEN1776-055,SIC,Two Sicilies,Guardia_Reale,00_military_formations_europe.txt,region_southern_europe,10,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_055,cleanup2d4_general_055,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_055->scope:cleanup2d4_formation_055,PASS
GEN1776-056,SAR,Sardinia-Piedmont,I_Corpo_dArmata,00_military_formations_europe.txt,region_southern_europe,27,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_056,cleanup2d4_general_056,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_056->scope:cleanup2d4_formation_056,PASS
GEN1776-057,PAP,Papal States,Esercito_dello_Stato_della_Chiesa,00_military_formations_europe.txt,region_southern_europe,9,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_057,cleanup2d4_general_057,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_057->scope:cleanup2d4_formation_057,PASS
GEN1776-058,TUS,Tuscany,Esercito_del_Granducato_di_Toscana,00_military_formations_europe.txt,region_southern_europe,11,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_058,cleanup2d4_general_058,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_058->scope:cleanup2d4_formation_058,PASS
GEN1776-059,LUC,Lucca,Esercito_Ducale,00_military_formations_europe.txt,region_southern_europe,1,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_059,cleanup2d4_general_059,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_059->scope:cleanup2d4_formation_059,PASS
GEN1776-060,MOD,Modena,Esercito_del_Ducato_di_Modena_e_Reggio,00_military_formations_europe.txt,region_southern_europe,5,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_060,cleanup2d4_general_060,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_060->scope:cleanup2d4_formation_060,PASS
GEN1776-061,PAR,Parma,Truppe_Reali_Parmensi,00_military_formations_europe.txt,region_southern_europe,4,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_061,cleanup2d4_general_061,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_061->scope:cleanup2d4_formation_061,PASS
GEN1776-062,NET,Netherlands,Koninklijk_Nederlands_Leger,00_military_formations_europe.txt,region_western_europe,30,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_062,cleanup2d4_general_062,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_062->scope:cleanup2d4_formation_062,PASS
GEN1776-063,BEO,Austrian Netherlands (BEO/Belgium),Armee_Belge,00_military_formations_europe.txt,region_western_europe,12,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_063,cleanup2d4_general_063,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_063->scope:cleanup2d4_formation_063,PASS
GEN1776-064,POR,Portugal,Exercito_Portugues,00_military_formations_europe.txt,region_southern_europe,54,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_064,cleanup2d4_general_064,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_064->scope:cleanup2d4_formation_064,PASS
GEN1776-065,SPA,Spain,cleanup2d3b_spa_land_2,00_military_formations_europe.txt,region_southern_europe,32,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,Antonio Ricardos,spanisharmy3,<procedural>|<procedural>,REPLACE_LEGACY_WITH_NAMED,spanisharmy3,cleanup2d4_general_065,Antonio Ricardos,YES,scope:cleanup2d4_general_065->scope:spanisharmy3,PASS
GEN1776-066,SPA,Spain,cleanup2d3b_spa_land_1,00_military_formations_europe.txt,region_southern_europe,33,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,Alejandro O'Reilly,spanisharmy2,<procedural>|<procedural>,REPLACE_LEGACY_WITH_NAMED,spanisharmy2,cleanup2d4_general_066,Alejandro O'Reilly,YES,scope:cleanup2d4_general_066->scope:spanisharmy2,PASS
GEN1776-067,SPA,Spain,cleanup2d3b_spa_land_3,00_military_formations_europe.txt,region_central_america,30,PROCEDURAL_ALLOWED,,spanisharmy1,<procedural>,REPLACE_LEGACY_WITH_PROCEDURAL,spanisharmy1,cleanup2d4_general_067,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_067->scope:spanisharmy1,PASS
GEN1776-068,UBD,United Baltic Provinces,cleanup2d3e_r1_ubd_land_1,00_military_formations_europe.txt,region_eastern_europe,6,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_068,cleanup2d4_general_068,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_068->scope:cleanup2d4_formation_068,PASS
GEN1776-069,BHU,Bhutan,cleanup2d3b_bhu_land_1,00_military_formations_europe.txt,region_himalayas,2,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_069,cleanup2d4_general_069,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_069->scope:cleanup2d4_formation_069,PASS
GEN1776-070,BUK,Bukhara,cleanup2d3b_buk_land_1,00_military_formations_europe.txt,region_central_asia,16,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_070,cleanup2d4_general_070,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_070->scope:cleanup2d4_formation_070,PASS
GEN1776-071,COB,Saxe-Coburg-Gotha,cleanup2d3b_cob_land_1,00_military_formations_europe.txt,region_central_europe,1,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_071,cleanup2d4_general_071,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_071->scope:cleanup2d4_formation_071,PASS
GEN1776-072,GAL,Galicia-Lodomeria,cleanup2d3b_gal_land_1,00_military_formations_europe.txt,region_eastern_europe,12,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_072,cleanup2d4_general_072,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_072->scope:cleanup2d4_formation_072,PASS
GEN1776-073,HOH,Hohenzollern,cleanup2d3b_hoh_land_1,00_military_formations_europe.txt,region_central_europe,1,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_073,cleanup2d4_general_073,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_073->scope:cleanup2d4_formation_073,PASS
