nav_record_id,tag,formation,ship_count,admiral,current_rank,base_command_limit,deterministic_modifier,guaranteed_command_limit,minimum_required_rank,final_rank,capacity_sufficient,decision
NAV1776-029,SPA,cleanup2d3b_spa_naval_2,10,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,FINAL HISTORICAL DECISION OVERRIDES capacity-only KEEP_CURRENT_RANK; no-commander fallback 20 covers 10 ships
NAV1776-030,USA,cleanup2d3b_usa_naval_1,5,Esek Hopkins,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-031,BRZ,Armada_Nacional,9,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,DEFER_STRUCTURE_REWORK
NAV1776-032,SC4,Armada_Argentina,1,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,DEFER_STRUCTURE_REWORK
NAV1776-033,TUN,Bahriat_alTuwnusia,1,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,No-commander fallback 20 is sufficient
NAV1776-034,TRI,Escadre_de_Tripoli,1,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,No-commander fallback 20 is sufficient
NAV1776-035,TUR,Donanmay_Humyn,9,Cezayirli Gazi Hasan Paşa,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-036,OMA,Bahriat_alMasqat,8,Hilāl ibn Aḥmad ibn Saʿīd al-Būsaʿīdī,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-037,MARATH,Konkan_Flotilla,2,Anandrao Dhulap,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,KEEP_CURRENT_RANK_CAPACITY_WHILE_REBUILDING_BIOGRAPHY
NAV1776-038,TRA,TravancoreNavy,1,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-039,CHI,cleanup2d3b_chi_naval_1,4,Li Fengyao,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,REPLACE_ANACHRONISTIC_IDENTITY_WITH_NAMED_HIGHER_COMMAND_ABSTRACTION
NAV1776-040,CHI,cleanup2d3b_chi_naval_2,4,Zhang Shen,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,REPLACE_ANACHRONISTIC_IDENTITY_WITH_NAMED_HIGHER_COMMAND_ABSTRACTION
NAV1776-041,DEI,Koloniale_Marine,2,Assuerus van den Bergh,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_HIGHER_COMMAND_ABSTRACTION_AT_SMALLEST_SUFFICIENT_RANK
