tag,file,formation,hq,scripted_regular,materializable_regular,scripted_conscript,materializable_conscript,expected_runtime_total,expected_runtime_empty,disposition,r2_correlation
HES,00_military_formations_europe.txt,Groherzoglich_Hessische_Armee,region_central_europe,4,4,1,1,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
NAS,00_military_formations_europe.txt,Herzoglich_Nassauische_Armee,region_central_europe,3,3,1,1,4,NO,PASS,STATIC_EFFECTIVE_AUDIT
HAN,00_military_formations_europe.txt,Kniglich_Hannoversche_Armee,region_central_europe,21,21,3,3,24,NO,PASS,STATIC_EFFECTIVE_AUDIT
MEC,00_military_formations_europe.txt,Groherzoglich_MecklenburgischSchwerinsche_Armee,region_central_europe,5,5,1,1,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
OLD,00_military_formations_europe.txt,Groherzoglich_Oldenburgische_Armee,region_central_europe,3,3,0,0,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
HAM,00_military_formations_europe.txt,Hamburger_Burgermilitar,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
BRE,00_military_formations_europe.txt,Bremer_Stadtmilitar,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
LUB,00_military_formations_europe.txt,Lubecker_Militar,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
FRM,00_military_formations_europe.txt,Linienbataillon_Frankfurt,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
WLD,00_military_formations_europe.txt,Waldecksches_Bataillon,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
LUX,00_military_formations_europe.txt,Luxemburger_Miliz,region_western_europe,3,3,0,0,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
SWE,00_military_formations_europe.txt,Kungliga_Svenska_Armn,region_northern_europe,30,30,7,7,37,NO,PASS,STATIC_EFFECTIVE_AUDIT
DENNOR,00_military_formations_europe.txt,Hren,region_northern_europe,18,18,3,3,21,NO,PASS,STATIC_EFFECTIVE_AUDIT
SCH,00_military_formations_europe.txt,Schleswigsche_Armee,region_central_europe,2,2,0,0,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
HOL,00_military_formations_europe.txt,Holsteinische_Armee,region_central_europe,4,4,1,1,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
WAL,00_military_formations_europe.txt,Armata_rii_Romneti,region_balkans,4,4,2,2,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
MON,00_military_formations_europe.txt,Montengrin_Raiders,region_balkans,6,6,1,1,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
MOL,00_military_formations_europe.txt,Armata_Principatului_Moldovei,region_balkans,3,3,2,2,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
SIC,00_military_formations_europe.txt,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,region_southern_europe,20,20,0,0,20,NO,PASS,STATIC_EFFECTIVE_AUDIT
SIC,00_military_formations_europe.txt,Guardia_Reale,region_southern_europe,10,10,0,0,10,NO,PASS,STATIC_EFFECTIVE_AUDIT
SAR,00_military_formations_europe.txt,I_Corpo_dArmata,region_southern_europe,19,19,8,8,27,NO,PASS,STATIC_EFFECTIVE_AUDIT
PAP,00_military_formations_europe.txt,Esercito_dello_Stato_della_Chiesa,region_southern_europe,6,6,3,3,9,NO,PASS,STATIC_EFFECTIVE_AUDIT
TUS,00_military_formations_europe.txt,Esercito_del_Granducato_di_Toscana,region_southern_europe,7,7,4,4,11,NO,PASS,STATIC_EFFECTIVE_AUDIT
LUC,00_military_formations_europe.txt,Esercito_Ducale,region_southern_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
MOD,00_military_formations_europe.txt,Esercito_del_Ducato_di_Modena_e_Reggio,region_southern_europe,4,4,1,1,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
PAR,00_military_formations_europe.txt,Truppe_Reali_Parmensi,region_southern_europe,3,3,1,1,4,NO,PASS,STATIC_EFFECTIVE_AUDIT
NET,00_military_formations_europe.txt,Koninklijk_Nederlands_Leger,region_western_europe,24,24,6,6,30,NO,PASS,STATIC_EFFECTIVE_AUDIT
BEO,00_military_formations_europe.txt,Armee_Belge,region_western_europe,12,12,0,0,12,NO,PASS,STATIC_EFFECTIVE_AUDIT
POR,00_military_formations_europe.txt,Exercito_Portugues,region_southern_europe,24,24,30,30,54,NO,PASS,STATIC_EFFECTIVE_AUDIT
SPA,00_military_formations_europe.txt,cleanup2d3b_spa_land_2,region_southern_europe,32,32,0,0,32,NO,PASS,STATIC_EFFECTIVE_AUDIT
SPA,00_military_formations_europe.txt,cleanup2d3b_spa_land_1,region_southern_europe,33,33,0,0,33,NO,PASS,STATIC_EFFECTIVE_AUDIT
SPA,00_military_formations_europe.txt,cleanup2d3b_spa_land_3,region_central_america,30,30,0,0,30,NO,PASS,STATIC_EFFECTIVE_AUDIT
UBD,00_military_formations_europe.txt,cleanup2d3e_r1_ubd_land_1,region_eastern_europe,6,6,0,0,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
BHU,00_military_formations_europe.txt,cleanup2d3b_bhu_land_1,region_himalayas,1,1,1,1,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
BUK,00_military_formations_europe.txt,cleanup2d3b_buk_land_1,region_central_asia,8,8,8,8,16,NO,PASS,STATIC_EFFECTIVE_AUDIT
COB,00_military_formations_europe.txt,cleanup2d3b_cob_land_1,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
GAL,00_military_formations_europe.txt,cleanup2d3b_gal_land_1,region_eastern_europe,12,12,0,0,12,NO,PASS,STATIC_EFFECTIVE_AUDIT
HOH,00_military_formations_europe.txt,cleanup2d3b_hoh_land_1,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
KHI,00_military_formations_europe.txt,cleanup2d3b_khi_land_1,region_central_asia,8,8,7,7,15,NO,PASS,STATIC_EFFECTIVE_AUDIT
KOK,00_military_formations_europe.txt,cleanup2d3b_kok_land_1,region_central_asia,8,8,8,8,16,NO,PASS,STATIC_EFFECTIVE_AUDIT
KOR,00_military_formations_europe.txt,cleanup2d3b_kor_land_1,region_northeast_asia,18,18,30,30,48,NO,PASS,STATIC_EFFECTIVE_AUDIT
KZH,00_military_formations_europe.txt,cleanup2d3b_kzh_land_1,region_central_asia,1,1,3,3,4,NO,PASS,STATIC_EFFECTIVE_AUDIT
MEI,00_military_formations_europe.txt,cleanup2d3b_mei_land_1,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
MST,00_military_formations_europe.txt,cleanup2d3b_mst_land_1,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
NEP,00_military_formations_europe.txt,cleanup2d3b_nep_land_1,region_himalayas,14,14,10,10,24,NO,PASS,STATIC_EFFECTIVE_AUDIT
OZH,00_military_formations_europe.txt,cleanup2d3b_ozh_land_1,region_central_asia,1,1,1,1,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
SCW,00_military_formations_europe.txt,cleanup2d3b_scw_land_1,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
SIK,00_military_formations_europe.txt,cleanup2d3b_sik_land_1,region_himalayas,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
SWI,00_military_formations_europe.txt,cleanup2d3b_swi_land_1,region_central_europe,4,4,2,2,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
TIB,00_military_formations_europe.txt,cleanup2d3b_tib_land_1,region_himalayas,7,7,10,10,17,NO,PASS,STATIC_EFFECTIVE_AUDIT
WEI,00_military_formations_europe.txt,cleanup2d3b_wei_land_1,region_central_europe,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
USA,01_military_formations_north_america.txt,cleanup2d3b_usa_land_1,region_atlantic_coast,20,20,80,80,100,NO,PASS,STATIC_EFFECTIVE_AUDIT
HAI,01_military_formations_north_america.txt,ArmeeIndigene,region_central_america,20,20,0,0,20,NO,PASS,STATIC_EFFECTIVE_AUDIT
CUB,01_military_formations_north_america.txt,MiliciasdeCuba,region_central_america,11,11,0,0,11,NO,PASS,STATIC_EFFECTIVE_AUDIT
PCO,01_military_formations_north_america.txt,MiliciasDiciplinadas,region_central_america,7,7,0,0,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
HBC,01_military_formations_north_america.txt,cleanup2d3b_hbc_land_1,region_canada,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
MKT,01_military_formations_north_america.txt,cleanup2d3b_mkt_land_1,region_central_america,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
BRZ,02_military_formations_south_america.txt,Exrcito_Imperial_Brasileiro,region_brazil,4,4,0,0,4,NO,PASS,STATIC_EFFECTIVE_AUDIT
SC4,02_military_formations_south_america.txt,Ejrcito_Argentino,region_la_plata,7,7,0,0,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
SC2,02_military_formations_south_america.txt,Ejrcito_del_Ecuador,region_andes,7,7,0,0,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
SC2,02_military_formations_south_america.txt,Ejrcito_de_la_Nueva_Granada,region_gran_colombia,18,18,0,0,18,NO,PASS,STATIC_EFFECTIVE_AUDIT
SC2,02_military_formations_south_america.txt,Ejrcito_de_Venezuela,region_gran_colombia,9,9,0,0,9,NO,PASS,STATIC_EFFECTIVE_AUDIT
TUN,03_military_formations_north_africa.txt,cleanup2d3b_tun_land_1,region_north_africa,5,5,8,8,13,NO,PASS,STATIC_EFFECTIVE_AUDIT
TRI,03_military_formations_north_africa.txt,cleanup2d3b_tri_land_1,region_north_africa,6,6,3,3,9,NO,PASS,STATIC_EFFECTIVE_AUDIT
MAS,03_military_formations_north_africa.txt,Jaish_alMohammadi,region_north_africa,17,17,2,2,19,NO,PASS,STATIC_EFFECTIVE_AUDIT
AIT,03_military_formations_north_africa.txt,cleanup2d3b_ait_land_1,region_north_africa,1,1,1,1,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
CON,03_military_formations_north_africa.txt,cleanup2d3b_con_land_1,region_north_africa,2,2,4,4,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
DFR,03_military_formations_north_africa.txt,cleanup2d3b_dfr_land_1,region_nile_basin,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
MOR,03_military_formations_north_africa.txt,cleanup2d3b_mor_land_1,region_north_africa,11,11,15,15,26,NO,PASS,STATIC_EFFECTIVE_AUDIT
TUG,03_military_formations_north_africa.txt,cleanup2d3b_tug_land_1,region_north_africa,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
IR1,04_military_formations_middle_east.txt,cleanup2d3e_r1_ir1_land_1,region_near_east,10,10,9,9,19,NO,PASS,STATIC_EFFECTIVE_AUDIT
TUR,04_military_formations_middle_east.txt,cleanup2d3b_tur_land_1,region_balkans,18,18,139,139,157,NO,PASS,STATIC_EFFECTIVE_AUDIT
TUR,04_military_formations_middle_east.txt,cleanup2d3b_tur_land_2,region_balkans,16,16,0,0,16,NO,PASS,STATIC_EFFECTIVE_AUDIT
TUR,04_military_formations_middle_east.txt,cleanup2d3b_tur_land_3,region_near_east,16,16,0,0,16,NO,PASS,STATIC_EFFECTIVE_AUDIT
TUR,04_military_formations_middle_east.txt,cleanup2d3b_tur_land_4,region_near_east,15,15,0,0,15,NO,PASS,STATIC_EFFECTIVE_AUDIT
OMA,04_military_formations_middle_east.txt,cleanup2d3e_r1_oma_land_1,region_greater_persia,10,10,3,3,13,NO,PASS,STATIC_EFFECTIVE_AUDIT
PER,04_military_formations_middle_east.txt,cleanup2d3e_r1_per_land_1,region_greater_persia,32,32,38,38,70,NO,PASS,STATIC_EFFECTIVE_AUDIT
DUR,04_military_formations_middle_east.txt,cleanup2d3e_r1_dur_land_1,region_greater_persia,23,23,63,63,86,NO,PASS,STATIC_EFFECTIVE_AUDIT
DUR,04_military_formations_middle_east.txt,cleanup2d3e_r1_dur_land_2,region_greater_persia,22,22,0,0,22,NO,PASS,STATIC_EFFECTIVE_AUDIT
ARB,04_military_formations_middle_east.txt,cleanup2d3e_r1_arb_land_1,region_greater_persia,4,4,2,2,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
HDJ,04_military_formations_middle_east.txt,cleanup2d3b_hdj_land_1,region_arabia,4,4,2,2,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
ZAI,04_military_formations_middle_east.txt,cleanup2d3b_zai_land_1,region_arabia,2,2,4,4,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
PAN,05_military_formations_india.txt,FaujiKhas,region_north_india,23,23,13,13,36,NO,PASS,STATIC_EFFECTIVE_AUDIT
PAN,05_military_formations_india.txt,FaujiAin,region_north_india,22,22,0,0,22,NO,PASS,STATIC_EFFECTIVE_AUDIT
BIC,05_military_formations_india.txt,cleanup2d3b_bic_land_2,region_south_india,16,16,45,45,61,NO,PASS,STATIC_EFFECTIVE_AUDIT
BIC,05_military_formations_india.txt,cleanup2d3b_bic_land_3,region_south_india,9,9,0,0,9,NO,PASS,STATIC_EFFECTIVE_AUDIT
BIC,05_military_formations_india.txt,Bengal_Army,region_north_india,30,30,0,0,30,NO,PASS,STATIC_EFFECTIVE_AUDIT
HYD,05_military_formations_india.txt,sarf_e_khas,region_south_india,28,28,14,14,42,NO,PASS,STATIC_EFFECTIVE_AUDIT
AWA,05_military_formations_india.txt,OudhRoyalArmy,region_north_india,36,36,7,7,43,NO,PASS,STATIC_EFFECTIVE_AUDIT
MARATH,05_military_formations_india.txt,cleanup2d3b_marath_land_2,region_south_india,21,21,79,79,100,NO,PASS,STATIC_EFFECTIVE_AUDIT
MARATH,05_military_formations_india.txt,cleanup2d3b_marath_land_1,region_north_india,24,24,0,0,24,NO,PASS,STATIC_EFFECTIVE_AUDIT
GWA,05_military_formations_india.txt,GwaliorArmy,region_north_india,30,30,17,17,47,NO,PASS,STATIC_EFFECTIVE_AUDIT
NAG,05_military_formations_india.txt,NagpurArmy,region_north_india,16,16,12,12,28,NO,PASS,STATIC_EFFECTIVE_AUDIT
MYS,05_military_formations_india.txt,cleanup2d3b_mys_land_2,region_south_india,16,16,10,10,26,NO,PASS,STATIC_EFFECTIVE_AUDIT
MYS,05_military_formations_india.txt,cleanup2d3b_mys_land_1,region_south_india,16,16,0,0,16,NO,PASS,STATIC_EFFECTIVE_AUDIT
COO,05_military_formations_india.txt,CoochBeharArmy,region_north_india,2,2,0,0,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
GAR,05_military_formations_india.txt,GarhwalArmy,region_north_india,2,2,0,0,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
SAT,05_military_formations_india.txt,SataraArmy,region_south_india,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
KHP,05_military_formations_india.txt,KolhapurArmy,region_south_india,4,4,1,1,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
KNO,05_military_formations_india.txt,KurnoolArmy,region_south_india,5,5,2,2,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
BHV,05_military_formations_india.txt,BhavnagarArmy,region_north_india,3,3,4,4,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
PUD,05_military_formations_india.txt,PudukottaiArmy,region_south_india,2,2,3,3,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
JEY,05_military_formations_india.txt,JeyporeArmy,region_south_india,3,3,0,0,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
COC,05_military_formations_india.txt,CochinArmy,region_south_india,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
TRA,05_military_formations_india.txt,TravancoreArmy,region_south_india,7,7,2,2,9,NO,PASS,STATIC_EFFECTIVE_AUDIT
SIN,05_military_formations_india.txt,SindhArmy,region_north_india,17,17,12,12,29,NO,PASS,STATIC_EFFECTIVE_AUDIT
MUG,05_military_formations_india.txt,MughalArmy,region_north_india,2,2,3,3,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHI,06_military_formations_asia.txt,cleanup2d3b_chi_land_1,region_north_china,37,37,150,150,187,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHI,06_military_formations_asia.txt,cleanup2d3b_chi_land_2,region_north_china,37,37,0,0,37,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHI,06_military_formations_asia.txt,cleanup2d3b_chi_land_3,region_northeast_asia,37,37,0,0,37,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHI,06_military_formations_asia.txt,cleanup2d3b_chi_land_4,region_south_china,37,37,0,0,37,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHI,06_military_formations_asia.txt,cleanup2d3b_chi_land_5,region_north_china,36,36,0,0,36,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHI,06_military_formations_asia.txt,cleanup2d3b_chi_land_6,region_south_china,36,36,0,0,36,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHI,06_military_formations_asia.txt,cleanup2d3b_chi_land_7,region_south_china,35,35,0,0,35,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHI,06_military_formations_asia.txt,cleanup2d3b_chi_land_8,region_south_china,35,35,0,0,35,NO,PASS,STATIC_EFFECTIVE_AUDIT
DEI,06_military_formations_asia.txt,Koninklijk_Nederlandsch_Indisch_Leger,region_indonesia,12,12,18,18,30,NO,PASS,STATIC_EFFECTIVE_AUDIT
BUR,06_military_formations_asia.txt,tatmadaw,region_indochina,30,30,36,36,66,NO,PASS,STATIC_EFFECTIVE_AUDIT
PHI,06_military_formations_asia.txt,ejercito_de_filipinas,region_indonesia,7,7,0,0,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
JAP,06_military_formations_asia.txt,Edo_Guard_Army,region_northeast_asia,21,21,70,70,91,NO,PASS,STATIC_EFFECTIVE_AUDIT
JAP,06_military_formations_asia.txt,Kinai_Guard_Army,region_northeast_asia,21,21,0,0,21,NO,PASS,STATIC_EFFECTIVE_AUDIT
ACE,06_military_formations_asia.txt,cleanup2d3b_ace_land_1,region_indonesia,2,2,2,2,4,NO,PASS,STATIC_EFFECTIVE_AUDIT
BAL,06_military_formations_asia.txt,cleanup2d3b_bal_land_1,region_indonesia,4,4,8,8,12,NO,PASS,STATIC_EFFECTIVE_AUDIT
BLG,06_military_formations_asia.txt,cleanup2d3b_blg_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
BNJ,06_military_formations_asia.txt,cleanup2d3b_bnj_land_1,region_indonesia,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
BRU,06_military_formations_asia.txt,cleanup2d3b_bru_land_1,region_indonesia,1,1,1,1,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
BTN,06_military_formations_asia.txt,cleanup2d3b_btn_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
CAM,06_military_formations_asia.txt,cleanup2d3b_cam_land_1,region_indochina,6,6,7,7,13,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHP,06_military_formations_asia.txt,cleanup2d3b_chp_land_1,region_indochina,1,1,1,1,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
CMI,06_military_formations_asia.txt,cleanup2d3b_cmi_land_1,region_indochina,4,4,8,8,12,NO,PASS,STATIC_EFFECTIVE_AUDIT
JMB,06_military_formations_asia.txt,cleanup2d3b_jmb_land_1,region_indonesia,2,2,0,0,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
JOH,06_military_formations_asia.txt,cleanup2d3b_joh_land_1,region_indochina,2,2,3,3,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
KTI,06_military_formations_asia.txt,cleanup2d3b_kti_land_1,region_indonesia,1,1,1,1,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
LAN,06_military_formations_asia.txt,cleanup2d3b_lan_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
LUA,06_military_formations_asia.txt,cleanup2d3b_lua_land_1,region_indochina,3,3,3,3,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
MGD,06_military_formations_asia.txt,cleanup2d3b_mgd_land_1,region_indonesia,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
PON,06_military_formations_asia.txt,cleanup2d3b_pon_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
PRK,06_military_formations_asia.txt,cleanup2d3b_prk_land_1,region_indochina,2,2,0,0,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
SAK,06_military_formations_asia.txt,cleanup2d3b_sak_land_1,region_indonesia,2,2,2,2,4,NO,PASS,STATIC_EFFECTIVE_AUDIT
SEL,06_military_formations_asia.txt,cleanup2d3b_sel_land_1,region_indochina,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
SIA,06_military_formations_asia.txt,cleanup2d3b_sia_land_1,region_indochina,18,18,34,34,52,NO,PASS,STATIC_EFFECTIVE_AUDIT
SMB,06_military_formations_asia.txt,cleanup2d3b_smb_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
SRK,06_military_formations_asia.txt,cleanup2d3b_srk_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
STG,06_military_formations_asia.txt,cleanup2d3b_stg_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
SUL,06_military_formations_asia.txt,cleanup2d3b_sul_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
TID,06_military_formations_asia.txt,cleanup2d3b_tid_land_1,region_indonesia,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
YOG,06_military_formations_asia.txt,cleanup2d3b_yog_land_1,region_indonesia,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
AGC,07_military_formations_subsaharan_africa.txt,army_of_angoche,region_east_africa,4,4,0,0,4,NO,PASS,STATIC_EFFECTIVE_AUDIT
