Research_Region,Owner_TAG,Country,State_ID,State_Name,Coverage_Status,Historical_Assessment,Sources,Notes
R8_NORTH_AMERICA_CARIBBEAN,ARP,Arapaho,STATE_WYOMING,Wyoming,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R6_SOUTHEAST_ASIA_OCEANIA,ARR,Arrernte,STATE_NORTHERN_TERRITORY,Northern Territory,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R6_SOUTHEAST_ASIA_OCEANIA,ARR,Arrernte,STATE_QUEENSLAND,Queensland,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R7_SUBSAHARAN_AFRICA,ASH,Ashanti,STATE_TOGO,Togo,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_WEST_AFRICAN_CONTEXT_INSUFFICIENT_FOR_EXACT_OWNER_STATE_POSITIVE | Coverage confidence=LOW,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/gold-assortments-and-the-trade-ounce-fante-merchants-and-the-problem-of-supply-and-demand-in-the-1770s/7BAE1078545429A48B2865011F599D2A; https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R8_NORTH_AMERICA_CARIBBEAN,ATB,Athabaska,STATE_ALASKA,Alaska,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R8_NORTH_AMERICA_CARIBBEAN,ATB,Athabaska,STATE_BRITISH_COLUMBIA,Northern Columbia,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R5_EAST_ASIA,ATB,Athabaska,STATE_CHUKOTKA,Chukotka,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_18C_SIBERIAN_TRADE_CONTEXT | Coverage confidence=MEDIUM,https://www.cambridge.org/core/books/abs/conquest-of-siberia/chap-x/B7711F17740F52E332CB356D36EDABAA; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R8_NORTH_AMERICA_CARIBBEAN,ATB,Athabaska,STATE_NORTHWEST_TERRITORIES,Northwest Territories,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R8_NORTH_AMERICA_CARIBBEAN,ATB,Athabaska,STATE_NUNAVUT,Nunavut,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R8_NORTH_AMERICA_CARIBBEAN,ATB,Athabaska,STATE_OREGON,Oregon,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R8_NORTH_AMERICA_CARIBBEAN,ATB,Athabaska,STATE_WASHINGTON,Southern Columbia,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R8_NORTH_AMERICA_CARIBBEAN,ATB,Athabaska,STATE_YUKON_TERRITORY,Yukon Territory,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R7_SUBSAHARAN_AFRICA,AUL,Aulihan,STATE_KENYA,Kenya,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_OR_DIRECT_EAST_AFRICA_CONTEXT | Coverage confidence=MEDIUM,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html; https://www.cambridge.org/core/books/abs/beyond-chiefdoms/invisible-roots-of-bunyorokitara-and-buganda-in-the-lakes-region-ad-8001300/76A51E54A44465D2657D4C8874235DF3; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,AUS,Austria,STATE_EAST_SWITZERLAND,East Switzerland,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | AGGREGATE_OLD_COVERAGE_PLUS_SUPPLEMENTAL_NEGATIVE_REVIEW | Coverage confidence=MEDIUM,SUPPLIED_FILE:BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md; BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Central audit states 73 active Owner/State covered but names only 67 positive pairs; this is one of six technically reconstructed zero-positive candidates and is not promoted to covered without explicit per-pair evidence. | Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R7_SUBSAHARAN_AFRICA,AYI,Anyi,STATE_IVORY_COAST,Ivory Coast,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_WEST_AFRICAN_CONTEXT_INSUFFICIENT_FOR_EXACT_OWNER_STATE_POSITIVE | Coverage confidence=LOW,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/gold-assortments-and-the-trade-ounce-fante-merchants-and-the-problem-of-supply-and-demand-in-the-1770s/7BAE1078545429A48B2865011F599D2A; https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R7_SUBSAHARAN_AFRICA,BEN,Benin,STATE_BENIN,Benin,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_WEST_AFRICAN_CONTEXT_INSUFFICIENT_FOR_EXACT_OWNER_STATE_POSITIVE | Coverage confidence=LOW,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/gold-assortments-and-the-trade-ounce-fante-merchants-and-the-problem-of-supply-and-demand-in-the-1770s/7BAE1078545429A48B2865011F599D2A; https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,BEO,Belgium,STATE_GELRE,Gelre,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R7_SUBSAHARAN_AFRICA,BGI,Bagirmi,STATE_WADDAI,Waddai,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_17_18C_TRADE_FRAMEWORK | Coverage confidence=MEDIUM,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,BHN,Bahrain,STATE_LARISTAN,Hormuz,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_R3_OWNER_STATE_COVERAGE.csv,Explicitly audited with zero positive building recommendation.
R4_SOUTH_ASIA,BIC,East India,STATE_BUNDELKHAND,Bundelkhand,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_SOUTH_ASIA_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R4_SOUTH_ASIA,BIC,East India,STATE_PEGU,Pegu,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_BURMA_CONTEXT_INSUFFICIENT_FOR_EXACT_OWNER_SLICE | Coverage confidence=MEDIUM,https://www.cambridge.org/core/books/abs/myanmars-external-trade/historical-perspective-of-myanmars-external-trade/B7C9E12116CC024846ECCC4E5DA85EC7; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R6_SOUTHEAST_ASIA_OCEANIA,BLA,Bilua,STATE_SOLOMON_ISLANDS,Solomon Islands,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R7_SUBSAHARAN_AFRICA,BLE,Baule,STATE_IVORY_COAST,Ivory Coast,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_WEST_AFRICAN_CONTEXT_INSUFFICIENT_FOR_EXACT_OWNER_STATE_POSITIVE | Coverage confidence=LOW,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/gold-assortments-and-the-trade-ounce-fante-merchants-and-the-problem-of-supply-and-demand-in-the-1770s/7BAE1078545429A48B2865011F599D2A; https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R7_SUBSAHARAN_AFRICA,BLE,Baule,STATE_WINDWARD_COAST,Windward Coast,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_WEST_AFRICAN_CONTEXT_INSUFFICIENT_FOR_EXACT_OWNER_STATE_POSITIVE | Coverage confidence=LOW,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/gold-assortments-and-the-trade-ounce-fante-merchants-and-the-problem-of-supply-and-demand-in-the-1770s/7BAE1078545429A48B2865011F599D2A; https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R8_NORTH_AMERICA_CARIBBEAN,BLF,Niitsitapi,STATE_ALBERTA,Alberta,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R8_NORTH_AMERICA_CARIBBEAN,BLF,Niitsitapi,STATE_MONTANA,Montana,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R6_SOUTHEAST_ASIA_OCEANIA,BLG,Bulungan,STATE_EAST_BORNEO,East Borneo,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R6_SOUTHEAST_ASIA_OCEANIA,BLG,Bulungan,STATE_NORTH_BORNEO,North Borneo,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R7_SUBSAHARAN_AFRICA,BMB,Bemba,STATE_KAZEMBE,Kazembe,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_OR_DIRECT_18C_CENTRAL_AFRICA_CONTEXT | Coverage confidence=MEDIUM,https://www.metmuseum.org/fr/essays/kingdoms-of-the-savanna-the-luba-and-lunda-empires; https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/en-afrique-portugaise-langola-au-xviiie-siecle/F08953C4BB15740565FE8E7246F3719B; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R7_SUBSAHARAN_AFRICA,BMB,Bemba,STATE_ZAMBIA,Zambia,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_OR_DIRECT_MID_18C_MOZAMBIQUE_CONTEXT | Coverage confidence=MEDIUM,https://www.cambridge.org/core/books/abs/inbetween-textiles-14001800/african-cotton-cultural-and-economic-resistance-in-mozambique-in-the-mideighteenth-century/B38977C8386AC25234A7C547619AD249; https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R7_SUBSAHARAN_AFRICA,BMM,Bamum,STATE_NORTH_CAMEROON,North Cameroon,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_17_18C_TRADE_FRAMEWORK | Coverage confidence=MEDIUM,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R7_SUBSAHARAN_AFRICA,BND,Bundu,STATE_SENEGAL,Senegal,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | DIRECT_18C_SENEGAMBIA_TRADE_CONTEXT | Coverage confidence=HIGH,https://www.cambridge.org/core/journals/business-history-review/article/profiting-from-slavery-and-emancipation-compensation-capital-and-collateral-in-nineteenthcentury-senegal/38D33F25A28A82A5B9ACD2A6BD163F16; https://www.cambridge.org/core/journals/journal-of-african-history/article/trade-in-gum-arabic-prelude-to-french-conquest-in-senegal/E67D08D996CD80665BF32B023E17E2C8; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R7_SUBSAHARAN_AFRICA,BNG,Bangala,STATE_EQUATEUR,Equateur,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_OR_DIRECT_18C_CENTRAL_AFRICA_CONTEXT | Coverage confidence=MEDIUM,https://www.metmuseum.org/fr/essays/kingdoms-of-the-savanna-the-luba-and-lunda-empires; https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/en-afrique-portugaise-langola-au-xviiie-siecle/F08953C4BB15740565FE8E7246F3719B; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R8_NORTH_AMERICA_CARIBBEAN,BNN,Pannakwati,STATE_IDAHO,Idaho,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R8_NORTH_AMERICA_CARIBBEAN,BNN,Pannakwati,STATE_NEVADA,Nevada,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R8_NORTH_AMERICA_CARIBBEAN,BNN,Pannakwati,STATE_WYOMING,Wyoming,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation.,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md,Explicitly audited with zero positive building recommendation.
R7_SUBSAHARAN_AFRICA,BOB,Bobangi,STATE_CONGO,Congo,COVERED_ZERO_POSITIVE,Explicitly audited with no final positive manual building recommendation. | REGIONAL_OR_DIRECT_18C_CENTRAL_AFRICA_CONTEXT | Coverage confidence=MEDIUM,https://www.metmuseum.org/fr/essays/kingdoms-of-the-savanna-the-luba-and-lunda-empires; https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/en-afrique-portugaise-langola-au-xviiie-siecle/F08953C4BB15740565FE8E7246F3719B; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,"Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE. | Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
