State_ID,State_Name,Historical_Province_or_Rule,Population_Before,Population_1776_Target,Delta,Scale,Method,Evidence
STATE_GUANGDONG,Western Guangdong,Guangdong,8697317,8697317,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_GUANGXI,Guangxi,Guangxi,5380000,5380000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_GUIZHOU,Guizhou,Guizhou,5000000,5000000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_HENAN,Henan,Henan,19860000,19860000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_HINGGAN,Inner Mongolia,Inner Mongolia supplement,800000,800000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_HUNAN,Hunan,Hunan,14990000,14990000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_JETISY,Ili,Frontier retained from existing 1776 setup,133642,133642,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_JIANGSU,Jiangsu,Jiangsu,7958356,7958356,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_JIANGXI,Jiangxi,Jiangxi,16850000,16850000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_KIRGHIZIA,Kirghizia,Frontier retained from existing 1776 setup,88252,88252,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_NANJING,Nanjing,Jiangsu,8058744,8058744,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_NINGXIA,Ningxia,Gansu,8716345,8716345,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_NORTHERN_ANHUI,Northern Anhui,Anhui,8776132,8776132,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_NORTHERN_MANCHURIA,Southern Heilongjiang,Jilin,20623,20623,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_OUTER_MANCHURIA,Northern Jilin,Jilin,508,508,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_QINGHAI,Qinghai,Qinghai supplement,800000,800000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_SHANDONG,Shandong,Shandong,21500000,21500000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_SHANXI,Shanxi,Shanxi,12500000,12500000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_SHAOZHOU,Eastern Guangdong,Guangdong,6122683,6122683,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_SHENGJING,Shengjing,Fengtian,770000,770000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_SICHUAN,Sichuan,Sichuan,3199426,3199426,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_SOUTHERN_ANHUI,Southern Anhui,Anhui,18793868,18793868,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_SOUTHERN_MANCHURIA,Southern Jilin,Jilin,58869,58869,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_SUZHOU,Suzhou,Jiangsu,12792900,12792900,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_TIANSHAN,Tarim Basin,Frontier retained from existing 1776 setup,370200,370200,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_TUVA,Tuva,Frontier retained from existing 1776 setup,49000,49000,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_ULIASTAI,Uliastai,Frontier retained from existing 1776 setup,283623,283623,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_URGA,Urga,Frontier retained from existing 1776 setup,340996,340996,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_WESTERN_HUBEI,Western Hubei,Hubei,7305858,7305858,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_XIAN,Xi’an,Shaanxi,8190000,8190000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_YUNNAN,Yunnan,Yunnan,3100000,3100000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_ZHEJIANG,Zhejiang,Zhejiang,19370000,19370000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_ZHILI,Hebei,Zhili,7432780,7432780,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
