Owner_TAG,Owner_Name,State_ID,State_Display_Name,Building_ID,Building_Name,Category,Recommended_Level,Confidence,Tech_Distribution_Review,Technology_Gate_or_Review,ROAD_LEVEL_JUSTIFICATION,CANAL_LEVEL_JUSTIFICATION,Rail_PM_1776,Reason,Source_1,Source_2,Research_Note
AIR,Kel Air,STATE_NIGER,Niger,building_millet_farm,Millet Farms,AGRICULTURE_COMMERCIAL,1,MEDIUM,NO,improved_husbandry,,,,Oasis/Sahel agriculture supports a small millet level where settled cultivation exists.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,,
AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,1,MEDIUM,NO,improved_husbandry,,,,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,,
AIT,Ait Abbas,STATE_CONSTANTINE,Constantine,building_textile_mill,Textile Manufacture,MANUFACTURING,1,LOW,NO,organized_textile_production,,,,Urban or putting-out textile manufacture is documented at a scale above household-only production; this is pre-mechanized manufacture.,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,,
AJJ,Kel Ajjer,STATE_EAST_SAHARA,East Sahara,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
AJJ,Kel Ajjer,STATE_LIBYAN_DESERT,Fezzan,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
AJJ,Kel Ajjer,STATE_NIGER,Niger,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,MEDIUM,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.iranicaonline.org/articles/commerce-vi/,,
ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_rice_farm,Rice Farms,AGRICULTURE_COMMERCIAL,1,MEDIUM,NO,improved_husbandry,,,,Khuzestan’s riverine lowlands support one conservative rice level.,https://www.iranicaonline.org/articles/commerce-vi/,,
ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,1,MEDIUM,NO,improved_husbandry,,,,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.iranicaonline.org/articles/commerce-vi/,,
ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_railway,Regional Infrastructure,INFRASTRUCTURE,1,HIGH,NO,,One road level linking Khuzestan to Mesopotamia and interior Persia.,No transport-canal level recommended.,pm_no_rail_network,"A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted.",https://www.iranicaonline.org/articles/caravansary/,,
ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_cotton_plantation,Cotton Plantations,PLANTATION,1,MEDIUM,NO,,,,,Cotton production in Khuzestan is historically longstanding and tied to textile markets.,https://www.iranicaonline.org/articles/commerce-vi/,,
ARB,Arabistan,STATE_KHUZESTAN,Arabistan,building_port,Port,PORT,1,MEDIUM,YES,enclosed_dock_systems,,,,The lower Karun/Shatt al-Arab zone had Gulf shipping access; one modest port level.,https://www.iranicaonline.org/articles/commerce-vi/,,
ATR,Kel Ataram,STATE_TIMBUKTU,Timbuktu,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,MEDIUM,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
BHN,Bahrain,STATE_ABU_DHABI,Trucial Coast,building_fishing_wharf,Fishing Wharves,RESOURCE_EXTRACTION,1,HIGH,YES,marine_chronometry,,,,Pearling/fishing formed a core Gulf coastal economy; fishing wharf is the closest historical building representation.,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,,
BHN,Bahrain,STATE_ABU_DHABI,Trucial Coast,building_trade_center,Trade Center,TRADE_CENTER,1,MEDIUM,NO,,,,,Bahraini/Gulf merchant networks and pearling trade justify one conservative trade seed in the Bahrain-controlled coastal partition.,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,,
BHU,Bhutan,STATE_EASTERN_HIMALAYAS,Eastern Himalayas,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Highland pastoralism supports one conservative commercial ranch level.,https://www.cambridge.org/core/books/abs/narratives-of-the-mission-of-george-bogle-to-tibet/trade-of-tibet/9B11E89C4A170CD2B4DB5544656947DF,,
BHU,Bhutan,STATE_EASTERN_HIMALAYAS,Eastern Himalayas,building_millet_farm,Millet Farms,AGRICULTURE_COMMERCIAL,1,MEDIUM,NO,improved_husbandry,,,,Hill agriculture supports one conservative millet level.,https://www.cambridge.org/core/books/abs/narratives-of-the-mission-of-george-bogle-to-tibet/trade-of-tibet/9B11E89C4A170CD2B4DB5544656947DF,,
BOR,Bornu,STATE_CHAD,Chad,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
BOR,Bornu,STATE_CHAD,Chad,building_millet_farm,Millet Farms,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Bornu’s settled economy depended on grain agriculture around the Lake Chad basin.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
BOR,Bornu,STATE_CHAD,Chad,building_railway,Regional Infrastructure,INFRASTRUCTURE,1,MEDIUM,NO,,One caravan-road level.,No canal level recommended.,pm_no_rail_network,"A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted.",https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
BOR,Bornu,STATE_CHAD,Chad,building_textile_mill,Textile Manufacture,MANUFACTURING,1,MEDIUM,NO,organized_textile_production,,,,Cloth and leather were important regional commodities; one textile level is conservative.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
BOR,Bornu,STATE_CHAD,Chad,building_trade_center,Trade Center,TRADE_CENTER,1,HIGH,NO,,,,,Bornu was integrated into long-standing trans-Saharan commerce with Tripoli/Fezzan and regional markets.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
BRK,Brakna,STATE_MAURITANIA,Mauritania,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/fortunes-commerciales-a-shingiti-adrar-mauritanien-au-dixneuvieme-siecle/11CB84108760623CA588046FACE1B916,,
BUK,Bukhara,STATE_TAJIKISTAN,Tajikistan,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_TAJIKISTAN,Tajikistan,building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_TAJIKISTAN,Tajikistan,building_railway,Regional Infrastructure,INFRASTRUCTURE,1,HIGH,NO,,One oasis/caravan road level.,No transport-canal level recommended.,pm_no_rail_network,"A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted.",https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_TAJIKISTAN,Tajikistan,building_textile_mill,Textile Manufacture,MANUFACTURING,1,HIGH,NO,organized_textile_production,,,,Urban or putting-out textile manufacture is documented at a scale above household-only production; this is pre-mechanized manufacture.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_TAJIKISTAN,Tajikistan,building_silk_plantation,Silk Plantations,PLANTATION,1,MEDIUM,NO,improved_husbandry,,,,Silk and irrigated agriculture were widespread in the oasis economy.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_government_administration,Government Administration,ADMINISTRATION,1,HIGH,NO,systematic_administrative_statistics,,,,Bukhara was the khanate capital and an established administrative center.,https://www.iranicaonline.org/articles/central-asia-vii/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_university,University,EDUCATION,1,HIGH,YES,specialized_technical_academies,,,,Bukhara’s major madrasa complex represents longstanding higher learning; technology-gate mismatch should be reviewed rather than deleting the building.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_railway,Regional Infrastructure,INFRASTRUCTURE,2,HIGH,NO,,Two road-network levels.,No engineered transport-canal level recommended; irrigation canals are not automatically transport canals.,pm_no_rail_network,Bukhara lay at the center of irrigated oasis and caravan networks.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_food_industry,Food Industries,MANUFACTURING,1,HIGH,YES,traditional_food_processing,,,,"Urban milling, baking, oil/sugar or other food-processing trades are documented at a scale above household subsistence.",https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_glassworks,Glassworks,MANUFACTURING,1,MEDIUM,YES,GATE_NOT_IN_TECH_AUDIT_INDEX:organized_workshops,,,,Ceramic and glass making were part of the urban craft economy; one level only.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_paper_mill,Paper Mills,MANUFACTURING,1,HIGH,YES,traditional_papermaking,,,,Paper was an established Central Asian export/manufacture; one level represents organized traditional production.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_textile_mill,Textile Manufacture,MANUFACTURING,2,HIGH,NO,organized_textile_production,,,,"Bukhara was noted for textiles including brocade, satin and other specialized fabrics.",https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_tooling_workshop,Tooling Workshops,MANUFACTURING,1,HIGH,YES,GATE_NOT_IN_TECH_AUDIT_INDEX:organized_workshops,,,,"Metalworking, foundry, carpentry and tool trades are explicitly documented among Bukhara’s specialized crafts.",https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_cotton_plantation,Cotton Plantations,PLANTATION,2,HIGH,NO,,,,,Cotton was a major basis of Bukhara’s textile economy.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_silk_plantation,Silk Plantations,PLANTATION,1,HIGH,NO,improved_husbandry,,,,Silk production and trade were established components of the oasis economy.,https://www.iranicaonline.org/articles/central-asia-xi/,,
BUK,Bukhara,STATE_UZBEKIA,Uzbekia,building_trade_center,Trade Center,TRADE_CENTER,1,HIGH,NO,,,,,Bukhara had commercial infrastructure supporting long-distance trade and warehouse/caravanserai property.,https://www.iranicaonline.org/articles/central-asia-xi/,,
CAUC,Caucuses,STATE_DAGESTAN,Dagestan,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,YES,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CAUC,Caucuses,STATE_DAGESTAN,Dagestan,building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,1,LOW,YES,improved_husbandry,,,,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CAUC,Caucuses,STATE_DAGESTAN,Dagestan,building_tooling_workshop,Tooling Workshops,MANUFACTURING,1,LOW,YES,GATE_NOT_IN_TECH_AUDIT_INDEX:organized_workshops,,,,Local metal/arms crafts are documented for the Caucasus; tooling is safer than assuming a standardized arms industry.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CAUC,Caucuses,STATE_GREATER_CAUCASUS,Tiflis,building_vineyard,Vineyards,AGRICULTURE_COMMERCIAL,1,HIGH,YES,improved_husbandry,,,,Georgian viticulture was a longstanding commercial and cultural activity.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CAUC,Caucuses,STATE_GREATER_CAUCASUS,Tiflis,building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,1,MEDIUM,YES,improved_husbandry,,,,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CAUC,Caucuses,STATE_GREATER_CAUCASUS,Tiflis,building_railway,Regional Infrastructure,INFRASTRUCTURE,1,HIGH,NO,,One Caucasian road/trade level.,No canal level recommended.,pm_no_rail_network,"A durable inter-urban caravan, pilgrimage, military or administrative corridor justifies one pre-rail regional infrastructure level; no railway PM is permitted.",https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CAUC,Caucuses,STATE_GREATER_CAUCASUS,Tiflis,building_textile_mill,Textile Manufacture,MANUFACTURING,1,MEDIUM,YES,organized_textile_production,,,,Urban or putting-out textile manufacture is documented at a scale above household-only production; this is pre-mechanized manufacture.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CAUC,Caucuses,STATE_GREATER_CAUCASUS,Tiflis,building_tooling_workshop,Tooling Workshops,MANUFACTURING,1,HIGH,YES,GATE_NOT_IN_TECH_AUDIT_INDEX:organized_workshops,,,,Late-eighteenth-century Tiflis had hundreds of craftsman shops; one tooling-workshop level is conservative.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CAUC,Caucuses,STATE_GREATER_CAUCASUS,Tiflis,building_trade_center,Trade Center,TRADE_CENTER,1,HIGH,NO,,,,,Tiflis had a dense merchant/craftsman urban economy and functioned as a Caucasian trade hub.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CHC,Chechnya,STATE_DAGESTAN,Dagestan,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CHC,Chechnya,STATE_DAGESTAN,Dagestan,building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,1,LOW,NO,improved_husbandry,,,,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CHC,Chechnya,STATE_DAGESTAN,Dagestan,building_tooling_workshop,Tooling Workshops,MANUFACTURING,1,LOW,YES,GATE_NOT_IN_TECH_AUDIT_INDEX:organized_workshops,,,,Local metal/arms crafts are documented for the Caucasus; tooling is safer than assuming a standardized arms industry.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CHI,China,STATE_KIRGHIZIA,Kirghizia,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,2,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.iranicaonline.org/articles/central-asia-xi/,,
CIR,Circassia,STATE_KUBAN,Kuban,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,2,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CIR,Circassia,STATE_KUBAN,Kuban,building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,1,MEDIUM,NO,improved_husbandry,,,,Cereal agriculture is a substantial market-oriented component of the regional economy; one conservative commercial-farm level represents surplus beyond subsistence.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CIR,Circassia,STATE_KUBAN,Kuban,building_textile_mill,Textile Manufacture,MANUFACTURING,1,LOW,NO,organized_textile_production,,,,Wool/felt and household-market textile crafts justify one low-confidence level.,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,
CMB,Chaamba,STATE_EAST_SAHARA,East Sahara,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
CMB,Chaamba,STATE_SAHARA,Sahara,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,
CON,Constantine,STATE_CONSTANTINE,Constantine,building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,1,HIGH,NO,improved_husbandry,,,,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,,
