Building_ID,Building_Name,Category,Relevant_For_1776_Start_Research,Reviewed_Against_R3,Positive_Owner_State_Count,Total_Recommended_Levels,Tech_Distribution_Review_Count,Assessment
building_livestock_ranch,Livestock Ranches,AGRICULTURE_COMMERCIAL,YES_TECH_DISTRIBUTION_REVIEW,YES,120,130,1,POSITIVE_CASES
building_logging_camp,Logging Camps,RESOURCE_EXTRACTION,YES,YES,2,3,0,POSITIVE_CASES
building_machu_picchu,Machu Picchu,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_maize_farm,Maize Farms,AGRICULTURE_COMMERCIAL,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_manila_cathedral_original,Manila Cathedral,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_martandsuntemple,Martand Sun Temple,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_millet_farm,Millet Farms,AGRICULTURE_COMMERCIAL,YES_TECH_DISTRIBUTION_REVIEW,YES,16,20,0,POSITIVE_CASES
building_naval_administration,Naval Administration,MILITARY,YES_TECH_DISTRIBUTION_REVIEW,YES,2,2,2,POSITIVE_CASES
building_naval_fortification,Naval Fortification,MILITARY,YES_TECH_DISTRIBUTION_REVIEW,YES,5,5,5,POSITIVE_CASES
building_observatorygreenwich,Royal Observatory Greenwich,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_opium_plantation,Opium Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_palazzo_san_giorgio,Palazzo San Giorgio,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_paper_mill,Paper Mills,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,1,1,1,POSITIVE_CASES
building_pena_convent,Pena Convent,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_petra,Petra,OTHER,YES,YES,1,1,0,POSITIVE_CASES
building_phosphate_mine,Phosphate Mine,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_port,Port,PORT,YES_TECH_DISTRIBUTION_REVIEW,YES,28,35,28,POSITIVE_CASES
building_railway,Regional Infrastructure,INFRASTRUCTURE,YES_ROADS_CANALS_ONLY_NO_RAIL,YES,72,85,0,POSITIVE_CASES
building_rialto_commercial_complex,Rialto Commercial Complex,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_rice_farm,Rice Farms,AGRICULTURE_COMMERCIAL,YES_TECH_DISTRIBUTION_REVIEW,YES,4,6,0,POSITIVE_CASES
building_rye_farm,Rye Farms,AGRICULTURE_COMMERCIAL,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_saint_basils_cathedral,Saint Basil’s Cathedral,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_salt_mine,Salt Mines,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,2,2,1,POSITIVE_CASES
building_salt_pan,Salt Works,RESOURCE_EXTRACTION,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_shipyard,Shipyards,SHIPBUILDING,YES_TECH_DISTRIBUTION_REVIEW,YES,11,11,10,POSITIVE_CASES
building_silk_plantation,Silk Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,5,8,0,POSITIVE_CASES
building_spice_plantation,Spice Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_steel_mill,Steel Mills,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_sugar_plantation,Sugar Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,3,3,0,POSITIVE_CASES
building_sulfur_mine,Sulfur Mines,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_taj_mahal,Taj Mahal,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_tea_plantation,Tea Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_temple_of_poseidon,Temple of Poseidon,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_textile_mill,Textile Manufacture,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,48,55,3,POSITIVE_CASES
building_tobacco_plantation,Tobacco Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_tooling_workshop,Tooling Workshops,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,9,9,9,POSITIVE_CASES
building_trade_center,Trade Center,TRADE_CENTER,YES_CASE_BY_CASE_TRADE_SEED,YES,33,33,0,POSITIVE_CASES
building_university,University,EDUCATION,YES_TECH_DISTRIBUTION_REVIEW,YES,5,5,4,POSITIVE_CASES
building_vatican_city,Vatican City,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_vineyard,Vineyards,AGRICULTURE_COMMERCIAL,YES_TECH_DISTRIBUTION_REVIEW,YES,7,7,1,POSITIVE_CASES
building_wat_arun,Wat Arun,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_whaling_station,Whaling Stations,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_wheat_farm,Wheat Farms,AGRICULTURE_COMMERCIAL,YES_TECH_DISTRIBUTION_REVIEW,YES,47,52,2,POSITIVE_CASES
