Research_Region,Owner_TAG,Owner_Name,State_ID,State_Name,Excluded_Serenissima,Research_Status,Research_Files,Positive_Row_Count,Multi_Researched,Conflict_Present,Needs_Supplement,Notes
R1_WESTERN_EUROPE,TUR,Turkey,STATE_ATTICA,Attica,NO,COVERED_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv; BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv,1,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_POSITIVE.
R1_WESTERN_EUROPE,AUS,Austria,STATE_AUSTRIA,Austria,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,7,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_AUVERGNE_LIMOUSIN,Auvergne-Limousin,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,3,NO,NO,NO,
R1_WESTERN_EUROPE,POR,Portugal,STATE_AZORES,Azores,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,5,NO,NO,NO,
R1_WESTERN_EUROPE,BAD,Baden,STATE_BADEN,Baden,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_BALEARIC_ISLANDS,Balearic Islands,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,2,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_BALEARIC_ISLANDS,Balearic Islands,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_BASQUE_COUNTRY,Basque Country,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,7,NO,NO,NO,
R1_WESTERN_EUROPE,BAV,Bavaria,STATE_BAVARIA,Bavaria,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,4,NO,NO,NO,
R1_WESTERN_EUROPE,POR,Portugal,STATE_BEIRA,Beira,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,7,NO,NO,NO,
R1_WESTERN_EUROPE,AUS,Austria,STATE_BOHEMIA,Bohemia,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,5,NO,NO,NO,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_BOSNIA,Bosnia,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,PRU,Prussia,STATE_BRANDENBURG,Brandenburg,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,7,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_BRITTANY,Brittany,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,9,NO,NO,NO,
R1_WESTERN_EUROPE,BRA,Brunswick,STATE_BRUNSWICK,Brunswick,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,3,NO,NO,NO,
R1_WESTERN_EUROPE,HAN,Hanover,STATE_BRUNSWICK,Brunswick,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,3,NO,NO,NO,
R1_WESTERN_EUROPE,PRU,Prussia,STATE_BRUNSWICK,Brunswick,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Central audit states 73 active Owner/State covered but names only 67 positive pairs; this is one of six technically reconstructed zero-positive candidates and is not promoted to covered without explicit per-pair evidence. | Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_BULGARIA,Bulgaria,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,FRA,France,STATE_BURGUNDY,Burgundy,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,3,NO,NO,NO,
R1_WESTERN_EUROPE,SIC,Two Sicilies,STATE_CALABRIA,Calabria,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,SIC,Two Sicilies,STATE_CAMPANIA,Campania,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,12,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_CANARY_ISLANDS,Canary Islands,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,POR,Portugal,STATE_CAPE_VERDE,Cape Verde,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,3,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_CATALONIA,Catalonia,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,10,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_CHAMPAGNE,Champagne,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,2,NO,NO,NO,
R1_WESTERN_EUROPE,IREK,Kingdom of Ireland,STATE_CONNAUGHT,Connaught,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,2,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_CORSICA,Corsica,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_CRETE,Crete,NO,COVERED_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv; BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv,1,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_POSITIVE.
R1_WESTERN_EUROPE,AUS,Austria,STATE_CROATIA,Croatia,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
EXCLUDED_SERENISSIMA,VEN,Venice,STATE_DALMATIA,Dalmatia,YES,EXCLUDED_SERENISSIMA,,0,NO,NO,NO,Canonical Serenissima exclusion; never counted as a research gap.
R1_WESTERN_EUROPE,RUS,Russia,STATE_DOBRUDJA,Dobrudja,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_DOBRUDJA,Dobrudja,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,DENNOR,Denmark-Norway,STATE_EASTERN_NORWAY,Eastern Norway,NO,COVERED_POSITIVE,BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv;BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RESEARCH.md,5,NO,NO,NO,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EASTERN_SERBIA,Eastern Serbia,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EASTERN_THRACE,Eastern Thrace,NO,COVERED_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv; BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv,2,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_POSITIVE.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EAST_AEGEAN_ISLANDS,East Aegean Islands,NO,COVERED_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv; BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv,1,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_POSITIVE.
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_EAST_ANGLIA,East Anglia,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,AUS,Austria,STATE_EAST_SWITZERLAND,East Switzerland,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Central audit states 73 active Owner/State covered but names only 67 positive pairs; this is one of six technically reconstructed zero-positive candidates and is not promoted to covered without explicit per-pair evidence. | Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,SWI,Switzerland,STATE_EAST_SWITZERLAND,East Switzerland,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,BRE,Bremen,STATE_ELBE,Elbe,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,3,NO,NO,NO,
R1_WESTERN_EUROPE,HAM,Hamburg,STATE_ELBE,Elbe,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,7,NO,NO,NO,
R1_WESTERN_EUROPE,HAN,Hanover,STATE_ELBE,Elbe,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Central audit states 73 active Owner/State covered but names only 67 positive pairs; this is one of six technically reconstructed zero-positive candidates and is not promoted to covered without explicit per-pair evidence. | Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,LUC,Lucca,STATE_EMILIA,Emilia,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,MOD,Modena,STATE_EMILIA,Emilia,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,PAR,Parma,STATE_EMILIA,Emilia,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,POR,Portugal,STATE_ENTRE_DOURO_E_MINHO,Entre Douro and Minho,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,8,NO,NO,NO,
R1_WESTERN_EUROPE,POR,Portugal,STATE_ESTREMADURA,Estremadura,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,13,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_EXTREMADURA,Extremadura,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,2,NO,NO,NO,
R1_WESTERN_EUROPE,BEO,Belgium,STATE_FLANDERS,Flanders,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,9,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_FRANCHE_COMTE,Franche-Comté,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,BAV,Bavaria,STATE_FRANCONIA,Franconia,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,2,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_FRENCH_LOW_COUNTRIES,French Low Countries,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,5,NO,NO,NO,
R1_WESTERN_EUROPE,NET,Netherlands,STATE_FRIESLAND,Friesland,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,6,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_GALICIA,Galicia,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,8,NO,NO,NO,
R1_WESTERN_EUROPE,BEO,Belgium,STATE_GELRE,Gelre,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,0,NO,NO,NO,Explicitly audited with zero positive building recommendation.
R1_WESTERN_EUROPE,NET,Netherlands,STATE_GELRE,Gelre,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,5,NO,NO,NO,
R1_WESTERN_EUROPE,SWE,Sweden,STATE_GOTALAND,Götaland,NO,COVERED_POSITIVE,BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv;BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RESEARCH.md,7,NO,NO,NO,
R1_WESTERN_EUROPE,SWE,Sweden,STATE_GOTLAND,Gotland,NO,COVERED_POSITIVE,BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,DENNOR,Denmark-Norway,STATE_GREENLAND,Greenland,NO,COVERED_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv; BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv,1,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_POSITIVE.
R1_WESTERN_EUROPE,GR7,Inuit,STATE_GREENLAND,Greenland,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,FRA,France,STATE_GUYENNE,Guyenne,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,3,NO,NO,NO,
R1_WESTERN_EUROPE,HAN,Hanover,STATE_HANNOVER,Hanover,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,3,NO,NO,NO,
R1_WESTERN_EUROPE,OLD,Oldenburg,STATE_HANNOVER,Hanover,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,FRM,Frankfurt,STATE_HESSE,Hesse,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,2,NO,NO,NO,
R1_WESTERN_EUROPE,HEK,Hesse-Kassel,STATE_HESSE,Hesse,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,1,NO,NO,NO,
R1_WESTERN_EUROPE,HES,Hesse,STATE_HESSE,Hesse,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,1,NO,NO,NO,
R1_WESTERN_EUROPE,NAS,Nassau,STATE_HESSE,Hesse,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,1,NO,NO,NO,
R1_WESTERN_EUROPE,WLD,Waldeck,STATE_HESSE,Hesse,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,1,NO,NO,NO,
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_HIGHLANDS,Highlands,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,NET,Netherlands,STATE_HOLLAND,Holland,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,15,NO,NO,NO,
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_HOME_COUNTIES,Home Counties,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,14,NO,NO,NO,
R1_WESTERN_EUROPE,DENNOR,Denmark-Norway,STATE_ICELAND,Iceland,NO,COVERED_POSITIVE,BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv,3,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_ILE_DE_FRANCE,Île-de-France,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,12,NO,NO,NO,
EXCLUDED_SERENISSIMA,VEN,Venice,STATE_IONIAN_ISLANDS,Ionian Islands,YES,EXCLUDED_SERENISSIMA,,0,NO,NO,NO,Canonical Serenissima exclusion; never counted as a research gap.
EXCLUDED_SERENISSIMA,VEN,Venice,STATE_ISTRIA,Istria,YES,EXCLUDED_SERENISSIMA,,0,NO,NO,NO,Canonical Serenissima exclusion; never counted as a research gap.
R1_WESTERN_EUROPE,DENNOR,Denmark-Norway,STATE_JUTLAND,Jutland,NO,COVERED_POSITIVE,BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv,4,NO,NO,NO,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_KOSOVO,Kosovo,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_LANCASHIRE,Lancashire,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,6,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_LANGUEDOC,Languedoc,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,6,NO,NO,NO,
R1_WESTERN_EUROPE,PAP,Rome,STATE_LAZIO,Lazio,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,7,NO,NO,NO,
R1_WESTERN_EUROPE,IREK,Kingdom of Ireland,STATE_LEINSTER,Leinster,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,10,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_LEON,Leon,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,AUS,Austria,STATE_LOMBARDY,Lombardy,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv;BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,6,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_LORRAINE,Lorraine,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,5,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_LOWER_ANDALUSIA,Lower Andalusia,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,10,NO,NO,NO,
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_LOWLANDS,Lowlands,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,7,NO,NO,NO,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_MACEDONIA,Macedonia,NO,COVERED_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv; BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv,2,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_POSITIVE.
R1_WESTERN_EUROPE,POR,Portugal,STATE_MADEIRA,Madeira,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
