Building_ID,Display_Name_EN,Display_Name_FR,Building_Group,Category,History_Placeable,Auto_Generated,Technology_Gates,Base_PM,Important_Inputs,Important_Outputs,Max_Level_Rules,Resource_Constraint,Relevant_For_1776_Start_Research,Notes
building_construction_sector,Construction Sector,Secteur de construction,bg_construction,INFRASTRUCTURE,YES_USED_IN_CURRENT_HISTORY,NO,organized_financial_institutions,pmg_base_building_construction_sector:pm_wooden_buildings,alloys|cement|electricity|explosives|fabric|glass|iron|steel|tools|wood,NONE,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=arc_welding|professional_civil_engineering|steel_frame_buildings
building_copper_mine,Copper Mine,Mine de cuivre,bg_mining,RESOURCE_EXTRACTION,YES_USED_IN_CURRENT_HISTORY,NO,shaft_mining,pmg_mining_equipment_building_copper_mine:pm_picks_and_shovels_building_copper_mine|pmg_explosives_building_copper_mine:pm_no_explosives|pmg_steam_automation_building_copper_mine:pm_no_steam_automation|pmg_train_automation_building_copper_mine:pm_road_carts|pmg_ore_concentration_building_copper_mine:pm_no_ore_concentration_building_copper_mine|pmg_mine_ventilation:pm_no_mine_ventilation,coal|electricity|engines|explosives|industrial_chemicals|refined_fuels|tools|transportation,copper,NO_EXPLICIT_DEFINITION_CAP,STATE_REGION_RESOURCE_CAP_OR_DISCOVERY,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=atmospheric_engine|compression_ignition|condensing_steam_engines|deep_mine_engineering|dynamite|electrical_capacitors|geological_surveying|nitroglycerin|railways|steam_donkey
building_cotton_plantation,Cotton Plantations,Plantations de coton,bg_plantations,PLANTATION,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_base_building_cotton_plantation:default_building_cotton_plantation|pmg_cotton_exploitation:default_labour|pmg_train_automation_building_cotton_plantation:pm_road_carts,transportation,NONE,NO_EXPLICIT_DEFINITION_CAP,ARABLE_LAND_AND_STATE_ARABLE_RESOURCE,YES,FORK_OVERRIDE; PM_Gates=railways
building_cristo_redentor,Cristo Redentor,Cristo Redentor,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,pneumatic_tools,pmg_base_building_cristo_redentor:pm_default_building_cristo_redentor,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_dye_plantation,Dye Plantations,Plantations de teinture,bg_plantations,PLANTATION,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_base_building_dye_plantation:default_building_dye_plantation|pmg_dye_exploitation:default_labour|pmg_train_automation_building_dye_plantation:pm_road_carts,transportation,NONE,NO_EXPLICIT_DEFINITION_CAP,ARABLE_LAND_AND_STATE_ARABLE_RESOURCE,YES,FORK_OVERRIDE; PM_Gates=railways
building_easter_island_heads,Easter Island Moai,Moaï de l’île de Pâques,bg_monuments_hidden,OTHER,NO_NONBUILDABLE_OR_EVENT_CONTROLLED,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK; REPORT_LABEL_FALLBACK_FOR_VANILLA_BUILDING_DUMMY
building_eiffel_tower,The Eiffel Tower,Tour Eiffel,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,steel_frame_buildings,pmg_base_building_eiffel_tower:pm_default_building_eiffel_tower,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_electrics_industry,Electrics Industries,Usines électriques,bg_heavy_industry,MANUFACTURING,YES_TECHNICALLY,NO,telephone,pmg_telephones_category:pm_telephones|pmg_radios_category:pm_no_radios|pmg_scientific_management_electrics_industry:pm_no_scientific_management,copper|electricity|iron|paper|precision_machinery|rubber|services|tools,radios|telephones,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,NO_POST_1776,FORK_OVERRIDE; PM_Gates=corporate_management|radio|telephone
building_estacion_de_madrid_atocha,Atocha Railway Station,Gare de Madrid-Atocha,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,steel_frame_buildings,pmg_base_building_estacion_de_madrid_atocha:pm_default_building_estacion_de_madrid_atocha,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_explosives_factory,Explosives Factory,Usines d’explosifs,bg_heavy_industry,MANUFACTURING,YES_TECHNICALLY,NO,nitroglycerin,pmg_explosives_building_chemical_plant:pm_leblanc_process,coal|electricity|fertilizer|industrial_chemicals|paper|sulfur,explosives,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,NO_POST_1776,FORK_OVERRIDE; PM_Gates=dynamite|electrical_capacitors|nitroglycerin
building_eye_of_sahara,Eye of the Sahara,Œil du Sahara,bg_monuments_hidden,OTHER,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK; REPORT_LABEL_FALLBACK_FOR_VANILLA_BUILDING_DUMMY
building_financial_district,Financial Districts,Quartier d’affaires,bg_financial_districts,OTHER,NO_ENGINE_GENERATED,YES,NONE,pmg_ownership_building_financial_district:pm_financial_district_privately_owned,NONE,NONE,ENGINE_GENERATED_LEVELS,NONE_EXPLICIT,NO_AUTO_GENERATED,FORK_OVERRIDE; DO_NOT_RESEARCH_AS_MANUAL_STARTING_BUILDING; PM_Gates=mutual_funds
building_fishing_wharf,Fishing Wharves,Quais de pêche,bg_fishing,RESOURCE_EXTRACTION,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_base_building_fishing_wharf:pm_simple_fishing|pmg_refrigeration_building_fishing_wharf:pm_unrefrigerated,clippers|coal|electricity|engines|steamers|transportation,fish,NO_EXPLICIT_DEFINITION_CAP,STATE_REGION_RESOURCE_CAP_OR_DISCOVERY,YES,FORK_OVERRIDE; PM_Gates=electric_railway|flash_freezing|high_pressure_steam|pasteurization|watertube_boiler
building_food_industry,Food Industries,Industries alimentaires,bg_light_industry,MANUFACTURING,YES_USED_IN_CURRENT_HISTORY,NO,traditional_food_processing,pmg_base_building_food_industry:pm_bakery|pmg_canning:pm_disabled_canning|pmg_distillery:pm_disabled_distillery|pmg_spiced_food_building_food_industry:pm_no_spiced_food|pmg_automation_building_food_industry:pm_manual_dough_processing,coffee|engines|fish|glass|grain|heavy_petroleum_products|iron|meat|salt|spices|sugar|tools|wine,fine_food|groceries|liquor,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=automated_flour_milling|baking_powder|canneries|distillation|dough_rollers|fractional_distillation|sugar_refining|vacuum_canning
building_forbidden_city,Forbidden City,Cité interdite,bg_monuments,OTHER,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_base_building_forbidden_city:pm_default_building_forbidden_city,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK
building_furniture_manufactory,Furniture Manufacturies,Manufactures de meubles,bg_light_industry,MANUFACTURING,YES_USED_IN_CURRENT_HISTORY,NO,organized_workshops,pmg_base_building_furniture_manufactory:pm_handcrafted_furniture|pmg_luxury_building_furniture_manufactory:pm_no_luxuries|pmg_automation_building_furniture_manufactory:pm_automation_disabled,alloys|coal|electricity|fabric|hardwood|lubricants|tools|wood,furniture|luxury_furniture,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; Aliases=building_furniture_manufacturies; PM_Gates=conveyors|interchangeable_manufacture|mechanical_tools|rotary_valve_engine|watertube_boiler
building_giza_necropolis,Giza Necropolis,Nécropole de Gizeh,bg_monuments_hidden,OTHER,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK; REPORT_LABEL_FALLBACK_FOR_VANILLA_BUILDING_DUMMY
building_glassworks,Glassworks,Verreries,bg_light_industry,MANUFACTURING,YES_USED_IN_CURRENT_HISTORY,NO,organized_workshops,pmg_base_building_glassworks:pm_forest_glass|pmg_luxury_building_glassworks:pm_disabled_ceramics|pmg_glassblowing:pm_manual_glassblowing,aluminium|coal|dye|electricity|engines|industrial_chemicals|lead|limestone|lubricants|oil|steel|tools|wood,glass|porcelain,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=automatic_bottle_blowers|bauxite_processing|chemical_bleaching|crystal_glass|electrical_capacitors|industrial_ceramics|plastics|pressed_glass
building_gold_field,Gold Fields,Champs aurifères,bg_gold_fields,RESOURCE_EXTRACTION,NO_ENGINE_GENERATED,YES,applied_mineralogy,pmg_base_building_gold_field:default_building_gold_field,NONE,NONE,ENGINE_GENERATED_LEVELS,STATE_REGION_RESOURCE_CAP_OR_DISCOVERY,NO_AUTO_GENERATED,FORK_OVERRIDE; DO_NOT_RESEARCH_AS_MANUAL_STARTING_BUILDING
building_gold_mine,Gold Mines,Mines d’or,bg_mining,RESOURCE_EXTRACTION,YES_USED_IN_CURRENT_HISTORY,NO,shaft_mining,pmg_mining_equipment_building_gold_mine:pm_picks_and_shovels_building_gold_mine|pmg_explosives_building_gold_mine:pm_no_explosives|pmg_steam_automation_building_gold_mine:pm_no_steam_automation|pmg_train_automation_building_gold_mine:pm_road_carts|pmg_ore_concentration_building_gold_mine:pm_no_ore_concentration_building_gold_mine|pmg_mine_ventilation:pm_no_mine_ventilation,coal|electricity|engines|explosives|industrial_chemicals|refined_fuels|tools|transportation,gold,NO_EXPLICIT_DEFINITION_CAP,STATE_REGION_RESOURCE_CAP_OR_DISCOVERY,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=atmospheric_engine|compression_ignition|condensing_steam_engines|deep_mine_engineering|dynamite|electrical_capacitors|geological_surveying|nitroglycerin|railways|steam_donkey
building_government_administration,Government Administration,Administration gouvernementale,bg_bureaucracy,ADMINISTRATION,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_base_building_government_administration:pm_simple_organization|pmg_government_administration_bureaucrat_professionalism:pm_hereditary_bureaucrats|pmg_government_administration_religious_administration:pm_religious_bureaucrats,electricity|paper|precision_machinery|telephones,NONE,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES,FORK_OVERRIDE; PM_Gates=central_planning|central_statistical_offices|electrical_capacitors|systematic_population_registration
building_gran_teatro_de_la_habana,Grand Theater of Havana,Grand Théâtre de La Havane,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,pneumatic_tools,pmg_base_building_gran_teatro_de_la_habana:pm_default_building_gran_teatro_de_la_habana,paper,fine_art,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_hagia_sophia,Hagia Sophia,Sainte-Sophie,bg_monuments,OTHER,NO_NONBUILDABLE_OR_EVENT_CONTROLLED,NO,NONE,pmg_base_building_hagia_sophia:pm_default_building_hagia_sophia,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK
building_halloween_castledracula,Castle Dracula,Le château de Dracula,bg_monuments_hidden,OTHER,NO_NONBUILDABLE_OR_EVENT_CONTROLLED,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_SPECIAL_SYSTEM,VANILLA_FALLBACK; SPECIAL_OR_EVENT_SYSTEM_NOT_START_RESEARCH
building_iron_mine,Iron Mines,Mines de fer,bg_mining,RESOURCE_EXTRACTION,YES_USED_IN_CURRENT_HISTORY,NO,shaft_mining,pmg_mining_equipment_building_iron_mine:pm_picks_and_shovels_building_iron_mine|pmg_explosives_building_iron_mine:pm_no_explosives|pmg_steam_automation_building_iron_mine:pm_no_steam_automation|pmg_train_automation_building_iron_mine:pm_road_carts|pmg_ore_concentration_building_iron_mine:pm_no_ore_concentration_building_iron_mine|pmg_mine_ventilation:pm_no_mine_ventilation,coal|electricity|engines|explosives|industrial_chemicals|refined_fuels|tools|transportation,iron,NO_EXPLICIT_DEFINITION_CAP,STATE_REGION_RESOURCE_CAP_OR_DISCOVERY,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=atmospheric_engine|compression_ignition|condensing_steam_engines|deep_mine_engineering|dynamite|electrical_capacitors|geological_surveying|nitroglycerin|railways|steam_donkey
building_kaiserforum_1,Kaiserforum,Kaiserforum,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,reinforced_concrete,pmg_base_building_kaiserforum_1:pm_default_building_kaiserforum_1,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_kaiserforum_2,Kaiserforum,Kaiserforum,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,NONE,pmg_base_building_kaiserforum_2:pm_default_building_kaiserforum_2,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_kaiserforum_3,Kaiserforum,Kaiserforum,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,NONE,pmg_base_building_kaiserforum_3:pm_default_building_kaiserforum_3,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_kaiserforum_4,Kaiserforum,Kaiserforum,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,NONE,pmg_base_building_kaiserforum_4:pm_default_building_kaiserforum_4,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_khaju_bridge,Khaju Bridge,Pont Khaju,bg_monuments_hidden,OTHER,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK; REPORT_LABEL_FALLBACK_FOR_VANILLA_BUILDING_DUMMY
building_kiel_canal,Kiel Canal,Canal de Kiel,bg_canals,INFRASTRUCTURE,CONDITIONAL_POTENTIAL,NO,ironclad_tech,pmg_canal:pm_canal,coal|tools,NONE,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,NO_POST_1776,FORK_OVERRIDE
