Owner_TAG,Country,State_ID,Current_Level,Historical_Target_Level,Gameplay_Minimum_Component,Final_Target_Level,Current_Bureaucracy_Context,Projected_Bureaucracy_Context,Tax_Capacity_Context,Capital_or_Admin_Center,Decision,Reason,Runtime_Validation_Required
AIT,Constantine,STATE_CONSTANTINE,1,0,1,1,country_gross=10; static_structural_cost=21.6; gross_minus_static=-11.6; pm=pm_simple_organization; per_level=10,country_gross=10; near_balance_95pct=21; gross_minus_static=-11.6; runtime_deincorp_states=0; post_deincorp_cost=21.6; post_deincorp_net=-11.6; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=2; country_projected=2; incorporated_population_need=29.0,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AJJ,Touggourt,STATE_EAST_SAHARA,0,0,0,0,country_gross=0; static_structural_cost=31.1; gross_minus_static=-31.1; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-31.1; runtime_deincorp_states=0; post_deincorp_cost=31.1; post_deincorp_net=-31.1; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=2.8,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AJR,Witu,STATE_KENYA,0,0,0,0,country_gross=0; static_structural_cost=11.7; gross_minus_static=-11.7; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-11.7; runtime_deincorp_states=0; post_deincorp_cost=11.7; post_deincorp_net=-11.7; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=4.2,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ALK,Athabaska,STATE_ALASKA,0,0,0,0,country_gross=0; static_structural_cost=10.6; gross_minus_static=-10.6; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-10.6; runtime_deincorp_states=0; post_deincorp_cost=10.6; post_deincorp_net=-10.6; laws=11; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=1.4,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ANH,Prussia,STATE_ANHALT,0,0,0,0,country_gross=0; static_structural_cost=17.8; gross_minus_static=-17.8; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-17.8; runtime_deincorp_states=0; post_deincorp_cost=17.8; post_deincorp_net=-17.8; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=19.6,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ANK,Buganda,STATE_UGANDA,0,0,0,0,country_gross=0; static_structural_cost=19.7; gross_minus_static=-19.7; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-19.7; runtime_deincorp_states=0; post_deincorp_cost=19.7; post_deincorp_net=-19.7; laws=9; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=24.2,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AP7,Kayapo,STATE_LA_PAZ,0,0,0,0,country_gross=0; static_structural_cost=70.6; gross_minus_static=-70.6; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-70.6; runtime_deincorp_states=0; post_deincorp_cost=70.6; post_deincorp_net=-70.6; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=101.6,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
APC,Apache,STATE_CALIFORNIA,0,0,0,0,country_gross=0; static_structural_cost=23.1; gross_minus_static=-23.1; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-23.1; runtime_deincorp_states=0; post_deincorp_cost=23.1; post_deincorp_net=-23.1; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=7.7,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ARB,Arabistan,STATE_KHUZESTAN,0,0,0,0,country_gross=0; static_structural_cost=28.3; gross_minus_static=-28.3; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-28.3; runtime_deincorp_states=0; post_deincorp_cost=28.3; post_deincorp_net=-28.3; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=45.8,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ARH,Yolngu,STATE_NORTHERN_TERRITORY,0,0,0,0,country_gross=0; static_structural_cost=11.5; gross_minus_static=-11.5; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-11.5; runtime_deincorp_states=0; post_deincorp_cost=11.5; post_deincorp_net=-11.5; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=3.6,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ARP,Ute,STATE_COLORADO,0,0,0,0,country_gross=0; static_structural_cost=20.6; gross_minus_static=-20.6; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-20.6; runtime_deincorp_states=0; post_deincorp_cost=20.6; post_deincorp_net=-20.6; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=1.4,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ARR,Yolngu,STATE_NORTHERN_TERRITORY,0,0,0,0,country_gross=0; static_structural_cost=20.6; gross_minus_static=-20.6; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-20.6; runtime_deincorp_states=0; post_deincorp_cost=20.6; post_deincorp_net=-20.6; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=1.5,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ASH,Ewe,STATE_TOGO,0,0,0,0,country_gross=0; static_structural_cost=34.2; gross_minus_static=-34.2; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-34.2; runtime_deincorp_states=0; post_deincorp_cost=34.2; post_deincorp_net=-34.2; laws=2; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=60.4,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ATB,Athabaska,STATE_BRITISH_COLUMBIA,0,0,0,0,country_gross=0; static_structural_cost=67.7; gross_minus_static=-67.7; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-67.7; runtime_deincorp_states=0; post_deincorp_cost=67.7; post_deincorp_net=-67.7; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=19.2,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ATR,Reguibat,STATE_TIMBUKTU,0,0,0,0,country_gross=0; static_structural_cost=10.6; gross_minus_static=-10.6; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-10.6; runtime_deincorp_states=0; post_deincorp_cost=10.6; post_deincorp_net=-10.6; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=1.5,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AUL,Witu,STATE_KENYA,0,0,0,0,country_gross=0; static_structural_cost=11.5; gross_minus_static=-11.5; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-11.5; runtime_deincorp_states=0; post_deincorp_cost=11.5; post_deincorp_net=-11.5; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=3.7,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AUS,Austria,STATE_AUSTRIA,10,2,5,7,country_gross=1200; static_structural_cost=680.8; gross_minus_static=519.2; pm=pm_horizontal_drawer_cabinets; per_level=50,country_gross=800; near_balance_95pct=647; gross_minus_static=119.2; runtime_deincorp_states=0; post_deincorp_cost=680.8; post_deincorp_net=119.2; laws=14; explicit_institution_blocks=1,state_pm_per_level=10; country_current=240; country_projected=160; incorporated_population_need=1401.9,HISTORICAL_ADMIN_CENTER,DECREASE,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AUS,Austria,STATE_BOHEMIA,9,0,9,9,country_gross=1200; static_structural_cost=680.8; gross_minus_static=519.2; pm=pm_horizontal_drawer_cabinets; per_level=50,country_gross=800; near_balance_95pct=647; gross_minus_static=119.2; runtime_deincorp_states=0; post_deincorp_cost=680.8; post_deincorp_net=119.2; laws=14; explicit_institution_blocks=1,state_pm_per_level=10; country_current=240; country_projected=160; incorporated_population_need=1401.9,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AUS,Austria,STATE_CROATIA,1,0,0,0,country_gross=1200; static_structural_cost=680.8; gross_minus_static=519.2; pm=pm_horizontal_drawer_cabinets; per_level=50,country_gross=800; near_balance_95pct=647; gross_minus_static=119.2; runtime_deincorp_states=0; post_deincorp_cost=680.8; post_deincorp_net=119.2; laws=14; explicit_institution_blocks=1,state_pm_per_level=10; country_current=240; country_projected=160; incorporated_population_need=1401.9,CURRENT_ADMIN_CENTER,REMOVE,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AUS,Austria,STATE_LOMBARDY,3,0,0,0,country_gross=1200; static_structural_cost=680.8; gross_minus_static=519.2; pm=pm_horizontal_drawer_cabinets; per_level=50,country_gross=800; near_balance_95pct=647; gross_minus_static=119.2; runtime_deincorp_states=0; post_deincorp_cost=680.8; post_deincorp_net=119.2; laws=14; explicit_institution_blocks=1,state_pm_per_level=10; country_current=240; country_projected=160; incorporated_population_need=1401.9,CURRENT_ADMIN_CENTER,REMOVE,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AUS,Prussia,STATE_UPPER_SILESIA,1,0,0,0,country_gross=1200; static_structural_cost=680.8; gross_minus_static=519.2; pm=pm_horizontal_drawer_cabinets; per_level=50,country_gross=800; near_balance_95pct=647; gross_minus_static=119.2; runtime_deincorp_states=0; post_deincorp_cost=680.8; post_deincorp_net=119.2; laws=14; explicit_institution_blocks=1,state_pm_per_level=10; country_current=240; country_projected=160; incorporated_population_need=1401.9,CURRENT_ADMIN_CENTER,REMOVE,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AWA,East India,STATE_AWADH,2,2,0,2,country_gross=20; static_structural_cost=203.0; gross_minus_static=-183.0; pm=pm_simple_organization; per_level=10,country_gross=20; near_balance_95pct=193; gross_minus_static=-183.0; runtime_deincorp_states=0; post_deincorp_cost=203.0; post_deincorp_net=-183.0; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=4; country_projected=4; incorporated_population_need=482.4,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AYI,Kong,STATE_IVORY_COAST,0,0,0,0,country_gross=0; static_structural_cost=0.0; gross_minus_static=0.0; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=0.0; runtime_deincorp_states=0; post_deincorp_cost=0.0; post_deincorp_net=0.0; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=0.0,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
BAD,Baden,STATE_BADEN,1,0,1,1,country_gross=50; static_structural_cost=62.1; gross_minus_static=-12.1; pm=pm_horizontal_drawer_cabinets; per_level=50,country_gross=50; near_balance_95pct=59; gross_minus_static=-12.1; runtime_deincorp_states=0; post_deincorp_cost=62.1; post_deincorp_net=-12.1; laws=1; explicit_institution_blocks=1,state_pm_per_level=10; country_current=10; country_projected=10; incorporated_population_need=130.1,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
BAL,Portugal,STATE_SUNDA_ISLANDS,0,0,0,0,country_gross=0; static_structural_cost=0.0; gross_minus_static=0.0; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=0.0; runtime_deincorp_states=0; post_deincorp_cost=0.0; post_deincorp_net=0.0; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=0.0,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
BAV,Bavaria,STATE_BAVARIA,3,1,0,1,country_gross=300; static_structural_cost=197.0; gross_minus_static=103.0; pm=pm_horizontal_drawer_cabinets; per_level=50,country_gross=200; near_balance_95pct=188; gross_minus_static=3.0; runtime_deincorp_states=0; post_deincorp_cost=197.0; post_deincorp_net=3.0; laws=2; explicit_institution_blocks=1,state_pm_per_level=10; country_current=60; country_projected=40; incorporated_population_need=417.6,HISTORICAL_ADMIN_CENTER,DECREASE,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
BAV,Bavaria,STATE_FRANCONIA,3,0,3,3,country_gross=300; static_structural_cost=197.0; gross_minus_static=103.0; pm=pm_horizontal_drawer_cabinets; per_level=50,country_gross=200; near_balance_95pct=188; gross_minus_static=3.0; runtime_deincorp_states=0; post_deincorp_cost=197.0; post_deincorp_net=3.0; laws=2; explicit_institution_blocks=1,state_pm_per_level=10; country_current=60; country_projected=40; incorporated_population_need=417.6,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
BEN,Benin,STATE_BENIN,0,0,0,0,country_gross=0; static_structural_cost=77.1; gross_minus_static=-77.1; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-77.1; runtime_deincorp_states=0; post_deincorp_cost=77.1; post_deincorp_net=-77.1; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=167.8,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
