TAG,Country,Owner_State_Count,Current_Total_Building_Levels,Target_Total_Building_Levels,Keep_Rows,Add_Rows,Remove_Rows,Increase_Rows,Decrease_Rows,Trade_Center_Target_Levels,Infrastructure_Target_Levels,Tech_Conflict_Count,Map_Rework_Risk_Count,Notes
ABB,Arab Emirates,1,0,2,0,2,0,0,0,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ANK,Ankole,1,0,1,0,1,0,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AP7,Kayapo,5,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
APC,Apache,3,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ARB,Arabistan,1,3,6,1,5,2,0,0,0,1,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ARH,Arnhem,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ARP,Arapaho,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ARR,Arrernte,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ASH,Ashanti,2,1,2,0,2,1,0,0,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ATB,Athabaska,8,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ATR,Kel Ataram,1,0,1,0,1,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AUL,Aulihan,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AUS,Austria,12,172,58,4,22,52,2,9,7,9,6,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AWA,Awadh,1,31,13,2,6,3,0,0,2,1,1,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AYI,Anyi,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BAD,Baden,1,10,2,0,2,6,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BAL,Bali,1,3,2,0,0,2,1,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BAV,Bavaria,3,53,7,2,2,18,0,3,1,1,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BEN,Benin,1,3,0,0,0,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BEO,Belgium,3,57,31,2,7,10,3,6,2,4,11,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BGI,Bagirmi,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BHN,Bahrain,2,0,2,0,2,0,0,0,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BHU,Bhutan,1,0,2,0,2,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BHV,Bhavnagar,1,13,16,0,6,2,2,0,3,2,2,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BIC,East India,7,222,63,3,15,27,2,15,9,2,1,5,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BLA,Bilua,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BLE,Baule,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BLF,Niitsitapi,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BLG,Bulungan,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BMB,Bemba,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BMM,Bamum,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BND,Bundu,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BNG,Bangala,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BNJ,Banjar,1,4,3,0,3,3,0,0,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BNN,Pannakwati,3,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BNY,Bunyoro,1,0,2,0,2,0,0,0,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BOB,Bobangi,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BOR,Bornu,4,4,6,1,5,2,0,0,2,1,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BRA,Brunswick,1,2,3,0,3,2,0,0,0,1,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BRD,Burundi,1,1,1,0,1,1,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BRE,Bremen,1,4,3,1,1,1,0,1,1,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BRG,Borgu,2,2,0,0,0,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BRK,Brakna,1,0,1,0,1,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BRU,Brunei,1,2,2,0,2,2,0,0,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BRZ,Brazil,15,78,79,6,37,46,5,2,12,6,16,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BST,Basutoland,2,4,1,0,0,1,0,1,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BTN,Buton,1,0,1,0,1,0,0,0,1,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BUG,Buganda,1,3,2,0,1,1,0,1,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BUK,Bukhara,3,6,21,1,17,2,0,0,1,3,6,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
BUR,Burma,5,14,11,1,8,9,0,0,2,0,3,3,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CAM,Cambodia,1,2,1,0,1,2,0,0,0,0,0,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CAUC,Caucuses,4,0,11,0,11,0,0,0,1,1,9,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CAY,Cayor,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CHC,Chechnya,2,4,4,1,3,2,0,0,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CHI,China,43,1048,89,1,33,143,1,10,15,15,10,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CHK,Chokwe,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CHP,Champasak,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CIR,Circassia,2,5,5,0,2,2,1,1,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CMB,Chaamba,2,0,2,0,2,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CMI,Chiang Mai,1,2,1,0,1,2,0,0,1,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
COB,Saxe-Coburg-Gotha,1,2,1,0,1,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
COC,Cochin,1,0,8,0,5,0,0,0,2,0,2,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
COM,Comanche,10,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CON,Constantine,1,6,7,2,4,2,0,0,0,1,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
COO,Cooch Behar,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CRI,Crimea,5,29,21,6,11,9,0,2,1,1,3,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
CUB,Cuba,3,41,26,2,7,7,1,7,2,1,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DAH,Dahomey,1,2,1,0,1,2,0,0,1,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DAI,Dai Nam,4,72,12,2,7,11,0,1,3,0,3,3,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DAK,Dar al Kuti,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DEI,East Indies,9,137,56,5,11,31,6,7,9,2,12,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DENNOR,Denmark-Norway,11,86,50,8,18,22,4,9,6,5,15,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DFR,Darfur,1,1,4,1,3,0,0,0,1,1,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DFT,Dar Fertit,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DGR,Degar,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DIN,Kel Dinnik,1,0,2,0,2,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DIO,Diola,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DLA,Duala,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DLM,Delim,2,0,2,0,2,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DNK,Dinka,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
DUR,Afghanistan,13,88,38,7,25,26,1,2,5,9,5,2,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ETH,Ethiopia,4,18,3,1,2,12,0,0,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
EWE,Ewe,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
EZO,Ezochi,2,0,1,0,1,0,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
FJI,Fiji,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
FNG,Fang,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
FRA,France,26,536,183,15,48,79,11,39,24,10,39,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
FRM,Frankfurt,1,2,3,0,1,1,1,0,2,1,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
FTJ,Futa Jallon,1,1,0,0,0,1,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
FTR,Futa Toro,2,2,1,0,1,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GAL,Galicia-Lodomeria,2,17,2,1,0,5,0,1,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GAR,Garhwal,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GBR,Great Britain,21,352,161,5,53,67,9,21,23,13,49,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GEN,Most Serene Republic of Genoa,1,29,29,0,0,0,0,0,6,0,0,0,PRESERVE_SERENISSIMA_ROWS=16; REVIEW_ROWS=0
GGO,Gogo,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GLD,Geledi,1,2,0,0,0,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GNI,Guarani,3,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GR3,Sicily,1,24,9,1,1,3,0,3,2,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GR5,Santo Domingo,1,7,5,2,2,3,0,1,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GR7,Inuit,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GRW,Garawa,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
GWA,Gwalior,2,17,9,2,5,4,0,0,2,3,0,2,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HAI,Haiti,1,7,15,0,3,3,3,0,3,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HAM,Hamburg,1,6,14,1,5,2,1,0,3,1,4,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HAN,Hanover,3,16,7,2,4,9,0,0,0,3,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HAU,Gobir,1,3,0,0,0,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HAW,Hawaii,1,7,4,0,2,6,1,0,0,1,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HBC,Hudson's Bay Company,5,4,3,0,3,3,0,0,2,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HDJ,Hedjaz,2,3,7,1,5,1,0,0,1,1,3,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HEK,Hesse-Kassel,1,4,1,0,1,3,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HES,Hesse,1,7,1,0,1,5,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HHE,Hehe,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HLA,Halia,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HMB,Hemba,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HOH,Hohenzollern,1,1,0,0,0,1,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HOL,Holstein,1,7,1,0,0,3,0,1,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HRO,Herero,2,0,2,0,2,0,0,0,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HUN,Hungary,7,62,2,0,0,24,0,2,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
HYD,Hyderabad,2,14,9,2,3,2,0,2,1,1,0,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
IBO,Igbo,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
INDOP,Indonesian Princley States,5,14,5,0,4,1,0,1,1,0,4,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
IQU,Iquicha,1,2,0,0,0,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
IR1,Mamluk Iraq,4,13,20,4,13,5,1,0,2,4,5,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
IRC,Iron Confederacy,3,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
IREK,Kingdom of Ireland,4,27,33,3,17,5,2,2,5,3,11,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ISQ,Isaaq,1,2,0,0,0,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
JAP,Japan,11,150,41,5,18,67,0,1,8,8,10,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
JBB,Jabal,1,0,1,0,1,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
JEY,Jeypore,1,1,0,0,0,1,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
JLF,Jolof,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
JMB,Jambi,1,2,1,0,1,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
JOH,Johore,1,12,3,0,2,5,0,0,2,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KAU,Kaurna,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KBA,Kuba,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KBB,Kathiri,1,0,2,0,2,0,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KBD,Kabadougou,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KBU,Kaabu,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KHI,Khiva,3,8,7,0,5,2,0,2,1,1,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KHP,Kolhapur,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KKI,Kuki,3,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KKY,Kikuyu,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KLN,Kulin,3,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KLO,Khmer Loeu,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KNC,Karna,4,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KNG,Kong,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KNK,Kanak,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KNO,Kurnool,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KOK,Kokand,4,5,13,3,10,2,0,0,1,2,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KON,Kongo,2,1,0,0,0,1,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KOR,Korea,5,45,11,2,6,24,0,1,4,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KRG,Karagwe,1,0,2,0,2,0,0,0,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KRI,Douriango,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KRT,Kaarta,1,1,5,1,3,0,0,0,0,1,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KRU,Kru,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KSN,Kasanje,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KTI,Kutai,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KTU,Kartu,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KYN,Pilbara,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KZH,Kishi Zhuz,6,0,7,0,6,0,0,0,0,0,5,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
KZM,Kazembe,2,0,2,0,2,0,0,0,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LAH,Lahej,1,5,2,0,2,3,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LAN,Lanfang,1,3,0,0,0,2,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LBA,Luba,3,0,1,0,1,0,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LGA,Lega,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LIP,Lippe,1,1,1,0,1,1,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LKT,Lakota,7,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LND,Lunda,2,0,2,0,2,0,0,0,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LNG,Loango,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LOU,Louisiana,1,12,3,0,1,2,0,2,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LRR,Larrakia,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LUA,Luang Prabang,1,2,1,0,1,1,0,0,1,0,0,1,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LUB,Lübeck,1,2,2,2,0,0,0,0,1,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LUC,Lucca,1,5,2,1,1,3,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LUO,Luo,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LUX,Luxembourg,1,2,3,0,2,2,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
LZO,Barotse,3,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
MAD,Madagascar,2,7,0,0,0,6,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
MARATH,Maratha Confederacy,5,61,27,3,13,16,2,1,4,4,3,4,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
MAS,Mascara,2,15,19,3,12,4,1,2,2,2,8,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
MBB,Mahra,1,0,2,0,2,0,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
MBS,Mombasa,1,1,1,0,1,1,0,0,1,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
