Owner_TAG,Country,State_ID,Current_Level,Historical_Target_Level,Supply_Calibration_Addition,Final_Target_Level,Start_PM,Estimated_Wood_Output,Estimated_Local_or_Market_Demand,Market_Context,Decision,Reason,Runtime_Validation_Required
BRZ,Brazil,STATE_GOIAS,1,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_MARANHAO,1,0,1,1,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,80.0 (per_level=80.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_PARA,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_PARANA,1,0,1,1,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,80.0 (per_level=80.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_PIAUI,1,0,1,1,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,80.0 (per_level=80.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_RIO_GRANDE_DO_NORTE,1,0,1,1,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,80.0 (per_level=80.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_SANTA_CATARINA,1,0,1,1,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,80.0 (per_level=80.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_SAO_PAULO,1,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BUR,Denmark-Norway,STATE_PEGU,0,2,0,2,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,80.0 (per_level=40.0),40.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BUR,Siam,STATE_TENASSERIM,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),40.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHC,Chechnya,STATE_DAGESTAN,1,0,1,1,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_simple_forestry,40.0 (per_level=40.0),30.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHI,China,STATE_BEIJING,2,0,2,2,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,160.0 (per_level=80.0),320.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHI,China,STATE_GUIZHOU,6,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),320.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHI,China,STATE_HUNAN,8,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),320.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHI,China,STATE_JETISY,1,0,0,0,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_simple_forestry,0.0 (per_level=40.0),320.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHI,China,STATE_NORTHERN_MANCHURIA,8,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),320.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHI,China,STATE_SICHUAN,10,0,5,5,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,400.0 (per_level=80.0),320.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,DECREASE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHI,China,STATE_SOUTHERN_MANCHURIA,9,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),320.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CHI,China,STATE_YUNNAN,6,0,0,0,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,0.0 (per_level=80.0),320.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CIR,Circassia,STATE_NORTH_CAUCASUS,1,0,0,0,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_simple_forestry,0.0 (per_level=40.0),0.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CMI,Chiang Mai,STATE_CHIANG_MAI,1,0,0,0,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_simple_forestry,0.0 (per_level=40.0),0.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
COC,Travancore,STATE_TRAVANCORE,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),40.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CUB,Cuba,STATE_CENTRAL_CUBA,1,0,1,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,55.0 (per_level=55.0),125.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CUB,Cuba,STATE_EASTERN_CUBA,1,0,1,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,55.0 (per_level=55.0),125.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
CUB,Cuba,STATE_WESTERN_CUBA,1,0,1,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,55.0 (per_level=55.0),125.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
DEI,Yogyakarta,STATE_CENTRAL_JAVA,1,0,1,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_simple_forestry,15.0 (per_level=15.0),100.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
DEI,East Indies,STATE_EAST_JAVA,1,0,1,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_simple_forestry,15.0 (per_level=15.0),100.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
DEI,East Indies,STATE_WEST_JAVA,3,0,3,3,pm_hardwood|pm_no_equipment|pm_road_carts|pm_simple_forestry,45.0 (per_level=15.0),100.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
DENNOR,Denmark-Norway,STATE_EASTERN_NORWAY,2,1,1,2,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,110.0 (per_level=55.0),175.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
DENNOR,Denmark-Norway,STATE_NORTHERN_NORWAY,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),175.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
DENNOR,Denmark-Norway,STATE_WESTERN_NORWAY,1,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),175.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
DENNOR,Denmark-Norway,STATE_ZEALAND,2,0,1,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,55.0 (per_level=55.0),175.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,DECREASE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
DUR,Afghanistan,STATE_KABUL,1,0,1,1,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_simple_forestry,40.0 (per_level=40.0),45.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
ETH,Ethiopia,STATE_AMHARA,1,0,0,0,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_simple_forestry,0.0 (per_level=40.0),0.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
FRA,France,STATE_ALSACE_LORRAINE,5,0,5,5,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,275.0 (per_level=55.0),820.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
FRA,France,STATE_AQUITAINE,3,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),820.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
FRA,France,STATE_AUVERGNE_LIMOUSIN,3,1,2,3,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,165.0 (per_level=55.0),820.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
FRA,France,STATE_BRITTANY,4,0,4,4,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,220.0 (per_level=55.0),820.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
FRA,France,STATE_BURGUNDY,2,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),820.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
FRA,France,STATE_CHAMPAGNE,3,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),820.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
FRA,France,STATE_FRANCHE_COMTE,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),820.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
