Building_ID,Building_Name,Current_Global_Levels,Target_Global_Levels,Delta,Current_State_Count,Target_State_Count,Adds,Removes,Increases,Decreases,Notes
building_furniture_manufactory,Furniture Manufacturies,129,15,-114,47,12,5,40,1,4,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=1
building_giza_necropolis,Giza Necropolis,1,1,0,1,1,0,0,0,0,
building_glassworks,Glassworks,102,24,-78,36,19,17,34,0,1,LARGE_GLOBAL_DECREASE_REVIEW
building_gold_mine,Gold Mines,24,17,-7,10,8,7,9,1,0,
building_government_administration,Government Administration,843,142,-701,223,85,19,157,4,39,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=2
building_hagia_sophia,Hagia Sophia,1,0,-1,1,0,0,1,0,0,
building_iron_mine,Iron Mines,117,29,-88,62,19,6,49,3,3,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=1
building_khaju_bridge,Khaju Bridge,1,1,0,1,1,0,0,0,0,
building_lead_mine,Lead Mines,11,4,-7,7,3,3,7,0,0,
building_livestock_ranch,Livestock Ranches,441,288,-153,238,246,157,149,13,28,
building_logging_camp,Logging Camps,458,75,-383,181,61,28,148,1,21,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=1
building_machu_picchu,Machu Picchu,1,0,-1,1,0,0,1,0,0,
building_maize_farm,Maize Farms,65,16,-49,38,14,7,31,2,1,LARGE_GLOBAL_DECREASE_REVIEW
building_manila_cathedral_original,Manila Cathedral,0,1,1,0,1,1,0,0,0,
building_millet_farm,Millet Farms,46,26,-20,36,22,19,33,1,1,
building_munition_plant,Munition Plants,3,0,-3,2,0,0,2,0,0,
building_naval_administration,Naval Administration,242,45,-197,36,26,6,16,0,15,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=2
building_naval_fortification,Naval Fortification,1,40,39,1,31,31,1,0,0,LARGE_GLOBAL_INCREASE_REVIEW
building_observatorygreenwich,Royal Observatory Greenwich,0,1,1,0,1,1,0,0,0,
building_opium_plantation,Opium Plantations,127,2,-125,28,1,0,27,0,1,LARGE_GLOBAL_DECREASE_REVIEW
building_palazzo_san_giorgio,Palazzo San Giorgio,1,1,0,1,1,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=1
building_paper_mill,Paper Mills,157,44,-113,49,36,24,37,1,6,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=2
building_pena_convent,Pena Convent,0,1,1,0,1,1,0,0,0,
building_petra,Petra,1,1,0,1,1,0,0,0,0,
building_port,Port,318,304,-14,222,203,64,83,42,20,PRESERVE_SERENISSIMA_ROWS=7
building_railway,Regional Infrastructure,4,293,289,4,232,229,1,2,0,LARGE_GLOBAL_INCREASE_REVIEW
building_rialto_commercial_complex,Rialto Commercial Complex,1,1,0,1,1,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=1
building_rice_farm,Rice Farms,205,40,-165,76,24,14,66,1,4,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=1
building_rye_farm,Rye Farms,189,18,-171,67,15,6,58,0,6,LARGE_GLOBAL_DECREASE_REVIEW
building_saint_basils_cathedral,Saint Basil’s Cathedral,1,1,0,1,1,0,0,0,0,
building_salt_mine,Salt Mines,19,16,-3,13,11,7,9,2,0,
building_salt_pan,Salt Works,16,27,11,9,18,18,9,0,0,
building_shipyard,Shipyards,102,104,2,45,75,44,14,7,14,PRESERVE_SERENISSIMA_ROWS=2
building_silk_plantation,Silk Plantations,156,32,-124,30,12,9,27,1,1,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=1
building_spice_plantation,Spice Plantations,87,25,-62,18,13,8,13,0,5,LARGE_GLOBAL_DECREASE_REVIEW
building_steel_mill,Steel Mills,5,13,8,3,7,7,3,0,0,
building_sugar_plantation,Sugar Plantations,63,52,-11,39,32,14,21,5,5,
building_sulfur_mine,Sulfur Mines,18,0,-18,5,0,0,5,0,0,LARGE_GLOBAL_DECREASE_REVIEW
building_taj_mahal,Taj Mahal,1,1,0,1,1,0,0,0,0,
building_tea_plantation,Tea Plantations,268,5,-263,60,2,1,59,0,1,LARGE_GLOBAL_DECREASE_REVIEW
building_textile_mill,Textile Manufacture,192,272,80,76,172,116,20,9,24,PRESERVE_SERENISSIMA_ROWS=2
building_tobacco_plantation,Tobacco Plantations,164,24,-140,77,15,7,69,1,4,LARGE_GLOBAL_DECREASE_REVIEW
building_tooling_workshop,Tooling Workshops,69,36,-33,31,32,21,20,2,5,PRESERVE_SERENISSIMA_ROWS=2
building_trade_center,Trade Center,338,383,45,124,242,156,38,23,39,PRESERVE_SERENISSIMA_ROWS=3
building_university,University,67,43,-24,36,40,20,16,1,11,
building_vatican_city,Vatican City,1,1,0,1,1,0,0,0,0,
building_vineyard,Vineyards,177,69,-108,75,46,18,47,4,11,PRESERVE_SERENISSIMA_ROWS=4
building_whaling_station,Whaling Stations,8,6,-2,6,6,5,5,0,0,
building_wheat_farm,Wheat Farms,491,141,-350,150,114,55,91,2,33,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=4
building_white_house,White House,1,0,-1,1,0,0,1,0,0,
