Owner_TAG,Country,State_ID,State_Name,Current_Population,Old_Numerical_Priority,Classification,Evidence,Wave1_Decision
CHI,China,STATE_GUANGXI,Guangxi,14938908,NOT_IN_OLD_SCREEN,HISTORICALLY_ELIGIBLE_HIGH_AUTONOMY,Selected southern Qing territory with materially weaker direct fiscal integration; user-authoritative profile.,APPLY
CHI,China,STATE_GUIZHOU,Guizhou,4638128,NOT_IN_OLD_SCREEN,HISTORICALLY_ELIGIBLE_INDIRECT_RULE,Selected southern Qing territory represented through indirect/local administration; user-authoritative profile.,APPLY
CHI,China,STATE_NORTHERN_MANCHURIA,Southern Heilongjiang,20623,WAVE2_USER_DIRECTED_CHINA_EXCEPTION,HISTORICALLY_ELIGIBLE_HIGH_AUTONOMY,Heilongjiang frontier governed through a distinct military-general administration.,APPLY_WAVE2
CHI,China,STATE_SHENGJING,Shengjing,770000,WAVE2_USER_DIRECTED_CHINA_EXCEPTION,HISTORICALLY_ELIGIBLE_HIGH_AUTONOMY,Manchu homeland under the separate banner/general system rather than ordinary China-proper provincial administration.,APPLY_WAVE2
CHI,China,STATE_SOUTHERN_MANCHURIA,Southern Jilin,58869,WAVE2_USER_DIRECTED_CHINA_EXCEPTION,HISTORICALLY_ELIGIBLE_HIGH_AUTONOMY,Jilin/Manchurian territory governed through the separate banner/general system with restricted migration.,APPLY_WAVE2
CHI,China,STATE_YUNNAN,Yunnan,6238388,NOT_IN_OLD_SCREEN,HISTORICALLY_ELIGIBLE_WEAK_INTEGRATION,Selected southern Qing territory with long-standing high local autonomy; user-authoritative profile.,APPLY
CUB,Cuba,STATE_CENTRAL_CUBA,Central Cuba,281918,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
CUB,Cuba,STATE_EASTERN_CUBA,Eastern Cuba,217390,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DAI,Dai Nam,STATE_MEKONG,Mekong,1757188,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DAI,Dai Nam,STATE_TONKIN,Tonkin,2314544,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DUR,Afghanistan,STATE_BALKH,Southern Turkestan,265203,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DUR,Afghanistan,STATE_CENTRAL_HIGHLANDS,Hazaristan,168485,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DUR,Afghanistan,STATE_KASHMIR,Kashmir,1682256,6,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DUR,Afghanistan,STATE_NORTHERN_BALUCHISTAN,Northern Baluchistan,30520,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DUR,Afghanistan,STATE_PASHTUNISTAN,Pashtunistan,2263428,7,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DUR,Afghanistan,STATE_PUNJAB,Punjab,229287,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
DUR,Afghanistan,STATE_QUETTA,Quetta,291926,5,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
ETH,Ethiopia,STATE_AMHARA,Amhara,2373464,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
ETH,Ethiopia,STATE_ERITREA,Eritrea,28000,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
ETH,Ethiopia,STATE_OROMIA,Oromia,1692191,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
GBR,Great Britain,STATE_HIGHLANDS,Highlands,751566,NOT_IN_OLD_SCREEN,HISTORICALLY_ELIGIBLE_HIGH_AUTONOMY,"Scotland retained a distinct constitutional, legal and institutional settlement; user-authoritative example.",APPLY
GBR,Great Britain,STATE_LOWLANDS,Lowlands,1637600,NOT_IN_OLD_SCREEN,HISTORICALLY_ELIGIBLE_HIGH_AUTONOMY,"Scotland retained a distinct constitutional, legal and institutional settlement; user-authoritative example.",APPLY
GBR,Great Britain,STATE_WALES,Wales,973196,NOT_IN_OLD_SCREEN,HISTORICALLY_ELIGIBLE_WEAK_INTEGRATION,User-authoritative runtime compromise for weaker Welsh fiscal-administrative integration; historically less distinct than Scotland.,APPLY
GWA,Gwalior,STATE_MALWA,Malwa,1733642,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
HAN,Hanover,STATE_BRUNSWICK,Brunswick,184000,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
HAN,Hanover,STATE_ELBE,Elbe,512788,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
HUN,Hungary,STATE_BANAT,Banat,1189660,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
HUN,Hungary,STATE_BEKES,Partium,1524492,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
HUN,Hungary,STATE_DELVIDEK,Vojvodina,761396,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
HUN,Hungary,STATE_RUTHENIA,Ruthenia,342154,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
IR1,Mamluk Iraq,STATE_BAGHDAD,Baghdad,500994,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
IR1,Mamluk Iraq,STATE_BASRA,Basra,425904,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
IR1,Mamluk Iraq,STATE_DEIR_EZ_ZOR,Deir-Ez-Zor,254096,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
IREK,Kingdom of Ireland,STATE_CONNAUGHT,Connaught,1390481,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
IREK,Kingdom of Ireland,STATE_MUNSTER,Munster,2348237,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
JAP,Japan,STATE_CHUGOKU,Chugoku,2768928,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
JAP,Japan,STATE_HOKUSHINETSU,Hokushin'etsu,2908540,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
JAP,Japan,STATE_KYOTO,Kyoto,2021176,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
JAP,Japan,STATE_SHIKOKU,Shikoku,1513836,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
KOR,Korea,STATE_BUSAN,Yeongnam,3596627,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
KOR,Korea,STATE_PYONGYANG,Yangseo,3612828,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
KOR,Korea,STATE_SARIWON,Gwanbuk,1620102,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
KOR,Korea,STATE_SEOUL,Gyeonggi,2818978,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
MARATH,Maratha Confederacy,STATE_BUNDELKHAND,Bundelkhand,2017508,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
MARATH,Maratha Confederacy,STATE_MALWA,Malwa,547720,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
MAS,Mascara,STATE_ORAN,Oran,735807,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
MOR,Morocco,STATE_MARRAKECH,Marrakech,1029196,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
OMA,Oman,STATE_ABU_DHABI,Trucial Coast,4830,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
OMA,Oman,STATE_KENYA,Kenya,60900,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
OMA,Oman,STATE_OMAN,Oman,234000,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_ARMENIA,Armenia,252964,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_ISFAHAN,Isfahan,499382,7,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_KERMAN,Kerman,227689,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_KHORASAN,Khorasan,715822,8,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_LURISTAN,Luristan,325202,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_MAZANDARAN,Mazandaran,1026936,9,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_PERSIAN_KURDISTAN,Persian Kurdistan,401370,6,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_SEMNAN,Semnan,59311,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PER,Persia,STATE_URMIA,Urmia,360941,5,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PHI,Philippines,STATE_WEST_MICRONESIA,West Micronesia,8994,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
PLC,Poland-Lithuania,STATE_WEST_PRUSSIA,West Prussia,67004,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
POR,Portugal,STATE_MADEIRA,Madeira,110202,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_AKMOLINSK,Akmolinsk,48776,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_ARKHANGELSK,Arkhangelsk,238520,8,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_ASTRAKHAN,Astrakhan,264795,10,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_BURYATIA,Buryatia,175587,6,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_CHELYABINSK,Chelyabinsk,325607,11,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_CHERNIHIV,Chernihiv,1424280,24,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_CHUVASHIA,Cheboksary,555443,14,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_DOBRUDJA,Dobrudja,21660,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_GALICH,Vologda,746504,18,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_KALMYKIA,Kalmykia,125762,5,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_KOLYMA,Kolyma,41821,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_KRASNOYARSK,Krasnoyarsk,196440,7,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_KURSK,Kursk,2189913,27,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_MOGILEV,Magiliow,624822,15,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_NIZHNY_NOVGOROD,Nizhny Novgorod,1582933,26,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_NOVGOROD,Novgorod,820118,20,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_PERM,Perm,777777,19,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_PSKOV,Pskov,706885,17,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_ROSTOV,Rostov,631680,16,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_RYAZAN,Ryazan,1243172,23,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_SMOLENSK,Smolensk,1029741,21,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_SURGUT,Surgut,12058,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_TVER,Tver,1232108,22,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_UFA,Ufa,369535,12,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_VITEBSK,Vitsyebsk,410133,13,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_VYATKA,Vyatka,1512000,25,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
RUS,Russia,STATE_WEST_KARELIA,West Karelia,249000,9,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_BAJA_CALIFORNIA,Baja California,22864,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_CHIAPAS,Chiapas,146677,6,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_CHIHUAHUA,Chihuahua,163895,8,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_COSTA_RICA,Costa Rica,83992,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_DURANGO,Durango,156999,7,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_GUERRERO,Guerrero,231320,10,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_RIO_GRANDE,Río Grande,224503,9,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_SINALOA,Sinaloa,134941,5,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_SONORA,Sonora,112724,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_TEXAS,Texas,15000,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC1,Nueva España,STATE_VERACRUZ,Veracruz,251061,11,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC2,Nueva Granada,STATE_ANTIOQUIA,Antioquia,537812,5,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC2,Nueva Granada,STATE_BOLIVAR,Bolívar,198162,6,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC2,Nueva Granada,STATE_CAUCA,Cauca,284400,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC2,Nueva Granada,STATE_CUNDINAMARCA,Cundinamarca,527600,8,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC2,Nueva Granada,STATE_GUAVIARE,Guaviare,128392,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC2,Nueva Granada,STATE_MIRANDA,Miranda,359124,7,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC2,Nueva Granada,STATE_PANAMA,Panama,128192,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC2,Nueva Granada,STATE_ZULIA,Zulia,431116,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_ANTOFAGASTA,Antofagasta,112196,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_AREQUIPA,Arequipa,277400,6,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_CAJAMARCA,Cajamarca,306500,7,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_ICA,Ica,351708,8,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_LIMA,Lima,504100,10,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_LOS_RIOS,Los Ríos,252892,5,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_PASTAZA,Pastaza,92900,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_POTOSI,Potosí,159996,9,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_SANTA_CRUZ,Santa Cruz,171000,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC3,Perú,STATE_TARAPACA,Tarapacá,52000,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SC4,Río de la Plata,STATE_JUJUY,Jujuy,72404,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SIA,Siam,STATE_CAMBODIA,Cambodia,201335,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SIA,Siam,STATE_MALAYA,Malaya,264800,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SIA,Siam,STATE_NAKHON_RATCHASIMA,Nakhon Ratchasima,1182312,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SIC,Two Sicilies,STATE_ABRUZZO,Abruzzo,660448,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SIC,Two Sicilies,STATE_APULIA,Apulia,1284392,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SIC,Two Sicilies,STATE_CALABRIA,Calabria,882848,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SOK,Sokoto,STATE_HAUSALAND,Hausaland,1465304,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SOK,Sokoto,STATE_NIGERIA,Nigeria,576308,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SOK,Sokoto,STATE_NORTH_CAMEROON,North Cameroon,794172,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
SOK,Sokoto,STATE_OUTER_HAUSALAND,Outer Hausaland,187159,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TIB,Tibet,STATE_EASTERN_HIMALAYAS,Eastern Himalayas,150146,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TIB,Tibet,STATE_NGARI,Ngari,890000,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_ADANA,Adana,368409,14,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_CRETE,Crete,139992,6,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_CYPRUS,Cyprus,148665,8,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_DOBRUDJA,Dobrudja,231948,12,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_DONGOLA,Dongola,27504,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_EAST_AEGEAN_ISLANDS,East Aegean Islands,93984,5,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_ERITREA,Eritrea,143160,7,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_KARS,Kars,189700,10,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_KOSOVO,Kosovo,308893,13,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_LEBANON,Lebanon,378000,16,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_MACEDONIA,Macedonia,446104,18,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_MATRUH,Matruh,22050,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_MONTENEGRO,Montenegro,170996,9,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_PALESTINE,Palestine,370500,15,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_PELOPONNESE,Peloponnese,221996,11,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
TUR,Turkey,STATE_SINAI,Sinai,20616,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
