Owner_TAG,State_ID,Building_ID,Current_Level,Protected_Target_Level,Current_PM_Overrides,Source_File,Protection_Reason
SAR,STATE_SARDINIA,building_naval_administration,3,3,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC1,STATE_COSTA_RICA,building_barrack,1,1,pm_no_organization,common/history/buildings/06_central_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC1,STATE_GUATEMALA,building_barrack,2,2,pm_no_organization,common/history/buildings/06_central_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC1,STATE_HONDURAS,building_barrack,2,2,pm_no_organization,common/history/buildings/06_central_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC1,STATE_NICARAGUA,building_barrack,1,1,pm_no_organization,common/history/buildings/06_central_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC1,STATE_SAN_SALVADOR,building_barrack,2,2,pm_no_organization,common/history/buildings/06_central_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC3,STATE_AREQUIPA,building_barrack,1,1,pm_no_organization,common/history/buildings/07_south_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC3,STATE_CAJAMARCA,building_barrack,1,1,pm_no_organization,common/history/buildings/07_south_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC3,STATE_ICA,building_barrack,3,3,pm_no_organization,common/history/buildings/07_south_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC3,STATE_LIMA,building_barrack,3,3,pm_no_organization,common/history/buildings/07_south_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC3,STATE_POTOSI,building_barrack,2,2,pm_no_organization,common/history/buildings/07_south_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SC3,STATE_SANTA_CRUZ,building_barrack,5,5,pm_no_organization,common/history/buildings/07_south_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SIC,STATE_CAMPANIA,building_naval_administration,3,3,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SOK,STATE_EAST_HAUSALAND,building_barrack,20,20,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SOK,STATE_HAUSALAND,building_barrack,20,20,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SOK,STATE_NIGERIA,building_barrack,15,15,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SOK,STATE_NORTH_CAMEROON,building_barrack,10,10,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SOK,STATE_OUTER_HAUSALAND,building_barrack,5,5,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SPA,STATE_GALICIA,building_naval_administration,9,9,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SPA,STATE_LOWER_ANDALUSIA,building_naval_administration,9,9,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SPA,STATE_MURCIA,building_naval_administration,6,6,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SPA,STATE_WEST_INDIES,building_naval_administration,3,3,pm_simple_sailor_recruitment,common/history/buildings/06_central_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
SWE,STATE_SCANIA,building_naval_administration,16,16,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
TRA,STATE_TRAVANCORE,building_naval_administration,1,1,pm_simple_sailor_recruitment,common/history/buildings/10_india.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
TRI,STATE_TRIPOLI,building_naval_administration,1,1,pm_simple_sailor_recruitment,common/history/buildings/03_north_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
TRN,STATE_TRANSVAAL,building_barrack,3,3,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
TUN,STATE_TUNISIA,building_naval_administration,1,1,pm_simple_sailor_recruitment,common/history/buildings/03_north_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
TUR,STATE_EASTERN_THRACE,building_naval_administration,6,6,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
TUS,STATE_TUSCANY,building_naval_administration,1,1,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
USA,STATE_NEW_YORK,building_naval_administration,2,2,pm_simple_sailor_recruitment,common/history/buildings/05_north_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
USA,STATE_VIRGINIA,building_naval_administration,1,1,pm_simple_sailor_recruitment,common/history/buildings/05_north_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
VEN,STATE_VENETIA,building_naval_administration,5,5,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
WTU,STATE_KENYA,building_barrack,1,1,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
