Market_or_Country,Historical_Target_Supply,Calibrated_Target_Supply,Estimated_Demand,Coverage_Ratio,Trade_Access,Risk,Runtime_Required
CIR,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
CMB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
CMI,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
COB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
COC,40.0,40.0,40.0,1.000,COASTAL_OR_PORT_ACCESS,MEDIUM_TRADE_DEPENDENT,YES
CON,0.0,0.0,5.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
CRI,0.0,0.0,5.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
CUB,0.0,165.0,125.0,1.320,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
DAH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
DAI,0.0,0.0,70.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
DEI,0.0,75.0,100.0,0.750,COASTAL_OR_PORT_ACCESS,MEDIUM_TRADE_DEPENDENT,YES
DENNOR,95.0,205.0,175.0,1.171,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
DFR,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
DIN,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
DLM,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
DUR,0.0,40.0,45.0,0.889,COASTAL_OR_PORT_ACCESS,MEDIUM_TRADE_DEPENDENT,YES
ETH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
EZO,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
FRA,150.0,975.0,820.0,1.189,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
FRM,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
FTR,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
GAL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
GBR,110.0,440.0,785.0,0.561,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
GR3,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
GR5,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
GWA,0.0,0.0,15.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
HAI,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HAM,0.0,40.0,85.0,0.471,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
HAN,40.0,40.0,15.0,2.667,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HAW,0.0,15.0,5.0,3.000,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HBC,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HDJ,0.0,0.0,5.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
HEK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HES,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HOL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HRO,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HUN,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
HYD,0.0,0.0,35.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
INDOP,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
IQU,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
IR1,0.0,0.0,60.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
IREK,0.0,110.0,120.0,0.917,COASTAL_OR_PORT_ACCESS,MEDIUM_TRADE_DEPENDENT,YES
JAP,0.0,160.0,120.0,1.333,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
JBB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
JEY,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
JMB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
JOH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
KBB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
KHI,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
KOK,0.0,0.0,10.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
KOR,0.0,0.0,30.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
KRG,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
KRT,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
KZH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
KZM,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LAH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LBA,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LIP,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LND,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LOU,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LUA,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LUB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LUC,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
LUX,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MARATH,0.0,120.0,130.0,0.923,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
MAS,0.0,40.0,90.0,0.444,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
MBB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MBS,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MEC,0.0,0.0,5.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
MEI,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MGD,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MLT,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MOD,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MOL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MOR,0.0,40.0,85.0,0.471,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
MSN,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
MST,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
MUG,0.0,0.0,40.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
MYS,80.0,80.0,35.0,2.286,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
NAG,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
NAM,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
NAS,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
NBB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
NBS,55.0,55.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
NEP,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
NET,15.0,30.0,545.0,0.055,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
NVS,0.0,0.0,40.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
OLD,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
OMA,0.0,80.0,45.0,1.778,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ONT,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ORA,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
OUA,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
OVB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
OVM,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
OYO,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
OZH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
PAN,0.0,55.0,5.0,11.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
PAP,0.0,95.0,80.0,1.188,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
PAR,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
PCO,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
PER,40.0,120.0,265.0,0.453,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
PHI,0.0,0.0,120.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
PHL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
PLC,120.0,175.0,275.0,0.636,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
PLY,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
PON,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
POR,55.0,155.0,590.0,0.263,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
PRU,0.0,110.0,75.0,1.467,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
PUD,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
QUE,0.0,55.0,45.0,1.222,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
RGB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
RUS,1030.0,1030.0,670.0,1.537,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
RWD,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
RYU,80.0,80.0,40.0,2.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SAK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SAR,55.0,55.0,10.0,5.500,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SAX,0.0,0.0,35.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
SC1,40.0,285.0,140.0,2.036,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SC2,0.0,80.0,50.0,1.600,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SC3,80.0,160.0,20.0,8.000,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SC4,0.0,160.0,25.0,6.400,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SCH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SCM,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SCW,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SD1,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SEL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SGU,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
SIA,0.0,0.0,50.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
SIC,0.0,110.0,85.0,1.294,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SIK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SIL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SIN,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SMB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SOK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SPA,55.0,1080.0,900.0,1.200,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
