TAG,Technology,Required_By_Buildings,Required_By_PMs,Historical_Tech_Status,Prerequisite_Closure,Final_Decision,Reason
BRZ,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BUK,institutionalized_scientific_exchange,building_university,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
BUK,organized_workshops,building_glassworks|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BUK,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BUK,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
CAUC,organized_textile_production,building_textile_mill,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
CAUC,organized_workshops,building_tooling_workshop,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
CHC,organized_workshops,building_tooling_workshop,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
CHI,regulated_small_arms,building_arms_industry,,MISSING_FROM_START,COMPLETE,REVIEW,The corrected arms/artillery building target is not sufficient by itself to grant this military technology; an independent historical starting-capability justification is required.
CHI,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
CON,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
CRI,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
CUB,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
DAI,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
DEI,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
DEI,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
DENNOR,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
DENNOR,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
DUR,organized_textile_production,building_textile_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
DUR,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
FRA,industrial_canals,building_railway,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
FRA,organized_financial_institutions,building_construction_sector,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
FRA,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
FRA,organized_workshops,building_furniture_manufactory|building_glassworks|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
FRA,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
FRA,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
FRA,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
GBR,industrial_canals,building_railway,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
GBR,organized_financial_institutions,building_construction_sector,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
GBR,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
GBR,organized_workshops,building_furniture_manufactory|building_glassworks|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
GBR,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
GBR,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
GBR,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
GBR,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
HAM,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
HAN,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
HDJ,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
IR1,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
IR1,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
IREK,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
IREK,organized_financial_institutions,building_construction_sector,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
IREK,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
IREK,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
IREK,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
JAP,shaft_mining,building_gold_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
JAP,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
JAP,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
KBB,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
KOR,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
KZM,shaft_mining,building_copper_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
LAH,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
LBA,shaft_mining,building_copper_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
LND,shaft_mining,building_copper_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
LUX,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
MARATH,organized_workshops,building_glassworks,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
MARATH,regulated_small_arms,building_arms_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
MARATH,standardized_field_artillery,building_artillery_foundry,,MISSING_FROM_START,COMPLETE,REVIEW,The corrected arms/artillery building target is not sufficient by itself to grant this military technology; an independent historical starting-capability justification is required.
MAS,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
MAS,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
MBB,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
MOR,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
MOR,organized_workshops,building_furniture_manufactory|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
MOR,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
MUG,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
MUG,regulated_small_arms,building_arms_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
MUG,standardized_field_artillery,building_artillery_foundry,,MISSING_FROM_START,COMPLETE,REVIEW,The corrected arms/artillery building target is not sufficient by itself to grant this military technology; an independent historical starting-capability justification is required.
MYS,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
MYS,organized_workshops,building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
NET,industrial_canals,building_railway,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
NET,organized_financial_institutions,building_construction_sector,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
NET,organized_workshops,building_furniture_manufactory|building_glassworks|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
NET,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
NET,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
NET,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
OMA,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
OMA,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PAN,shaft_mining,building_salt_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
PAP,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PAP,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
PAP,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PCO,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
PER,institutionalized_scientific_exchange,building_university,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
PER,organized_workshops,building_furniture_manufactory|building_glassworks|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PER,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PHI,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
PLC,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PLC,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PLC,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PON,shaft_mining,building_gold_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
POR,organized_financial_institutions,building_construction_sector,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
POR,organized_workshops,building_furniture_manufactory|building_glassworks,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
POR,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
POR,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
POR,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
PRU,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
QUE,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
RUS,industrial_canals,building_railway,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
RUS,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
RUS,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
RUS,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
RUS,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
RUS,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SAR,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SAX,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SAX,organized_workshops,building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SC1,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SC1,organized_workshops,building_furniture_manufactory,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SC1,scientific_fortification_siegecraft,,,MISSING_FROM_START,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SC1,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SC1,traditional_papermaking,building_paper_mill,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
SC2,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SC2,scientific_fortification_siegecraft,,,MISSING_FROM_START,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SC2,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SC3,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SC3,scientific_fortification_siegecraft,,,MISSING_FROM_START,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SC3,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SC4,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SC4,scientific_fortification_siegecraft,,,MISSING_FROM_START,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SIA,regulated_small_arms,building_arms_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SIA,standardized_field_artillery,building_artillery_foundry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SIC,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SIC,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SIC,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SIC,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SMB,shaft_mining,building_gold_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
SPA,organized_financial_institutions,building_construction_sector,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SPA,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SPA,organized_workshops,building_furniture_manufactory|building_glassworks|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SPA,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SPA,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SPA,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SPA,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SWE,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SWE,state_dockyard_systems,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
SWE,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
SWI,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
TIB,organized_textile_production,building_textile_mill,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
TRI,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
TRS,shaft_mining,building_salt_mine,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
TUN,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
TUN,organized_textile_production,building_textile_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
TUN,scientific_fortification_siegecraft,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
TUN,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
TUR,organized_workshops,building_glassworks|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
TUR,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
TUS,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
USA,institutionalized_scientific_exchange,building_university,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
USA,organized_workshops,building_furniture_manufactory|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
USA,shaft_mining,building_iron_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
USA,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
USA,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
WUR,organized_workshops,building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
ZAI,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
