Research_Region,Owner_TAG,Owner_Name,State_ID,State_Name,Supplemental_Status,Positive_Row_Count,Evidence_Source_1,Evidence_Source_2,Evidence_Class,Coverage_Confidence,Map_Rework_Risk,Original_Reason_Missing,Notes
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EASTERN_THRACE,Eastern Thrace,COVERED_POSITIVE,2,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 2 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EAST_AEGEAN_ISLANDS,East Aegean Islands,COVERED_POSITIVE,1,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,AUS,Austria,STATE_EAST_SWITZERLAND,East Switzerland,COVERED_ZERO_POSITIVE,0,SUPPLIED_FILE:BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,,AGGREGATE_OLD_COVERAGE_PLUS_SUPPLEMENTAL_NEGATIVE_REVIEW,MEDIUM,NONE,AGGREGATE_COVERAGE_ASSERTED_BUT_PAIR_NOT_EXPLICITLY_ENUMERATED,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,HAN,Hanover,STATE_ELBE,Elbe,COVERED_ZERO_POSITIVE,0,SUPPLIED_FILE:BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,,AGGREGATE_OLD_COVERAGE_PLUS_SUPPLEMENTAL_NEGATIVE_REVIEW,MEDIUM,NONE,AGGREGATE_COVERAGE_ASSERTED_BUT_PAIR_NOT_EXPLICITLY_ENUMERATED,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,DENNOR,Denmark-Norway,STATE_GREENLAND,Greenland,COVERED_POSITIVE,1,https://natmus.dk/organisation/forskning-og-kulturarv/nyere-tid-og-verdens-kulturer/etnografisk-samling/arktisk-forskning/projects/phd-project/,,DIRECT_18C_COLONIAL_TRADE_CONTEXT,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,GR7,Inuit,STATE_GREENLAND,Greenland,COVERED_ZERO_POSITIVE,0,https://natmus.dk/organisation/forskning-og-kulturarv/nyere-tid-og-verdens-kulturer/etnografisk-samling/arktisk-forskning/projects/phd-project/,,DIRECT_18C_COLONIAL_TRADE_CONTEXT,HIGH,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_KOSOVO,Kosovo,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_MACEDONIA,Macedonia,COVERED_POSITIVE,2,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 2 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,MLT,Malta,STATE_MALTA,Malta,COVERED_POSITIVE,1,https://www.um.edu.mt/library/oar/handle/123456789/42151,,DIRECT_18C_SECTOR_EVIDENCE,HIGH,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,MON,Montenegro,STATE_MONTENEGRO,Montenegro,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,,REGIONAL_18C_EVIDENCE_INSUFFICIENT_FOR_EXACT_POSITIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_MONTENEGRO,Montenegro,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_NORTHERN_THRACE,Northern Thrace,COVERED_POSITIVE,2,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 2 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_PELOPONNESE,Peloponnese,COVERED_POSITIVE,1,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_SKOPIA,Skopia,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_THESSALIA,Thessaly,COVERED_POSITIVE,2,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 2 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_WESTERN_SERBIA,Western Serbia,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_WESTERN_THRACE,Western Thrace,COVERED_POSITIVE,2,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 2 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,HOH,Hohenzollern,STATE_WURTTEMBERG,Württemberg,COVERED_ZERO_POSITIVE,0,SUPPLIED_FILE:BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,,AGGREGATE_OLD_COVERAGE_PLUS_SUPPLEMENTAL_NEGATIVE_REVIEW,MEDIUM,NONE,AGGREGATE_COVERAGE_ASSERTED_BUT_PAIR_NOT_EXPLICITLY_ENUMERATED,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,OZH,Orta Zhuz,STATE_AKMOLINSK,Akmolinsk,COVERED_POSITIVE,1,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,REGIONAL_18C_EVIDENCE_CONSERVATIVE,LOW,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,RUS,Russia,STATE_AKMOLINSK,Akmolinsk,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/abs/conquest-of-siberia/chap-x/B7711F17740F52E332CB356D36EDABAA,,REGIONAL_18C_SIBERIAN_TRADE_CONTEXT,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,KZH,Kishi Zhuz,STATE_AKTOBE,Aktobe,COVERED_POSITIVE,1,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,REGIONAL_18C_EVIDENCE_CONSERVATIVE,LOW,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,CHI,China,STATE_ALTAI,Altai,COVERED_ZERO_POSITIVE,0,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,REGIONAL_CENTRAL_ASIA_CONTEXT_INSUFFICIENT_FOR_EXACT_POSITIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,CHI,China,STATE_AMUR,Northern Heilongjiang,COVERED_POSITIVE,1,https://www.cambridge.org/core/journals/international-review-of-social-history/article/tributary-labour-relations-in-china-during-the-mingqing-transition-seventeenth-to-eighteenth-centuries/7AC034138FC2F5591D10313C256F2E53,,DIRECT_17_18C_LIVELIHOOD_EVIDENCE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,HUN,Hungary,STATE_BANAT,Banat,COVERED_POSITIVE,1,https://journals.univie.ac.at/index.php/rhy/article/view/7012,https://www.cambridge.org/core/books/abs/agricultural-knowledge-networks-in-rural-europe-17002000/proper-values-in-agriculture-the-role-of-agricultural-associations-in-knowledge-dissemination-in-hungary-18301880/DC43DE1AE2C2AFFD140E0CC6A790C9E6,DIRECT_OR_CLOSE_18C_AGRICULTURAL_EVIDENCE,HIGH,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,HUN,Hungary,STATE_BEKES,Partium,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/abs/agricultural-knowledge-networks-in-rural-europe-17002000/proper-values-in-agriculture-the-role-of-agricultural-associations-in-knowledge-dissemination-in-hungary-18301880/DC43DE1AE2C2AFFD140E0CC6A790C9E6,,REGIONAL_HUNGARY_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,AUS,Austria,STATE_BUKOVINA,Bukovina,COVERED_POSITIVE,1,https://www.jstor.org/stable/jj.5329287.8,,DIRECT_MINERAL_CONTEXT_NEAR_1776,MEDIUM,NONE,AGGREGATE_COVERAGE_ASSERTED_BUT_PAIR_NOT_EXPLICITLY_ENUMERATED,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,RUS,Russia,STATE_BURYATIA,Buryatia,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/abs/conquest-of-siberia/chap-x/B7711F17740F52E332CB356D36EDABAA,,REGIONAL_18C_SIBERIAN_TRADE_CONTEXT,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,HUN,Hungary,STATE_CENTRAL_HUNGARY,Great Hungarian Plain,COVERED_POSITIVE,1,https://www.cambridge.org/core/books/abs/agricultural-knowledge-networks-in-rural-europe-17002000/proper-values-in-agriculture-the-role-of-agricultural-associations-in-knowledge-dissemination-in-hungary-18301880/DC43DE1AE2C2AFFD140E0CC6A790C9E6,,REGIONAL_HUNGARY_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,KZH,Kishi Zhuz,STATE_CHELYABINSK,Chelyabinsk,COVERED_POSITIVE,1,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,REGIONAL_18C_EVIDENCE_CONSERVATIVE,LOW,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R2_NORTHERN_CENTRAL_EASTERN_EUROPE,OZH,Orta Zhuz,STATE_CHELYABINSK,Chelyabinsk,COVERED_POSITIVE,1,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/central-asia-vii/,REGIONAL_18C_EVIDENCE_CONSERVATIVE,LOW,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
