TAG,Country,Removed_Recommendation,Missing_Prerequisites,Reason
GR5,Santo Domingo,standardized_field_artillery,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
GRE,Greece,codified_practical_knowledge,periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
HAI,Haiti,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
HAI,Haiti,standardized_field_artillery,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
HBC,Hudson's Bay Company,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
HYD,Hyderabad,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
IQU,Iquicha,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
IR1,Mamluk Iraq,codified_practical_knowledge,institutionalized_scientific_exchange,Would create a prerequisite gap absent from the pre-implementation setup
JAI,Dhundhar,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
JAP,Japan,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
KAS,Kashmir,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
KBA,Kuba,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
KOR,Korea,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
LAN,Lanfang,codified_practical_knowledge,institutionalized_scientific_exchange,Would create a prerequisite gap absent from the pre-implementation setup
LNG,Loango,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
MAD,Madagascar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
MARATH,Maratha Confederacy,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
MICC,Michigan Tribal Confederation,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
MKT,Miskitia,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
MUG,Hindustan,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
NBS,New Brunswick,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
NET,Netherlands,industrial_canals,turnpike_road_networks,Would create a prerequisite gap absent from the pre-implementation setup
NET,Netherlands,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
ONT,Ontario,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
ORG,Oregon,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
PAN,Punjab,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
PRA,Grão-Pará,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
PRG,Paraguay,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
RWD,Rwanda,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
SAR,Sardinia-Piedmont,specialized_technical_academies,institutionalized_scientific_exchange,Would create a prerequisite gap absent from the pre-implementation setup
SAX,Saxony,specialized_technical_academies,institutionalized_scientific_exchange,Would create a prerequisite gap absent from the pre-implementation setup
SC2,Nueva Granada,applied_mineralogy,shaft_mining,Would create a prerequisite gap absent from the pre-implementation setup
SC2,Nueva Granada,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
SC4,Río de la Plata,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
SEQ,Indian Territory,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
SIC,Two Sicilies,specialized_technical_academies,institutionalized_scientific_exchange,Would create a prerequisite gap absent from the pre-implementation setup
SPC,Carlist Spain,atmospheric_engine,coke_smelting,Would create a prerequisite gap absent from the pre-implementation setup
TIB,Tibet,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
TIB,Tibet,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
TUN,Tunis,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
UBD,United Baltic Provinces,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
UBD,United Baltic Provinces,standardized_field_artillery,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
UCA,Central America,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
VNZ,Venezuela,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
