TAG,Technology,Current_Start_Status,Proposed_Start_Status,Reason,Decision_Type
MOR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
MOR,shaft_mining,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
MYS,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
NAW,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
NEP,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
NET,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
NOR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
NVS,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
OMA,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
PAP,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
PHI,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
PLY,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
POR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
PRA,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
PRU,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
RUS,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
RYU,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
SAF,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
SAR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
SC2,shaft_mining,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
SHS,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
SIA,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
SIC,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
SPA,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
SPC,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
SWE,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
TIB,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
TNG,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
TRI,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
TUN,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
TUR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
TUS,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
UBD,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
VEN,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
