technology_id,era,category,prerequisite_count,prerequisites,dependent_count,dependents,connected_component,component_size,minimum_depth,source_status,temporary_status,root_in_category,terminal_in_category,isolated_in_category,same_category_degree,hub_degree_5_plus,articulation_point,bridge_count,bridges,large_single_bridge_count,large_single_bridges,long_edges_span_2,long_edges_span_3,long_edges_span_4_plus,long_edges_span_6,maximum_era_gap,cross_category_prerequisite_count,era_inversion_count,non_layout_sha256
rifling,era_5,military,3,light_infantry_tactics;armament_standardization_inspection;mechanical_tools,3,breech_loading_artillery;percussion_cap;repeaters,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,5,YES,NO,0,,0,,1,0,0,0,2,1,0,47d099e9999c3b2eca12520e13183d4dfa2a7a476bf19751afd01b2e28b2efb8
standardized_military_rockets,era_5,military,2,explosive_field_ammunition;armament_standardization_inspection,0,,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,5e49581a8f868e5aa8043c76886eb39d79d9ec3db92eec4d370b9ef181c86223
standardized_naval_signals,era_5,military,1,scientific_naval_architecture,0,,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,1,NO,NO,1,scientific_naval_architecture--standardized_naval_signals:1,0,,1,0,0,0,2,0,0,c0d699a6c4b82536667881f666ff51065bd2bfd84723bebd04bedbdaf9730c90
general_staff,era_6,military,3,corps_organization;military_topographic_surveying;logistics,2,military_statistics;trench_works,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,5,YES,NO,0,,0,,1,0,0,0,2,0,0,af0cc53314da8d1fcecdee79a7d6beabc01fdc8e0ae14ac8d97a34a11a26c420
iron_hull_construction,era_6,military,4,scientific_naval_architecture;mechanized_naval_dockyards;puddling_and_rolling;mechanical_tools,1,ironclad_tech,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,3,NO,NO,0,,0,,1,1,0,0,3,2,0,250c7a7e36d38f853e7171344ffbd80fc34c8dbf6ce328565b3dc56d2e8f2981
maritime_safety_standards,era_6,military,2,ship_classification_surveying;hydrographic_surveying,0,,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,2,NO,YES,2,hydrographic_surveying--maritime_safety_standards:3;maritime_safety_standards--ship_classification_surveying:2,1,hydrographic_surveying--maritime_safety_standards:3,0,1,0,0,3,0,0,5b065be6ac8489db65b631ef46cdd7632e369658642f917503bc0a2b3e0eb7f2
modern_lighthouse_optics,era_6,military,2,hydrographic_surveying;pressed_glass,0,,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,1,NO,NO,1,hydrographic_surveying--modern_lighthouse_optics:1,0,,0,0,0,0,1,1,0,fbaa745674eb89af122024594a8f76747ec8ac3cf7927279c3d3da5077197876
percussion_cap,era_6,military,2,armament_standardization_inspection;rifling,1,repeaters,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,3,NO,NO,0,,0,,1,0,0,0,2,0,0,a620eb2d1c0ff989690961523018e49565afb93fffa606a06ab963b5cc4b0700
shell_gun,era_6,military,2,standardized_field_artillery;scientific_naval_architecture,1,breech_loading_artillery,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,3,NO,NO,0,,0,,0,2,0,0,3,0,0,2a1983678f8d8562b5e415cae7bb5ffcf8d928dec2a86e734019812a4658a196
admiralty,era_7,military,1,navigation,1,power_of_the_purse,military-C01,86,1,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,523bdb679193396c0ce29b6067398268dc353ab51e888cbd3d5d2da95c177ca9
army_reserves,era_7,military,1,line_infantry,1,enlistment_offices,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,41be8e184917c99a00541b1724bcecfc100b9bdc7a7800a941bfe17d5cfa0949
artillery,era_7,military,1,gunsmithing,1,napoleonic_warfare,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,7a515750616ce9f2ccd224b0686c5a7f78e6c301d65cb8401a5569941d63e21a
drydocks,era_7,military,1,navigation,1,hydraulic_cranes,military-C01,86,1,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,3a65e924cd1964acd01991e81219a730569e125eba7b3fd5f53f058717ef7c9f
gunsmithing,era_7,military,1,standing_army,1,artillery,military-C01,86,1,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,173a18a9735882403c553c3da72d9e446c9e797d24376f81d164050f4f8ecdd4
hydraulic_cranes,era_7,military,1,drydocks,1,gantry_cranes,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,e7670b8a7d642090524eb89aef7aea94c510829c541632f94980553e217067d0
line_infantry,era_7,military,2,mandatory_service;military_drill,2,army_reserves;napoleonic_warfare,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,4,NO,NO,0,,0,,0,0,0,0,0,0,0,8d989244980abbc5e973ed57f97858ed678af0ae77f42abb33b95c3d4391ea65
mandatory_service,era_7,military,1,standing_army,2,enlistment_offices;line_infantry,military-C01,86,1,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,0,0,0,0,0,0,0,18bfbc34809f9f600813b60f7e1a73fcdb5701bf05fc13aba4055394bf5463e1
military_drill,era_7,military,1,standing_army,1,line_infantry,military-C01,86,1,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,a8b0b82d2ee25163f2e776bba78e77edcdd6dc071ac62e85d38954c0202db192
napoleonic_warfare,era_7,military,2,line_infantry;artillery,1,field_works,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,0,0,0,0,0,0,0,c8cf2d2350365fbb7ba72317d42660cf86d0eccd20b2eb44c1be48c008288787
navigation,era_7,military,0,,2,admiralty;drydocks,military-C01,86,0,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,YES,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,a9fe28f785d6a05545db593c800ceefb92db11b469db57f74e176ea495da08e3
power_of_the_purse,era_7,military,1,admiralty,1,self_propelled_torpedoes,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,332e65471039cc13bed5ed44323e661b7fb9783d102116b0c7941aff9e282bda
screw_frigate,era_7,military,1,paddle_steamer,2,gantry_cranes;ironclad_tech,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,1,0,0,0,2,0,0,9f22afa0b05691f52f5ea90818789c93829ba35e251eaab69262e4afa9b76e08
standing_army,era_7,military,0,,3,gunsmithing;mandatory_service;military_drill,military-C01,86,0,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,YES,NO,NO,3,NO,NO,0,,0,,0,0,0,0,0,0,0,32dd636039ba21ab5c9b9eb23284460603db7ebbb36fd3d1055e870dd5980b0e
triage,era_7,military,1,logistics,1,modern_nursing,military-C01,86,1,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,YES,2,logistics--triage:2;modern_nursing--triage:1,0,,1,0,0,0,2,0,0,fdf05f63ec15542d5baf8544200a11e94459eafa9d489eb123923dc8bbbd3789
breech_loading_artillery,era_8,military,2,rifling;shell_gun,2,handcranked_machine_gun;monitor_tech,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,4,NO,NO,0,,0,,1,1,0,0,3,0,0,b713ce2a78d5da40ae365c8f275046d3c75f418790fca5ff7704e0deb1d29616
electric_telegraph,era_8,military,2,logistics;optical_telegraph_networks,2,military_statistics;trench_works,military-C01,86,1,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,0,1,1,0,4,1,0,f345bd2f5543d37963f946c3f6d0499ac830fba51ba9286aebf4ff0e26838c0e
enlistment_offices,era_8,military,3,logistics;mandatory_service;army_reserves,1,war_propaganda,military-C01,86,1,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,4,NO,YES,1,enlistment_offices--war_propaganda:1,0,,0,1,0,0,3,0,0,94888495d0ed10bad9c2c6ef751e9f74ff812635a71976e6cbc8e71950d096b0
field_works,era_8,military,1,napoleonic_warfare,1,trench_works,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,59a81e801113c5d10f923c43c91ab5eb9cbb022e11cf88a9dd4d8730b437d5a5
gantry_cranes,era_8,military,2,hydraulic_cranes;screw_frigate,1,floating_harbor,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,0,0,0,0,1,0,0,f911d98fdef4cfae6310e0bca3e85a67c86b97831a42df9361ea4c4d083c67f6
ironclad_tech,era_8,military,2,screw_frigate;iron_hull_construction,2,monitor_tech;pre_dreadnought_tech,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,4,NO,NO,0,,0,,1,0,0,0,2,0,0,f43e76645350f374d28f9efd32ab7898ef09655b6bb86b165a63fe9e0328a1ae
modern_nursing,era_8,military,1,triage,0,,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,YES,NO,1,NO,NO,1,modern_nursing--triage:1,0,,0,0,0,0,1,0,0,79141fde03fcaa7ff16b5d9649a826d0678cccabebf5373736f8b5bad6da62ce
repeaters,era_8,military,2,rifling;percussion_cap,2,bolt_action_rifles;handcranked_machine_gun,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,4,NO,NO,0,,0,,1,1,0,0,3,0,0,73beec35128f2b1226e9199eccfa9152a7b9f0081a5383dfdd0e98c36a3acdfe
self_propelled_torpedoes,era_8,military,1,power_of_the_purse,2,jeune_ecole;submarine,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,YES,1,self_propelled_torpedoes--submarine:1,0,,0,0,0,0,1,0,0,671501f8958ca651cf5e441ff9a7255ee2c9b439947e4faae14ede0e9fbe15f4
floating_harbor,era_9,military,1,gantry_cranes,1,concrete_dockyards,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,8baf87f29bf3ff264121e8b96c99ad0efaeb10bf077ab362095cc0275fa81846
handcranked_machine_gun,era_9,military,2,repeaters;breech_loading_artillery,3,automatic_machine_guns;defense_in_depth;military_aviation,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,5,YES,NO,0,,0,,0,0,0,0,1,0,0,90714c6d69ab7e3e8827312c20e1731e7ecaf7705c977062a2eca0841130787c
jeune_ecole,era_9,military,1,self_propelled_torpedoes,2,landing_craft;sea_lane_strategies,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,0,0,0,0,1,0,0,8330ff17eee417e30464e851d99c385a9cbf4333046e8d4801358175d8b02ca6
military_statistics,era_9,military,2,electric_telegraph;general_staff,1,wargaming,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,0,1,0,0,3,0,0,c7e84129fdeb65e92d1f3cd25da91f9e06a2be01f3d44a816f800f8748e0b148
monitor_tech,era_9,military,2,ironclad_tech;breech_loading_artillery,2,destroyer;landing_craft,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,4,NO,YES,1,destroyer--monitor_tech:1,0,,0,0,0,0,1,0,0,6f0a85fe4653e61525e6436ea8c071edd6c89f2094c31b9ee0b50674763778c5
trench_works,era_9,military,3,general_staff;electric_telegraph;field_works,4,defense_in_depth;flamethrowers;nco_training;stormtroopers,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,7,YES,NO,0,,0,,0,1,0,0,3,0,0,53b44fba624dc34ae53fbb177d396f7e3635105e2a98ae6f1d874df35c1cfa81
bolt_action_rifles,era_10,military,1,repeaters,1,automatic_machine_guns,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,1,0,0,0,2,0,0,32e75a3463cab30fdc902f84b6dd3db8164a8ae3113f95fb287645ca84ef956f
concrete_dockyards,era_10,military,1,floating_harbor,1,dreadnought_tech,military-C01,86,5,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,99f6f62f1098e2dc6dea3da8506a535ce80eab1071feec3a0bfe2837d878d269
landing_craft,era_10,military,2,jeune_ecole;monitor_tech,0,,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,YES,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,9902c58853212fb92288b24e64aa3e1c1bb59b192b23a6f24701d029901bdcf6
military_aviation,era_10,military,1,handcranked_machine_gun,1,dreadnought_tech,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,2b58eb61cf0aa161fc45e6f1c8d383028f2034f620ef5db7b236c73ebecefc96
pre_dreadnought_tech,era_10,military,1,ironclad_tech,1,dreadnought_tech,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,2,NO,NO,0,,0,,1,0,0,0,2,0,0,80d22606c74b5c55685e5cd607c4084adb51050f743bc265c50dedfded86ff12
sea_lane_strategies,era_10,military,1,jeune_ecole,2,battlefleet_tactics;dreadnought_tech,military-C01,86,5,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,0,0,0,0,1,0,0,f039700212e14a078a03fa7d29ce2a2dbd7048f64284e6197fee81c10bae1deb
submarine,era_10,military,1,self_propelled_torpedoes,0,,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,YES,NO,1,NO,NO,1,self_propelled_torpedoes--submarine:1,0,,1,0,0,0,2,0,0,7a4b7a9ce4c6604931b8a4e5f231c5fa2d3602a273515aa2816bed8d3997d386
war_propaganda,era_10,military,1,enlistment_offices,0,,military-C01,86,2,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,YES,NO,1,NO,NO,1,enlistment_offices--war_propaganda:1,0,,1,0,0,0,2,0,0,c899e2d11d6c951ffc13257e6aa2383cc7832d149412fcdd645eded17ccb1dd7
wargaming,era_10,military,1,military_statistics,2,nco_training;stormtroopers,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,0,0,0,0,1,0,0,9eaf3f85cd61f4d6511dd0182a90b94723c6d73d1f42724e4619c0b157ef0371
automatic_machine_guns,era_11,military,2,handcranked_machine_gun;bolt_action_rifles,2,chemical_warfare;flamethrowers,military-C01,86,4,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,4,NO,YES,1,automatic_machine_guns--chemical_warfare:1,0,,1,0,0,0,2,0,0,9da5d351767ba5d144010aae4c8a7a6915e41a1770ba01b280d1d19a7d98f8d8
defense_in_depth,era_11,military,2,trench_works;handcranked_machine_gun,1,concrete_fortifications,military-C01,86,3,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,3,NO,NO,0,,0,,2,0,0,0,2,0,0,5538dfeb9bd258b41be748366b5e90c2bd1e894a01f3a7ee33a4a814b172b736
dreadnought_tech,era_11,military,4,pre_dreadnought_tech;sea_lane_strategies;concrete_dockyards;military_aviation,2,battleship_tech;carrier_tech,military-C01,86,5,VANILLA_COMPATIBILITY,TEMPORARY_COMPATIBILITY,NO,NO,NO,6,YES,YES,1,carrier_tech--dreadnought_tech:1,0,,0,0,0,0,1,0,0,0b0da0ddcdfd4e6e418bda42fc3d6ca2b6b01adac48b1abd75dc5843a7eb8f11
