TAG,Country,Region,Research_Status,Current_Technology_Count,Historical_Target_Count,Add_Count_vs_Local,Remove_Count_vs_Local,Unresolved_Count,Tree_Blocker_Count,Classification_Blocker_Count,Historical_Target_Technologies,Unresolved_Technologies,Tree_Blockers,Classification_Blockers,Implementation_Status
BRD,Burundi,AFRICA,RESEARCHED,2,0,0,2,0,0,0,,,,,READY
BRE,Bremen,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,7,4,4,0,0,1,distillation;enclosed_dock_systems;international_relations;organized_textile_production;sugar_refining;traditional_food_processing;traditional_furniture_making,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BRG,Borgu,AFRICA,RESEARCHED,6,6,3,3,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
BRK,Brakna,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
BRN,Borana,AFRICA,RESEARCHED,1,2,1,0,0,0,0,improved_husbandry;variolation_networks,,,,READY
BRU,Brunei,EAST_ASIA_SE_ASIA,RESEARCHED,7,6,1,2,0,1,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",,READY_AFTER_TREE_FIX
BRZ,Brazil,AMERICAS_CARIBBEAN,RESEARCHED,9,16,8,1,0,1,1,applied_mineralogy;colonization;distillation;enclosed_dock_systems;improved_husbandry;international_relations;organized_forestry;organized_textile_production;scientific_naval_architecture;shaft_mining;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making,,standardized_field_artillery->regulated_small_arms,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BST,Basutoland,AFRICA,RESEARCHED,3,1,0,2,0,0,0,improved_husbandry,,,,READY
BTN,Buton,EAST_ASIA_SE_ASIA,RESEARCHED,7,4,0,3,0,0,0,distillation;improved_husbandry;international_relations;organized_textile_production,,,,READY
BUG,Buganda,AFRICA,RESEARCHED,3,0,0,3,0,0,0,,,,,READY
BUK,Bukhara,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,8,11,4,1,0,1,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;shaft_mining;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",,READY_AFTER_TREE_FIX
BUN,Orchha,SOUTH_ASIA,RESEARCHED,6,4,2,4,0,0,1,distillation;improved_husbandry;sugar_refining;traditional_food_processing,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BUR,Burma,EAST_ASIA_SE_ASIA,RESEARCHED,8,14,8,2,0,1,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery;state_dockyard_systems;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_papermaking,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",,READY_AFTER_TREE_FIX
CAM,Cambodia,EAST_ASIA_SE_ASIA,RESEARCHED,7,8,4,3,0,1,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",,READY_AFTER_TREE_FIX
CAY,Cayor,AFRICA,RESEARCHED,1,7,6,0,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
CHC,Chechnya,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,5,7,2,0,0,1,0,distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;urbanization,,regulated_small_arms->scientific_fortification_siegecraft,,READY_AFTER_TREE_FIX
CHI,China,EAST_ASIA_SE_ASIA,RESEARCHED,12,31,21,2,0,3,9,advanced_crop_rotations;codified_practical_knowledge;coke_smelting;distillation;improved_agricultural_implements;improved_husbandry;industrial_canals;industrial_ceramics;institutionalized_scientific_exchange;international_relations;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;shaft_mining;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;variolation_networks,,advanced_crop_rotations->selective_breeding;industrial_canals->turnpike_road_networks;standardized_field_artillery->regulated_small_arms,advanced_crop_rotations;improved_agricultural_implements;industrial_canals;industrial_ceramics;medical_degrees;organized_elementary_schooling;sugar_refining;systematic_legal_codification;systematic_population_registration,READY_AFTER_CLASSIFICATION_DECISION
CHK,Chokwe,AFRICA,RESEARCHED,2,2,1,1,0,0,0,improved_husbandry;traditional_food_processing,,,,READY
CHL,Chile,AMERICAS_CARIBBEAN,RESEARCHED,8,13,6,1,0,3,1,applied_mineralogy;distillation;improved_husbandry;international_relations;light_infantry_tactics;medical_degrees;organized_textile_production;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;variolation_networks,,light_infantry_tactics->regulated_small_arms;medical_degrees->institutionalized_scientific_exchange;standardized_field_artillery->regulated_small_arms,medical_degrees,READY_AFTER_CLASSIFICATION_DECISION
CHP,Champasak,EAST_ASIA_SE_ASIA,RESEARCHED,7,4,0,3,0,0,0,distillation;improved_husbandry;international_relations;organized_textile_production,,,,READY
CHT,Chitral,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,5,6,1,0,0,1,0,distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;urbanization,,light_infantry_tactics->regulated_small_arms,,READY_AFTER_TREE_FIX
CIR,Circassia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,5,7,2,0,0,1,0,distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;urbanization,,regulated_small_arms->scientific_fortification_siegecraft,,READY_AFTER_TREE_FIX
CLM,Colombia,AMERICAS_CARIBBEAN,RESEARCHED,8,12,5,1,1,2,0,applied_mineralogy;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;organized_textile_production;permanent_engineer_services;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making,medical_degrees,permanent_engineer_services->scientific_fortification_siegecraft;standardized_field_artillery->regulated_small_arms,,NEEDS_REVIEW
CMB,Chaamba,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
CMI,Chiang Mai,EAST_ASIA_SE_ASIA,RESEARCHED,7,5,1,3,0,0,0,distillation;improved_husbandry;international_relations;organized_textile_production;traditional_papermaking,,,,READY
COB,Saxe-Coburg-Gotha,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,5,2,4,0,0,0,distillation;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,,READY
COC,Cochin,SOUTH_ASIA,RESEARCHED,5,7,4,2,1,1,2,advanced_crop_rotations;distillation;improved_husbandry;international_relations;organized_textile_production;sugar_refining;traditional_food_processing,cotton_gin,advanced_crop_rotations->selective_breeding,advanced_crop_rotations;sugar_refining,NEEDS_REVIEW
COM,Comanche,AMERICAS_CARIBBEAN,RESEARCHED,2,2,1,1,0,0,0,improved_husbandry;international_relations,,,,READY
