Technology_ID,Category,Era,Parent_Count,Parents,Child_Count,Children,Building_Unlocks,PM_Unlocks,Law_Unlocks,Modifier_Count,Start_Country_Count,Role,Problem_Flags,Recommendation
triage,military,era_7,1,logistics,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
breech_loading_artillery,military,era_8,1,shell_gun,1,monitor_tech,,pm_breech_loaders,,0,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
enlistment_offices,military,era_8,2,corps_organization;logistics,1,war_propaganda,,,law_mass_conscription,1,0,Déblocage loi,OK,KEEP
gantry_cranes,military,era_8,2,maritime_safety_standards;mechanized_naval_dockyards,1,floating_harbor,,pm_industrial_port;pm_metal_shipbuilding,,1,0,Déblocage PM,OK,KEEP
monitor_tech,military,era_8,2,breech_loading_artillery;ironclad_tech,1,destroyer,,,,1,0,Déblocage contenu militaire/diplomatique,OK,KEEP
repeaters,military,era_8,2,percussion_cap;rifling,2,bolt_action_rifles;handcranked_machine_gun,,pm_repeaters,,0,0,Déblocage PM,OK,KEEP
self_propelled_torpedoes,military,era_8,1,shell_gun,2,jeune_ecole;submarine,,,,0,0,Déblocage contenu militaire/diplomatique,OK,KEEP
bolt_action_rifles,military,era_9,1,repeaters,1,automatic_machine_guns,,pm_bolt_action_rifles,,0,0,Déblocage PM,OK,KEEP
floating_harbor,military,era_9,1,gantry_cranes,2,concrete_dockyards;landing_craft,,pm_trade_center_trade_quantity_very_high,,0,0,Déblocage PM,OK,KEEP
handcranked_machine_gun,military,era_9,1,repeaters,1,automatic_machine_guns,,,,1,0,Nœud structurel,OK,KEEP
jeune_ecole,military,era_9,1,self_propelled_torpedoes,1,sea_lane_strategies,,pm_jeune_ecole,law_jeune_ecole,1,0,Déblocage PM/loi,OK,KEEP
military_statistics,military,era_9,1,general_staff,1,wargaming,,pm_advanced_tactics_training;pm_advanced_tactics_training_conscription,,1,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
trench_works,military,era_9,1,field_works,4,chemical_warfare;defense_in_depth;flamethrowers;stormtroopers,,,,0,0,Déblocage contenu militaire/diplomatique,OK,KEEP
wargaming,military,era_9,1,military_statistics,2,military_aviation;nco_training,,pm_training_streamlining;pm_training_streamlining_conscription,,1,0,Déblocage PM,OK,KEEP
concrete_dockyards,military,era_10,1,floating_harbor,1,battleship_tech,,pm_modern_port,,2,0,Déblocage PM,OK,KEEP
military_aviation,military,era_10,1,wargaming,2,carrier_tech;mobile_armor,,pm_aeroplane_production;pm_all_metal_aircraft,,1,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
pre_dreadnought_tech,military,era_10,1,ironclad_tech,1,dreadnought_tech,,,,0,0,Déblocage contenu militaire/diplomatique,OK,KEEP
sea_lane_strategies,military,era_10,1,jeune_ecole,1,battlefleet_tactics,,pm_sea_lane_strategies,,1,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
war_propaganda,military,era_10,1,enlistment_offices,0,,,,,1,0,Bonus technologique,LOW_VALUE,KEEP
automatic_machine_guns,military,era_11,2,bolt_action_rifles;handcranked_machine_gun,1,defense_in_depth,,pm_recoiled_barrels,,0,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
concrete_fortifications,military,era_11,2,casemated_fortifications;defense_in_depth,0,,,pm_naval_fortification_advanced,,1,0,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
defense_in_depth,military,era_11,2,automatic_machine_guns;trench_works,1,concrete_fortifications,,,,1,0,Déblocage contenu militaire/diplomatique,OK,KEEP
destroyer,military,era_11,1,monitor_tech,1,battlefleet_tactics,,,,0,0,Déblocage contenu militaire/diplomatique,OK,KEEP
dreadnought_tech,military,era_11,1,pre_dreadnought_tech,3,battlefleet_tactics;battleship_tech;carrier_tech,,,,1,0,Déblocage contenu militaire/diplomatique,OK,KEEP
landing_craft,military,era_11,2,field_engineering_pontoon_trains;floating_harbor,0,,,,,0,0,Déblocage contenu militaire/diplomatique,LOW_VALUE;BAD_ERA_CHAIN,REVIEW_TOPOLOGY
nco_training,military,era_11,1,wargaming,1,stormtroopers,,pm_nco_incorporation;pm_nco_incorporation_conscription,,1,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
stormtroopers,military,era_11,2,nco_training;trench_works,1,mobile_armor,,,,1,0,Nœud structurel,OK,KEEP
submarine,military,era_11,1,self_propelled_torpedoes,0,,,,,1,0,Déblocage contenu militaire/diplomatique,OK,KEEP
battlefleet_tactics,military,era_12,3,destroyer;dreadnought_tech;sea_lane_strategies,0,,,pm_battlefleet_tactics,,1,0,Déblocage PM,OK,KEEP
battleship_tech,military,era_12,2,concrete_dockyards;dreadnought_tech,0,,,,,0,0,Déblocage contenu militaire/diplomatique,LOW_VALUE,KEEP
carrier_tech,military,era_12,2,dreadnought_tech;military_aviation,0,,,,,0,0,Déblocage contenu militaire/diplomatique,LOW_VALUE,KEEP
chemical_warfare,military,era_12,1,trench_works,0,,,,,0,0,Déblocage contenu militaire/diplomatique,LOW_VALUE,KEEP
flamethrowers,military,era_12,1,trench_works,0,,,,,1,0,Déblocage contenu militaire/diplomatique,OK,KEEP
mobile_armor,military,era_12,2,military_aviation;stormtroopers,0,,,pm_mobile_warfare_tactics;pm_mobile_warfare_tactics_conscription;pm_tank_production,,0,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
coke_smelting,production,era_1,2,organized_workshops;shaft_mining,3,coal_gasification;precision_boring;puddling_and_rolling,building_steel_mill,,,0,2,Déblocage bâtiment,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
distillation,production,era_1,1,traditional_food_processing,1,fractional_distillation,,pm_pot_stills;pm_spiced_food_preparations,,0,262,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
improved_agricultural_implements,production,era_1,1,improved_husbandry,2,automated_flour_milling;threshing_machine,,pm_tools,,0,138,Déblocage PM,OK,KEEP
improved_husbandry,production,era_1,0,,4,advanced_crop_rotations;improved_agricultural_implements;organized_forestry;selective_breeding,building_banana_plantation;building_coffee_plantation;building_dye_plantation;building_livestock_ranch;building_maize_farm;building_millet_farm;building_opium_plantation;building_rice_farm;building_rye_farm;building_silk_plantation;building_spice_plantation;building_sugar_plantation;building_tea_plantation;building_tobacco_plantation;building_vineyard;building_wheat_farm,,,0,401,Déblocage bâtiment/contenu militaire/diplomatique,OK,KEEP
organized_textile_production,production,era_1,0,,1,mechanized_spinning,building_textile_mill,pm_craftsman_sewing,,0,293,Déblocage bâtiment/PM,OK,KEEP
organized_workshops,production,era_1,0,,4,coke_smelting;crystal_glass;industrial_ceramics;precision_boring,building_furniture_manufactory;building_glassworks;building_tooling_workshop,,,0,217,Déblocage bâtiment,ROOT_OVER_SPECIALIZED,REVIEW_TOPOLOGY
shaft_mining,production,era_1,0,,4,applied_mineralogy;atmospheric_engine;coke_smelting;deep_mine_engineering,building_coal_mine;building_copper_mine;building_iron_mine;building_lead_mine;building_limestone_quarry;building_salt_mine;building_sulfur_mine,,,0,55,Déblocage bâtiment/contenu militaire/diplomatique,ROOT_OVER_SPECIALIZED,REVIEW_TOPOLOGY
traditional_food_processing,production,era_1,0,,3,automated_flour_milling;distillation;sugar_refining,building_food_industry,,,0,396,Déblocage bâtiment,OK,KEEP
traditional_papermaking,production,era_1,0,,1,continuous_papermaking,building_paper_mill,,,0,78,Déblocage bâtiment,ROOT_OVER_SPECIALIZED;BAD_ERA_CHAIN,REVIEW_TOPOLOGY
atmospheric_engine,production,era_2,1,shaft_mining,4,condensing_steam_engines;deep_mine_engineering;high_pressure_steam;precision_boring,,pm_atmospheric_engine_pump_building_bauxite_mine;pm_atmospheric_engine_pump_building_coal_mine;pm_atmospheric_engine_pump_building_copper_mine;pm_atmospheric_engine_pump_building_gold_mine;pm_atmospheric_engine_pump_building_iron_mine;pm_atmospheric_engine_pump_building_lead_mine;pm_atmospheric_engine_pump_building_phosphate_mine;pm_atmospheric_engine_pump_building_salt_mine;pm_atmospheric_engine_pump_building_sulfur_mine,,0,8,Déblocage PM,OK,KEEP
industrial_acids,production,era_2,0,,5,artificial_fertilizers;coal_gasification;fractional_distillation;industrial_alkalis;nitroglycerin,building_chemical_works,,,0,4,Déblocage bâtiment,ROOT_OVER_SPECIALIZED;BAD_ERA_CHAIN,REVIEW_TOPOLOGY
organized_forestry,production,era_2,1,improved_husbandry,0,,,pm_organized_forestry,,1,30,Déblocage PM,OK,ADD_MODIFIER: building_logging_camp_throughput_add = 0.05
selective_breeding,production,era_2,1,improved_husbandry,2,advanced_crop_rotations;mechanized_farming,,pm_sheep_farms,,1,45,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
sugar_refining,production,era_2,1,traditional_food_processing,1,baking_powder,,pm_sweeteners,,0,104,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
traditional_glassmaking,production,era_2,0,,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
turnpike_road_networks,production,era_2,0,,2,improved_road_engineering;industrial_canals,,pm_market_squares;pm_turnpike_road_network,,0,15,Déblocage PM,ROOT_OVER_SPECIALIZED,REVIEW_TOPOLOGY
advanced_crop_rotations,production,era_3,2,improved_husbandry;selective_breeding,2,artificial_fertilizers;systematic_field_drainage,,pm_soil_enriching_farming;pm_soil_enriching_farming_building_rice_farm,,0,43,Déblocage PM,OK,KEEP
applied_mineralogy,production,era_3,1,shaft_mining,2,deep_mine_engineering;geological_surveying,building_gold_field;building_gold_mine;building_phosphate_mine,,,0,30,Déblocage bâtiment,OK,KEEP
industrial_canals,production,era_3,1,turnpike_road_networks,1,professional_civil_engineering,,pm_industrial_canals,,0,10,Déblocage PM,OK,KEEP
industrial_ceramics,production,era_3,1,organized_workshops,3,chemical_bleaching;crystal_glass;hydraulic_cements,,pm_ceramics;pm_leaded_glass,,0,30,Déblocage PM,OK,KEEP
mechanized_spinning,production,era_3,1,organized_textile_production,3,advanced_spinning;cotton_gin;mechanized_weaving,,pm_dye_workshops,,0,2,Déblocage PM,OK,KEEP
mechanized_weaving,production,era_3,1,mechanized_spinning,1,electrical_capacitors,,pm_mechanized_looms,,0,0,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
advanced_spinning,production,era_4,1,mechanized_spinning,1,electrical_capacitors,,pm_sewing_machines,,0,0,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
artificial_fertilizers,production,era_4,2,advanced_crop_rotations;industrial_acids,1,improved_fertilizer,building_chemical_plant,,,0,0,Déblocage bâtiment,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
automated_flour_milling,production,era_4,2,improved_agricultural_implements;traditional_food_processing,1,canneries,,pm_cylinder_flour_milling,,0,0,Déblocage PM,OK,KEEP
condensing_steam_engines,production,era_4,2,atmospheric_engine;precision_boring,1,rotative_steam_power,,pm_condensing_engine_pump_building_coal_mine;pm_condensing_engine_pump_building_copper_mine;pm_condensing_engine_pump_building_gold_mine;pm_condensing_engine_pump_building_iron_mine;pm_condensing_engine_pump_building_lead_mine;pm_condensing_engine_pump_building_phosphate_mine;pm_condensing_engine_pump_building_salt_mine;pm_condensing_engine_pump_building_sulfur_mine,,0,0,Déblocage PM,OK,KEEP
cotton_gin,production,era_4,1,mechanized_spinning,1,lathe,,,,1,0,Nœud structurel,OK,KEEP
crystal_glass,production,era_4,2,industrial_ceramics;organized_workshops,1,pressed_glass,,pm_crystal_glass,,0,0,Déblocage PM,OK,KEEP
deep_mine_engineering,production,era_4,3,applied_mineralogy;atmospheric_engine;shaft_mining,1,mine_safety_engineering,,pm_electric_mine_ventilation;pm_electric_mine_ventilation_building_bauxite_mine;pm_steam_mine_ventilation;pm_steam_mine_ventilation_building_bauxite_mine,,0,0,Déblocage PM,OK,KEEP
enclosure,production,era_4,0,,1,intensive_agriculture,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
manufacturies,production,era_4,0,,1,mechanized_workshops,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
precision_boring,production,era_4,3,atmospheric_engine;coke_smelting;organized_workshops,3,condensing_steam_engines;continuous_papermaking;mechanical_tools,,pm_pig_iron,,0,1,Déblocage PM,OK,KEEP
puddling_and_rolling,production,era_4,1,coke_smelting,3,hot_blast_smelting;mechanical_tools;railways,,pm_blister_steel_process,,0,0,Déblocage PM,OK,KEEP
threshing_machine,production,era_4,1,improved_agricultural_implements,1,mechanized_farming,,pm_steam_threshers;pm_steam_threshers_building_rice_farm,,0,0,Déblocage PM,OK,KEEP
canneries,production,era_5,1,automated_flour_milling,1,mechanized_workshops,,pm_cannery;pm_cannery_fish,,0,0,Déblocage PM,OK,KEEP
chemical_bleaching,production,era_5,2,industrial_alkalis;industrial_ceramics,1,industrial_paper_bleaching,,pm_bone_china;pm_chemical_bleaching_textile_mill,,0,0,Déblocage PM,OK,KEEP
coal_gasification,production,era_5,2,coke_smelting;industrial_acids,0,,,pm_gas_streetlights,,0,0,Déblocage PM,LOW_VALUE;BAD_ERA_CHAIN,REVIEW_TOPOLOGY
continuous_papermaking,production,era_5,2,precision_boring;traditional_papermaking,1,industrial_paper_bleaching,,pm_sulfite_pulping,,0,0,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
high_pressure_steam,production,era_5,3,atmospheric_engine;mechanical_tools;rotative_steam_power,2,railways;watertube_boiler,,pm_vapor_compression_refrigeration_building_fishing_wharf;pm_vapor_compression_refrigeration_building_livestock_ranch;pm_vapor_compression_refrigeration_building_whaling_station,,0,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
improved_road_engineering,production,era_5,1,turnpike_road_networks,2,professional_civil_engineering;systematic_field_drainage,,pm_engineered_road_network,,0,0,Déblocage PM,OK,KEEP
industrial_alkalis,production,era_5,1,industrial_acids,4,baking_powder;bauxite_processing;chemical_bleaching;pressed_glass,,pm_brine_electrolysis_building_chemical_works;pm_leblanc_alkali_process,,0,0,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
intensive_agriculture,production,era_5,1,enclosure,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
lathe,production,era_5,1,cotton_gin,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
mechanical_tools,production,era_5,2,precision_boring;puddling_and_rolling,6,fractional_distillation;high_pressure_steam;interchangeable_manufacture;mechanized_workshops;pressed_glass;steam_donkey,building_pena_palace,pm_lathe;pm_precision_tools;pm_saw_mills;pm_slaughterhouses;pm_steel,,0,0,Déblocage bâtiment/PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
mine_safety_engineering,production,era_5,1,deep_mine_engineering,0,,,,,1,0,Bonus technologique,LOW_VALUE,KEEP
professional_civil_engineering,production,era_5,2,improved_road_engineering;industrial_canals,4,geological_surveying;hydraulic_cements;paved_roads;railways,building_cement_works,pm_engineered_canals;pm_iron_frame_buildings,,0,0,Déblocage bâtiment/PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
rotative_steam_power,production,era_5,1,condensing_steam_engines,3,high_pressure_steam;hot_blast_smelting;mechanized_irrigation,building_motor_industry,,,0,0,Déblocage bâtiment,OK,KEEP
systematic_field_drainage,production,era_5,2,advanced_crop_rotations;improved_road_engineering,1,mechanized_irrigation,,,,0,0,Nœud structurel,OK,KEEP
fractional_distillation,production,era_6,3,distillation;industrial_acids;mechanical_tools,2,aniline;rubber_mastication,building_oil_refinery,pm_fractional_distillation_refinery;pm_patent_stills,,0,0,Déblocage bâtiment/PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
geological_surveying,production,era_6,2,applied_mineralogy;professional_civil_engineering,2,prospecting;pumpjacks,,pm_crushing_and_screening_building_limestone_quarry;pm_ore_concentration_building_bauxite_mine;pm_ore_concentration_building_coal_mine;pm_ore_concentration_building_copper_mine;pm_ore_concentration_building_gold_mine;pm_ore_concentration_building_iron_mine;pm_ore_concentration_building_lead_mine;pm_ore_concentration_building_phosphate_mine;pm_ore_concentration_building_sulfur_mine;pm_salt_purification_building_salt_mine,,1,0,Déblocage PM,OK,KEEP
hot_blast_smelting,production,era_6,2,puddling_and_rolling;rotative_steam_power,2,bessemer_process;steelworking,,,,0,0,Nœud structurel,OK,KEEP
hydraulic_cements,production,era_6,2,industrial_ceramics;professional_civil_engineering,1,portland_cement,,pm_hydraulic_cement_process,,0,0,Déblocage PM,OK,KEEP
hydraulic_turbines,production,era_6,0,,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,MERGE dans professional_civil_engineering; conserver l’ID comme alias non recherchable jusqu’à un vrai PM hydraulique
industrial_paper_bleaching,production,era_6,2,chemical_bleaching;continuous_papermaking,0,,,pm_bleached_paper,,0,0,Déblocage PM,LOW_VALUE,KEEP
interchangeable_manufacture,production,era_6,1,mechanical_tools,2,shift_work;vacuum_canning,,pm_mechanized_workshops;pm_precision_machine_tools,,1,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
mechanized_irrigation,production,era_6,2,rotative_steam_power;systematic_field_drainage,0,,,pm_mechanized_spice_cultivation,,0,0,Déblocage PM,LOW_VALUE,KEEP
pressed_glass,production,era_6,3,crystal_glass;industrial_alkalis;mechanical_tools,1,automatic_bottle_blowers,,pm_pressed_glass,,0,0,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
