Technology_ID,Category,Era,Current_Parents,Parent_Assessment,Proposed_Parents,Change,Reason
hot_blast_smelting,production,era_6,puddling_and_rolling;rotative_steam_power,GOOD,puddling_and_rolling;rotative_steam_power,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
hydraulic_cements,production,era_6,industrial_ceramics;professional_civil_engineering,GOOD,industrial_ceramics;professional_civil_engineering,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
hydraulic_turbines,production,era_6,mechanical_tools;professional_civil_engineering,REDUNDANT_PARENT,,MERGE_AND_ALIAS,Concept absorbed by professional_civil_engineering; no external runtime reference found.
industrial_paper_bleaching,production,era_6,chemical_bleaching;continuous_papermaking,GOOD,chemical_bleaching;continuous_papermaking,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
interchangeable_manufacture,production,era_6,mechanical_tools,GOOD,mechanical_tools,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
mechanized_irrigation,production,era_6,rotative_steam_power;systematic_field_drainage,GOOD,rotative_steam_power;systematic_field_drainage,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
pressed_glass,production,era_6,crystal_glass;industrial_alkalis;mechanical_tools,GOOD,crystal_glass;industrial_alkalis;mechanical_tools,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
railways,production,era_6,high_pressure_steam;professional_civil_engineering;puddling_and_rolling,GOOD,high_pressure_steam;professional_civil_engineering;puddling_and_rolling,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
baking_powder,production,era_7,industrial_acids;sugar_refining,BAD_CAUSALITY,industrial_alkalis;sugar_refining,REPLACE_PARENT,Replaced a remote general chemistry gate with the nearer cumulative stage identified by the architecture audit.
bessemer_process,production,era_7,hot_blast_smelting,GOOD,hot_blast_smelting,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
mechanized_farming,production,era_7,selective_breeding;threshing_machine,ACCEPTABLE_ABSTRACTION,selective_breeding;threshing_machine,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
nitroglycerin,production,era_7,industrial_acids,ACCEPTABLE_ABSTRACTION,industrial_acids,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
portland_cement,production,era_7,hydraulic_cements,GOOD,hydraulic_cements,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
rubber_mastication,production,era_7,industrial_acids,BAD_CAUSALITY,fractional_distillation,REPLACE_PARENT,Replaced a remote general chemistry gate with the nearer cumulative stage identified by the architecture audit.
watertube_boiler,production,era_7,high_pressure_steam,GOOD,high_pressure_steam,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
aniline,production,era_8,fractional_distillation,GOOD,fractional_distillation,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
dynamite,production,era_8,nitroglycerin,GOOD,nitroglycerin,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
improved_fertilizer,production,era_8,advanced_crop_rotations;industrial_acids,ACCEPTABLE_ABSTRACTION,advanced_crop_rotations;industrial_acids,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
open_hearth_process,production,era_8,bessemer_process,GOOD,bessemer_process,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
reinforced_concrete,production,era_8,bessemer_process;portland_cement,GOOD,bessemer_process;portland_cement,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
rotary_valve_engine,production,era_8,watertube_boiler,GOOD,watertube_boiler,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
shift_work,production,era_8,interchangeable_manufacture,GOOD,interchangeable_manufacture,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
steel_railway_cars,production,era_8,bessemer_process;railways,GOOD,bessemer_process;railways,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
vacuum_canning,production,era_8,interchangeable_manufacture,GOOD,interchangeable_manufacture,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
vulcanization,production,era_8,rubber_mastication,GOOD,rubber_mastication,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
combustion_engine,production,era_9,rotary_valve_engine,GOOD,rotary_valve_engine,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
electrical_capacitors,production,era_9,electrical_generation;mechanized_weaving,ACCEPTABLE_ABSTRACTION,electrical_generation;mechanized_weaving,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
electrical_generation,production,era_9,rotary_valve_engine,GOOD,rotary_valve_engine,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
pumpjacks,production,era_9,geological_surveying;steam_donkey,GOOD,geological_surveying;steam_donkey,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
steam_donkey,production,era_9,mechanical_tools;watertube_boiler,ACCEPTABLE_ABSTRACTION,mechanical_tools;watertube_boiler,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
telephone,production,era_9,electrical_generation,GOOD,electrical_generation,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
aluminium_metallurgy,production,era_10,electrical_capacitors;industrial_alkalis,ACCEPTABLE_ABSTRACTION,electrical_capacitors;industrial_alkalis,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
art_silk,production,era_10,aniline,GOOD,aniline,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
automatic_bottle_blowers,production,era_10,pressed_glass,ACCEPTABLE_ABSTRACTION,pressed_glass,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
conveyors,production,era_10,electrical_generation;shift_work;vulcanization,GOOD,electrical_generation;shift_work;vulcanization,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
electric_arc_process,production,era_10,open_hearth_process,GOOD,open_hearth_process,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
electric_railway,production,era_10,electrical_capacitors;steel_railway_cars,GOOD,electrical_capacitors;steel_railway_cars,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
pasteurization,production,era_10,vacuum_canning,GOOD,vacuum_canning,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
paved_roads,production,era_10,combustion_engine;professional_civil_engineering,ACCEPTABLE_ABSTRACTION,combustion_engine;professional_civil_engineering,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
plastics,production,era_10,art_silk,GOOD,art_silk,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
pneumatic_tools,production,era_10,rotary_valve_engine,GOOD,rotary_valve_engine,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
steam_turbine,production,era_10,rotary_valve_engine,MISSING_STRUCTURAL_PARENT,electrical_generation;rotary_valve_engine,ADD_PARENT,Added the missing cumulative gate required by the content/building chronology.
arc_welding,production,era_11,electric_arc_process,GOOD,electric_arc_process,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
compression_ignition,production,era_11,combustion_engine;mechanized_farming,ACCEPTABLE_ABSTRACTION,combustion_engine;mechanized_farming,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
nitrogen_fixation,production,era_11,improved_fertilizer,GOOD,improved_fertilizer,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
radio,production,era_11,telephone,GOOD,telephone,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
dough_rollers,production,era_12,conveyors,GOOD,conveyors,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
flash_freezing,production,era_12,pasteurization,GOOD,pasteurization,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
oil_turbine,production,era_12,steam_turbine,GOOD,steam_turbine,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
institutionalized_public_credit,society,era_1,organized_financial_institutions,GOOD,organized_financial_institutions,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
institutionalized_scientific_exchange,society,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
international_relations,society,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
organized_financial_institutions,society,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
periodical_print_networks,society,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
codified_practical_knowledge,society,era_2,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
commercial_insurance_markets,society,era_2,organized_financial_institutions,GOOD,organized_financial_institutions,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
stock_exchange,society,era_2,organized_financial_institutions,GOOD,organized_financial_institutions,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
systematic_administrative_statistics,society,era_2,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
variolation_networks,society,era_2,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
medical_degrees,society,era_3,codified_practical_knowledge,GOOD,codified_practical_knowledge,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
organized_elementary_schooling,society,era_3,codified_practical_knowledge,GOOD,codified_practical_knowledge,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
political_economy,society,era_3,codified_practical_knowledge,GOOD,codified_practical_knowledge,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
specialized_technical_academies,society,era_3,institutionalized_scientific_exchange,GOOD,institutionalized_scientific_exchange,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
systematic_population_registration,society,era_3,systematic_administrative_statistics,GOOD,systematic_administrative_statistics,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
veterinary_science,society,era_3,institutionalized_scientific_exchange,GOOD,institutionalized_scientific_exchange,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
classical_political_economy,society,era_4,political_economy;systematic_population_registration,GOOD,political_economy;systematic_population_registration,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
