"STATE_REGION","RESOURCE_TYPE","LA_GABELLE_TOTAL","KNOWN_1776","HIDDEN_DISCOVERABLE","CLASSIFICATION","HISTORICAL_STATUS_1776","SOURCE_1","SOURCE_2","CONFIDENCE","STARTING_BUILDING_LEVEL","STARTING_OWNER_1776","REQUIRED_TECH","OWNER_HAS_REQUIRED_TECH","NOTES"
"STATE_LIMA","building_salt_pan","40","40","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","1","SC3","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_LOS_RIOS","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_ALENTEJO","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_VALENCIA","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_BRITTANY","building_salt_pan","35","35","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","1","FRA","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_POITOU","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_LANGUEDOC","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","1","FRA","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_UMBRIA","building_salt_pan","10","10","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_TUSCANY","building_salt_pan","15","15","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_LAZIO","building_salt_pan","12","12","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_APULIA","building_salt_pan","35","35","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_DALMATIA","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_BOSNIA","building_salt_pan","8","8","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_MONTENEGRO","building_salt_pan","10","10","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_MACEDONIA","building_salt_pan","8","8","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_WESTERN_THRACE","building_salt_pan","12","12","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_AYDIN","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_AL_RIF","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_FEZ","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_MARRAKECH","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SINAI","building_salt_pan","45","45","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_LOWER_EGYPT","building_salt_pan","60","60","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","1","TUR","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_PALESTINE","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_GUANGDONG","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SHAOZHOU","building_salt_pan","12","12","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_FUJIAN","building_salt_pan","10","10","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","1","CHI","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_BEIJING","building_salt_pan","80","80","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","3","CHI","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_ZHILI","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_FORMOSA","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_TOHOKU","building_salt_pan","10","10","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_KANSAI","building_salt_pan","40","40","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_ANNAM","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_MEKONG","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_CAMBODIA","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_PEGU","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_ORISSA","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_MADRAS","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_MYSORE","building_salt_pan","10","10","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_TRAVANCORE","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_GUJARAT","building_salt_pan","50","50","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_BALUCHISTAN","building_salt_pan","35","35","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_WESTERN_AUSTRALIA","building_salt_pan","45","45","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_QUEENSLAND","building_salt_pan","35","35","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_VICTORIA","building_salt_pan","15","15","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SOUTH_AUSTRALIA","building_salt_pan","40","40","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_NEW_SOUTH_WALES","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_NORTH_MADAGASCAR","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SOUTH_MADAGASCAR","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_EASTERN_CAPE","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_CAPE_COLONY","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_LOURENCO_MARQUES","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SOMALILAND","building_salt_pan","35","35","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_ZANZIBAR","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_NAMAQUALAND","building_salt_pan","35","35","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_NORTH_ANGOLA","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SOUTH_ANGOLA","building_salt_pan","15","15","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_TOGO","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_DAHOMEY","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SIERRA_LEONE","building_salt_pan","15","15","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SENEGAL","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
