Technology ID,Category,Era,Classification,Countries currently starting,Potential issue,Notes
copper_sheathing,military,era_4,B,,,"EN=Copper Sheathing | FR=Doublage en cuivre | Prerequisites=scientific_naval_architecture | Children=— | Unlocks=PM:pm_copper_sheathing_building_shipyard | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
horse_artillery,military,era_4,B,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Horse Artillery | FR=Artillerie à cheval | Prerequisites=standardized_field_artillery | Children=corps_organization, military_veterinary_services | Unlocks=— | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
military_topographic_surveying,military,era_4,B,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Military Surveying | FR=Topographie militaire | Prerequisites=permanent_engineer_services | Children=general_staff, hydrographic_surveying | Unlocks=— | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
mysorean_iron_cased_rocketry,military,era_4,E,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,EN=Mysorean Rockets | FR=Fusées mysoréennes | Prerequisites=— | Children=— | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
permanent_engineer_services,military,era_4,B,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Engineer Corps | FR=Corps du génie | Prerequisites=scientific_fortification_siegecraft | Children=casemated_fortifications, corps_organization, field_engineering_pontoon_trains, military_topographic_surveying | Unlocks=— | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
battlefield_evacuation,military,era_5,C,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Battlefield Evacuation | FR=Évacuation des blessés | Prerequisites=permanent_military_hospitals, logistics | Children=modern_nursing | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
casemated_fortifications,military,era_5,C,,,"EN=Casemated Fortifications | FR=Forts casematés | Prerequisites=permanent_engineer_services | Children=concrete_fortifications | Unlocks=PM:pm_naval_fortification_reinforced | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
corps_organization,military,era_5,C,,,"EN=Corps Organization | FR=Corps d’armée | Prerequisites=horse_artillery, permanent_engineer_services | Children=enlistment_offices, general_staff, logistics | Unlocks=décret:decree_enlistment_efforts, décret:decree_violent_suppression, loi:law_national_militia, loi:law_professional_army | Modifier=yes: country_general_rank_impact_mult, state_conscription_rate_mult | Développement postérieur à 1776, surtout première industrialisation."
diagonal_ship_framing,military,era_5,C,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Diagonal Ship Framing | FR=Charpente diagonale | Prerequisites=scientific_naval_architecture | Children=iron_hull_construction | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
explosive_field_ammunition,military,era_5,C,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Explosive Ammunition | FR=Munitions explosives | Prerequisites=standardized_field_artillery | Children=standardized_military_rockets | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
field_engineering_pontoon_trains,military,era_5,C,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Engineers & Pontoons | FR=Génie et pontons | Prerequisites=permanent_engineer_services, logistics | Children=landing_craft | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
hydrographic_surveying,military,era_5,C,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Hydrographic Surveying | FR=Levé hydrographique | Prerequisites=marine_chronometry, military_topographic_surveying | Children=maritime_safety_standards, modern_lighthouse_optics | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
logistics,military,era_5,C,,,"EN=Logistics | FR=Logistique | Prerequisites=corps_organization | Children=battlefield_evacuation, electric_telegraph, enlistment_offices, field_engineering_pontoon_trains, general_staff, triage | Unlocks=loi:law_mass_conscription, loi:law_professional_army | Modifier=yes: country_general_rank_impact_mult, state_conscription_rate_mult | Développement postérieur à 1776, surtout première industrialisation."
mechanized_naval_dockyards,military,era_5,C,,,"EN=Mechanized Dockyards | FR=Arsenaux mécanisés | Prerequisites=scientific_naval_architecture, state_dockyard_systems, enclosed_dock_systems | Children=gantry_cranes, iron_hull_construction | Unlocks=PM:pm_trade_center_trade_quantity_high | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
military_veterinary_services,military,era_5,C,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,"EN=Veterinary Services | FR=Services vétérinaires | Prerequisites=horse_artillery | Children=— | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
paddle_steamer,military,era_5,C,,,"EN=Paddle Steamer | FR=Bateau à roues à aubes | Prerequisites=scientific_naval_architecture | Children=iron_hull_construction, screw_frigate | Unlocks=PM:pm_complex_shipbuilding, PM:pm_military_shipbuilding_wooden_2 | Modifier=yes: ship_crew_damage_mult, ship_hull_damage_mult | Développement postérieur à 1776, surtout première industrialisation."
percussion_cap,military,era_5,C,,,"EN=Percussion Cap | FR=Amorce à percussion | Prerequisites=armament_standardization_inspection, rifling | Children=general_staff, repeaters | Unlocks=PM:pm_percussion_caps, bâtiment:building_munition_plant | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
rifling,military,era_5,C,,,"EN=Rifling | FR=Rainurage | Prerequisites=light_infantry_tactics, armament_standardization_inspection | Children=percussion_cap, repeaters | Unlocks=PM:pm_rifles | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
standardized_military_rockets,military,era_5,C,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,"EN=Military Rockets | FR=Fusées militaires | Prerequisites=explosive_field_ammunition, armament_standardization_inspection | Children=— | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
standardized_naval_signals,military,era_5,C,,,"EN=Naval Signals | FR=Signaux navals | Prerequisites=scientific_naval_architecture | Children=— | Unlocks=PM:pm_power_of_the_purse, loi:law_diplomatic_navy, loi:law_professional_navy | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
general_staff,military,era_6,C,,,"EN=General Staff | FR=État-major | Prerequisites=corps_organization, military_topographic_surveying, logistics, percussion_cap | Children=field_works, military_statistics | Unlocks=PM:pm_general_training, PM:pm_general_training_conscription, loi:law_mass_conscription, loi:law_professional_army | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
iron_hull_construction,military,era_6,C,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Iron Hull Construction | FR=Coques en fer | Prerequisites=scientific_naval_architecture, mechanized_naval_dockyards, diagonal_ship_framing, paddle_steamer | Children=ironclad_tech | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
maritime_safety_standards,military,era_6,C,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Maritime Safety | FR=Sécurité maritime | Prerequisites=ship_classification_surveying, hydrographic_surveying | Children=gantry_cranes | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
modern_lighthouse_optics,military,era_6,C,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,"EN=Modern Lighthouse Optics | FR=Optique des phares | Prerequisites=hydrographic_surveying | Children=— | Unlocks=— | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
shell_gun,military,era_6,C,,,"EN=Shell Gun | FR=Canon à obus | Prerequisites=standardized_field_artillery, scientific_naval_architecture | Children=breech_loading_artillery, self_propelled_torpedoes | Unlocks=PM:pm_smoothbores | Modifier=no | Développement postérieur à 1776, surtout première industrialisation."
admiralty,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,EN=Admiralty | FR=Amirauté | Prerequisites=navigation | Children=power_of_the_purse | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
army_reserves,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,EN=Army Reserves | FR=Réserve militaire | Prerequisites=line_infantry | Children=— | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
artillery,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,EN=Artillery | FR=Artillerie | Prerequisites=gunsmithing | Children=napoleonic_warfare | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
drydocks,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,EN=Drydocks | FR=Cales sèches | Prerequisites=navigation | Children=hydraulic_cranes | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
electric_telegraph,military,era_7,D,,,EN=Electric Telegraph | FR=Télégraphe électrique | Prerequisites=logistics | Children=— | Unlocks=— | Modifier=yes: country_war_exhaustion_casualties_mult | Technologie nettement tardive pour un départ en 1776.
field_works,military,era_7,E,,,EN=Field Works | FR=Aménagement de terrain | Prerequisites=general_staff | Children=trench_works | Unlocks=PM:pm_barbed_wire_fences | Modifier=yes: unit_army_defense_mult | Capacité institutionnelle/politique abstraite; décision pays par pays.
gunsmithing,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,EN=Gunsmithing | FR=Armurerie | Prerequisites=standing_army | Children=artillery | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
hydraulic_cranes,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,EN=Hydraulic Cranes | FR=Grue hydraulique | Prerequisites=drydocks | Children=— | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
ironclad_tech,military,era_7,D,,,"EN=Ironclad | FR=Cuirassé | Prerequisites=iron_hull_construction | Children=monitor_tech, pre_dreadnought_tech | Unlocks=PM:pm_military_shipbuilding_steam, bâtiment:building_kiel_canal | Modifier=no | Technologie nettement tardive pour un départ en 1776."
line_infantry,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Line Infantry | FR=Infanterie de ligne | Prerequisites=mandatory_service, military_drill | Children=army_reserves, napoleonic_warfare | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable."
mandatory_service,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,EN=Mandatory Service | FR=Service obligatoire | Prerequisites=standing_army | Children=line_infantry | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
military_drill,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,EN=Military Drill | FR=Exercice militaire | Prerequisites=standing_army | Children=line_infantry | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
modern_nursing,military,era_7,D,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,EN=Modern Nursing | FR=Soins infirmiers modernes | Prerequisites=battlefield_evacuation | Children=— | Unlocks=— | Modifier=no | Technologie nettement tardive pour un départ en 1776.
napoleonic_warfare,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,"EN=Napoleonic Warfare | FR=Guerre napoléonienne | Prerequisites=line_infantry, artillery | Children=— | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable."
navigation,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Navigation | FR=Navigation | Prerequisites=— | Children=admiralty, drydocks | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable."
power_of_the_purse,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,EN=Power of the Purse | FR=Pouvoir du portefeuille | Prerequisites=admiralty | Children=— | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
screw_frigate,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,EN=Screw Frigate | FR=Frégate à hélice | Prerequisites=paddle_steamer | Children=— | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
standing_army,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Standing Army | FR=Armée permanente | Prerequisites=— | Children=gunsmithing, mandatory_service, military_drill | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable."
triage,military,era_7,E,,NO_DIRECT_GAMEPLAY_UNLOCK;LEAF_WITHOUT_DIRECT_UNLOCK,EN=Triage | FR=Triage | Prerequisites=logistics | Children=— | Unlocks=— | Modifier=no | Alias de compatibilité ou nœud non recherchable.
breech_loading_artillery,military,era_8,D,,,EN=Breech-Loading Artillery | FR=Armes à chargement par la culasse | Prerequisites=shell_gun | Children=monitor_tech | Unlocks=PM:pm_breech_loaders | Modifier=no | Technologie nettement tardive pour un départ en 1776.
enlistment_offices,military,era_8,D,,,"EN=Enlistment Offices | FR=Bureaux de recrutement militaire | Prerequisites=logistics, corps_organization | Children=war_propaganda | Unlocks=loi:law_mass_conscription | Modifier=yes: country_general_rank_impact_mult, state_conscription_rate_mult | Technologie nettement tardive pour un départ en 1776."
gantry_cranes,military,era_8,D,,,"EN=Gantry Cranes | FR=Portique de levage | Prerequisites=mechanized_naval_dockyards, maritime_safety_standards | Children=floating_harbor | Unlocks=PM:pm_industrial_port, PM:pm_metal_shipbuilding | Modifier=yes: ship_ship_type_supply_ship_supply_capacity_mult | Technologie nettement tardive pour un départ en 1776."
monitor_tech,military,era_8,D,,,"EN=$ship_type_modern_ironclad$ | FR=$ship_type_modern_ironclad$ | Prerequisites=ironclad_tech, breech_loading_artillery | Children=destroyer | Unlocks=loi:law_diplomatic_navy, loi:law_jeune_ecole, loi:law_professional_navy | Modifier=no | Technologie nettement tardive pour un départ en 1776."
repeaters,military,era_8,D,,,"EN=Repeaters | FR=Arme à répétition | Prerequisites=rifling, percussion_cap | Children=bolt_action_rifles, handcranked_machine_gun | Unlocks=PM:pm_repeaters | Modifier=no | Technologie nettement tardive pour un départ en 1776."
self_propelled_torpedoes,military,era_8,D,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Self-Propelled Torpedoes | FR=Torpilles autopropulsées | Prerequisites=shell_gun | Children=jeune_ecole, submarine | Unlocks=— | Modifier=no | Technologie nettement tardive pour un départ en 1776."
bolt_action_rifles,military,era_9,D,,,EN=Bolt-Action Rifle | FR=Fusil à verrou | Prerequisites=repeaters | Children=automatic_machine_guns | Unlocks=PM:pm_bolt_action_rifles | Modifier=no | Technologie nettement tardive pour un départ en 1776.
floating_harbor,military,era_9,D,,,"EN=Floating Harbor | FR=Port artificiel | Prerequisites=gantry_cranes | Children=concrete_dockyards, landing_craft | Unlocks=PM:pm_trade_center_trade_quantity_very_high | Modifier=no | Technologie nettement tardive pour un départ en 1776."
handcranked_machine_gun,military,era_9,D,,,"EN=Handcranked Machine Gun | FR=Mitrailleuse à manivelle | Prerequisites=repeaters | Children=automatic_machine_guns | Unlocks=— | Modifier=yes: unit_army_defense_add, unit_kill_rate_add | Technologie nettement tardive pour un départ en 1776."
jeune_ecole,military,era_9,D,,,"EN=Jeune École | FR=Jeune École | Prerequisites=self_propelled_torpedoes | Children=sea_lane_strategies | Unlocks=PM:pm_jeune_ecole, loi:law_jeune_ecole | Modifier=yes: country_admiral_rank_impact_mult | Technologie nettement tardive pour un départ en 1776."
military_statistics,military,era_9,D,,,"EN=Military Statistics | FR=Statistiques militaires | Prerequisites=general_staff | Children=wargaming | Unlocks=PM:pm_advanced_tactics_training, PM:pm_advanced_tactics_training_conscription | Modifier=yes: military_formation_organization_gain_mult | Technologie nettement tardive pour un départ en 1776."
trench_works,military,era_9,D,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Trench Works | FR=Tranchées | Prerequisites=field_works | Children=chemical_warfare, defense_in_depth, flamethrowers, stormtroopers | Unlocks=— | Modifier=no | Technologie nettement tardive pour un départ en 1776."
wargaming,military,era_9,D,,,"EN=Wargaming | FR=Simulation de guerre | Prerequisites=military_statistics | Children=military_aviation, nco_training | Unlocks=PM:pm_training_streamlining, PM:pm_training_streamlining_conscription | Modifier=yes: country_general_rank_impact_mult, unit_army_offense_mult | Technologie nettement tardive pour un départ en 1776."
concrete_dockyards,military,era_10,D,,,EN=Concrete Dockyards | FR=Chantiers navals en béton | Prerequisites=floating_harbor | Children=battleship_tech | Unlocks=PM:pm_modern_port | Modifier=yes: ship_ship_type_supply_ship_supply_capacity_mult | Technologie nettement tardive pour un départ en 1776.
military_aviation,military,era_10,D,,,"EN=Military Aviation | FR=Aviation militaire | Prerequisites=wargaming | Children=carrier_tech, mobile_armor | Unlocks=PM:pm_aeroplane_production, PM:pm_all_metal_aircraft | Modifier=no | Technologie nettement tardive pour un départ en 1776."
pre_dreadnought_tech,military,era_10,D,,,"EN=$ship_type_pre_dreadnought$ | FR=$ship_type_pre_dreadnought$ | Prerequisites=ironclad_tech | Children=dreadnought_tech | Unlocks=loi:law_diplomatic_navy, loi:law_jeune_ecole, loi:law_professional_navy | Modifier=no | Technologie nettement tardive pour un départ en 1776."
sea_lane_strategies,military,era_10,D,,,"EN=Sea Lane Strategies | FR=Stratégies de couloirs de navigation | Prerequisites=jeune_ecole | Children=battlefleet_tactics | Unlocks=PM:pm_sea_lane_strategies, loi:law_diplomatic_navy, loi:law_jeune_ecole, loi:law_professional_navy | Modifier=yes: country_admiral_rank_impact_mult | Technologie nettement tardive pour un départ en 1776."
war_propaganda,military,era_10,D,,,"EN=War Propaganda | FR=Propagande de guerre | Prerequisites=enlistment_offices | Children=— | Unlocks=— | Modifier=yes: state_conscription_rate_mult, unit_morale_loss_mult | Technologie nettement tardive pour un départ en 1776."
automatic_machine_guns,military,era_11,D,,,"EN=Automatic Machine Guns | FR=Mitrailleuse automatique | Prerequisites=handcranked_machine_gun, bolt_action_rifles | Children=defense_in_depth | Unlocks=PM:pm_recoiled_barrels | Modifier=no | Technologie nettement tardive pour un départ en 1776."
concrete_fortifications,military,era_11,D,,,"EN=Concrete Fortifications | FR=Fortifications en béton | Prerequisites=defense_in_depth, casemated_fortifications | Children=— | Unlocks=PM:pm_naval_fortification_advanced | Modifier=yes: unit_army_defense_mult | Technologie nettement tardive pour un départ en 1776."
defense_in_depth,military,era_11,D,,,"EN=Defense in Depth | FR=Défense en profondeur | Prerequisites=trench_works, automatic_machine_guns | Children=concrete_fortifications | Unlocks=— | Modifier=yes: unit_army_defense_mult | Technologie nettement tardive pour un départ en 1776."
destroyer,military,era_11,D,,NO_DIRECT_GAMEPLAY_UNLOCK,EN=Destroyer | FR=Destroyer | Prerequisites=monitor_tech | Children=battlefleet_tactics | Unlocks=— | Modifier=no | Technologie nettement tardive pour un départ en 1776.
