TAG,Triggering_Children,Has_Light_Infantry,Has_Regulated_Small_Arms,Has_Field_Artillery,Has_Fortification,Has_Engineer_Service,Has_Military_Hospitals
CRO,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
CUB,light_infantry_tactics;permanent_engineer_services;scientific_fortification_siegecraft;standardized_field_artillery,YES,NO,YES,YES,YES,NO
DAI,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,NO,NO
DEI,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
DEN,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
DENNOR,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
DUR,regulated_small_arms,NO,YES,NO,NO,NO,NO
ECU,light_infantry_tactics,YES,NO,NO,NO,NO,NO
EGY,light_infantry_tactics;regulated_small_arms;standardized_field_artillery,YES,YES,YES,NO,NO,NO
FIN,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;standardized_field_artillery,YES,NO,YES,YES,YES,YES
FRA,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
GAL,light_infantry_tactics;regulated_small_arms;standardized_field_artillery,YES,YES,YES,NO,NO,NO
GBR,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
GEN,scientific_fortification_siegecraft,NO,NO,NO,YES,NO,NO
GR4,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
GR5,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
GRE,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
GWA,scientific_fortification_siegecraft,NO,NO,NO,YES,NO,NO
HAI,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
HAN,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
HBC,light_infantry_tactics,YES,NO,NO,NO,NO,NO
HDJ,light_infantry_tactics,YES,NO,NO,NO,NO,NO
HEK,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,NO,NO
HER,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
HES,regulated_small_arms,NO,YES,NO,NO,NO,NO
HUN,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
HYD,regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,NO,YES,YES,YES,NO,NO
ION,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft,YES,YES,NO,YES,NO,NO
IQU,light_infantry_tactics,YES,NO,NO,NO,NO,NO
IR1,light_infantry_tactics;regulated_small_arms;standardized_field_artillery,YES,YES,YES,NO,NO,NO
IREK,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
JAB,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
JAI,scientific_fortification_siegecraft,NO,NO,NO,YES,NO,NO
JAP,permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,NO,YES,YES,YES,YES,NO
JBB,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
JOH,light_infantry_tactics,YES,NO,NO,NO,NO,NO
KAB,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
KAF,light_infantry_tactics,YES,NO,NO,NO,NO,NO
KAL,light_infantry_tactics,YES,NO,NO,NO,NO,NO
KAN,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
KAT,light_infantry_tactics,YES,NO,NO,NO,NO,NO
KBB,light_infantry_tactics,YES,NO,NO,NO,NO,NO
KOR,scientific_fortification_siegecraft;standardized_field_artillery,NO,NO,YES,YES,NO,NO
KRA,permanent_engineer_services;permanent_military_hospitals,NO,NO,NO,NO,YES,YES
KUN,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
LAH,light_infantry_tactics,YES,NO,NO,NO,NO,NO
LOU,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
LUX,light_infantry_tactics;permanent_engineer_services;scientific_fortification_siegecraft;standardized_field_artillery,YES,NO,YES,YES,YES,NO
MAH,light_infantry_tactics,YES,NO,NO,NO,NO,NO
MAI,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
MAK,light_infantry_tactics,YES,NO,NO,NO,NO,NO
MARATH,regulated_small_arms;scientific_fortification_siegecraft,NO,YES,NO,YES,NO,NO
MAS,regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,NO,YES,YES,YES,NO,NO
MBB,light_infantry_tactics,YES,NO,NO,NO,NO,NO
MEW,scientific_fortification_siegecraft,NO,NO,NO,YES,NO,NO
MEX,light_infantry_tactics;permanent_engineer_services;standardized_field_artillery,YES,NO,YES,NO,YES,NO
MICC,light_infantry_tactics,YES,NO,NO,NO,NO,NO
MKT,light_infantry_tactics,YES,NO,NO,NO,NO,NO
MLT,light_infantry_tactics;regulated_small_arms;standardized_field_artillery,YES,YES,YES,NO,NO,NO
MOL,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
MON,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
MOR,regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,NO,YES,YES,YES,NO,NO
MUG,regulated_small_arms;scientific_fortification_siegecraft,NO,YES,NO,YES,NO,NO
MYS,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
NBB,regulated_small_arms,NO,YES,NO,NO,NO,NO
NEJ,regulated_small_arms,NO,YES,NO,NO,NO,NO
NEP,scientific_fortification_siegecraft,NO,NO,NO,YES,NO,NO
NET,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
NOR,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
NPU,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
NVS,light_infantry_tactics;scientific_fortification_siegecraft;standardized_field_artillery,YES,NO,YES,YES,NO,NO
OMA,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
ORG,light_infantry_tactics,YES,NO,NO,NO,NO,NO
PAN,regulated_small_arms;scientific_fortification_siegecraft,NO,YES,NO,YES,NO,NO
PCO,light_infantry_tactics;permanent_engineer_services;scientific_fortification_siegecraft;standardized_field_artillery,YES,NO,YES,YES,YES,NO
PER,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
PEU,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
PHI,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
PLC,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
PNI,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
POR,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
PRA,light_infantry_tactics,YES,NO,NO,NO,NO,NO
PRG,light_infantry_tactics,YES,NO,NO,NO,NO,NO
PRU,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
RUS,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
SAF,scientific_fortification_siegecraft,NO,NO,NO,YES,NO,NO
SAR,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
SAX,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
SC1,light_infantry_tactics;permanent_engineer_services;standardized_field_artillery,YES,NO,YES,NO,YES,NO
SC2,light_infantry_tactics;permanent_engineer_services,YES,NO,NO,NO,YES,NO
SC3,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
SC4,light_infantry_tactics,YES,NO,NO,NO,NO,NO
SEQ,light_infantry_tactics,YES,NO,NO,NO,NO,NO
SER,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
SIA,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,NO,NO
SIC,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
SPA,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
SPC,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
SPU,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
SWE,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
TEX,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
TRA,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
TRI,regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,NO,YES,YES,YES,NO,NO
TRS,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
TUN,regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,NO,YES,YES,YES,NO,NO
TUR,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,NO,NO
UBD,permanent_engineer_services;scientific_fortification_siegecraft,NO,NO,NO,YES,YES,NO
URU,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
USA,light_infantry_tactics;permanent_military_hospitals;standardized_field_artillery,YES,NO,YES,NO,NO,YES
VEN,permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,NO,YES,YES,YES,YES,NO
VNZ,light_infantry_tactics,YES,NO,NO,NO,NO,NO
WAL,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
WUR,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,NO,NO
ZAI,light_infantry_tactics,YES,NO,NO,NO,NO,NO
