reference_id,scope,building_id,building_group,file,line_or_block,gate_type,gate_expression,technology_id,technology_category,technology_era,technology_status,vanilla_requirement,mod_requirement,vanilla_mod_relationship,hidden_alias,responsibility_class,frozen_target,frozen_target_source,design_status,notes
BTG-0001,EFFECTIVE_VANILLA,building_food_industry,bg_light_industry,common/buildings/01_industry.txt,12,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { manufacturies },manufacturies,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { manufacturies },INHERITED_FROM_VANILLA: unlocking_technologies = { manufacturies },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0025,EFFECTIVE_VANILLA,building_coal_mine,bg_mining,common/buildings/03_mines.txt,9,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { shaft_mining },shaft_mining,production,era_1,VISIBLE_TECH3A_I_VI,unlocking_technologies = { shaft_mining },INHERITED_FROM_VANILLA: unlocking_technologies = { shaft_mining },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0026,EFFECTIVE_VANILLA,building_iron_mine,bg_mining,common/buildings/03_mines.txt,47,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { shaft_mining },shaft_mining,production,era_1,VISIBLE_TECH3A_I_VI,unlocking_technologies = { shaft_mining },INHERITED_FROM_VANILLA: unlocking_technologies = { shaft_mining },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0027,EFFECTIVE_VANILLA,building_lead_mine,bg_mining,common/buildings/03_mines.txt,84,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { shaft_mining },shaft_mining,production,era_1,VISIBLE_TECH3A_I_VI,unlocking_technologies = { shaft_mining },INHERITED_FROM_VANILLA: unlocking_technologies = { shaft_mining },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0028,EFFECTIVE_VANILLA,building_sulfur_mine,bg_mining,common/buildings/03_mines.txt,121,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { shaft_mining },shaft_mining,production,era_1,VISIBLE_TECH3A_I_VI,unlocking_technologies = { shaft_mining },INHERITED_FROM_VANILLA: unlocking_technologies = { shaft_mining },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0029,EFFECTIVE_VANILLA,building_gold_mine,bg_mining,common/buildings/03_mines.txt,159,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { prospecting },prospecting,production,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { prospecting },INHERITED_FROM_VANILLA: unlocking_technologies = { prospecting },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,applied_mineralogy,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0030,EFFECTIVE_VANILLA,building_gold_field,bg_gold_fields,common/buildings/03_mines.txt,188,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { prospecting },prospecting,production,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { prospecting },INHERITED_FROM_VANILLA: unlocking_technologies = { prospecting },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,applied_mineralogy,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0031,EFFECTIVE_VANILLA,building_coffee_plantation,bg_plantations,common/buildings/04_plantations.txt,9,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0032,EFFECTIVE_VANILLA,building_cotton_plantation,bg_plantations,common/buildings/04_plantations.txt,32,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0033,EFFECTIVE_VANILLA,building_dye_plantation,bg_plantations,common/buildings/04_plantations.txt,79,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0034,EFFECTIVE_VANILLA,building_opium_plantation,bg_plantations,common/buildings/04_plantations.txt,115,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0035,EFFECTIVE_VANILLA,building_tea_plantation,bg_plantations,common/buildings/04_plantations.txt,168,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0036,EFFECTIVE_VANILLA,building_tobacco_plantation,bg_plantations,common/buildings/04_plantations.txt,215,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0037,EFFECTIVE_VANILLA,building_sugar_plantation,bg_plantations,common/buildings/04_plantations.txt,263,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0038,EFFECTIVE_VANILLA,building_banana_plantation,bg_plantations,common/buildings/04_plantations.txt,286,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0039,EFFECTIVE_VANILLA,building_silk_plantation,bg_plantations,common/buildings/04_plantations.txt,308,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0040,EFFECTIVE_VANILLA,building_barrack,bg_army,common/buildings/05_military.txt,16,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { standing_army },standing_army,military,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { standing_army },INHERITED_FROM_VANILLA: unlocking_technologies = { standing_army },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,corps_organization,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0041,EFFECTIVE_VANILLA,building_naval_administration,bg_naval_administration,common/buildings/05_military.txt,106,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { admiralty },admiralty,military,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { admiralty },INHERITED_FROM_VANILLA: unlocking_technologies = { admiralty },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,state_dockyard_systems,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0042,EFFECTIVE_VANILLA,building_urban_center,bg_service,common/buildings/06_urban_center.txt,10,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { urbanization },urbanization,society,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { urbanization },INHERITED_FROM_VANILLA: unlocking_technologies = { urbanization },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0043,EFFECTIVE_VANILLA,building_art_academy,bg_arts,common/buildings/06_urban_center.txt,41,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { romanticism },romanticism,society,era_7,VISIBLE_POST1836,unlocking_technologies = { romanticism },INHERITED_FROM_VANILLA: unlocking_technologies = { romanticism },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0044,EFFECTIVE_VANILLA,building_power_plant,bg_power,common/buildings/06_urban_center.txt,79,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { electrical_generation },electrical_generation,production,era_9,VISIBLE_POST1836,unlocking_technologies = { electrical_generation },INHERITED_FROM_VANILLA: unlocking_technologies = { electrical_generation },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0045,EFFECTIVE_VANILLA,building_government_administration,bg_bureaucracy,common/buildings/07_government.txt,9,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { tech_bureaucracy },tech_bureaucracy,society,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { tech_bureaucracy },INHERITED_FROM_VANILLA: unlocking_technologies = { tech_bureaucracy },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,systematic_administrative_statistics,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0046,EFFECTIVE_VANILLA,building_university,bg_technology,common/buildings/07_government.txt,44,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { academia },academia,society,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { academia },INHERITED_FROM_VANILLA: unlocking_technologies = { academia },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,institutionalized_scientific_exchange,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0047,EFFECTIVE_VANILLA,building_eiffel_tower,bg_monuments,common/buildings/08_monuments.txt,23,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { steel_frame_buildings },steel_frame_buildings,society,era_9,VISIBLE_POST1836,unlocking_technologies = { steel_frame_buildings },INHERITED_FROM_VANILLA: unlocking_technologies = { steel_frame_buildings },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0048,EFFECTIVE_VANILLA,building_statue_of_liberty,bg_monuments,common/buildings/08_monuments.txt,247,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { steel_frame_buildings },steel_frame_buildings,society,era_9,VISIBLE_POST1836,unlocking_technologies = { steel_frame_buildings },INHERITED_FROM_VANILLA: unlocking_technologies = { steel_frame_buildings },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0049,EFFECTIVE_VANILLA,building_cristo_redentor,bg_monuments,common/buildings/08_monuments.txt,726,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { pneumatic_tools },pneumatic_tools,production,era_10,VISIBLE_POST1836,unlocking_technologies = { pneumatic_tools },INHERITED_FROM_VANILLA: unlocking_technologies = { pneumatic_tools },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0050,EFFECTIVE_VANILLA,building_victoria_terminus,bg_monuments,common/buildings/08_monuments.txt,877,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { steel_frame_buildings },steel_frame_buildings,society,era_9,VISIBLE_POST1836,unlocking_technologies = { steel_frame_buildings },INHERITED_FROM_VANILLA: unlocking_technologies = { steel_frame_buildings },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0051,EFFECTIVE_VANILLA,building_kaiserforum_1,bg_monuments,common/buildings/08_monuments.txt,923,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { reinforced_concrete },reinforced_concrete,production,era_8,VISIBLE_POST1836,unlocking_technologies = { reinforced_concrete },INHERITED_FROM_VANILLA: unlocking_technologies = { reinforced_concrete },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
