requirement_id,category,original_requirement,current_object_id,current_file,current_gate,current_era,current_behavior,problem,why_human_review_required,option_a,option_b,option_c,rejected_options,recommended_option,recommended_target,target_exists,new_object_required,historical_rationale,gameplay_rationale,topology_rationale,balance_risk,dependencies,future_files,future_objects,confidence,user_decision_required,notes,post_tech6b3d_authoritative_update
S04,SOCIETY,Move law_laissez_faire to an advanced later technology,law_laissez_faire,common/laws/01_economic_system.txt,commercial_insurance_markets,era_1 owner,A powerful privatization and charter law is unlocked by an early commercial node,Several later economic technologies are plausible owners,The choice is ideological versus institutional timing,Gate at joint_stock_companies,Gate at classical_political_economy,Gate at investment_banks,Classical political economy is still early for the law's strong mechanics; investment banks delays it excessively,Gate at researchable era_6 joint_stock_companies,joint_stock_companies,YES,NO,Mature joint-stock legal capacity is a practical institutional foundation for laissez-faire capitalization,Delays a powerful law while keeping it before mutual funds and investment banks,Depends on S23/S26/S27 restoring joint_stock_companies as a real node,MEDIUM,S23;S26;S27,common/laws/01_economic_system.txt,law_laissez_faire,MEDIUM,YES,Do not implement until the joint-stock node is researchable,
S05,SOCIETY,Ensure Interventionism does not appear before the agrarian/economic progression,law_interventionism,common/laws/01_economic_system.txt,manufacturies hidden alias; AI maturity reference classical_political_economy,era_4 target,"The matrix described the AI reference as the gate, but the actual unlock is the hidden manufacturies alias",The true effective gate and intended later owner had to be distinguished,The audit had to inspect both the law unlock and its separate AI enactment weighting,Replace the actual law unlock with classical_political_economy,Use political_economy,Keep hidden manufacturies,political_economy is earlier; a hidden gate can make the law unreachable,Gate the law itself at classical_political_economy and retain the matching AI maturity reference,classical_political_economy,YES,NO,Classical political economy represents the post-1776 debate over market and state intervention,Makes Interventionism reachable at a deliberate stage and aligns UI with AI behavior,The target follows political_economy and the planned commercial-insurance parent,LOW,S02,common/laws/01_economic_system.txt,law_interventionism,HIGH,NO,This corrects the matrix's gate-versus-AI distinction,
S07,SOCIETY,Add a technology diffusion effect to institutionalized_scientific_exchange,country_tech_spread_mult,common/technology/technologies/30_tech3a_society.txt,none,era_1,The technology has influence and diplomatic-maneuver modifiers but no spread bonus,The valid key and safe value were unspecified,Engine mechanics offer additive spread and global/category multipliers,Add country_tech_spread_mult=0.05,Add country_tech_spread_add,Use a category-specific spread multiplier,An additive value scales differently from the known percentage precedents; category-specific scope is too narrow,Add a global +5% technology spread multiplier,institutionalized_scientific_exchange,YES,NO,Institutional scientific exchange improves cross-border diffusion rather than raw invention,Five percent matches existing conservative research-principle precedents without overwhelming literacy-based spread,Uses the verified 1.13.11 modifier key; no define or scripted value change,MEDIUM,none,common/technology/technologies/30_tech3a_society.txt,institutionalized_scientific_exchange,MEDIUM,YES,MECHANIC_TARGET=global spread; KEY_OR_MODIFIER=country_tech_spread_mult; CURRENT_VALUE=0; PROPOSED_VALUE_OR_EFFECT=0.05,
S10,SOCIETY,Move law_total_separation to a late Society technology,law_total_separation,common/laws/00_church_and_state.txt,institutionalized_scientific_exchange,era_1 owner,Total Separation is currently available with the earliest scientific-exchange node,No late technology was named,"A target had to join rights, constitutional and political-economic development",Gate at liberal_constitutionalism,Gate at human_rights,Gate at philosophical_pragmatism,human_rights is too early; philosophical_pragmatism is late but only nominally related,Gate at liberal_constitutionalism in era_6,liberal_constitutionalism,YES,NO,"Formal church-state separation is an institutional liberal reform, not a consequence of scientific exchange alone",Delays a major secular law to the 1810s-1830s frontier without pushing it to the late game,"The target already converges constitutional_government, human_rights and classical_political_economy",LOW,S01;S05,common/laws/00_church_and_state.txt,law_total_separation,HIGH,NO,law_freedom_of_conscience remains a distinct earlier reform,
S13,SOCIETY,Add a later innovation-cap increase,country_weekly_innovation_max_add,none,none,none,The cap is 50 + 150*literacy plus modifiers; universities add raw innovation but no cap,"Owner, key and value were all unspecified",A safe technology owner and a value with a known precedent were needed,Give experimental_research_laboratories +5 cap,Give a university PM the cap,Change a define,A PM would scale per building and be hard to control; define changes are global and forbidden,Add country_weekly_innovation_max_add=5 to experimental_research_laboratories,experimental_research_laboratories,YES,NO,Research laboratories institutionalize capacity to absorb organized research,"At full employment +5 cap supports five scholastic, 3.33 philosophy or 2.5 analytical university levels; +5 matches an existing advanced-research principle",The era_5 owner precedes later philosophy and research nodes without altering engine formulas,MEDIUM,S14;S15,common/technology/technologies/30_tech3a_society.txt,experimental_research_laboratories,MEDIUM,YES,MECHANIC_TARGET=innovation cap; KEY_OR_MODIFIER=country_weekly_innovation_max_add; CURRENT_VALUE=0; PROPOSED_VALUE_OR_EFFECT=5,
S14,SOCIETY,Provide a new university bonus PM at specialized_professional_societies,NEW_PM_REQUIRED concept,common/production_methods/07_government.txt;C:/Games/Victoria 3/game/common/production_method_groups/07_government.txt,specialized_professional_societies,era_5,The university base group jumps from philosophy department +1.5 to analytical department +2.0; no professional-faculty tier exists,"Purpose, effects and PM placement were undefined",A new tier must avoid duplicating S13 or creating an explosive per-level multiplier,Add one intermediate Professional Faculties PM to the existing base university group,Add a separate stacking bonus group,Do not add a PM,A stacking group risks multiplicative university bonuses; no PM leaves the explicit professionalization node without gameplay,Create one NEW_PM_REQUIRED intermediate base-group tier concept: Professional Faculties,specialized_professional_societies,YES,YES,Professional societies formalize discipline-specific faculties and credential networks,Proposed concept: paper/tools inputs; 1.75 weekly innovation at full employment; qualifications between the 1.5 and 2.0 tiers,"The gate already depends on technical academies and experimental laboratories, so no new technology is needed",MEDIUM,S11;S12;S13;S15,common/production_methods/07_government.txt;common/production_method_groups/07_government.txt,NEW_PM_REQUIRED;pmg_base_building_university,MEDIUM,YES,PURPOSE=intermediate professional university tier; INPUTS_CONCEPT=paper and tools; OUTPUT_OR_MODIFIER_CONCEPT=1.75 innovation plus qualifications; TECH_GATE=specialized_professional_societies; PROGRESSION_ROLE=between philosophy and analytical tiers,
S15,SOCIETY,Provide a university bonus PM at analytical_philosophy,pm_analytical_philosophy_department,common/production_methods/07_government.txt,analytical_philosophy,era_11,The exact requested PM already exists and provides +2 innovation plus qualifications,TECH6B3A treated it as a new object while S12 proposed moving its gate away,The existing object and the S12 retarget conflict had to be resolved,Keep the existing PM at analytical_philosophy,Move it to experimental_research_laboratories and create another PM later,Create a duplicate analytical PM,Moving it creates a naming/responsibility hole; duplication is unnecessary,Keep pm_analytical_philosophy_department on analytical_philosophy and invalidate S12,analytical_philosophy,YES,NO,The named department naturally belongs to the named late philosophy technology,Preserves a final +2 tier after the proposed +1.75 professional-faculty tier,S12 becomes IMPLEMENTATION_NO_LONGER_REQUIRED; experimental laboratories already feed specialized_professional_societies,LOW,S12;S14,none,pm_analytical_philosophy_department,HIGH,NO,No new PM is needed for S15,
S16,SOCIETY,Unify medical_degrees with the variolation/vaccination branch,medical_degrees,common/technology/technologies/30_tech3a_society.txt,institutionalized_scientific_exchange,era_3,Medical Degrees and Variolation are parallel early branches,A direct prerequisite in either direction would imply an historically false causal relation,The branches need a convergence point rather than a forced line,Add medical_degrees as a second parent of vaccination,Make medical_degrees depend on variolation_networks,Make vaccination a parent of medical_degrees,Both direct-linear alternatives confuse professional education with inoculation practice,Keep medical_degrees unchanged and converge at vaccination,vaccination,YES,NO,Professional medicine and variolation developed partly independently; vaccination benefited from both networks and trained practitioners,Creates one readable medical graph without delaying medical education behind inoculation,S19 performs the bridge; S16 itself requires no edge on medical_degrees,MEDIUM,S19;S20;S17;S18,common/technology/technologies/30_tech3a_society.txt,medical_degrees;vaccination,MEDIUM,YES,Recommended topology preserves parallel invention and convergent adoption,
S19,SOCIETY,Choose the bridge direction for vaccination,vaccination,common/technology/technologies/30_tech3a_society.txt,variolation_networks,era_4,Vaccination follows only variolation_networks,It is disconnected from the academic medical branch,The bridge direction was not specified,Add medical_degrees as a second parent of vaccination,Make medical_degrees depend on vaccination,Make clinicopathological_medicine parent vaccination,The latter options reverse chronology or delay vaccination behind a later era_5 science,Give vaccination parents variolation_networks and medical_degrees,vaccination,YES,NO,Jennerian vaccination follows inoculation practice and requires professional dissemination capacity without requiring later clinicopathology,The dual gate makes both early branches relevant,This is the exact bridge selected by S16,MEDIUM,S16;S20,common/technology/technologies/30_tech3a_society.txt,vaccination,MEDIUM,YES,No new technology,
S20,SOCIETY,Keep organized_immunization_campaigns as the unified medical endpoint,organized_immunization_campaigns,common/technology/technologies/30_tech3a_society.txt,vaccination,era_5,The endpoint sees only the immunization branch and not the academic/pharmacy branch,Its final predecessor set depended on the full topology,A public campaign needs both vaccine practice and medical supply capacity,Add active_principle_pharmacy as a second parent,Replace vaccination with clinicopathological_medicine,Leave the endpoint single-parent,Removing vaccination breaks semantic identity; leaving it single-parent fails unification,Use vaccination plus active_principle_pharmacy as parents,organized_immunization_campaigns,YES,NO,Mass campaigns require an immunization method and reproducible medical supply/administration,Makes the endpoint a meaningful convergence without forcing pharmacy to descend from clinicopathology,Preserve clinicopathological_medicine and active_principle_pharmacy as parallel era_5 branches; S18 direct rewiring is no longer required,MEDIUM,S16;S19;S17;S18,common/technology/technologies/30_tech3a_society.txt,organized_immunization_campaigns,HIGH,NO,S17 stays unchanged; S18 becomes IMPLEMENTATION_NO_LONGER_REQUIRED,Public health insurance moved from active_principle_pharmacy.
S21,SOCIETY,Place professional_civil_policing in the later state-information chain,identification_documents,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,central_statistical_offices,era_8,Identification Documents currently has no policing prerequisite,"The user offered identification, central planning or mass surveillance as insertion points",The earliest causal placement had to be selected,Add professional_civil_policing as a parent of identification_documents,Add it to central_planning,Add it to mass_surveillance,Later insertion points make identification systems independent of the professional coercive/administrative apparatus,Add professional_civil_policing to identification_documents while preserving central_statistical_offices,identification_documents,YES,NO,Professional civil policing predates standardized mass identification and provides an enforcement network,Makes the era_6 policing node useful beyond laws and avoids a late redundant gate,The existing identification_documents -> central_planning -> mass_surveillance chain inherits the prerequisite transitively,LOW,S22;TECH6B3B policing law gates,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,identification_documents;professional_civil_policing,HIGH,NO,Keep professional_civil_policing in era_6 with parents systematic_legal_codification and systematic_administrative_statistics,
S22,SOCIETY,"Choose one placement among identification_documents, central_planning and mass_surveillance",central_planning,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,identification_documents,era_11,Central Planning and Mass Surveillance already descend from Identification Documents,Adding policing again later would be redundant,The alternatives were mutually exclusive,Use only the S21 edge at identification_documents,Add a direct edge to central_planning,Add a direct edge to mass_surveillance,Direct later edges duplicate a transitive prerequisite and overload policing as a cause of economic planning,No direct S22 edge; inherit professional_civil_policing through identification_documents,identification_documents,YES,NO,Identification is the historical administrative bridge; central planning has a distinct economic rationale,Avoids redundant prerequisites and keeps the graph legible,Resolved by S21; central_planning and mass_surveillance remain unchanged,LOW,S21,none,central_planning;mass_surveillance,HIGH,NO,S22 becomes NO_ACTION,
S27,SOCIETY,Choose era_6 or era_7 for joint_stock_companies,joint_stock_companies,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,banking;corporate_charters; can_research=no,era_7,The hidden compatibility alias has obsolete vanilla parents and no gameplay role,The user allowed either era and S26 changes the parents,Timing had to distinguish old joint-stock practice from modern generalized corporate law,Restore as researchable era_6,Restore as researchable era_7,Absorb responsibilities into stock_exchange,Era_7 duplicates the post-1836 seam and delays dependent finance; absorption leaves the exact technology useless,Restore as researchable era_6 with the S26 reviewed parents,joint_stock_companies,YES,NO,"Joint-stock forms are older, but generalized incorporation and corporate finance fit the 1825-1836 frontier",Creates a useful bridge between early stock exchange and era_8 mutual funds,Parents commercial_insurance_markets and postal_savings; successors mutual_funds then investment_banks,MEDIUM,S23-S26;S28-S30;S04,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,joint_stock_companies,HIGH,NO,Remove can_research=no; split one company and one charter point from stock_exchange per S24-S25,Stock Exchange is forced visible when needed; researchable Joint Stock Companies bypasses the consumed-alias GUI filter for cards and edges.
S29,SOCIETY,Choose direct or transitive joint_stock_companies gate for investment_banks,investment_banks,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,stock_exchange;mutual_funds,era_9,S28 will make mutual_funds depend on joint_stock_companies,A direct additional parent would duplicate the transitive gate,The requirement did not specify whether redundancy was desired,Use transitive inheritance through mutual_funds,Add direct joint_stock_companies parent,Replace stock_exchange with joint_stock_companies,Direct duplication clutters the graph; replacing stock_exchange removes the market-institution branch,Keep current direct parents stock_exchange and mutual_funds; inherit joint_stock_companies through mutual_funds,investment_banks,YES,NO,Investment banks combine organized securities markets with pooled capital institutions,Retains both distinct prerequisites without adding a third redundant gate,S28 and S30 establish joint_stock_companies -> mutual_funds -> investment_banks,LOW,S28;S30;S31,none,investment_banks,HIGH,NO,S29 requires no direct edge change,
H01,SOCIETY,Post-TECH6B3D authoritative human change,law_protectionism,See TECH6B3D post-implementation register and current effective files,Superseded prior gate,Current visible target era or N/A,Implemented manually in current worktree,Historical audit documentation was stale,User supplied authoritative runtime correction,,,,,Protectionism moved from stock_exchange to political_economy.,political_economy,YES,NO,Authoritative user decision after runtime visual review,Protectionism moved from stock_exchange to political_economy.,No cross-category technology edge introduced,USER_ACCEPTED,,,,HIGH,NO,POST_TECH6B3D_MANUAL_AUTHORITY,Protectionism moved from stock_exchange to political_economy.
H02,SOCIETY,Post-TECH6B3D authoritative human change,law_public_health_insurance,See TECH6B3D post-implementation register and current effective files,Superseded prior gate,Current visible target era or N/A,Implemented manually in current worktree,Historical audit documentation was stale,User supplied authoritative runtime correction,,,,,Public health insurance moved from active_principle_pharmacy.,organized_immunization_campaigns,YES,NO,Authoritative user decision after runtime visual review,Public health insurance moved from active_principle_pharmacy.,No cross-category technology edge introduced,USER_ACCEPTED,,,,HIGH,NO,POST_TECH6B3D_MANUAL_AUTHORITY,Public health insurance moved from active_principle_pharmacy.
H03,SOCIETY,Post-TECH6B3D authoritative human change,child_labor_labor_welfare_split,See TECH6B3D post-implementation register and current effective files,Superseded prior gate,Current visible target era or N/A,Implemented manually in current worktree,Historical audit documentation was stale,User supplied authoritative runtime correction,,,,,"human_rights owns restricted child labor, regulatory bodies and wage subsidies; labor_movement owns compulsory school, worker protections and old-age pension.",human_rights;labor_movement,YES,NO,Authoritative user decision after runtime visual review,"human_rights owns restricted child labor, regulatory bodies and wage subsidies; labor_movement owns compulsory school, worker protections and old-age pension.",No cross-category technology edge introduced,USER_ACCEPTED,,,,HIGH,NO,POST_TECH6B3D_MANUAL_AUTHORITY,"human_rights owns restricted child labor, regulatory bodies and wage subsidies; labor_movement owns compulsory school, worker protections and old-age pension."
H04,SOCIETY,Post-TECH6B3D authoritative human change,law_state_atheism,See TECH6B3D post-implementation register and current effective files,Superseded prior gate,Current visible target era or N/A,Implemented manually in current worktree,Historical audit documentation was stale,User supplied authoritative runtime correction,,,,,State atheism moved from institutionalized_scientific_exchange to socialism.,socialism,YES,NO,Authoritative user decision after runtime visual review,State atheism moved from institutionalized_scientific_exchange to socialism.,No cross-category technology edge introduced,USER_ACCEPTED,,,,HIGH,NO,POST_TECH6B3D_MANUAL_AUTHORITY,State atheism moved from institutionalized_scientific_exchange to socialism.
H05,SOCIETY,Post-TECH6B3D authoritative human change,law_terakoya,See TECH6B3D post-implementation register and current effective files,Superseded prior gate,Current visible target era or N/A,Implemented manually in current worktree,Historical audit documentation was stale,User supplied authoritative runtime correction,,,,,Terakoya is intentionally ungated.,NONE,N/A,NO,Authoritative user decision after runtime visual review,Terakoya is intentionally ungated.,No cross-category technology edge introduced,USER_ACCEPTED,,,,HIGH,NO,POST_TECH6B3D_MANUAL_AUTHORITY,Terakoya is intentionally ungated.
H06,SOCIETY,Post-TECH6B3D authoritative human change,slavery_law_progression,See TECH6B3D post-implementation register and current effective files,Superseded prior gate,Current visible target era or N/A,Implemented manually in current worktree,Historical audit documentation was stale,User supplied authoritative runtime correction,,,,,Frozen five-law progression from slave trade through slavery banned.,NONE;constitutional_government;human_rights;organized_reform_movements;abolitionist_mobilization,YES,NO,Authoritative user decision after runtime visual review,Frozen five-law progression from slave trade through slavery banned.,No cross-category technology edge introduced,USER_ACCEPTED,,,,HIGH,NO,POST_TECH6B3D_MANUAL_AUTHORITY,Frozen five-law progression from slave trade through slavery banned.
H07,SOCIETY,Post-TECH6B3D authoritative human change,financial_tree_gui_visibility,See TECH6B3D post-implementation register and current effective files,Superseded prior gate,Current visible target era or N/A,Implemented manually in current worktree,Historical audit documentation was stale,User supplied authoritative runtime correction,,,,,Stock Exchange is forced visible when needed; researchable Joint Stock Companies bypasses the consumed-alias GUI filter for cards and edges.,stock_exchange;joint_stock_companies,YES,NO,Authoritative user decision after runtime visual review,Stock Exchange is forced visible when needed; researchable Joint Stock Companies bypasses the consumed-alias GUI filter for cards and edges.,No cross-category technology edge introduced,USER_ACCEPTED,,,,HIGH,NO,POST_TECH6B3D_MANUAL_AUTHORITY,Stock Exchange is forced visible when needed; researchable Joint Stock Companies bypasses the consumed-alias GUI filter for cards and edges.
