STATE_REGION,BUILDING_TYPE,TOTAL_POTENTIAL,VISIBLE_POTENTIAL,UNDISCOVERED_AMOUNT,STARTING_LEVELS,SOURCE_FILE,NOTES
"STATE_RIO_GRANDE_DO_NORTE","building_salt_pan",40,40,0,"2","common/history/states/lagab_states.txt","state_name=Rio Grande do Norte; source_object=change_resource_potential; source_line=69; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:173; starting_owner=BRZ"
"STATE_BAHIA","building_salt_pan",35,35,0,"0","common/history/states/lagab_states.txt","state_name=Bahia; source_object=change_resource_potential; source_line=75; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_RIO_DE_JANEIRO","building_salt_pan",25,25,0,"1","common/history/states/lagab_states.txt","state_name=Rio de Janeiro; source_object=change_resource_potential; source_line=81; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:207; starting_owner=BRZ"
"STATE_ECUADOR","building_salt_pan",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Ecuador; source_object=change_resource_potential; source_line=87; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_LIMA","building_salt_pan",40,40,0,"2","common/history/states/lagab_states.txt","state_name=Lima; source_object=change_resource_potential; source_line=93; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:119; starting_owner=NPU"
"STATE_LOS_RIOS","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Los Ríos; source_object=change_resource_potential; source_line=99; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ALENTEJO","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Alentejo; source_object=change_resource_potential; source_line=105; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_VALENCIA","building_salt_pan",30,30,0,"2","common/history/states/lagab_states.txt","state_name=Valencia; source_object=change_resource_potential; source_line=111; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:22; starting_owner=SPA"
"STATE_BRITTANY","building_salt_pan",35,35,0,"2","common/history/states/lagab_states.txt","state_name=Brittany; source_object=change_resource_potential; source_line=117; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:97; starting_owner=FRA"
"STATE_POITOU","building_salt_pan",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Poitou-Saintonge; source_object=change_resource_potential; source_line=123; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_LANGUEDOC","building_salt_pan",25,25,0,"2","common/history/states/lagab_states.txt","state_name=Languedoc; source_object=change_resource_potential; source_line=129; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:131; starting_owner=FRA"
"STATE_UMBRIA","building_salt_pan",10,10,0,"1","common/history/states/lagab_states.txt","state_name=Umbria; source_object=change_resource_potential; source_line=135; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:208; starting_owner=PAP"
"STATE_TUSCANY","building_salt_pan",15,15,0,"0","common/history/states/lagab_states.txt","state_name=Tuscany; source_object=change_resource_potential; source_line=141; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_LAZIO","building_salt_pan",12,12,0,"0","common/history/states/lagab_states.txt","state_name=Lazio; source_object=change_resource_potential; source_line=147; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_APULIA","building_salt_pan",35,35,0,"2","common/history/states/lagab_states.txt","state_name=Apulia; source_object=change_resource_potential; source_line=153; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:225; starting_owner=SIC"
"STATE_DALMATIA","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Dalmatia; source_object=change_resource_potential; source_line=159; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_BOSNIA","building_salt_pan",8,8,0,"0","common/history/states/lagab_states.txt","state_name=Bosnia; source_object=change_resource_potential; source_line=165; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_MONTENEGRO","building_salt_pan",10,10,0,"0","common/history/states/lagab_states.txt","state_name=Montenegro; source_object=change_resource_potential; source_line=171; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_MACEDONIA","building_salt_pan",8,8,0,"0","common/history/states/lagab_states.txt","state_name=Macedonia; source_object=change_resource_potential; source_line=177; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_WESTERN_THRACE","building_salt_pan",12,12,0,"0","common/history/states/lagab_states.txt","state_name=Western Thrace; source_object=change_resource_potential; source_line=183; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_AYDIN","building_salt_pan",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Aydin; source_object=change_resource_potential; source_line=189; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_AL_RIF","building_salt_pan",25,25,0,"0","common/history/states/lagab_states.txt","state_name=al Rif; source_object=change_resource_potential; source_line=195; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_FEZ","building_salt_pan",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Fez; source_object=change_resource_potential; source_line=201; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_MARRAKECH","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Marrakech; source_object=change_resource_potential; source_line=207; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SINAI","building_salt_pan",45,45,0,"0","common/history/states/lagab_states.txt","state_name=Sinai; source_object=change_resource_potential; source_line=213; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_LOWER_EGYPT","building_salt_pan",60,60,0,"1","common/history/states/lagab_states.txt","state_name=Lower Egypt; source_object=change_resource_potential; source_line=219; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_africa.txt:19; starting_owner=EGY"
"STATE_PALESTINE","building_salt_pan",30,30,0,"2","common/history/states/lagab_states.txt","state_name=Palestine; source_object=change_resource_potential; source_line=225; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:363; starting_owner=EGY"
"STATE_GUANGDONG","building_salt_pan",20,20,0,"2","common/history/states/lagab_states.txt","state_name=Western Guangdong; source_object=change_resource_potential; source_line=231; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:54; starting_owner=CHI"
"STATE_SHAOZHOU","building_salt_pan",12,12,0,"0","common/history/states/lagab_states.txt","state_name=Eastern Guangdong; source_object=change_resource_potential; source_line=237; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_FUJIAN","building_salt_pan",10,10,0,"2","common/history/states/lagab_states.txt","state_name=Fujian; source_object=change_resource_potential; source_line=243; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:71; starting_owner=CHI"
"STATE_BEIJING","building_salt_pan",80,80,0,"30","common/history/states/lagab_states.txt","state_name=Beijing; source_object=change_resource_potential; source_line=249; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:3; starting_owner=CHI"
"STATE_ZHILI","building_salt_pan",25,25,0,"5","common/history/states/lagab_states.txt","state_name=Hebei; source_object=change_resource_potential; source_line=255; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:20; starting_owner=CHI"
"STATE_FORMOSA","building_salt_pan",20,20,0,"1","common/history/states/lagab_states.txt","state_name=Formosa; source_object=change_resource_potential; source_line=261; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:88; starting_owner=CHI"
"STATE_TOHOKU","building_salt_pan",10,10,0,"1","common/history/states/lagab_states.txt","state_name=Tohoku; source_object=change_resource_potential; source_line=267; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:200; starting_owner=JAP"
"STATE_KANSAI","building_salt_pan",40,40,0,"0","common/history/states/lagab_states.txt","state_name=Osaka; source_object=change_resource_potential; source_line=273; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ANNAM","building_salt_pan",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Annam; source_object=change_resource_potential; source_line=279; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_MEKONG","building_salt_pan",30,30,0,"2","common/history/states/lagab_states.txt","state_name=Mekong; source_object=change_resource_potential; source_line=285; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:218; starting_owner=DAI"
"STATE_CAMBODIA","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Cambodia; source_object=change_resource_potential; source_line=291; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_PEGU","building_salt_pan",30,30,0,"1","common/history/states/lagab_states.txt","state_name=Pegu; source_object=change_resource_potential; source_line=297; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:235; starting_owner=BUR"
"STATE_ORISSA","building_salt_pan",20,20,0,"2","common/history/states/lagab_states.txt","state_name=Orissa; source_object=change_resource_potential; source_line=303; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:328; starting_owner=BIC"
"STATE_MADRAS","building_salt_pan",25,25,0,"2","common/history/states/lagab_states.txt","state_name=Carnatic; source_object=change_resource_potential; source_line=309; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:345; starting_owner=BIC"
"STATE_MYSORE","building_salt_pan",10,10,0,"0","common/history/states/lagab_states.txt","state_name=Mysore; source_object=change_resource_potential; source_line=315; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_TRAVANCORE","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Malabar; source_object=change_resource_potential; source_line=321; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_GUJARAT","building_salt_pan",50,50,0,"10","common/history/states/lagab_states.txt","state_name=Gujarat; source_object=change_resource_potential; source_line=327; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:311; starting_owner=BIC"
"STATE_BALUCHISTAN","building_salt_pan",35,35,0,"0","common/history/states/lagab_states.txt","state_name=Baluchistan; source_object=change_resource_potential; source_line=333; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_WESTERN_AUSTRALIA","building_salt_pan",45,45,0,"0","common/history/states/lagab_states.txt","state_name=Western Australia; source_object=change_resource_potential; source_line=339; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_QUEENSLAND","building_salt_pan",35,35,0,"0","common/history/states/lagab_states.txt","state_name=Queensland; source_object=change_resource_potential; source_line=345; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_VICTORIA","building_salt_pan",15,15,0,"0","common/history/states/lagab_states.txt","state_name=Victoria; source_object=change_resource_potential; source_line=351; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SOUTH_AUSTRALIA","building_salt_pan",40,40,0,"0","common/history/states/lagab_states.txt","state_name=South Australia; source_object=change_resource_potential; source_line=357; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_NEW_SOUTH_WALES","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=New South Wales; source_object=change_resource_potential; source_line=363; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_NORTH_MADAGASCAR","building_salt_pan",25,25,0,"0","common/history/states/lagab_states.txt","state_name=North Madagascar; source_object=change_resource_potential; source_line=369; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SOUTH_MADAGASCAR","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=South Madagascar; source_object=change_resource_potential; source_line=375; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_EASTERN_CAPE","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Eastern Cape; source_object=change_resource_potential; source_line=381; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_CAPE_COLONY","building_salt_pan",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Cape Colony; source_object=change_resource_potential; source_line=387; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_LOURENCO_MARQUES","building_salt_pan",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Lourenço Marques; source_object=change_resource_potential; source_line=393; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SOMALILAND","building_salt_pan",35,35,0,"0","common/history/states/lagab_states.txt","state_name=Somaliland; source_object=change_resource_potential; source_line=399; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ZANZIBAR","building_salt_pan",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Zanzibar; source_object=change_resource_potential; source_line=405; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_NAMAQUALAND","building_salt_pan",35,35,0,"0","common/history/states/lagab_states.txt","state_name=Namaqualand; source_object=change_resource_potential; source_line=411; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_NORTH_ANGOLA","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=North Angola; source_object=change_resource_potential; source_line=417; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SOUTH_ANGOLA","building_salt_pan",15,15,0,"0","common/history/states/lagab_states.txt","state_name=South Angola; source_object=change_resource_potential; source_line=423; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_TOGO","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Togo; source_object=change_resource_potential; source_line=429; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_DAHOMEY","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Dahomey; source_object=change_resource_potential; source_line=435; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SIERRA_LEONE","building_salt_pan",15,15,0,"0","common/history/states/lagab_states.txt","state_name=Sierra Leone; source_object=change_resource_potential; source_line=441; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SENEGAL","building_salt_pan",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Senegal; source_object=change_resource_potential; source_line=447; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_CHUGOKU","building_salt_pan",10,10,0,"5","common/history/states/lagab_states.txt","state_name=Chugoku; source_object=change_resource_potential; source_line=453; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:183; starting_owner=JAP"
"STATE_EAST_JAVA","building_salt_pan",35,35,0,"1","common/history/states/lagab_states.txt","state_name=East Java; source_object=change_resource_potential; source_line=459; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:273; starting_owner=DEI"
"STATE_JIANGSU","building_salt_pan",12,12,0,"2","common/history/states/lagab_states.txt","state_name=Jiangsu; source_object=change_resource_potential; source…446 tokens truncated…_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:242; starting_owner=SAR"
"STATE_JUTLAND","building_salt_pan",15,15,0,"1","common/history/states/lagab_states.txt","state_name=Jutland; source_object=change_resource_potential; source_line=507; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:319; starting_owner=DEN"
"STATE_DOBRUDJA","building_salt_pan",12,12,0,"1","common/history/states/lagab_states.txt","state_name=Dobrudja; source_object=change_resource_potential; source_line=513; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:396; starting_owner=TUR"
"STATE_CROATIA","building_salt_pan",15,15,0,"2","common/history/states/lagab_states.txt","state_name=Croatia; source_object=change_resource_potential; source_line=519; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:413; starting_owner=CRO"
"STATE_BULGARIA","building_salt_pan",10,10,0,"1","common/history/states/lagab_states.txt","state_name=Bulgaria; source_object=change_resource_potential; source_line=525; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:430; starting_owner=TUR"
"STATE_NORTHERN_THRACE","building_salt_pan",12,12,0,"0","common/history/states/lagab_states.txt","state_name=Northern Thrace; source_object=change_resource_potential; source_line=531; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ATTICA","building_salt_pan",20,20,0,"2","common/history/states/lagab_states.txt","state_name=Attica; source_object=change_resource_potential; source_line=537; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:447; starting_owner=GRE"
"STATE_ERITREA","building_salt_pan",30,30,0,"1","common/history/states/lagab_states.txt","state_name=Eritrea; source_object=change_resource_potential; source_line=543; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_africa.txt:2; starting_owner=EGY"
"STATE_LIBYA","building_salt_pan",45,45,0,"0","common/history/states/lagab_states.txt","state_name=Cyrenaica; source_object=change_resource_potential; source_line=549; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_YUCATAN","building_salt_pan",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Yucatán; source_object=change_resource_potential; source_line=555; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_LOWER_ANDALUSIA","building_salt_pan",15,15,0,"0","common/history/states/lagab_states.txt","state_name=Lower Andalusia; source_object=change_resource_potential; source_line=561; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_UPPER_ANDALUSIA","building_salt_pan",18,18,0,"0","common/history/states/lagab_states.txt","state_name=Upper Andalusia; source_object=change_resource_potential; source_line=567; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_MISSISSIPPI","building_salt_mine",15,15,0,"2","common/history/states/lagab_states.txt","state_name=Mississippi; source_object=change_resource_potential; source_line=573; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:23; starting_owner=USA"
"STATE_LOUISIANA","building_salt_mine",10,10,0,"0","common/history/states/lagab_states.txt","state_name=Louisiana; source_object=change_resource_potential; source_line=579; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_TEXAS","building_salt_mine",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Texas; source_object=change_resource_potential; source_line=585; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_CHIHUAHUA","building_salt_mine",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Chihuahua; source_object=change_resource_potential; source_line=591; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ONTARIO","building_salt_mine",30,30,0,"2","common/history/states/lagab_states.txt","state_name=Ontario; source_object=change_resource_potential; source_line=597; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:43; starting_owner=ONT"
"STATE_NEW_YORK","building_salt_mine",35,35,0,"5","common/history/states/lagab_states.txt","state_name=New York; source_object=change_resource_potential; source_line=603; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:3; starting_owner=USA"
"STATE_SOUTH_DAKOTA","building_salt_mine",40,40,0,"0","common/history/states/lagab_states.txt","state_name=South Dakota; source_object=change_resource_potential; source_line=609; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_IDAHO","building_salt_mine",35,35,0,"0","common/history/states/lagab_states.txt","state_name=Idaho; source_object=change_resource_potential; source_line=615; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SASKATCHEWAN","building_salt_mine",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Saskatchewan; source_object=change_resource_potential; source_line=621; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ALBERTA","building_salt_mine",30,30,0,"0","common/history/states/lagab_states.txt","state_name=Alberta; source_object=change_resource_potential; source_line=627; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_PARA","building_salt_mine",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Pará; source_object=change_resource_potential; source_line=633; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ACRE","building_salt_mine",15,15,0,"0","common/history/states/lagab_states.txt","state_name=Acre; source_object=change_resource_potential; source_line=639; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_LA_PAMPA","building_salt_mine",10,10,0,"1","common/history/states/lagab_states.txt","state_name=Córdoba; source_object=change_resource_potential; source_line=645; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:98; starting_owner=ARG"
"STATE_LANCASHIRE","building_salt_mine",30,30,0,"10","common/history/states/lagab_states.txt","state_name=Lancashire; source_object=change_resource_potential; source_line=651; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:2; starting_owner=GBR"
"STATE_ELBE","building_salt_mine",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Elbe; source_object=change_resource_potential; source_line=657; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ANHALT","building_salt_mine",20,20,0,"2","common/history/states/lagab_states.txt","state_name=Anhalt; source_object=change_resource_potential; source_line=663; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:259; starting_owner=PRU"
"STATE_POMERANIA","building_salt_mine",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Pomerania; source_object=change_resource_potential; source_line=669; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_POSEN","building_salt_mine",18,18,0,"0","common/history/states/lagab_states.txt","state_name=Posen; source_object=change_resource_potential; source_line=675; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_WEST_PRUSSIA","building_salt_mine",18,18,0,"0","common/history/states/lagab_states.txt","state_name=West Prussia; source_object=change_resource_potential; source_line=681; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_UPPER_SILESIA","building_salt_mine",40,40,0,"0","common/history/states/lagab_states.txt","state_name=Upper Silesia; source_object=change_resource_potential; source_line=687; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_WEST_GALICIA","building_salt_mine",15,15,0,"0","common/history/states/lagab_states.txt","state_name=West Galicia; source_object=change_resource_potential; source_line=693; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_RUTHENIA","building_salt_mine",10,10,0,"0","common/history/states/lagab_states.txt","state_name=Ruthenia; source_object=change_resource_potential; source_line=699; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_UPPER_ANDALUSIA","building_salt_mine",15,15,0,"0","common/history/states/lagab_states.txt","state_name=Upper Andalusia; source_object=change_resource_potential; source_line=705; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ARAGON","building_salt_mine",10,10,0,"0","common/history/states/lagab_states.txt","state_name=Aragon; source_object=change_resource_potential; source_line=711; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_CATALONIA","building_salt_mine",8,8,0,"0","common/history/states/lagab_states.txt","state_name=Catalonia; source_object=change_resource_potential; source_line=717; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_CATALONIA","building_salt_pan",2,2,0,"1","common/history/states/lagab_states.txt","state_name=Catalonia; source_object=change_resource_potential; source_line=721; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:39; starting_owner=SPA"
"STATE_BEIRA","building_salt_mine",10,10,0,"0","common/history/states/lagab_states.txt","state_name=Beira; source_object=change_resource_potential; source_line=727; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_ESTREMADURA","building_salt_mine",10,10,0,"1","common/history/states/lagab_states.txt","state_name=Estremadura; source_object=change_resource_potential; source_line=733; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_europe.txt:74; starting_owner=POR"
"STATE_SICHUAN","building_salt_mine",30,30,0,"3","common/history/states/lagab_states.txt","state_name=Sichuan; source_object=change_resource_potential; source_line=739; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:125; starting_owner=CHI"
"STATE_ULIASTAI","building_salt_mine",12,12,0,"0","common/history/states/lagab_states.txt","state_name=Uliastai; source_object=change_resource_potential; source_line=745; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_GANSU","building_salt_mine",10,10,0,"0","common/history/states/lagab_states.txt","state_name=Gansu; source_object=change_resource_potential; source_line=751; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_NAKHON_RATCHASIMA","building_salt_mine",15,15,0,"0","common/history/states/lagab_states.txt","state_name=Nakhon Ratchasima; source_object=change_resource_potential; source_line=757; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_BANGKOK","building_salt_mine",8,8,0,"1","common/history/states/lagab_states.txt","state_name=Bangkok; source_object=change_resource_potential; source_line=763; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:252; starting_owner=SIA"
"STATE_YEMEN","building_salt_mine",20,20,0,"1","common/history/states/lagab_states.txt","state_name=Yemen; source_object=change_resource_potential; source_line=769; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_asia.txt:380; starting_owner=KAT"
"STATE_URMIA","building_salt_mine",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Urmia; source_object=change_resource_potential; source_line=775; hidden_split_not_defined_by_la_gabelle; starting_source=none"
