TAG,Country,Highest eras by category,Explicit count,Generic source,Anachronism count,Missing prerequisite count,Priority,Region,Explicit technologies,Starting anachronisms,Missing prerequisite details,Compatibility exception,Source file
ANK,Ankole,production=1;military=0;society=0,0,tier_6,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\ank - ankole.txt
ANU,Anuak,production=0;military=0;society=0,0,tier_7,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\anu - anuak.txt
APC,Apache,production=1;military=0;society=0,0,tier_6,0,0,P3,Great Plains,,,,,C:\Games\Victoria 3\game\common\history\countries\apc - apache.txt
ARB,Arabistan,production=1;military=0;society=2,0,tier_5,0,2,P2,Greater Persia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/arb - arabistan.txt
ARG,Argentina,production=1;military=3;society=4,2,tier_4,0,2,P2,La Plata,colonization;institutionalized_scientific_exchange,,codified_practical_knowledge <- periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft,,common/history/countries/arg - argentina.txt
ARH,Arnhem,production=1;military=0;society=0,0,tier_6,0,0,P3,Oceania,,,,,C:\Games\Victoria 3\game\common\history\countries\arh - arnhem.txt
ARM,Armenia,production=1;military=3;society=2,0,tier_4,0,3,P1,Greater Persia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/arm - armenia.txt
ARP,Arapaho,production=1;military=0;society=0,0,tier_6,0,0,P3,Great Plains,,,,,C:\Games\Victoria 3\game\common\history\countries\arp - arapaho.txt
ARR,Arrernte,production=1;military=0;society=0,0,tier_6,0,0,P3,Oceania,,,,,C:\Games\Victoria 3\game\common\history\countries\arr - arrernte.txt
ARS,Arsiland,production=1;military=0;society=2,1,tier_5,0,2,P2,East Africa,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/ars - arsiland.txt
ASH,Ashanti,production=1;military=0;society=1,1,tier_6,0,0,P2,West Africa,international_relations,,,,common/history/countries/ash - ashanti.txt
ASM,Assam,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\asm - assam.txt
ATB,Athabaska,production=1;military=0;society=0,0,tier_6,0,0,P3,Canada,,,,,C:\Games\Victoria 3\game\common\history\countries\atb - athabaska.txt
ATR,Kel Ataram,production=1;military=0;society=0,0,tier_6,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\atr - ataram.txt
AUL,Aulihan,production=1;military=0;society=0,0,tier_6,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\aul - aulihan.txt
AUS,Austria,production=1;military=3;society=7,3,tier_4,1,3,P1,Central Europe,romanticism;specialized_technical_academies;systematic_legal_codification,romanticism,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft | romanticism <- institutionalized_scientific_exchange | specialized_technical_academies <- institutionalized_scientific_exchange",,common/history/countries/aus - austria.txt
AWA,Awadh,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\awa - awadh.txt
AWS,Aussa,production=1;military=0;society=2,1,tier_5,0,2,P2,East Africa,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/aws - aussa.txt
AYI,Anyi,production=0;military=0;society=0,0,tier_7,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\ayi - anyi.txt
BAD,Baden,production=1;military=3;society=2,0,tier_4,0,3,P1,Central Europe,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/bad - baden.txt
BAG,Rewah,production=1;military=0;society=2,0,tier_5,0,2,P2,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/bag - bagelkhand.txt
BAL,Bali,production=1;military=0;society=2,0,tier_5,0,2,P2,Indonesia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/bal - bali.txt
BAS,Bastar,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bas - bastar.txt
BAV,Bavaria,production=1;military=3;society=2,0,tier_4,0,3,P1,Central Europe,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/bav - bavaria.txt
BCE,Ceylon,production=4;military=1;society=2,0,tier_2,0,0,P3,South India,,,,,C:\Games\Victoria 3\game\common\history\countries\bce - ceylon.txt
BEL,Belgium,production=4;military=2;society=2,0,tier_1,0,1,P2,Western Europe,,,advanced_crop_rotations <- selective_breeding,,C:\Games\Victoria 3\game\common\history\countries\bel - belgium.txt
BEN,Benin,production=1;military=0;society=2,1,tier_5,0,2,P2,West Africa,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/ben - benin.txt
BEO,Belgium,production=1;military=3;society=4,2,tier_4,0,3,P1,Western Europe,specialized_technical_academies;systematic_legal_codification,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft | specialized_technical_academies <- institutionalized_scientific_exchange",,common/history/countries/beo - belgium old.txt
BER,Baroda,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\ber - beroda.txt
BGI,Bagirmi,production=1;military=0;society=1,1,tier_6,0,0,P2,Equatorial Africa,international_relations,,,,common/history/countries/bgi - bagirmi.txt
BGM,Begemder,production=1;military=0;society=2,0,tier_5,0,2,P2,East Africa,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,C:\Games\Victoria 3\game\common\history\countries\bgm - begemder.txt
BHN,Bahrain,production=1;military=3;society=2,0,tier_4,0,3,P1,Arabia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bhn - bahrain.txt
BHO,Bhopal,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bho - bhopal.txt
BHU,Bhutan,production=1;military=3;society=2,0,tier_4,0,3,P1,Himalayas,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bhu - bhutan.txt
BHV,Bhavnagar,production=1;military=3;society=2,1,tier_4;tier_5,0,3,P1,North India,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bhv - bhavnagar.txt;common/history/countries/bhv - gujarati prince.txt
BHW,Bahawalpur,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bhw - bahawalpur.txt
BIC,East India,production=1;military=3;society=4,2,tier_4,0,2,P2,North India,colonization;institutionalized_scientific_exchange,,codified_practical_knowledge <- periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft,,common/history/countries/bic - british east india company.txt
BIK,Bikaner,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bik - bikaner.txt
BLA,Bilua,production=0;military=0;society=0,0,tier_7,0,0,P3,Oceania,,,,,C:\Games\Victoria 3\game\common\history\countries\bla - bilua.txt
BLE,Baule,production=0;military=0;society=0,0,tier_7,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\ble - baule.txt
BLF,Niitsitapi,production=1;military=0;society=0,0,tier_6,0,0,P3,Canada,,,,,C:\Games\Victoria 3\game\common\history\countries\blf - blackfoot.txt
BLG,Bulungan,production=1;military=3;society=2,0,tier_4,0,3,P1,Indonesia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\blg - bulungan.txt
BMB,Bemba,production=1;military=0;society=0,0,tier_6,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\bmb - bemba.txt
BMM,Bamum,production=1;military=0;society=0,0,tier_6,0,0,P3,Equatorial Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\bmm - bamum.txt
BND,Bundu,production=0;military=0;society=0,0,tier_7,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\bnd - bundu.txt
BNG,Bangala,production=0;military=0;society=0,0,tier_7,0,0,P3,Equatorial Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\bng - bangala.txt
BNJ,Banjar,production=1;military=3;society=2,0,tier_4,0,3,P1,Indonesia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bnj - banjar.txt
BNN,Pannakwati,production=1;military=0;society=0,0,tier_6,0,0,P3,Pacific Coast,,,,,C:\Games\Victoria 3\game\common\history\countries\bnn - bannock.txt
BNY,Bunyoro,production=1;military=0;society=0,0,tier_6,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\bny - bunyoro.txt
BOB,Bobangi,production=0;military=0;society=0,0,tier_7,0,0,P3,Equatorial Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\bob - bobangi.txt
BOL,Bolivia,production=1;military=3;society=4,2,tier_4,0,2,P2,The Andes,colonization;institutionalized_scientific_exchange,,codified_practical_knowledge <- periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft,,common/history/countries/bol - bolivia.txt
BOR,Bornu,production=1;military=0;society=2,0,tier_5,0,2,P2,West Africa,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,C:\Games\Victoria 3\game\common\history\countries\bor - bornu.txt
BRA,Brunswick,production=6;military=3;society=2,1,tier_4,1,16,P0,Central Europe,railways,railways,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | railways <- high_pressure_steam,professional_civil_engineering,puddling_and_rolling | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/bra - braunschweig.txt
BRD,Burundi,production=1;military=0;society=0,0,tier_6,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\brd - burundi.txt
BRE,Bremen,production=1;military=3;society=2,0,tier_4,0,3,P1,Central Europe,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/bre - bremen.txt
BRG,Borgu,production=1;military=0;society=2,1,tier_5,0,2,P2,West Africa,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/brg - borgu.txt
BRK,Brakna,production=1;military=0;society=0,0,tier_6,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\brk - brakna.txt
BRN,Borana,production=0;military=0;society=0,0,tier_7,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\brn - borana.txt
BRU,Brunei,production=1;military=3;society=2,0,tier_4,0,3,P1,Indonesia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bru - brunei.txt
BRZ,Brazil,production=1;military=3;society=4,2,tier_4,0,2,P2,Brazil,colonization;institutionalized_scientific_exchange,,codified_practical_knowledge <- periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft,,common/history/countries/brz - brazil.txt
BST,Basutoland,production=1;military=0;society=1,1,tier_6,0,0,P2,Southern Africa,international_relations,,,,common/history/countries/bst - basuto.txt
BTN,Buton,production=1;military=3;society=2,0,tier_4,0,3,P1,Indonesia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\btn - buton.txt
BUG,Buganda,production=1;military=0;society=0,0,tier_6,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\bug - buganda.txt
BUK,Bukhara,production=1;military=3;society=2,0,tier_4,0,3,P1,Central Asia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\buk - bukkhara.txt
BUN,Orchha,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\bun - bundelkhand.txt
BUR,Burma,production=1;military=0;society=2,0,tier_5,0,2,P2,Indochina,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/bur - burma.txt
CAM,Cambodia,production=3;military=0;society=2,1,tier_5,0,2,P2,Indochina,selective_breeding,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/cam - cambodia.txt
CAY,Cayor,production=0;military=0;society=0,0,tier_7,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\cay - cayor.txt
CHC,Chechnya,production=1;military=3;society=2,0,tier_4,0,3,P1,Russia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/chc - chechnya.txt
CHI,China,production=1;military=0;society=4,2,tier_5,0,2,P2,North China,international_relations;systematic_legal_codification,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/chi - china.txt
CHK,Chokwe,production=1;military=0;society=0,0,tier_6,0,0,P3,Equatorial Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\chk - chokwe.txt
CHL,Chile,production=3;military=3;society=3,0,tier_3,0,5,P1,La Plata,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | coke_smelting <- organized_forestry | commercial_insurance_markets <- institutionalized_public_credit | medical_degrees <- institutionalized_scientific_exchange | regulated_small_arms <- scientific_fortification_siegecraft | specialized_technical_academies <- institutionalized_scientific_exchange",,common/history/countries/chl - chile.txt
CHP,Champasak,production=1;military=3;society=2,0,tier_4,0,3,P1,Indochina,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\chp - champassak.txt
CHT,Chitral,production=1;military=3;society=2,0,tier_4,0,3,P1,Greater Persia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\cht - chitral.txt
CIR,Circassia,production=1;military=3;society=2,0,tier_4,0,3,P1,Russia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/cir - circassia.txt
CLM,Colombia,production=3;military=3;society=3,0,tier_3,0,5,P1,Gran Colombia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | coke_smelting <- organized_forestry | commercial_insurance_markets <- institutionalized_public_credit | medical_degrees <- institutionalized_scientific_exchange | regulated_small_arms <- scientific_fortification_siegecraft | specialized_technical_academies <- institutionalized_scientific_exchange",,common/history/countries/clm - colombia.txt
CMB,Chaamba,production=1;military=0;society=0,0,tier_6,0,0,P3,North Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\cmb - chaamba.txt
CMI,Chiang Mai,production=1;military=3;society=2,0,tier_4,0,3,P1,Indochina,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\cmi - chiang mai.txt
COB,Saxe-Coburg-Gotha,production=1;military=3;society=2,0,tier_4,0,3,P1,Central Europe,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/cob - saxe-coburg-gotha.txt
COC,Cochin,production=1;military=0;society=2,0,tier_5,0,2,P2,South India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/coc - cochin.txt
COM,Comanche,production=1;military=0;society=0,0,tier_6,0,0,P3,Great Plains,,,,,C:\Games\Victoria 3\game\common\history\countries\com - comanche.txt
CON,Constantine,production=1;military=0;society=2,0,tier_5,0,2,P2,North Africa,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/con - constantine.txt
COO,Cooch Behar,production=1;military=0;society=2,0,tier_5,0,2,P2,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/coo - cooch behar.txt
CRI,Crimea,production=1;military=0;society=2,1,tier_5,0,2,P2,Eastern Europe,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/cri - crimean khanate.txt
CRO,Croatia,production=1;military=3;society=4,2,tier_4,0,2,P2,Balkans,institutionalized_scientific_exchange;systematic_legal_codification,,codified_practical_knowledge <- periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft,,common/history/countries/cro - croatia.txt
CUB,Cuba,production=1;military=3;society=7,1,tier_4,1,3,P1,Central America,romanticism,romanticism,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft | romanticism <- institutionalized_scientific_exchange",,common/history/countries/cub - cuba.txt
DAH,Dahomey,production=1;military=0;society=2,1,tier_5,0,2,P2,West Africa,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/dah - dahomey.txt
DAI,Dai Nam,production=3;military=0;society=2,1,tier_5,0,2,P2,Indochina,selective_breeding,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/dai - dai viet.txt
DAK,Dar al Kuti,production=0;military=0;society=0,0,tier_7,0,0,P3,Equatorial Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\dak - dar al kuti.txt
DEI,East Indies,production=1;military=3;society=6,2,tier_4,1,6,P0,Indonesia,colonization;joint_stock_companies,joint_stock_companies,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | joint_stock_companies <- commercial_insurance_markets,postal_savings | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/dei - dutch east indies company.txt
DEN,Denmark,production=1;military=3;society=3,1,tier_4,0,3,P1,Northern Europe,specialized_technical_academies,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft | specialized_technical_academies <- institutionalized_scientific_exchange",,common/history/countries/den - denmark.txt
DENNOR,Denmark-Norway,production=1;military=3;society=4,2,tier_4,0,3,P1,Northern Europe,colonization;specialized_technical_academies,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft | specialized_technical_academies <- institutionalized_scientific_exchange",,common/history/countries/dennor - denmark-norway.txt
DFR,Darfur,production=1;military=0;society=2,0,tier_5,0,2,P2,Nile Basin,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,C:\Games\Victoria 3\game\common\history\countries\dfr - darfur.txt
DFT,Dar Fertit,production=0;military=0;society=0,0,tier_7,0,0,P3,Nile Basin,,,,,C:\Games\Victoria 3\game\common\history\countries\dft - dar fertit.txt
DGR,Degar,production=1;military=0;society=0,0,tier_6,0,0,P3,Indochina,,,,,C:\Games\Victoria 3\game\common\history\countries\dgr - degar.txt
DHA,Dharampur,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\dha - dharmpur.txt
DIN,Kel Dinnik,production=1;military=0;society=0,0,tier_6,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\din - dinnik.txt
DIO,Diola,production=0;military=0;society=0,0,tier_7,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\dio - diola.txt
DLA,Duala,production=0;military=0;society=0,0,tier_7,0,0,P3,Equatorial Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\dla - duala.txt
DLM,Delim,production=1;military=0;society=0,0,tier_6,0,0,P3,North Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\dlm - delim.txt
DNK,Dinka,production=0;military=0;society=0,0,tier_7,0,0,P3,Nile Basin,,,,,C:\Games\Victoria 3\game\common\history\countries\dnk - dinka.txt
DUR,Afghanistan,production=1;military=0;society=2,1,tier_5,0,2,P2,Greater Persia,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/dur - durrani empire.txt
ECU,Ecuador,production=1;military=3;society=4,2,tier_4,0,2,P2,The Andes,colonization;institutionalized_scientific_exchange,,codified_practical_knowledge <- periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft,,common/history/countries/ecu - ecuador.txt
EGY,Egypt,production=3;military=3;society=3,0,tier_3,0,5,P1,Nile Basin,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | coke_smelting <- organized_forestry | commercial_insurance_markets <- institutionalized_public_credit | medical_degrees <- institutionalized_scientific_exchange | regulated_small_arms <- scientific_fortification_siegecraft | specialized_technical_academies <- institutionalized_scientific_exchange",,common/history/countries/egy - egypt.txt
ETH,Ethiopia,production=1;military=0;society=2,1,tier_5,0,2,P2,East Africa,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/eth - ethopian empire.txt
EWE,Ewe,production=0;military=0;society=0,0,tier_7,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\ewe - ewe.txt
EZO,Ezochi,production=1;military=3;society=2,0,tier_4,0,3,P1,Northeast Asia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/ezo - ezochi.txt
FIN,Finland,production=4;military=1;society=2,0,tier_2,0,0,P3,Northern Europe,,,,,C:\Games\Victoria 3\game\common\history\countries\fin - finland.txt
FJI,Fiji,production=0;military=0;society=0,0,tier_7,0,0,P3,Oceania,,,,,C:\Games\Victoria 3\game\common\history\countries\fji - fiji.txt
FNG,Fang,production=0;military=0;society=0,0,tier_7,0,0,P3,Equatorial Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\fng - fang.txt
FRA,France,production=1;military=3;society=7,5,tier_4,1,3,P1,Western Europe,colonization;romanticism;specialized_technical_academies;systematic_population_registration;traditional_food_processing,romanticism,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft | romanticism <- institutionalized_scientific_exchange | specialized_technical_academies <- institutionalized_scientific_exchange",,common/history/countries/fra - france.txt
