vanilla_tech,vanilla_unlock,unlock_type,relationship_type,target_integrated_tech,reason,risk,status,source_file,source_context
central_banking,mutual_funds,technology,PREREQUISITE,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,1231: central_banking
central_banking,fund_lobbies,diplomatic_actions,UNLOCK,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/diplomatic_actions/30_fund_lobby.txt,9: central_banking
central_banking,money_transfer,treaty_articles,UNLOCK,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/treaty_articles/05_transfer_money.txt,23: central_banking
central_banking,take_on_debt,treaty_articles,UNLOCK,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/treaty_articles/04_take_on_debt.txt,15: central_banking
centralization,country_institution_home_affairs_max_investment_add,modifier,MODIFIER,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,158: technology modifier block
centralization,state_incorporation_speed_mult,modifier,MODIFIER,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,158: technology modifier block
centralization,state_tax_capacity_add,modifier,MODIFIER,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,158: technology modifier block
centralization,central_archives,technology,PREREQUISITE,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,551: centralization
centralization,currency_standards,technology,PREREQUISITE,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,87: centralization
centralization,decree_emergency_relief,decrees,UNLOCK,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/decrees/00_decree.txt,147: centralization
centralization,decree_road_maintenance,decrees,UNLOCK,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/decrees/00_decree.txt,18: centralization
centralization,je_age_of_princes,journal_entries,UNLOCK,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/journal_entries/00_ethiopia.txt,15: has_technology_researched = centralization
centralization,pm_horizontal_drawer_cabinets,production_methods,UNLOCK,systematic_population_registration,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/production_methods/07_government.txt,29: centralization
currency_standards,banking,technology,PREREQUISITE,scientific_metrology,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,214: currency_standards
currency_standards,law_per_capita_based_taxation,laws,UNLOCK,scientific_metrology,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_taxation.txt,111: currency_standards
democracy,country_institution_social_security_max_investment_add,modifier,MODIFIER,constitutional_government,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,100: technology modifier block
democracy,egalitarianism,technology,PREREQUISITE,human_rights,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,392: democracy
democracy,mass_communication,technology,PREREQUISITE,periodical_print_networks,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,345: democracy
democracy,je_liberalism_1,journal_entries,UNLOCK,constitutional_government,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/journal_entries/00_liberalism.txt,9: has_technology_researched = democracy
democracy,law_census_voting,laws,UNLOCK,constitutional_government,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_distribution_of_power.txt,894: democracy
democracy,law_landed_voting,laws,UNLOCK,constitutional_government,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_distribution_of_power.txt,614: democracy
democracy,law_parliamentary_republic,laws,UNLOCK,constitutional_government,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_governance_principles.txt,500: democracy
democracy,law_poor_laws,laws,UNLOCK,constitutional_government,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_welfare.txt,81: democracy
democracy,law_presidential_republic,laws,UNLOCK,constitutional_government,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_governance_principles.txt,342: democracy
democracy,law_wealth_voting,laws,UNLOCK,constitutional_government,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_distribution_of_power.txt,753: democracy
drydocks,hydraulic_cranes,technology,PREREQUISITE,mechanized_naval_dockyards,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,418: drydocks
drydocks,ship_type_ship_of_the_line,ship_types,UNLOCK,state_dockyard_systems,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/ship_types/00_ship_types.txt,54: unlocking_technologies = { drydocks }
empiricism,country_diplomatic_play_maneuvers_mult,modifier,MODIFIER,institutionalized_scientific_exchange,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,353: technology modifier block
empiricism,country_influence_mult,modifier,MODIFIER,institutionalized_scientific_exchange,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,353: technology modifier block
empiricism,country_institution_schools_max_investment_add,modifier,MODIFIER,organized_elementary_schooling,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,353: technology modifier block
empiricism,state_education_access_wealth_add,modifier,MODIFIER,organized_elementary_schooling,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,353: technology modifier block
empiricism,dialectics,technology,PREREQUISITE,early_socialism_cooperativism,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,644: empiricism
empiricism,psychiatry,technology,PREREQUISITE,medical_degrees,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,664: empiricism
empiricism,law_public_schools,laws,UNLOCK,organized_elementary_schooling,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_education_system.txt,307: empiricism
empiricism,law_state_atheism,laws,UNLOCK,institutionalized_scientific_exchange,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_church_and_state.txt,527: empiricism
empiricism,law_total_separation,laws,UNLOCK,institutionalized_scientific_exchange,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_church_and_state.txt,451: empiricism
empiricism,liberal_party,parties,UNLOCK,institutionalized_scientific_exchange,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/parties/liberal_party.txt,392: empiricism
gunsmithing,artillery,technology,PREREQUISITE,standardized_field_artillery,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,92: gunsmithing
gunsmithing,percussion_cap,technology,PREREQUISITE,percussion_cap,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,321: gunsmithing
gunsmithing,building_arms_industry,buildings,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/01_industry.txt,421: gunsmithing
gunsmithing,building_artillery_foundry,buildings,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/01_industry.txt,444: gunsmithing
gunsmithing,company_famae,company_types,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/company_types/00_companies_americas.txt,513: has_technology_researched = gunsmithing
gunsmithing,company_trubia,company_types,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/company_types/00_companies_europe.txt,1495: has_technology_researched = gunsmithing
gunsmithing,company_zastava,company_types,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/company_types/00_companies_europe.txt,1575: has_technology_researched = gunsmithing
intensive_agriculture,improved_fertilizer,technology,PREREQUISITE,industrial_acids,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/10_production.txt,452: intensive_agriculture
intensive_agriculture,nitroglycerin,technology,PREREQUISITE,industrial_acids,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/10_production.txt,351: intensive_agriculture
intensive_agriculture,steam_donkey,technology,PREREQUISITE,deep_mine_engineering,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/10_production.txt,468: intensive_agriculture
intensive_agriculture,building_chemical_plant,buildings,UNLOCK,industrial_acids,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/01_industry.txt,158: intensive_agriculture
intensive_agriculture,building_explosives_factory,buildings,UNLOCK,industrial_acids,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/01_industry.txt,191: intensive_agriculture
intensive_agriculture,je_agricultural_development,journal_entries,UNLOCK,advanced_crop_rotations,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/journal_entries/02_coffee_and_milk.txt,17: has_technology_researched = intensive_agriculture
intensive_agriculture,pm_sheep_farms,production_methods,UNLOCK,selective_breeding,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/production_methods/02_agro.txt,471: intensive_agriculture
intensive_agriculture,pm_soil_enriching_farming,production_methods,UNLOCK,advanced_crop_rotations,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/production_methods/02_agro.txt,46: intensive_agriculture
intensive_agriculture,pm_soil_enriching_farming_building_rice_farm,production_methods,UNLOCK,advanced_crop_rotations,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/production_methods/02_agro.txt,324: intensive_agriculture
international_relations,colonization,technology,PREREQUISITE,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,LOW,RESTORED_VANILLA_NODE,common/technology/technologies/30_society.txt,255: international_relations
international_relations,nationalism,technology,PREREQUISITE,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,LOW,RESTORED_VANILLA_NODE,common/technology/technologies/30_society.txt,705: international_relations
international_relations,rivalry,diplomatic_actions,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/diplomatic_actions/12_rivalry.txt,9: international_relations
international_relations,abandon_piracy,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/36_abandon_piracy.txt,22: international_relations
international_relations,alliance,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/00_alliance.txt,29: international_relations
international_relations,defensive_pact,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/01_defensive_pact.txt,28: international_relations
international_relations,guarantee_independence,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/02_guarantee_independence.txt,29: international_relations
international_relations,host_power_bloc_embassy,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/10_host_power_bloc_embassy.txt,23: international_relations
international_relations,law_commitment,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/20_law_commitment.txt,22: international_relations
international_relations,military_access,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/15_military_access.txt,26: international_relations
international_relations,no_strait_closure,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/34_no_strait_closure.txt,25: international_relations
international_relations,no_tolls,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/32_no_tolls.txt,25: international_relations
international_relations,non_piracy_agreement,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/35_non_piracy_agreement.txt,22: international_relations
international_relations,strait_access,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/33_strait_access.txt,26: international_relations
international_relations,support_independence,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/03_support_independence.txt,33: international_relations
international_relations,toll_exemption,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/31_toll_exemption.txt,26: international_relations
international_relations,trade_privilege,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/25_trade_privilege.txt,26: international_relations
international_relations,transit_rights,treaty_articles,UNLOCK,international_relations,TECH1A marked the old scientific-exchange match NAME_COLLISION_ONLY; the vanilla diplomatic node and all its unlocks are preserved.,MEDIUM,RESTORED_VANILLA_NODE,common/treaty_articles/24_transit_rights.txt,25: international_relations
international_trade,currency_standards,technology,PREREQUISITE,scientific_metrology,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,86: international_trade
international_trade,stock_exchange,technology,PREREQUISITE,stock_exchange,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,307: international_trade
international_trade,embargo,diplomatic_actions,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/diplomatic_actions/13_embargo.txt,9: international_trade
international_trade,je_liberalism_1,journal_entries,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/journal_entries/00_liberalism.txt,10: has_technology_researched = international_trade
international_trade,law_free_trade,laws,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_trade_policy.txt,108: international_trade
international_trade,law_laissez_faire,laws,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_economic_system.txt,470: international_trade
international_trade,law_mercantilism,laws,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_trade_policy.txt,13: international_trade
international_trade,goods_transfer,treaty_articles,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/treaty_articles/13_goods_transfer.txt,21: international_trade
international_trade,no_subventions,treaty_articles,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/treaty_articles/26_no_subventions.txt,26: international_trade
international_trade,no_tariffs,treaty_articles,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/treaty_articles/21_no_tariffs.txt,27: international_trade
international_trade,prohibit_trade_with_global_market,treaty_articles,UNLOCK,commercial_insurance_markets,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/treaty_articles/17_prohibit_trade_with_global_market.txt,26: international_trade
line_infantry,army_reserves,technology,PREREQUISITE,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,169: line_infantry
line_infantry,napoleonic_warfare,technology,PREREQUISITE,corps_organization,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,125: line_infantry
line_infantry,combat_unit_type_cuirassiers,combat_unit_types,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/combat_unit_types/00_land_combat_unit_types.txt,815: unlocking_technologies = { line_infantry }
line_infantry,combat_unit_type_dragoons,combat_unit_types,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/combat_unit_types/00_land_combat_unit_types.txt,756: unlocking_technologies = { line_infantry }
line_infantry,combat_unit_type_line_infantry,combat_unit_types,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/combat_unit_types/00_land_combat_unit_types.txt,101: unlocking_technologies = { line_infantry }
line_infantry,combat_unit_type_low_tier_marines,combat_unit_types,UNLOCK,regulated_small_arms,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/combat_unit_types/00_land_combat_unit_types.txt,971: unlocking_technologies = { line_infantry }
mandatory_service,country_general_rank_impact_mult,modifier,MODIFIER,corps_organization,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,48: technology modifier block
mandatory_service,state_conscription_rate_mult,modifier,MODIFIER,corps_organization,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,48: technology modifier block
mandatory_service,line_infantry,technology,PREREQUISITE,corps_organization,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,184: mandatory_service
mandatory_service,decree_enlistment_efforts,decrees,UNLOCK,corps_organization,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/decrees/00_decree.txt,937: mandatory_service
mandatory_service,je_british_dictate_military,journal_entries,UNLOCK,corps_organization,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/journal_entries/04_india_british_dictates.txt,"149: icon = ""gfx/interface/icons/invention_icons/mandatory_service.dds"""
mandatory_service,law_national_militia,laws,UNLOCK,corps_organization,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_army_model.txt,209: unlocking_technologies = { mandatory_service }
manufacturies,cotton_gin,technology,PREREQUISITE,interchangeable_manufacture,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/10_production.txt,68: manufacturies
manufacturies,distillation,technology,PREREQUISITE,interchangeable_manufacture,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/10_production.txt,110: manufacturies
manufacturies,shaft_mining,technology,PREREQUISITE,interchangeable_manufacture,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/10_production.txt,50: manufacturies
manufacturies,building_food_industry,buildings,UNLOCK,interchangeable_manufacture,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/01_industry.txt,12: manufacturies
manufacturies,building_furniture_manufactory,buildings,UNLOCK,interchangeable_manufacture,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/01_industry.txt,63: manufacturies
manufacturies,building_glassworks,buildings,UNLOCK,pressed_glass,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/01_industry.txt,85: manufacturies
manufacturies,building_paper_mill,buildings,UNLOCK,continuous_papermaking,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/01_industry.txt,135: manufacturies
