tech_id,name,effective_definition_source,category,era,researchable,visible,in_TECH3A_index,vanilla_original,TECH1A_operation,TECH2H_disposition,mapped_TECH3A_owner,current_prerequisites,current_successors,unlock_count,reference_count,count_source,notes
international_relations,International Relations,common/technology/technologies/30_tech3a_society.txt,society,era_1,yes,yes,yes,yes,KEEP,TECH3A_IMPLEMENTED_KEEP,international_relations,ROOT,colonization;international_exchange_standards;multilateral_alliances,16,30,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
periodical_print_networks,Periodical Press,common/technology/technologies/30_tech3a_society.txt,society,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,periodical_print_networks,ROOT,codified_practical_knowledge;constitutional_government;human_rights;mechanized_printing;national_sovereignty;optical_telegraph_networks;organized_reform_movements,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
stock_exchange,Stock Exchange,common/technology/technologies/30_tech3a_society.txt,society,era_1,yes,yes,yes,yes,MERGE,TECH3A_IMPLEMENTED_MERGE,stock_exchange,institutionalized_public_credit,corporate_charters;investment_banks,3,15,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
regulated_small_arms,Regulated Small Arms,common/technology/technologies/20_tech3a_military.txt,military,era_2,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,regulated_small_arms,scientific_fortification_siegecraft,armament_standardization_inspection;light_infantry_tactics,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
improved_agricultural_implements,Improved Farm Tools,common/technology/technologies/10_tech3a_production.txt,production,era_2,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,improved_agricultural_implements,improved_husbandry,automated_flour_milling;threshing_machine,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
industrial_acids,Industrial Acids,common/technology/technologies/10_tech3a_production.txt,production,era_2,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_KEEP,industrial_acids,ROOT,baking_powder;chemical_bleaching;coal_gasification;fractional_distillation;industrial_alkalis;nitroglycerin;rubber_mastication,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
turnpike_road_networks,Turnpike Road Networks,common/technology/technologies/10_tech3a_production.txt,production,era_2,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,turnpike_road_networks,ROOT,improved_road_engineering;industrial_canals,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
systematic_administrative_statistics,State Statistics,common/technology/technologies/30_tech3a_society.txt,society,era_2,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,systematic_administrative_statistics,ROOT,central_statistical_offices;political_economy;professional_civil_policing;scientific_metrology;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
variolation_networks,Variolation Networks,common/technology/technologies/30_tech3a_society.txt,society,era_2,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,variolation_networks,ROOT,vaccination,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
light_infantry_tactics,Light Infantry Tactics,common/technology/technologies/20_tech3a_military.txt,military,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_REWIRE,light_infantry_tactics,regulated_small_arms,rifling,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
marine_chronometry,Marine Chronometry,common/technology/technologies/25_tech3a_naval.txt,military,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,marine_chronometry,ROOT,hydrographic_surveying,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
permanent_military_hospitals,Military Hospitals,common/technology/technologies/20_tech3a_military.txt,military,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,permanent_military_hospitals,scientific_fortification_siegecraft,battlefield_evacuation,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
scientific_naval_architecture,Naval Architecture,common/technology/technologies/25_tech3a_naval.txt,military,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,scientific_naval_architecture,state_dockyard_systems,copper_sheathing;diagonal_ship_framing;iron_hull_construction;mechanized_naval_dockyards;paddle_steamer;shell_gun;standardized_naval_signals,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
ship_classification_surveying,Ship Class & Survey,common/technology/technologies/25_tech3a_naval.txt,military,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,ship_classification_surveying,enclosed_dock_systems,maritime_safety_standards,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
standardized_field_artillery,Field Artillery,common/technology/technologies/20_tech3a_military.txt,military,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,standardized_field_artillery,ROOT,armament_standardization_inspection;explosive_field_ammunition;horse_artillery;shell_gun,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
advanced_crop_rotations,Advanced Crop Rotations,common/technology/technologies/10_tech3a_production.txt,production,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,advanced_crop_rotations,improved_husbandry,systematic_field_drainage,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
applied_mineralogy,Applied Mineralogy,common/technology/technologies/10_tech3a_production.txt,production,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,applied_mineralogy,shaft_mining,geological_surveying,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
industrial_canals,Industrial Canals,common/technology/technologies/10_tech3a_production.txt,production,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,industrial_canals,turnpike_road_networks,professional_civil_engineering,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
industrial_ceramics,Industrial Ceramics,common/technology/technologies/10_tech3a_production.txt,production,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,industrial_ceramics,ROOT,hydraulic_cements;pressed_glass,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
mechanized_spinning,Mechanized Spinning,common/technology/technologies/10_tech3a_production.txt,production,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,mechanized_spinning,ROOT,advanced_spinning;cotton_gin,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
selective_breeding,Selective Breeding,common/technology/technologies/10_tech3a_production.txt,production,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,selective_breeding,improved_husbandry,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
codified_practical_knowledge,Codified Knowledge,common/technology/technologies/30_tech3a_society.txt,society,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,political_economy,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
medical_degrees,Medical Degrees,common/technology/technologies/30_tech3a_society.txt,society,era_3,yes,yes,yes,yes,REPLACE,TECH3A_IMPLEMENTED_RETIME,medical_degrees,institutionalized_scientific_exchange,active_principle_pharmacy;clinicopathological_medicine;pharmaceuticals,1,24,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
organized_elementary_schooling,Elementary Schooling,common/technology/technologies/30_tech3a_society.txt,society,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,organized_elementary_schooling,ROOT,mass_circulation_press,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
political_economy,Political Economy,common/technology/technologies/30_tech3a_society.txt,society,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,political_economy,systematic_administrative_statistics;codified_practical_knowledge,classical_political_economy,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
specialized_technical_academies,Technical Academies,common/technology/technologies/30_tech3a_society.txt,society,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,specialized_technical_academies,institutionalized_scientific_exchange,polytechnical_education;specialized_professional_societies,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
systematic_population_registration,Population Registers,common/technology/technologies/30_tech3a_society.txt,society,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,systematic_population_registration,systematic_administrative_statistics,central_statistical_offices,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
veterinary_science,Veterinary Science,common/technology/technologies/30_tech3a_society.txt,society,era_3,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,veterinary_science,institutionalized_scientific_exchange,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
armament_standardization_inspection,Arms Standards & Checks,common/technology/technologies/20_tech3a_military.txt,military,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,armament_standardization_inspection,regulated_small_arms;standardized_field_artillery,percussion_cap;rifling;standardized_military_rockets,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
copper_sheathing,Copper Sheathing,common/technology/technologies/25_tech3a_naval.txt,military,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,copper_sheathing,scientific_naval_architecture,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
horse_artillery,Horse Artillery,common/technology/technologies/20_tech3a_military.txt,military,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,horse_artillery,standardized_field_artillery,corps_organization;military_veterinary_services,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
military_topographic_surveying,Military Surveying,common/technology/technologies/20_tech3a_military.txt,military,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,military_topographic_surveying,permanent_engineer_services,general_staff;hydrographic_surveying,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
mysorean_iron_cased_rocketry,Mysorean Rockets,common/technology/technologies/20_tech3a_military.txt,military,era_4,no,event_or_regional_only,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,mysorean_iron_cased_rocketry,ROOT,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,Legitimate non-researchable regional/event technology retained in the effective graph.
permanent_engineer_services,Engineer Corps,common/technology/technologies/20_tech3a_military.txt,military,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,permanent_engineer_services,scientific_fortification_siegecraft,casemated_fortifications;corps_organization;field_engineering_pontoon_trains;military_topographic_surveying,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
advanced_spinning,Advanced Spinning,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,advanced_spinning,mechanized_spinning,mechanized_weaving,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
automated_flour_milling,Automated Flour Milling,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,automated_flour_milling,improved_agricultural_implements,canneries,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
chemical_bleaching,Chemical Bleaching,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,chemical_bleaching,industrial_acids,NONE,5,10,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
condensing_steam_engines,Condensing Steam Engines,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,condensing_steam_engines,atmospheric_engine;precision_boring,rotative_steam_power,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
cotton_gin,Cotton Gin,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,cotton_gin,mechanized_spinning,lathe,6,13,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
deep_mine_engineering,Deep Mine Engineering,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_KEEP,deep_mine_engineering,shaft_mining;atmospheric_engine,mine_safety_engineering,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
enclosure,Enclosure,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,production,era_4,yes,yes,no,yes,REWIRE,NOT_EXPLICITLY_DISPOSED_BY_TECH2H,improved_husbandry,ROOT,intensive_agriculture,17,28,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
manufacturies,Manufacturies,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,production,era_4,yes,yes,no,yes,SPLIT,TECH2H_SPLIT_RELATIONSHIPS_ASSIGNED_12,interchangeable_manufacture;mechanized_weaving;pressed_glass;continuous_papermaking;mechanical_tools,ROOT,distillation;mechanized_workshops,9,17,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
precision_boring,Precision Boring,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,precision_boring,coke_smelting;atmospheric_engine,condensing_steam_engines;continuous_papermaking;mechanical_tools,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
puddling_and_rolling,Puddling and Rolling,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,puddling_and_rolling,coke_smelting,hot_blast_smelting;railways,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
rotative_steam_power,Rotative Steam Power,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,rotative_steam_power,condensing_steam_engines,hot_blast_smelting;mechanized_weaving,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
threshing_machine,Threshing Machines,common/technology/technologies/10_tech3a_production.txt,production,era_4,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,threshing_machine,improved_agricultural_implements,mechanized_farming,4,8,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
abolitionist_mobilization,Abolitionism,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,abolitionist_mobilization,organized_reform_movements;human_rights,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
classical_political_economy,Classical Economics,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,classical_political_economy,political_economy,early_socialism_cooperativism;liberal_constitutionalism;macroeconomics,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
colonization,Colonization,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,society,era_4,yes,yes,no,yes,REWIRE,TECH2H_EXPLICITLY_PRESERVED_SUCCESSOR,colonization,international_relations,NONE,11,59,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
constitutional_government,Constitutional Rule,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,constitutional_government,periodical_print_networks,human_rights;liberal_constitutionalism;national_sovereignty,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
corporate_charters,Corporate Charters,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,society,era_4,yes,yes,no,yes,MERGE,NOT_EXPLICITLY_DISPOSED_BY_TECH2H,stock_exchange,stock_exchange,joint_stock_companies,8,21,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
human_rights,Human Rights,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,yes,REPLACE,TECH3A_IMPLEMENTED_RETIME,human_rights,constitutional_government;periodical_print_networks,abolitionist_mobilization;feminism;liberal_constitutionalism;organized_reform_movements,23,27,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
national_sovereignty,Popular Sovereignty,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,national_sovereignty,constitutional_government;periodical_print_networks,nationalism,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
optical_telegraph_networks,Optical Telegraph,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_KEEP,optical_telegraph_networks,periodical_print_networks,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
organized_reform_movements,Reform Movements,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,organized_reform_movements,periodical_print_networks;human_rights,abolitionist_mobilization;early_socialism_cooperativism;labor_movement;political_agitation,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
polytechnical_education,Polytechnical Education,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,polytechnical_education,specialized_technical_academies,experimental_research_laboratories,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
scientific_metrology,Scientific Metrology,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,scientific_metrology,systematic_administrative_statistics;institutionalized_scientific_exchange,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
systematic_cadastral_surveying,Cadastral Surveying,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_REWIRE,systematic_cadastral_surveying,systematic_administrative_statistics,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
systematic_legal_codification,Legal Codification,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,systematic_legal_codification,systematic_administrative_statistics,professional_civil_policing,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
vaccination,Vaccination,common/technology/technologies/30_tech3a_society.txt,society,era_4,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,vaccination,variolation_networks,organized_immunization_campaigns,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
battlefield_evacuation,Battlefield Evacuation,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,battlefield_evacuation,permanent_military_hospitals;logistics,modern_nursing,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
casemated_fortifications,Casemated Fortifications,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,casemated_fortifications,permanent_engineer_services,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
corps_organization,Corps Organization,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,corps_organization,horse_artillery;permanent_engineer_services,enlistment_offices;general_staff;logistics,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
