tech_id,name_en,name_fr,branch,category,era,source,definition_file,current_prerequisites,successors,successor_count,unlock_count,in_degree,out_degree,graph_role,dead_end_status,earliest_realistic_date,maturity_adoption_window,current_era_date_range,era_fit,concept_family,coordinates,position_status,icon,researchable,compatibility_alias,notes
breech_loading_artillery,Breech-Loading Artillery,Armes à chargement par la culasse,Military,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,rifling;shell_gun,handcranked_machine_gun;monitor_tech,2,2,2,2,BRANCH_NODE,NOT_A_DEAD_END,1850s,1860-1885,1860-1879,GOOD,artillery,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/breech_loading_artillery.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
electric_telegraph,Electric Telegraph,Télégraphe électrique,Military,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,logistics;optical_telegraph_networks,military_statistics;trench_works,2,0,2,2,BRANCH_NODE,NOT_A_DEAD_END,1830s,1845-1870,1860-1879,TOO_LATE,telecommunications,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/electrical_telegraph.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
enlistment_offices,Enlistment Offices,Bureaux de recrutement militaire,Military,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,logistics;corps_organization,war_propaganda,1,0,2,1,MERGE_NODE,NOT_A_DEAD_END,mid-19th century,1860-1900,1860-1879,GOOD,military_organization,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/enlistment_offices.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
field_works,Field Works,Aménagement de terrain,Military,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,corps_organization,trench_works,1,1,1,1,NORMAL,NOT_A_DEAD_END,ancient practice,industrialized doctrine 1850-1880,1860-1879,GOOD,fortification,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/field_works.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
modern_nursing,Modern Nursing,Soins infirmiers modernes,Military,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,medical_degrees,,0,1,1,0,DEAD_END,LIKELY_MISSING_SUCCESSOR,1850s,1860-1900,1860-1879,GOOD,military_medicine,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/modern_nursing.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
repeaters,Repeaters,Arme à répétition,Military,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,rifling;percussion_cap,bolt_action_rifles;handcranked_machine_gun,2,1,2,2,BRANCH_NODE,NOT_A_DEAD_END,1850s,1860-1885,1860-1879,GOOD,infantry_weapons,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/repeaters.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
gantry_cranes,Gantry Cranes,Portique de levage,Naval,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,mechanized_naval_dockyards;iron_hull_construction,floating_harbor,1,4,2,1,MERGE_NODE,NOT_A_DEAD_END,mid-19th century,1860-1900,1860-1879,GOOD,naval_logistics,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/gantry_crane.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
ironclad_tech,Ironclad,Cuirassé,Naval,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,iron_hull_construction,monitor_tech;pre_dreadnought_tech,2,2,1,2,BRANCH_NODE,NOT_A_DEAD_END,1850s,1860-1880,1860-1879,GOOD,naval_hulls,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/ironclad_tech.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
self_propelled_torpedoes,Self-Propelled Torpedoes,Torpilles autopropulsées,Naval,military,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,state_dockyard_systems,jeune_ecole;submarine,2,0,1,2,BRANCH_NODE,NOT_A_DEAD_END,1860s,1870-1900,1860-1879,GOOD,naval_weapons,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/self_propelled_torpedoes.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
dynamite,Dynamite,Dynamite,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,nitroglycerin,pumpjacks,1,7,1,1,NORMAL,NOT_A_DEAD_END,1867,1870-1900,1860-1879,GOOD,industrial_explosives,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/dynamite.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
improved_fertilizer,Improved Fertilizer,Engrais amélioré,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,intensive_agriculture,nitrogen_fixation,1,3,1,1,NORMAL,NOT_A_DEAD_END,mid-19th century,1860-1900,1860-1879,GOOD,agricultural_modernization,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/improved_fertilizer.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
mechanized_farming,Mechanized Farming,Agriculture mécanisée,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,threshing_machine,,0,3,1,0,DEAD_END,LIKELY_MISSING_SUCCESSOR,early 19th century,1850-1900,1860-1879,BORDERLINE,agricultural_modernization,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/mechanized_farming.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
open_hearth_process,Open Hearth Process,Procédé Martin-Siemens,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,bessemer_process,electric_arc_process,1,1,1,1,NORMAL,NOT_A_DEAD_END,1860s,1870-1900,1860-1879,GOOD,steel_metallurgy,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/open_hearth_process.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
reinforced_concrete,Reinforced Concrete,Béton armé,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,bessemer_process;hydraulic_cements,plastics;pneumatic_tools,2,3,2,2,BRANCH_NODE,NOT_A_DEAD_END,1850s,1870-1910,1860-1879,GOOD,civil_construction,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/reinforced_concrete.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
rotary_valve_engine,Rotary Valve Engine,Moteur à valve rotative,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,watertube_boiler,combustion_engine;electrical_generation;pneumatic_tools,3,8,1,3,BRANCH_NODE,NOT_A_DEAD_END,mid-19th century,1860-1890,1860-1879,GOOD,steam_power,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/rotary_valve_engine.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
rubber_mastication,Rubber Mastication,Mastication du caoutchouc,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,fractional_distillation;chemical_bleaching,aniline;vulcanization,2,1,2,2,BRANCH_NODE,NOT_A_DEAD_END,1820s,1840-1870,1860-1879,TOO_LATE,industrial_materials,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/rubber.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
shift_work,Shift Work,Travail posté,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,interchangeable_manufacture,conveyors;telephone,2,0,1,2,BRANCH_NODE,NOT_A_DEAD_END,industrial-era practice,1860-1910,1860-1879,GOOD,factory_organization,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/shift_work.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
steam_donkey,Steam Donkey,Treuil de débardage à vapeur,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,intensive_agriculture,pumpjacks,1,3,1,1,NORMAL,NOT_A_DEAD_END,1880s,1880-1910,1860-1879,TOO_EARLY,extractive_industries,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/steam_donkey.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
steel_railway_cars,Steel Railway Cars,Wagons en acier,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,railways,electric_railway,1,4,1,1,NORMAL,NOT_A_DEAD_END,1860s,1870-1900,1860-1879,GOOD,rail_transport,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/steel_railway_cars.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
vacuum_canning,Vacuum Canning,Conservation sous vide,Production,production,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,interchangeable_manufacture,pasteurization,1,2,1,1,NORMAL,NOT_A_DEAD_END,1870s,1880-1910,1860-1879,BORDERLINE,food_industrialization,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/vacuum_canning.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
anarchism,Anarchism,Anarchisme,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,early_socialism_cooperativism,political_agitation,1,2,1,1,NORMAL,NOT_A_DEAD_END,1840s,1860-1900,1860-1879,GOOD,political_ideologies,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/anarchy.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
camera,Camera,Appareil photo,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,realism,film,1,1,1,1,NORMAL,NOT_A_DEAD_END,1830s,1850-1880,1860-1879,BORDERLINE,arts_visual_media,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/camera.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
civilizing_mission,Civilizing Mission,Mission civilisatrice,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,quinine;nationalism,malaria_prevention,1,2,2,1,MERGE_NODE,NOT_A_DEAD_END,mid-19th century ideology,1870-1914,1860-1879,GOOD,nationalism_imperialism,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/civilizing_mission.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
corporatism,Corporatism,Corporatisme,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,labor_movement;nationalism,political_agitation,1,3,2,1,MERGE_NODE,NOT_A_DEAD_END,late 19th century,1890-1930,1860-1879,TOO_EARLY,political_ideologies,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/corporatism.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
feminism,Feminism,Féminisme,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,human_rights,,0,2,1,0,DEAD_END,LIKELY_MISSING_SUCCESSOR,mid-19th century,1870-1920,1860-1879,GOOD,rights_reform,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/feminism.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
identification_documents,Identification Documents,Documents d’identification,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,central_statistical_offices,central_planning,1,0,1,1,NORMAL,NOT_A_DEAD_END,19th century,1870-1914,1860-1879,GOOD,administration_surveillance,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/identification_documents.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
mutual_funds,Mutual Funds,Fonds mutuel,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,institutionalized_public_credit;postal_savings,international_exchange_standards;investment_banks,2,1,2,2,BRANCH_NODE,NOT_A_DEAD_END,late 18th century precedents,1860-1920,1860-1879,GOOD,finance_corporate_governance,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/mutual_funds.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
pan-nationalism,Pan-nationalism,Pan-nationalisme,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,nationalism,multilateral_alliances,1,0,1,1,NORMAL,NOT_A_DEAD_END,mid-19th century,1860-1914,1860-1879,GOOD,nationalism_imperialism,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/pan_nationalism.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
philosophical_pragmatism,Philosophical Pragmatism,Pragmatisme philosophique,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,medical_degrees,psychoanalysis,1,0,1,1,NORMAL,NOT_A_DEAD_END,1870s,1890-1915,1860-1879,BORDERLINE,philosophy_psychology,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/philosophical_pragmatism.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
socialism,Socialism,Socialisme,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,labor_movement;early_socialism_cooperativism,political_agitation,1,4,2,1,MERGE_NODE,NOT_A_DEAD_END,1820s-1840s,1860-1914,1860-1879,GOOD,political_ideologies,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/socialism.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
steel_frame_buildings,Steel-Frame Buildings,Bâtiments avec structure en acier,Society,society,era_8,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,professional_civil_engineering,elevator;zeppelins,2,6,1,2,BRANCH_NODE,NOT_A_DEAD_END,1880s,1890-1915,1860-1879,TOO_EARLY,urban_infrastructure,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/steel_frame_buildings.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
handcranked_machine_gun,Handcranked Machine Gun,Mitrailleuse à manivelle,Military,military,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,repeaters;breech_loading_artillery,automatic_machine_guns;defense_in_depth;military_aviation,3,0,2,3,BRANCH_NODE,NOT_A_DEAD_END,1860s,1870-1895,1880-1894,GOOD,infantry_weapons,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/handcranked_machine_gun.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
military_statistics,Military Statistics,Statistiques militaires,Military,military,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,electric_telegraph;general_staff,wargaming,1,3,2,1,MERGE_NODE,NOT_A_DEAD_END,mid-19th century,1870-1910,1880-1894,GOOD,military_organization,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/military_statistics.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
trench_works,Trench Works,Tranchées,Military,military,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,general_staff;electric_telegraph;field_works,defense_in_depth;flamethrowers;nco_training;stormtroopers,4,0,3,4,BRANCH_NODE,NOT_A_DEAD_END,mid-19th century,1870-1918,1880-1894,GOOD,fortification,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/trench_works.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
floating_harbor,Floating Harbor,Port artificiel,Naval,military,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,gantry_cranes,concrete_dockyards,1,0,1,1,NORMAL,NOT_A_DEAD_END,late 19th century,1880-1918,1880-1894,GOOD,naval_logistics,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/floating_harbor.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
jeune_ecole,Jeune École,Jeune École,Naval,military,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,self_propelled_torpedoes,landing_craft;sea_lane_strategies,2,2,1,2,BRANCH_NODE,NOT_A_DEAD_END,1880s,1880-1900,1880-1894,GOOD,naval_doctrine,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/jeune_ecole.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
monitor_tech,$ship_type_modern_ironclad$,$ship_type_modern_ironclad$,Naval,military,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,ironclad_tech;breech_loading_artillery,destroyer;landing_craft,2,0,2,2,BRANCH_NODE,NOT_A_DEAD_END,1860s,1860-1880,1880-1894,TOO_LATE,naval_hulls,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/monitor_tech.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
aniline,Aniline,Aniline,Production,production,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,rubber_mastication,art_silk,1,1,1,1,NORMAL,NOT_A_DEAD_END,1850s,1860-1890,1880-1894,TOO_LATE,industrial_materials,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/aniline.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
electrical_generation,Electrical Generation,Production d’électricité,Production,production,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,rotary_valve_engine,conveyors;electrical_capacitors;steam_turbine;telephone,4,5,1,4,BRANCH_NODE,NOT_A_DEAD_END,1870s,1880-1910,1880-1894,GOOD,electrical_engineering,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/electrical_generation.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
pumpjacks,Pumpjacks,Chevalet de pompage,Production,production,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,steam_donkey;dynamite,,0,11,2,0,DEAD_END,LIKELY_MISSING_SUCCESSOR,1850s,1870-1910,1880-1894,BORDERLINE,extractive_industries,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/pumpjacks.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
vulcanization,Vulcanization,Vulcanisation,Production,production,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,rubber_mastication,automatic_bottle_blowers;conveyors,2,2,1,2,BRANCH_NODE,NOT_A_DEAD_END,1839,1850-1880,1880-1894,TOO_LATE,industrial_materials,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/vulcanization.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
investment_banks,Investment Banks,Banques d’investissement,Society,society,era_9,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,stock_exchange;mutual_funds,corporate_management,1,0,2,1,MERGE_NODE,NOT_A_DEAD_END,19th century,1870-1914,1880-1894,GOOD,finance_corporate_governance,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/investment_banks.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
