reference_id,scope,production_method_id,production_method_group,building_ids,file,line_or_block,gate_type,gate_expression,technology_id,technology_category,technology_era,technology_status,vanilla_requirement,mod_requirement,vanilla_mod_relationship,hidden_alias,pm_role,frozen_target,frozen_target_source,design_status,notes
PMTG-0001,EFFECTIVE_VANILLA,pm_aeroplane_production,pmg_aeroplanes,building_automotive_industry,common/production_methods/01_industry.txt,2221,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { military_aviation },military_aviation,military,era_10,VISIBLE_POST1836,unlocking_technologies = { military_aviation },INHERITED_FROM_VANILLA: unlocking_technologies = { military_aviation },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0019,EFFECTIVE_VANILLA,pm_rotary_valve_engine_building_paper_mill,pmg_automation_building_paper_mill,building_paper_mill,common/production_methods/01_industry.txt,1220,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { rotary_valve_engine },rotary_valve_engine,production,era_8,VISIBLE_POST1836,unlocking_technologies = { rotary_valve_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { rotary_valve_engine },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0020,EFFECTIVE_VANILLA,pm_watertube_boiler_building_steel_mill,pmg_automation_building_steel_mill,building_steel_mill,common/production_methods/01_industry.txt,1664,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { watertube_boiler },watertube_boiler,production,era_7,VISIBLE_POST1836,unlocking_technologies = { watertube_boiler },INHERITED_FROM_VANILLA: unlocking_technologies = { watertube_boiler },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0021,EFFECTIVE_VANILLA,pm_rotary_valve_engine_building_steel_mill,pmg_automation_building_steel_mill,building_steel_mill,common/production_methods/01_industry.txt,1690,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { rotary_valve_engine },rotary_valve_engine,production,era_8,VISIBLE_POST1836,unlocking_technologies = { rotary_valve_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { rotary_valve_engine },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0022,EFFECTIVE_VANILLA,pm_mechanized_looms,pmg_automation_building_textile_mill,building_textile_mill,common/production_methods/01_industry.txt,441,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { mechanized_workshops },mechanized_workshops,production,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { mechanized_workshops },INHERITED_FROM_VANILLA: unlocking_technologies = { mechanized_workshops },INHERITED_VANILLA,YES,AUTOMATION_PM,mechanized_weaving,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,Expanded per effective PMG; no mod override.
PMTG-0023,EFFECTIVE_VANILLA,pm_automatic_power_looms,pmg_automation_building_textile_mill,building_textile_mill,common/production_methods/01_industry.txt,465,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { electrical_capacitors },electrical_capacitors,production,era_9,VISIBLE_POST1836,unlocking_technologies = { electrical_capacitors },INHERITED_FROM_VANILLA: unlocking_technologies = { electrical_capacitors },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0024,EFFECTIVE_VANILLA,pm_watertube_boiler_building_tooling_workshop,pmg_automation_building_tooling_workshop,building_tooling_workshop,common/production_methods/01_industry.txt,1022,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { watertube_boiler },watertube_boiler,production,era_7,VISIBLE_POST1836,unlocking_technologies = { watertube_boiler },INHERITED_FROM_VANILLA: unlocking_technologies = { watertube_boiler },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0025,EFFECTIVE_VANILLA,pm_rotary_valve_engine_building_tooling_workshop,pmg_automation_building_tooling_workshop,building_tooling_workshop,common/production_methods/01_industry.txt,1050,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { rotary_valve_engine },rotary_valve_engine,production,era_8,VISIBLE_POST1836,unlocking_technologies = { rotary_valve_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { rotary_valve_engine },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0026,EFFECTIVE_VANILLA,pm_assembly_lines_building_tooling_workshop,pmg_automation_building_tooling_workshop,building_tooling_workshop,common/production_methods/01_industry.txt,1078,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { conveyors },conveyors,production,era_10,VISIBLE_POST1836,unlocking_technologies = { conveyors },INHERITED_FROM_VANILLA: unlocking_technologies = { conveyors },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0027,EFFECTIVE_VANILLA,pm_automobile_production,pmg_automobile_production,building_automotive_industry,common/production_methods/01_industry.txt,2158,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { combustion_engine },combustion_engine,production,era_9,VISIBLE_POST1836,unlocking_technologies = { combustion_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { combustion_engine },INHERITED_VANILLA,NO,BASE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0028,EFFECTIVE_VANILLA,pm_mass_automobile_production,pmg_automobile_production,building_automotive_industry,common/production_methods/01_industry.txt,2190,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { compression_ignition },compression_ignition,production,era_11,VISIBLE_POST1836,unlocking_technologies = { compression_ignition },INHERITED_FROM_VANILLA: unlocking_technologies = { compression_ignition },INHERITED_VANILLA,NO,ADVANCED_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0029,EFFECTIVE_VANILLA,pm_realist_art,pmg_base_building_art_academy,building_art_academy,common/production_methods/06_urban_center.txt,267,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { realism },realism,society,era_7,VISIBLE_POST1836,unlocking_technologies = { realism },INHERITED_FROM_VANILLA: unlocking_technologies = { realism },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0030,EFFECTIVE_VANILLA,pm_photographic_art,pmg_base_building_art_academy,building_art_academy,common/production_methods/06_urban_center.txt,283,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { camera },camera,society,era_7,VISIBLE_POST1836,unlocking_technologies = { camera },INHERITED_FROM_VANILLA: unlocking_technologies = { camera },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0031,EFFECTIVE_VANILLA,pm_film_art,pmg_base_building_art_academy,building_art_academy,common/production_methods/06_urban_center.txt,301,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { film },film,society,era_10,VISIBLE_POST1836,unlocking_technologies = { film },INHERITED_FROM_VANILLA: unlocking_technologies = { film },INHERITED_VANILLA,NO,ADVANCED_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0032,EFFECTIVE_VANILLA,automatic_irrigation_building_banana_plantation,pmg_base_building_banana_plantation,building_banana_plantation,common/production_methods/04_plantations.txt,597,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { pumpjacks },pumpjacks,production,era_9,VISIBLE_POST1836,unlocking_technologies = { pumpjacks },INHERITED_FROM_VANILLA: unlocking_technologies = { pumpjacks },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0033,EFFECTIVE_VANILLA,coffee_plantation_wet_process_manual,pmg_base_building_coffee_plantation,building_coffee_plantation,common/production_methods/04_plantations.txt,27,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { mechanical_tools },mechanical_tools,production,era_5,VISIBLE_TECH3A_I_VI,unlocking_technologies = { mechanical_tools },INHERITED_FROM_VANILLA: unlocking_technologies = { mechanical_tools },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0034,EFFECTIVE_VANILLA,coffee_plantation_wet_process_mechanical,pmg_base_building_coffee_plantation,building_coffee_plantation,common/production_methods/04_plantations.txt,60,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { mechanized_workshops },mechanized_workshops,production,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { mechanized_workshops },INHERITED_FROM_VANILLA: unlocking_technologies = { mechanized_workshops },INHERITED_VANILLA,YES,ADVANCED_PM,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,Expanded per effective PMG; no mod override.
PMTG-0035,EFFECTIVE_VANILLA,pm_iron_frame_buildings,pmg_base_building_construction_sector,building_construction_sector,common/production_methods/13_construction.txt,39,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { urban_planning },urban_planning,society,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { urban_planning },INHERITED_FROM_VANILLA: unlocking_technologies = { urban_planning },INHERITED_VANILLA,YES,INTERMEDIATE_PM,,,DESIGN_REVIEW_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0036,EFFECTIVE_VANILLA,pm_steel_frame_buildings,pmg_base_building_construction_sector,building_construction_sector,common/production_methods/13_construction.txt,78,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { steel_frame_buildings },steel_frame_buildings,society,era_9,VISIBLE_POST1836,unlocking_technologies = { steel_frame_buildings },INHERITED_FROM_VANILLA: unlocking_technologies = { steel_frame_buildings },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0037,EFFECTIVE_VANILLA,pm_arc_welded_buildings,pmg_base_building_construction_sector,building_construction_sector,common/production_methods/13_construction.txt,117,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { arc_welding },arc_welding,production,era_12,VISIBLE_POST1836,unlocking_technologies = { arc_welding },INHERITED_FROM_VANILLA: unlocking_technologies = { arc_welding },INHERITED_VANILLA,NO,ADVANCED_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0038,EFFECTIVE_VANILLA,automatic_irrigation_building_cotton_plantation,pmg_base_building_cotton_plantation,building_cotton_plantation,common/production_methods/04_plantations.txt,189,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { pumpjacks },pumpjacks,production,era_9,VISIBLE_POST1836,unlocking_technologies = { pumpjacks },INHERITED_FROM_VANILLA: unlocking_technologies = { pumpjacks },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0039,EFFECTIVE_VANILLA,automatic_irrigation_building_dye_plantation,pmg_base_building_dye_plantation,building_dye_plantation,common/production_methods/04_plantations.txt,235,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { pumpjacks },pumpjacks,production,era_9,VISIBLE_POST1836,unlocking_technologies = { pumpjacks },INHERITED_FROM_VANILLA: unlocking_technologies = { pumpjacks },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0040,EFFECTIVE_VANILLA,pm_steam_trawlers,pmg_base_building_fishing_wharf,building_fishing_wharf,common/production_methods/09_misc_resource.txt,289,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { gantry_cranes },gantry_cranes,military,era_8,VISIBLE_POST1836,unlocking_technologies = { gantry_cranes },INHERITED_FROM_VANILLA: unlocking_technologies = { gantry_cranes },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0041,EFFECTIVE_VANILLA,pm_sweeteners,pmg_base_building_food_industry,building_food_industry,common/production_methods/01_industry.txt,25,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { distillation },distillation,production,era_1,VISIBLE_TECH3A_I_VI,unlocking_technologies = { distillation },INHERITED_FROM_VANILLA: unlocking_technologies = { distillation },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0042,EFFECTIVE_VANILLA,pm_baking_powder,pmg_base_building_food_industry,building_food_industry,common/production_methods/01_industry.txt,51,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { baking_powder },baking_powder,production,era_7,VISIBLE_POST1836,unlocking_technologies = { baking_powder },INHERITED_FROM_VANILLA: unlocking_technologies = { baking_powder },INHERITED_VANILLA,NO,ADVANCED_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0043,EFFECTIVE_VANILLA,pm_lathe,pmg_base_building_furniture_manufactory,building_furniture_manufactory,common/production_methods/01_industry.txt,513,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { lathe },lathe,production,era_5,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { lathe },INHERITED_FROM_VANILLA: unlocking_technologies = { lathe },INHERITED_VANILLA,YES,INTERMEDIATE_PM,,,DESIGN_REVIEW_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0044,EFFECTIVE_VANILLA,pm_mechanized_workshops,pmg_base_building_furniture_manufactory,building_furniture_manufactory,common/production_methods/01_industry.txt,541,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { mechanized_workshops },mechanized_workshops,production,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { mechanized_workshops },INHERITED_FROM_VANILLA: unlocking_technologies = { mechanized_workshops },INHERITED_VANILLA,YES,ADVANCED_PM,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,Expanded per effective PMG; no mod override.
PMTG-0045,EFFECTIVE_VANILLA,pm_leaded_glass,pmg_base_building_glassworks,building_glassworks,common/production_methods/01_industry.txt,744,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { lathe },lathe,production,era_5,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { lathe },INHERITED_FROM_VANILLA: unlocking_technologies = { lathe },INHERITED_VANILLA,YES,INTERMEDIATE_PM,,,DESIGN_REVIEW_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0046,EFFECTIVE_VANILLA,pm_crystal_glass,pmg_base_building_glassworks,building_glassworks,common/production_methods/01_industry.txt,775,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { crystal_glass },crystal_glass,production,era_4,VISIBLE_TECH3A_I_VI,unlocking_technologies = { crystal_glass },INHERITED_FROM_VANILLA: unlocking_technologies = { crystal_glass },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0047,EFFECTIVE_VANILLA,pm_houseware_plastics,pmg_base_building_glassworks,building_glassworks,common/production_methods/01_industry.txt,806,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { plastics },plastics,production,era_10,VISIBLE_POST1836,unlocking_technologies = { plastics },INHERITED_FROM_VANILLA: unlocking_technologies = { plastics },INHERITED_VANILLA,NO,ADVANCED_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0048,EFFECTIVE_VANILLA,pm_horizontal_drawer_cabinets,pmg_base_building_government_administration,building_government_administration,common/production_methods/07_government.txt,29,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { centralization },centralization,society,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { centralization },INHERITED_FROM_VANILLA: unlocking_technologies = { centralization },INHERITED_VANILLA,YES,INTERMEDIATE_PM,systematic_population_registration,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,Expanded per effective PMG; no mod override.
PMTG-0049,EFFECTIVE_VANILLA,pm_vertical_filing_cabinets,pmg_base_building_government_administration,building_government_administration,common/production_methods/07_government.txt,58,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { central_archives },central_archives,society,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { central_archives },INHERITED_FROM_VANILLA: unlocking_technologies = { central_archives },INHERITED_VANILLA,YES,INTERMEDIATE_PM,central_statistical_offices,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,Expanded per effective PMG; no mod override.
PMTG-0050,EFFECTIVE_VANILLA,pm_switch_boards,pmg_base_building_government_administration,building_government_administration,common/production_methods/07_government.txt,87,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { central_planning },central_planning,society,era_11,VISIBLE_POST1836,unlocking_technologies = { central_planning },INHERITED_FROM_VANILLA: unlocking_technologies = { central_planning },INHERITED_VANILLA,NO,ADVANCED_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0051,EFFECTIVE_VANILLA,pm_slaughterhouses,pmg_base_building_livestock_ranch,building_livestock_ranch,common/production_methods/02_agro.txt,544,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { mechanical_tools },mechanical_tools,production,era_5,VISIBLE_TECH3A_I_VI,unlocking_technologies = { mechanical_tools },INHERITED_FROM_VANILLA: unlocking_technologies = { mechanical_tools },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0052,EFFECTIVE_VANILLA,pm_mechanized_slaughtering,pmg_base_building_livestock_ranch,building_livestock_ranch,common/production_methods/02_agro.txt,570,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { mechanized_farming },mechanized_farming,production,era_7,VISIBLE_POST1836,unlocking_technologies = { mechanized_farming },INHERITED_FROM_VANILLA: unlocking_technologies = { mechanized_farming },INHERITED_VANILLA,NO,ADVANCED_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
