production_method_group,building_ids,previous_pm,previous_pm_technology,next_pm,next_pm_technology,technology_dependency_exists,same_category,era_order_valid,progression_class,skip_risk,recommended_review,pre_transfer_recommended_review,post_transfer_status,notes
pmg_automation_building_tooling_workshop,building_tooling_workshop,pm_automation_disabled,NONE,pm_watertube_boiler_building_tooling_workshop,watertube_boiler,YES,NOT_APPLICABLE,NOT_APPLICABLE,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_automation_building_tooling_workshop,building_tooling_workshop,pm_watertube_boiler_building_tooling_workshop,watertube_boiler,pm_rotary_valve_engine_building_tooling_workshop,rotary_valve_engine,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_tooling_workshop,building_tooling_workshop,pm_rotary_valve_engine_building_tooling_workshop,rotary_valve_engine,pm_assembly_lines_building_tooling_workshop,conveyors,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automobile_production,building_automotive_industry,pm_automobile_production,combustion_engine,pm_mass_automobile_production,compression_ignition,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_art_academy,building_art_academy,pm_traditional_art,NONE,pm_realist_art,realism,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_art_academy,building_art_academy,pm_realist_art,realism,pm_photographic_art,camera,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_art_academy,building_art_academy,pm_photographic_art,camera,pm_film_art,film,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_coffee_plantation,building_coffee_plantation,coffee_plantation_dry_process,NONE,coffee_plantation_wet_process_manual,mechanical_tools,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_coffee_plantation,building_coffee_plantation,coffee_plantation_wet_process_manual,mechanical_tools,coffee_plantation_wet_process_mechanical,interchangeable_manufacture,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_construction_sector,building_construction_sector,pm_wooden_buildings,NONE,pm_iron_frame_buildings,urban_planning,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_construction_sector,building_construction_sector,pm_iron_frame_buildings,urban_planning,pm_steel_frame_buildings,steel_frame_buildings,NO,YES,YES,LINEAR_SUCCESSION,POSSIBLE,DESIGN_REVIEW_REQUIRED,DESIGN_REVIEW_REQUIRED,UNCHANGED_DESIGN_REVIEW,Missing dependency with a preserved hidden alias; design review remains required.
pmg_base_building_construction_sector,building_construction_sector,pm_steel_frame_buildings,steel_frame_buildings,pm_arc_welded_buildings,arc_welding,NO,NO,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_food_industry,building_food_industry,pm_bakery,NONE,pm_sweeteners,distillation,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_food_industry,building_food_industry,pm_sweeteners,distillation,pm_baking_powder,baking_powder,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_furniture_manufactory,building_furniture_manufactory,pm_handcrafted_furniture,NONE,pm_lathe,lathe,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_furniture_manufactory,building_furniture_manufactory,pm_lathe,lathe,pm_mechanized_workshops,interchangeable_manufacture,NO,YES,YES,LINEAR_SUCCESSION,POSSIBLE,DESIGN_REVIEW_REQUIRED,DESIGN_REVIEW_REQUIRED,UNCHANGED_DESIGN_REVIEW,Missing dependency with a preserved hidden alias; design review remains required.
pmg_base_building_glassworks,building_glassworks,pm_forest_glass,NONE,pm_leaded_glass,lathe,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_glassworks,building_glassworks,pm_leaded_glass,lathe,pm_crystal_glass,crystal_glass,NO,YES,NO,LINEAR_SUCCESSION,POSSIBLE,DESIGN_REVIEW_REQUIRED,DESIGN_REVIEW_REQUIRED,UNCHANGED_DESIGN_REVIEW,Missing dependency with a preserved hidden alias; design review remains required.
pmg_base_building_glassworks,building_glassworks,pm_crystal_glass,crystal_glass,pm_houseware_plastics,plastics,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_government_administration,building_government_administration,pm_simple_organization,NONE,pm_horizontal_drawer_cabinets,systematic_population_registration,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_government_administration,building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_vertical_filing_cabinets,central_statistical_offices,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_government_administration,building_government_administration,pm_vertical_filing_cabinets,central_statistical_offices,pm_switch_boards,central_planning,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,DESIGN_REVIEW_REQUIRED,RESOLVED_BY_FROZEN_TRANSFER,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_livestock_ranch,building_livestock_ranch,pm_open_air_stockyards,NONE,pm_butchering_tools,NONE,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_livestock_ranch,building_livestock_ranch,pm_butchering_tools,NONE,pm_slaughterhouses,mechanical_tools,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_livestock_ranch,building_livestock_ranch,pm_slaughterhouses,mechanical_tools,pm_mechanized_slaughtering,mechanized_farming,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_logging_camp,building_logging_camp,pm_simple_forestry,NONE,pm_saw_mills,mechanical_tools,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_logging_camp,building_logging_camp,pm_saw_mills,mechanical_tools,pm_electric_saw_mills,electrical_generation,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,DESIGN_REVIEW_REQUIRED,RESOLVED_BY_FROZEN_TRANSFER,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_maize_farm,building_maize_farm,pm_simple_farming,NONE,pm_soil_enriching_farming,advanced_crop_rotations,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_maize_farm,building_maize_farm,pm_soil_enriching_farming,advanced_crop_rotations,pm_fertilization,improved_fertilizer,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,DESIGN_REVIEW_REQUIRED,CLASSIFICATION_CHANGED_OTHER,Graph does not require preceding gate before next gate.
pmg_base_building_maize_farm,building_maize_farm,pm_fertilization,improved_fertilizer,pm_chemical_fertilizer,nitrogen_fixation,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_millet_farm,building_millet_farm,pm_simple_farming,NONE,pm_soil_enriching_farming,advanced_crop_rotations,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_millet_farm,building_millet_farm,pm_soil_enriching_farming,advanced_crop_rotations,pm_fertilization,improved_fertilizer,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,DESIGN_REVIEW_REQUIRED,CLASSIFICATION_CHANGED_OTHER,Graph does not require preceding gate before next gate.
pmg_base_building_millet_farm,building_millet_farm,pm_fertilization,improved_fertilizer,pm_chemical_fertilizer,nitrogen_fixation,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_motor_industry,building_motor_industry,pm_steam_engines,NONE,pm_electric_engines,electric_railway,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_motor_industry,building_motor_industry,pm_electric_engines,electric_railway,pm_diesel_engines,compression_ignition,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_naval_fortification,building_naval_fortification,pm_naval_fortification_basic,NONE,pm_naval_fortification_reinforced,breech_loading_artillery,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_naval_fortification,building_naval_fortification,pm_naval_fortification_reinforced,breech_loading_artillery,pm_naval_fortification_advanced,concrete_fortifications,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_paper_mill,building_paper_mill,pm_pulp_pressing,NONE,pm_sulfite_pulping,mechanical_tools,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_paper_mill,building_paper_mill,pm_sulfite_pulping,mechanical_tools,pm_bleached_paper,chemical_bleaching,NO,YES,NO,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_port,building_port,pm_anchorage,NONE,pm_basic_port,NONE,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_port,building_port,pm_basic_port,NONE,pm_industrial_port,gantry_cranes,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_port,building_port,pm_industrial_port,gantry_cranes,pm_modern_port,concrete_dockyards,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_railway,building_railway,pm_early_trains,NONE,pm_steam_trains,steel_railway_cars,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_railway,building_railway,pm_steam_trains,steel_railway_cars,pm_steam_trains_principle_transport_3,steel_railway_cars,YES,YES,YES,PARALLEL_SPECIALIZATION,NOT_APPLICABLE,PM_PROGRESSION_INTENTIONAL_PARALLEL,PM_PROGRESSION_INTENTIONAL_PARALLEL,NOT_APPLICABLE,Alternative branch or same-gate specialization.
pmg_base_building_railway,building_railway,pm_steam_trains_principle_transport_3,steel_railway_cars,pm_electric_trains,electric_railway,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_railway,building_railway,pm_electric_trains,electric_railway,pm_electric_trains_principle_transport_3,electric_railway,YES,YES,YES,PARALLEL_SPECIALIZATION,NOT_APPLICABLE,PM_PROGRESSION_INTENTIONAL_PARALLEL,PM_PROGRESSION_INTENTIONAL_PARALLEL,NOT_APPLICABLE,Alternative branch or same-gate specialization.
pmg_base_building_railway,building_railway,pm_electric_trains_principle_transport_3,electric_railway,pm_diesel_trains,compression_ignition,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_railway,building_railway,pm_diesel_trains,compression_ignition,pm_diesel_trains_principle_transport_3,compression_ignition,YES,YES,YES,PARALLEL_SPECIALIZATION,NOT_APPLICABLE,PM_PROGRESSION_INTENTIONAL_PARALLEL,PM_PROGRESSION_INTENTIONAL_PARALLEL,NOT_APPLICABLE,Alternative branch or same-gate specialization.
pmg_base_building_rice_farm,building_rice_farm,pm_simple_farming_building_rice_farm,NONE,pm_herring_meal_farming_building_rice_farm,NONE,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_rice_farm,building_rice_farm,pm_herring_meal_farming_building_rice_farm,NONE,pm_soil_enriching_farming_building_rice_farm,advanced_crop_rotations,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_rice_farm,building_rice_farm,pm_soil_enriching_farming_building_rice_farm,advanced_crop_rotations,pm_fertilization_building_rice_farm,improved_fertilizer,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,DESIGN_REVIEW_REQUIRED,CLASSIFICATION_CHANGED_OTHER,Graph does not require preceding gate before next gate.
pmg_base_building_rice_farm,building_rice_farm,pm_fertilization_building_rice_farm,improved_fertilizer,pm_chemical_fertilizer_building_rice_farm,nitrogen_fixation,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_rye_farm,building_rye_farm,pm_simple_farming,NONE,pm_soil_enriching_farming,advanced_crop_rotations,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_rye_farm,building_rye_farm,pm_soil_enriching_farming,advanced_crop_rotations,pm_fertilization,improved_fertilizer,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,DESIGN_REVIEW_REQUIRED,CLASSIFICATION_CHANGED_OTHER,Graph does not require preceding gate before next gate.
pmg_base_building_rye_farm,building_rye_farm,pm_fertilization,improved_fertilizer,pm_chemical_fertilizer,nitrogen_fixation,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_shipyard,building_shipyard,pm_basic_shipbuilding,NONE,pm_complex_shipbuilding,screw_frigate,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_shipyard,building_shipyard,pm_complex_shipbuilding,screw_frigate,pm_metal_shipbuilding,gantry_cranes,NO,YES,YES,LINEAR_SUCCESSION,POSSIBLE,DESIGN_REVIEW_REQUIRED,DESIGN_REVIEW_REQUIRED,UNCHANGED_DESIGN_REVIEW,Missing dependency with a preserved hidden alias; design review remains required.
pmg_base_building_shipyard,building_shipyard,pm_metal_shipbuilding,gantry_cranes,pm_arc_welding_shipbuilding,arc_welding,NO,NO,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_textile_mill,building_textile_mill,pm_handsewn_clothes,NONE,pm_dye_workshops,lathe,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_textile_mill,building_textile_mill,pm_dye_workshops,lathe,pm_sewing_machines,mechanized_weaving,NO,YES,YES,LINEAR_SUCCESSION,POSSIBLE,DESIGN_REVIEW_REQUIRED,DESIGN_REVIEW_REQUIRED,UNCHANGED_DESIGN_REVIEW,Missing dependency with a preserved hidden alias; design review remains required.
pmg_base_building_textile_mill,building_textile_mill,pm_sewing_machines,mechanized_weaving,pm_electric_sewing_machines,electrical_capacitors,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,DESIGN_REVIEW_REQUIRED,CLASSIFICATION_CHANGED_OTHER,Graph does not require preceding gate before next gate.
pmg_base_building_tooling_workshop,building_tooling_workshop,pm_crude_tools,NONE,pm_pig_iron,coke_smelting,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_tooling_workshop,building_tooling_workshop,pm_pig_iron,coke_smelting,pm_steel,mechanical_tools,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,DESIGN_REVIEW_REQUIRED,RESOLVED_BY_FROZEN_TRANSFER,Previous gate is identical to or ancestor of a next gate.
pmg_base_building_tooling_workshop,building_tooling_workshop,pm_steel,mechanical_tools,pm_rubber_grips,vulcanization,NO,YES,YES,LINEAR_SUCCESSION,YES,PM_PROGRESSION_SKIP_RISK,PM_PROGRESSION_SKIP_RISK,UNCHANGED_RISK,Graph does not require preceding gate before next gate.
pmg_base_building_university,building_university,pm_scholastic_education,NONE,pm_philosophy_department,dialectics,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_university,building_university,pm_philosophy_department,dialectics,pm_analytical_philosophy_department,analytical_philosophy,NO,YES,YES,LINEAR_SUCCESSION,POSSIBLE,DESIGN_REVIEW_REQUIRED,DESIGN_REVIEW_REQUIRED,UNCHANGED_DESIGN_REVIEW,Missing dependency with a preserved hidden alias; design review remains required.
pmg_base_building_wheat_farm,building_wheat_farm,pm_simple_farming,NONE,pm_herring_meal_farming,NONE,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_base_building_wheat_farm,building_wheat_farm,pm_herring_meal_farming,NONE,pm_soil_enriching_farming,advanced_crop_rotations,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
