CATEGORY,ID,FILE,PARENT_OBJECT,BUILDING_GROUP,PMG,TECH_GATE,INPUTS,OUTPUTS,VANILLA_OR_CUSTOM,COMPATIBILITY_1_13_9,NOTES
PM,pm_condensing_engine_pump_building_salt_mine,common/production_methods/lagab_pms.txt,building_salt_mine,bg_mining,pmg_mining_equipment_building_salt_mine,watertube_boiler,"tools=10; coal=15",salt=45,NEW_LA_GABELLE_ID,YES,"shopkeepers=500; laborers=3000; machinists=1000; engineers=500; pollution=15"
PM,pm_diesel_pump_building_salt_mine,common/production_methods/lagab_pms.txt,building_salt_mine,bg_mining,pmg_mining_equipment_building_salt_mine,compression_ignition,"tools=10; oil=5",salt=55,NEW_LA_GABELLE_ID,YES,"shopkeepers=500; laborers=2250; machinists=1500; engineers=750; pollution=10"
PM,pm_nitroglycerin_building_salt_mine,common/production_methods/lagab_pms.txt,building_salt_mine,bg_mining,pmg_explosives_building_salt_mine,nitroglycerin,explosives=5,salt=15,NEW_LA_GABELLE_ID,YES,"engineers=250; pollution=5; mortality multipliers laborers=.3 machinists=.2 engineers=.1"
PM,pm_dynamite_building_salt_mine,common/production_methods/lagab_pms.txt,building_salt_mine,bg_mining,pmg_explosives_building_salt_mine,dynamite,explosives=10,salt=20,NEW_LA_GABELLE_ID,YES,"engineers=250; pollution=10"
PM,default_building_salt_pan,common/production_methods/lagab_pms.txt,building_salt_pan,bg_mining,pmg_base_building_salt_pan,NONE,NONE,salt=10,NEW_LA_GABELLE_ID,YES,"shopkeepers=500; laborers=2000; no upgrade tier"
PM,pm_no_explosives,common/production_methods/03_mines.txt,building_salt_mine,bg_mining,pmg_explosives_building_salt_mine,NONE,NONE,NONE,REUSED_VANILLA_ID,YES,"referenced unchanged; vanilla common/production_methods/03_mines.txt:114"
PM,pm_no_steam_automation,common/production_methods/03_mines.txt,building_salt_mine,bg_mining,pmg_steam_automation_building_salt_mine,NONE,NONE,NONE,REUSED_VANILLA_ID,YES,"referenced unchanged; vanilla common/production_methods/03_mines.txt:179"
PM,pm_steam_donkey_mine,common/production_methods/03_mines.txt,building_salt_mine,bg_mining,pmg_steam_automation_building_salt_mine,steam_donkey,"engines=1; coal=4","laborers=-1000; pollution=5",REUSED_VANILLA_ID,YES,"referenced unchanged; disallowed by law_industry_banned; vanilla line 391"
PM,pm_road_carts,common/production_methods/03_mines.txt,building_salt_mine,bg_mining,pmg_train_automation_building_salt_mine,NONE,NONE,NONE,REUSED_VANILLA_ID,YES,"referenced unchanged; vanilla line 213"
PM,pm_rail_transport_mine,common/production_methods/03_mines.txt,building_salt_mine,bg_mining,pmg_train_automation_building_salt_mine,railways,transportation=5,"laborers=-1000; pollution=10",REUSED_VANILLA_ID,YES,"referenced unchanged; vanilla line 420"
PM,pm_sweeteners,common/production_methods/lagab_pms.txt,building_food_industry,bg_light_industry,pmg_base_building_food_industry,distillation,"grain=40; sugar=15; salt=10",groceries=65,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla common/production_methods/01_industry.txt:21; EARLY_CONSUMER; merge into 1776 same-path shadow"
PM,pm_baking_powder,common/production_methods/lagab_pms.txt,building_food_industry,bg_light_industry,pmg_base_building_food_industry,baking_powder,"grain=80; sugar=30; salt=30",groceries=120,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 47; LATE_CONSUMER; merge into 1776 same-path shadow"
PM,pm_cannery,common/production_methods/lagab_pms.txt,building_food_industry,bg_light_industry,pmg_canning,canneries,"grain=-20 delta; meat=20; iron=10; salt=10",groceries=30,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 78; MID_GAME_CONSUMER; merge into 1776 same-path shadow"
PM,pm_cannery_fish,common/production_methods/lagab_pms.txt,building_food_industry,bg_light_industry,pmg_canning,canneries,"grain=-20 delta; fish=30; iron=10; salt=10",groceries=30,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 103; MID_GAME_CONSUMER; merge into 1776 same-path shadow"
PM,pm_vacuum_canning,common/production_methods/lagab_pms.txt,building_food_industry,bg_light_industry,pmg_canning,vacuum_canning,"grain=-30 delta; fish=30; meat=20; iron=10; oil=5; salt=15",groceries=60,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 128; LATE_CONSUMER; merge into 1776 same-path shadow"
PM,pm_vacuum_canning_principle_3,common/production_methods/lagab_pms.txt,building_food_industry,bg_light_industry,pmg_canning,"vacuum_canning + principle_food_standardization_3","grain=-30 delta; fish=30; meat=20; iron=10; oil=5; salt=15",groceries=70,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 157; LATE_CONSUMER; merge into 1776 same-path shadow"
PM,pm_dye_production,common/production_methods/lagab_pms.txt,building_synthetics_plant,bg_heavy_industry,pmg_synthetic_dyes,"aniline building gate","sulfur=20; fertilizer=30; salt=10",dye=80,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 1466; LATE_CONSUMER; merge into 1776 same-path shadow"
PM,pm_artificial_fertilizers,common/production_methods/lagab_pms.txt,building_chemical_plant,bg_heavy_industry,pmg_fertilizer_production,"industrial_acids building gate","sulfur=30; iron=10; salt=5",fertilizer=90,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 1240; EARLY_CONSUMER in 1776 era_2; merge into 1776 same-path shadow"
PM,pm_improved_fertilizer,common/production_methods/lagab_pms.txt,building_chemical_plant,bg_heavy_industry,pmg_fertilizer_production,improved_fertilizer,"sulfur=30; iron=30; salt=10",fertilizer=140,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 1268; LATE_CONSUMER; merge into 1776 same-path shadow"
PM,pm_nitrogen_fixation,common/production_methods/lagab_pms.txt,building_chemical_plant,bg_heavy_industry,pmg_fertilizer_production,nitrogen_fixation,"sulfur=40; oil=20; iron=30; salt=20",fertilizer=200,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla line 1299; LATE_CONSUMER; merge into 1776 same-path shadow"
POP_NEED,popneed_basic_food,common/pop_needs/lagab_pop_needs.txt,salt,NONE,NONE,NONE,salt="weight 1; min 0; max .20",POP_CONSUMER,REUSED_VANILLA_ID,PARTIAL,"INJECT; incompatible with 1776 luxury-only role; vanilla common/pop_needs/00_pop_needs.txt"
POP_NEED,popneed_luxury_food,common/pop_needs/lagab_pop_needs.txt,salt,NONE,NONE,NONE,salt="weight .5; min .05; max .15",POP_CONSUMER,REUSED_VANILLA_ID,PARTIAL,"INJECT; luxury category is correct but minimum must become 0; vanilla common/pop_needs/00_pop_needs.txt"
MOBILIZATION,mobilization_option_extra_supplies,common/mobilization_options/lagab_mobilization_option.txt,salt,NONE,NONE,NONE,salt=.5,GOVERNMENT/MILITARY,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla common/mobilization_options/00_mobilization_option.txt"
MOBILIZATION,mobilization_option_luxurious_supplies,common/mobilization_options/lagab_mobilization_option.txt,salt,NONE,NONE,NONE,salt=1,GOVERNMENT/MILITARY,REUSED_VANILLA_ID,PARTIAL,"INJECT into vanilla common/mobilization_options/00_mobilization_option.txt"
PRESTIGE_GOOD,prestige_good_generic_salt,common/prestige_goods/lagab_prestige_goods.txt,salt,NONE,NONE,"company prestige-goods feature",salt,"prestige_bonus=.1",NEW_LA_GABELLE_ID,YES,"texture=gfx/interface/icons/goods_icons/prestige_goods/generic_salt_prestige.dds"
COMPANY,company_basic_salt,common/company_types/lagab_companies.txt,salt,NONE,NONE,NONE,"building_salt_pan; building_salt_mine",prestige_good_generic_salt,NEW_LA_GABELLE_ID,YES,"generic dynamic company; explicit possible and ai_will_do"
COMPANY,company_salt_union,common/company_types/lagab_companies.txt,salt,NONE,NONE,NONE,"building_salt_pan; building_salt_mine",prestige_good_generic_salt,NEW_LA_GABELLE_ID,YES,"GBR flavor"
COMPANY,company_groupe_salins,common/company_types/lagab_companies.txt,salt,NONE,NONE,NONE,"building_salt_pan; building_salt_mine; building_vineyard",prestige_good_generic_salt,NEW_LA_GABELLE_ID,YES,"FRA flavor"
COMPANY,company_morton_salt,common/company_types/lagab_companies.txt,salt,NONE,NONE,NONE,"building_salt_pan; building_salt_mine",prestige_good_generic_salt,NEW_LA_GABELLE_ID,YES,"USA flavor"
COMPANY,company_kali_und_salz_ag,common/company_types/lagab_companies.txt,salt,NONE,NONE,NONE,"building_salt_pan; building_salt_mine; chemical buildings",prestige_good_generic_salt,NEW_LA_GABELLE_ID,YES,"central-European flavor"
COMPANY,company_maldon_sea_salt,common/company_types/lagab_companies.txt,salt,NONE,NONE,NONE,"building_salt_pan; building_salt_mine; coal mine",prestige_good_generic_salt,NEW_LA_GABELLE_ID,YES,"GBR flavor; omitted from README list but present in scripts"
JOURNAL_ENTRY,je_prestige_goods_salt,common/journal_entries/lagab_prestige_goods.txt,prestige_good_generic_salt,NONE,NONE,"company prestige-goods feature",salt,prestige_good_generic_salt,NEW_LA_GABELLE_ID,YES,"company prosperity/rank timer; notification prestige_goods_salt_unlocked"
JOURNAL_ENTRY,je_gabelle,common/journal_entries/lagab_fra.txt,salt,NONE,NONE,"FRA + salt consumption tax",salt,gabelle_income,NEW_LA_GABELLE_ID,YES,"never completes by design; can_deactivate=yes"
EVENT,lagab_generic.1,events/lagab_generic.txt,salt,NONE,NONE,monthly_country_pulse,salt,"tax adoption",NEW_LA_GABELLE_ID,YES,"generic tax event"
EVENT,lagab_generic.2,events/lagab_generic.txt,salt,NONE,NONE,monthly_country_pulse,salt,"black market/tax response",NEW_LA_GABELLE_ID,YES,"can add salt_black_market or remove tax"
EVENT,lagab_generic.3,events/lagab_generic.txt,salt,NONE,NONE,monthly_country_pulse,salt,"tax burden response",NEW_LA_GABELLE_ID,YES,"salt market/tax gated"
EVENT,lagab_generic.4,events/lagab_generic.txt,salt,NONE,NONE,monthly_country_pulse,salt,"obsession/tax response",NEW_LA_GABELLE_ID,YES,"salt market/tax gated"
EVENT,lagab_france.1,events/lagab_france.txt,je_gabelle,NONE,NONE,"FRA + salt tax",salt,"French gabelle response",NEW_LA_GABELLE_ID,YES,"can abolish tax"
EVENT,lagab_france.2,events/lagab_france.txt,je_gabelle,NONE,NONE,"FRA + salt tax + lagab_gabelle_reformed already set",salt,"reformed gabelle",NEW_LA_GABELLE_ID,PARTIAL,"trigger requires the global variable that its reform option sets; likely first-fire deadlock"
EVENT,lagab_india.1,events/lagab_india.txt,salt,NONE,NONE,"after 1925 + BIC subject + salt tax",salt,"Salt March flavor",NEW_LA_GABELLE_ID,YES,"sets one-shot global variable"
ON_ACTION,on_monthly_pulse_country,common/on_actions/lagab_on_actions.txt,"lagab monthly event pools",NONE,NONE,monthly,NONE,"7 salt events",REUSED_VANILLA_ID,PARTIAL,"adds three custom on_actions; no resource-discovery hook"
GLOBAL_SETUP,GLOBAL,common/history/global/lagab_global.txt,salt,NONE,NONE,game_start,NONE,"taxes and import tariffs",REUSED_VANILLA_SCOPE,YES,"taxes FRA/BIC/SPA/AUS/RUS/SIC/PAP/PRU; tariffs for other countries; adds je_gabelle to FRA"
SCRIPT_VALUE,decentralized_salt,common/script_values/lagab_script_values.txt,salt,NONE,NONE,"decentralized country",NONE,"0 or .05",NEW_LA_GABELLE_ID,YES,"salt-related scalar"
SCRIPTED_TRIGGER,lagab_is_active,common/scripted_triggers/lagab_community_mod_triggers.txt,La_Gabelle,NONE,NONE,NONE,NONE,always=yes,NEW_LA_GABELLE_ID,PARTIAL,"REPLACE_OR_CREATE directive; Community Mod Framework-style integration; no declared metadata dependency"
STATIC_MODIFIER,gabelle_income,common/static_modifiers/lagab_static_modifiers.txt,je_gabelle,NONE,NONE,NONE,NONE,"tax collection +.15; lower SoL -1.5; middle SoL -.5",NEW_LA_GABELLE_ID,YES,NONE
STATIC_MODIFIER,gabelle_income_reformed,common/static_modifiers/lagab_static_modifiers.txt,lagab_france.2,NONE,NONE,NONE,NONE,"tax collection +.10; lower SoL -1",NEW_LA_GABELLE_ID,YES,NONE
STATIC_MODIFIER,salt_black_market,common/static_modifiers/lagab_static_modifiers.txt,lagab_generic.2,NONE,NONE,NONE,NONE,"salt output +.0025; authority -.5",NEW_LA_GABELLE_ID,YES,NONE
STATIC_MODIFIER,gandhi_popularity_salt_protest,common/static_modifiers/lagab_static_modifiers.txt,lagab_india.1,NONE,NONE,NONE,NONE,"character popularity +25",NEW_LA_GABELLE_ID,YES,NONE
STATIC_MODIFIER,lagab_interventionism_enacted,common/static_modifiers/lagab_static_modifiers.txt,lagab_generic.3,NONE,NONE,NONE,NONE,"lower expected SoL +1",NEW_LA_GABELLE_ID,YES,NONE
STATIC_MODIFIER,modifier_suppress_dissent,common/static_modifiers/lagab_static_modifiers.txt,lagab_generic.3,NONE,NONE,NONE,NONE,"movement radicalism +.15",NEW_LA_GABELLE_ID,YES,"generic unprefixed key; no current vanilla/1776 collision found"
MODIFIER_TYPE,goods_input_salt_add,common/modifier_type_definitions/lagab_modifier_types.txt,salt,NONE,NONE,NONE,NONE,input modifier,NEW_LA_GABELLE_ID,YES,NONE
MODIFIER_TYPE,goods_output_salt_add,common/modifier_type_definitions/lagab_modifier_types.txt,salt,NONE,NONE,NONE,NONE,output modifier,NEW_LA_GABELLE_ID,YES,NONE
MODIFIER_TYPE,goods_input_salt_mult,common/modifier_type_definitions/lagab_modifier_types.txt,salt,NONE,NONE,NONE,NONE,input multiplier,NEW_LA_GABELLE_ID,YES,NONE
MODIFIER_TYPE,goods_output_salt_mult,common/modifier_type_definitions/lagab_modifier_types.txt,salt,NONE,NONE,NONE,NONE,output multiplier,NEW_LA_GABELLE_ID,YES,NONE
RESOURCE_MAP,building_salt_pan,common/history/states/lagab_states.txt,97 state-building relations,bg_mining,NONE,NONE,NONE,"visible potential=2526; hidden=0",NEW_LA_GABELLE_RELATIONS,PARTIAL,"change_resource_potential only; 97 regions/relations; no native resource block"
RESOURCE_MAP,building_salt_mine,common/history/states/lagab_states.txt,64 state-building relations,bg_mining,NONE,shaft_mining,NONE,"visible potential=1209; hidden=0",NEW_LA_GABELLE_RELATIONS,PARTIAL,"change_resource_potential only; current bg_mining cannot run native discovery"
ASSET,salt.dds,gfx/interface/icons/goods_icons/salt.dds,salt,NONE,NONE,NONE,NONE,good icon,NEW_LA_GABELLE_ASSET,YES,"87,556 bytes"
ASSET,building_salt_mine.dds,gfx/interface/icons/building_icons/building_salt_mine.dds,building_salt_mine,NONE,NONE,NONE,NONE,building icon,NEW_LA_GABELLE_ASSET,YES,"87,556 bytes"
ASSET,building_salt_pan.dds,gfx/interface/icons/building_icons/building_salt_pan.dds,building_salt_pan,NONE,NONE,NONE,NONE,building icon,NEW_LA_GABELLE_ASSET,YES,"87,556 bytes"
ASSET,generic_salt_prestige.dds,gfx/interface/icons/goods_icons/prestige_goods/generic_salt_prestige.dds,prestige_good_generic_salt,NONE,NONE,NONE,NONE,prestige icon,NEW_LA_GABELLE_ASSET,YES,"87,556 bytes"
ASSET,gabelle.dds,gfx/interface/icons/event_icons/gabelle.dds,je_gabelle,NONE,NONE,NONE,NONE,event icon,NEW_LA_GABELLE_ASSET,YES,"87,556 bytes"
ASSET,company salt icon set,gfx/interface/icons/company_icons/,salt companies,NONE,NONE,NONE,NONE,"7 DDS files",NEW_LA_GABELLE_ASSET,YES,"basic_salt; salt_union; groupe_salins; groupe_salins_2; morton_salt; kali_und_salz_ag; maldon_sea_salt"
GUI,lagab_salt_texticons.gui,gui/lagab_salt_texticons.gui,"salt + prestige_good_generic_salt",NONE,NONE,NONE,NONE,"2 text icons",NEW_LA_GABELLE_ID,YES,"points to salt and prestige DDS"
LOCALIZATION,salt localization set,localization/,all salt objects,NONE,NONE,NONE,NONE,"English; French; Simplified Chinese",NEW_LA_GABELLE_KEYS,YES,"six files per language: goods buildings companies events journal_entries modifiers"
