tech_id,category,era,researchable,definition_file,prerequisites,successors,TECH3A_indexed,status
standardized_field_artillery,military,era_3,yes,common/technology/technologies/20_tech3a_military.txt,ROOT,armament_standardization_inspection;explosive_field_ammunition;horse_artillery;shell_gun,yes,VISIBLE_RESEARCHABLE
advanced_crop_rotations,production,era_3,yes,common/technology/technologies/10_tech3a_production.txt,improved_husbandry,systematic_field_drainage,yes,VISIBLE_RESEARCHABLE
applied_mineralogy,production,era_3,yes,common/technology/technologies/10_tech3a_production.txt,shaft_mining,geological_surveying,yes,VISIBLE_RESEARCHABLE
industrial_canals,production,era_3,yes,common/technology/technologies/10_tech3a_production.txt,turnpike_road_networks,professional_civil_engineering,yes,VISIBLE_RESEARCHABLE
industrial_ceramics,production,era_3,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,hydraulic_cements;pressed_glass,yes,VISIBLE_RESEARCHABLE
mechanized_spinning,production,era_3,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,advanced_spinning;cotton_gin,yes,VISIBLE_RESEARCHABLE
selective_breeding,production,era_3,yes,common/technology/technologies/10_tech3a_production.txt,improved_husbandry,NONE,yes,VISIBLE_RESEARCHABLE
codified_practical_knowledge,society,era_3,yes,common/technology/technologies/30_tech3a_society.txt,institutionalized_scientific_exchange;periodical_print_networks,political_economy,yes,VISIBLE_RESEARCHABLE
medical_degrees,society,era_3,yes,common/technology/technologies/30_tech3a_society.txt,institutionalized_scientific_exchange,active_principle_pharmacy;clinicopathological_medicine,yes,VISIBLE_RESEARCHABLE
organized_elementary_schooling,society,era_3,yes,common/technology/technologies/30_tech3a_society.txt,ROOT,mass_circulation_press,yes,VISIBLE_RESEARCHABLE
political_economy,society,era_3,yes,common/technology/technologies/30_tech3a_society.txt,systematic_administrative_statistics;codified_practical_knowledge,classical_political_economy,yes,VISIBLE_RESEARCHABLE
specialized_technical_academies,society,era_3,yes,common/technology/technologies/30_tech3a_society.txt,institutionalized_scientific_exchange,polytechnical_education;specialized_professional_societies,yes,VISIBLE_RESEARCHABLE
systematic_population_registration,society,era_3,yes,common/technology/technologies/30_tech3a_society.txt,systematic_administrative_statistics,central_statistical_offices,yes,VISIBLE_RESEARCHABLE
veterinary_science,society,era_3,yes,common/technology/technologies/30_tech3a_society.txt,institutionalized_scientific_exchange,NONE,yes,VISIBLE_RESEARCHABLE
armament_standardization_inspection,military,era_4,yes,common/technology/technologies/20_tech3a_military.txt,regulated_small_arms;standardized_field_artillery,percussion_cap;rifling;standardized_military_rockets,yes,VISIBLE_RESEARCHABLE
copper_sheathing,military,era_4,yes,common/technology/technologies/25_tech3a_naval.txt,scientific_naval_architecture,NONE,yes,VISIBLE_RESEARCHABLE
horse_artillery,military,era_4,yes,common/technology/technologies/20_tech3a_military.txt,standardized_field_artillery,corps_organization;military_veterinary_services,yes,VISIBLE_RESEARCHABLE
military_topographic_surveying,military,era_4,yes,common/technology/technologies/20_tech3a_military.txt,permanent_engineer_services,general_staff;hydrographic_surveying,yes,VISIBLE_RESEARCHABLE
mysorean_iron_cased_rocketry,military,era_4,no,common/technology/technologies/20_tech3a_military.txt,ROOT,NONE,yes,VISIBLE_NONRESEARCHABLE_REGIONAL_OR_EVENT
permanent_engineer_services,military,era_4,yes,common/technology/technologies/20_tech3a_military.txt,scientific_fortification_siegecraft,casemated_fortifications;corps_organization;field_engineering_pontoon_trains;military_topographic_surveying,yes,VISIBLE_RESEARCHABLE
advanced_spinning,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,mechanized_spinning,mechanized_weaving,yes,VISIBLE_RESEARCHABLE
automated_flour_milling,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,improved_agricultural_implements,canneries,yes,VISIBLE_RESEARCHABLE
chemical_bleaching,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,industrial_acids,NONE,yes,VISIBLE_RESEARCHABLE
condensing_steam_engines,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,atmospheric_engine;precision_boring,rotative_steam_power,yes,VISIBLE_RESEARCHABLE

cotton_gin,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,mechanized_spinning,NONE,yes,VISIBLE_RESEARCHABLE
deep_mine_engineering,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,shaft_mining;atmospheric_engine,mine_safety_engineering,yes,VISIBLE_RESEARCHABLE
precision_boring,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,coke_smelting;atmospheric_engine,condensing_steam_engines;continuous_papermaking;mechanical_tools,yes,VISIBLE_RESEARCHABLE
puddling_and_rolling,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,coke_smelting,hot_blast_smelting;railways,yes,VISIBLE_RESEARCHABLE
rotative_steam_power,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,condensing_steam_engines,hot_blast_smelting;mechanized_weaving,yes,VISIBLE_RESEARCHABLE
threshing_machine,production,era_4,yes,common/technology/technologies/10_tech3a_production.txt,improved_agricultural_implements,mechanized_farming,yes,VISIBLE_RESEARCHABLE
abolitionist_mobilization,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,organized_reform_movements;human_rights,NONE,yes,VISIBLE_RESEARCHABLE
classical_political_economy,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,political_economy,early_socialism_cooperativism;liberal_constitutionalism;macroeconomics,yes,VISIBLE_RESEARCHABLE
colonization,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,international_relations,NONE,yes,VISIBLE_RESEARCHABLE
constitutional_government,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,periodical_print_networks,human_rights;liberal_constitutionalism;national_sovereignty,yes,VISIBLE_RESEARCHABLE
human_rights,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,constitutional_government;periodical_print_networks,abolitionist_mobilization;feminism;liberal_constitutionalism;organized_reform_movements,yes,VISIBLE_RESEARCHABLE
national_sovereignty,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,constitutional_government;periodical_print_networks,nationalism,yes,VISIBLE_RESEARCHABLE
optical_telegraph_networks,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,periodical_print_networks,NONE,yes,VISIBLE_RESEARCHABLE
organized_reform_movements,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,periodical_print_networks;human_rights,abolitionist_mobilization;early_socialism_cooperativism;labor_movement;political_agitation,yes,VISIBLE_RESEARCHABLE
polytechnical_education,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,specialized_technical_academies,experimental_research_laboratories,yes,VISIBLE_RESEARCHABLE
scientific_metrology,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,systematic_administrative_statistics;institutionalized_scientific_exchange,NONE,yes,VISIBLE_RESEARCHABLE
systematic_cadastral_surveying,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,systematic_administrative_statistics,NONE,yes,VISIBLE_RESEARCHABLE
systematic_legal_codification,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,systematic_administrative_statistics,professional_civil_policing,yes,VISIBLE_RESEARCHABLE
vaccination,society,era_4,yes,common/technology/technologies/30_tech3a_society.txt,variolation_networks,organized_immunization_campaigns,yes,VISIBLE_RESEARCHABLE
battlefield_evacuation,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,permanent_military_hospitals;logistics,modern_nursing,yes,VISIBLE_RESEARCHABLE
casemated_fortifications,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,permanent_engineer_services,NONE,yes,VISIBLE_RESEARCHABLE
corps_organization,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,horse_artillery;permanent_engineer_services,enlistment_offices;general_staff;logistics,yes,VISIBLE_RESEARCHABLE
diagonal_ship_framing,military,era_5,yes,common/technology/technologies/25_tech3a_naval.txt,scientific_naval_architecture,iron_hull_construction,yes,VISIBLE_RESEARCHABLE
explosive_field_ammunition,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,standardized_field_artillery,standardized_military_rockets,yes,VISIBLE_RESEARCHABLE
field_engineering_pontoon_trains,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,permanent_engineer_services;logistics,NONE,yes,VISIBLE_RESEARCHABLE

hydrographic_surveying,military,era_5,yes,common/technology/technologies/25_tech3a_naval.txt,marine_chronometry;military_topographic_surveying,maritime_safety_standards;modern_lighthouse_optics,yes,VISIBLE_RESEARCHABLE
logistics,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,corps_organization,battlefield_evacuation;electric_telegraph;enlistment_offices;field_engineering_pontoon_trains;general_staff,yes,VISIBLE_RESEARCHABLE
mechanized_naval_dockyards,military,era_5,yes,common/technology/technologies/25_tech3a_naval.txt,scientific_naval_architecture;state_dockyard_systems;enclosed_dock_systems,gantry_cranes;iron_hull_construction,yes,VISIBLE_RESEARCHABLE
military_veterinary_services,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,horse_artillery,NONE,yes,VISIBLE_RESEARCHABLE
paddle_steamer,military,era_5,yes,common/technology/technologies/25_tech3a_naval.txt,scientific_naval_architecture,NONE,yes,VISIBLE_RESEARCHABLE
rifling,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,light_infantry_tactics;armament_standardization_inspection,percussion_cap;repeaters,yes,VISIBLE_RESEARCHABLE
standardized_military_rockets,military,era_5,yes,common/technology/technologies/20_tech3a_military.txt,explosive_field_ammunition;armament_standardization_inspection,NONE,yes,VISIBLE_RESEARCHABLE
standardized_naval_signals,military,era_5,yes,common/technology/technologies/25_tech3a_naval.txt,scientific_naval_architecture,NONE,yes,VISIBLE_RESEARCHABLE
canneries,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,automated_flour_milling,NONE,yes,VISIBLE_RESEARCHABLE
coal_gasification,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,industrial_acids;coke_smelting,NONE,yes,VISIBLE_RESEARCHABLE
continuous_papermaking,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,precision_boring,NONE,yes,VISIBLE_RESEARCHABLE
high_pressure_steam,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,atmospheric_engine;mechanical_tools,railways;watertube_boiler,yes,VISIBLE_RESEARCHABLE
improved_road_engineering,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,turnpike_road_networks,professional_civil_engineering;systematic_field_drainage,yes,VISIBLE_RESEARCHABLE
industrial_alkalis,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,industrial_acids,pressed_glass,yes,VISIBLE_RESEARCHABLE
mechanical_tools,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,precision_boring,fractional_distillation;high_pressure_steam;hydraulic_turbines;interchangeable_manufacture;pressed_glass,yes,VISIBLE_RESEARCHABLE
mechanized_weaving,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,advanced_spinning;rotative_steam_power,NONE,yes,VISIBLE_RESEARCHABLE
mine_safety_engineering,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,deep_mine_engineering,NONE,yes,VISIBLE_RESEARCHABLE
professional_civil_engineering,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,industrial_canals;improved_road_engineering,geological_surveying;hydraulic_cements;hydraulic_turbines;railways,yes,VISIBLE_RESEARCHABLE
systematic_field_drainage,production,era_5,yes,common/technology/technologies/10_tech3a_production.txt,advanced_crop_rotations;improved_road_engineering,NONE,yes,VISIBLE_RESEARCHABLE
active_principle_pharmacy,society,era_5,yes,common/technology/technologies/30_tech3a_society.txt,experimental_research_laboratories;medical_degrees,antibiotics;quinine,yes,VISIBLE_RESEARCHABLE
central_statistical_offices,society,era_5,yes,common/technology/technologies/30_tech3a_society.txt,systematic_administrative_statistics;systematic_population_registration,identification_documents;macroeconomics,yes,VISIBLE_RESEARCHABLE
clinicopathological_medicine,society,era_5,yes,common/technology/technologies/30_tech3a_society.txt,medical_degrees;experimental_research_laboratories,psychoanalysis,yes,VISIBLE_RESEARCHABLE
experimental_research_laboratories,society,era_5,yes,common/technology/technologies/30_tech3a_society.txt,polytechnical_education;institutionalized_scientific_exchange,active_principle_pharmacy;antibiotics;behaviorism;camera;clinicopathological_medicine;philosophical_pragmatism;specialized_professional_societies,yes,VISIBLE_RESEARCHABLE
mechanized_printing,society,era_5,yes,common/technology/technologies/30_tech3a_society.txt,periodical_print_networks,mass_circulation_press,yes,VISIBLE_RESEARCHABLE
organized_immunization_campaigns,society,era_5,yes,common/technology/technologies/30_tech3a_society.txt,vaccination,NONE,yes,VISIBLE_RESEARCHABLE

postal_savings,society,era_5,yes,common/technology/technologies/30_tech3a_society.txt,institutionalized_public_credit,mutual_funds,yes,VISIBLE_RESEARCHABLE
specialized_professional_societies,society,era_5,yes,common/technology/technologies/30_tech3a_society.txt,specialized_technical_academies;experimental_research_laboratories,analytical_philosophy,yes,VISIBLE_RESEARCHABLE
general_staff,military,era_6,yes,common/technology/technologies/20_tech3a_military.txt,corps_organization;military_topographic_surveying;logistics,field_works;military_statistics,yes,VISIBLE_RESEARCHABLE
iron_hull_construction,military,era_6,yes,common/technology/technologies/25_tech3a_naval.txt,scientific_naval_architecture;mechanized_naval_dockyards;diagonal_ship_framing,ironclad_tech,yes,VISIBLE_RESEARCHABLE
maritime_safety_standards,military,era_6,yes,common/technology/technologies/25_tech3a_naval.txt,ship_classification_surveying;hydrographic_surveying,NONE,yes,VISIBLE_RESEARCHABLE
modern_lighthouse_optics,military,era_6,yes,common/technology/technologies/25_tech3a_naval.txt,hydrographic_surveying,NONE,yes,VISIBLE_RESEARCHABLE
percussion_cap,military,era_6,yes,common/technology/technologies/20_tech3a_military.txt,armament_standardization_inspection;rifling,repeaters,yes,VISIBLE_RESEARCHABLE
shell_gun,military,era_6,yes,common/technology/technologies/25_tech3a_naval.txt,standardized_field_artillery;scientific_naval_architecture,breech_loading_artillery;self_propelled_torpedoes,yes,VISIBLE_RESEARCHABLE
fractional_distillation,production,era_6,yes,common/technology/technologies/10_tech3a_production.txt,mechanical_tools;industrial_acids;distillation,aniline,yes,VISIBLE_RESEARCHABLE
geological_surveying,production,era_6,yes,common/technology/technologies/10_tech3a_production.txt,applied_mineralogy;professional_civil_engineering,NONE,yes,VISIBLE_RESEARCHABLE
hot_blast_smelting,production,era_6,yes,common/technology/technologies/10_tech3a_production.txt,puddling_and_rolling;rotative_steam_power,bessemer_process,yes,VISIBLE_RESEARCHABLE
hydraulic_cements,production,era_6,yes,common/technology/technologies/10_tech3a_production.txt,professional_civil_engineering;industrial_ceramics,reinforced_concrete,yes,VISIBLE_RESEARCHABLE
hydraulic_turbines,production,era_6,yes,common/technology/technologies/10_tech3a_production.txt,professional_civil_engineering;mechanical_tools,NONE,yes,VISIBLE_RESEARCHABLE
interchangeable_manufacture,production,era_6,yes,common/technology/technologies/10_tech3a_production.txt,mechanical_tools,shift_work;vacuum_canning,yes,VISIBLE_RESEARCHABLE
pressed_glass,production,era_6,yes,common/technology/technologies/10_tech3a_production.txt,industrial_ceramics;industrial_alkalis;mechanical_tools,automatic_bottle_blowers,yes,VISIBLE_RESEARCHABLE
railways,production,era_6,yes,common/technology/technologies/10_tech3a_production.txt,high_pressure_steam;puddling_and_rolling;professional_civil_engineering,steel_railway_cars,yes,VISIBLE_RESEARCHABLE
early_socialism_cooperativism,society,era_6,yes,common/technology/technologies/30_tech3a_society.txt,organized_reform_movements;classical_political_economy,anarchism;socialism,yes,VISIBLE_RESEARCHABLE
labor_movement,society,era_6,yes,common/technology/technologies/30_tech3a_society.txt,organized_reform_movements,corporatism;socialism,yes,VISIBLE_RESEARCHABLE
liberal_constitutionalism,society,era_6,yes,common/technology/technologies/30_tech3a_society.txt,constitutional_government;human_rights;classical_political_economy,NONE,yes,VISIBLE_RESEARCHABLE
mass_circulation_press,society,era_6,yes,common/technology/technologies/30_tech3a_society.txt,mechanized_printing;organized_elementary_schooling,political_agitation,yes,VISIBLE_RESEARCHABLE
professional_civil_policing,society,era_6,yes,common/technology/technologies/30_tech3a_society.txt,systematic_legal_codification;systematic_administrative_statistics,NONE,yes,VISIBLE_RESEARCHABLE
