tech_id,display_name,branch,era,historical_window,historical_anchor,source_tree,vanilla_equivalent,vanilla_action,vanilla_name_preserved,vanilla_id_preserved,prerequisites,cross_branch_prerequisites,successors,post_1836_bridge,technology_scope,1776_adoption_class,regionalization_status,main_unlocks,goods_involved,buildings_involved,pm_pmg_involved,ship_designer_effect,resource_discovery_effect,ai_base_weight_class,ai_context_tags,economic_chain_id,relative_cost_class,proposed_cost_band,placeholder_icon,final_icon_status,description_concept,implementation_complexity,technical_risk,historical_risk,notes
mechanized_spinning,Mechanized Spinning,Production,III,1760s–1770s,Spinning jenny; water frame d'Arkwright brevetée en 1769; Cromford 1771.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,,,advanced_spinning;cotton_gin,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,frontier / limited adoption in 1776,UNIVERSAL,Textile Mills PM: Spinning Jenny / Water Frame; hausse output; tools/energy inputs selon PM.,tools; cotton/fabric inputs,textile_mills,Spinning Jenny; Water Frame,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,TEXTILES,FOUNDATIONAL,BAND_C_LOW_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Premier vrai saut de productivité textile mécanisé.,MEDIUM,MEDIUM,HIGH,Le putting-out ne disparaît pas automatiquement: les subsistence/cottage structures peuvent coexister.
applied_mineralogy,Applied Mineralogy,Production,III,1760s+,Formalisation de l'enseignement minier et métallurgique; notamment Banská Štiavnica (1762–64) et Freiberg (1765).,PRODUCTION_V1_1,prospecting,SPLIT,NO,NO,shaft_mining,,geological_surveying,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,frontier / limited adoption in 1776,UNIVERSAL,PM mines: Ore Assaying & Dressing; base pour spécialisations géologiques futures.,tools; ore outputs,mines,Ore Assaying & Dressing,NONE,improves targeting/assessment; does not create deposits,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;GEOGRAPHY:resources;ECONOMY:mining+price+shortage,RESOURCE_DISCOVERY_AND_MINING,STANDARD,BAND_C_LOW_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Relie savoir scientifique à l'exploitation des ressources sans 'inventer' les mines.,HIGH,HIGH,HIGH,Bon point d'ancrage pour futurs sous-arbres charbon; minerais métalliques; minéraux industriels; pétrole.
industrial_ceramics,Industrial Ceramics,Production,III,milieu XVIIIe–années 1770,Intégration d'usines spécialisées; division du travail; nouveaux corps/glaçures et production à plus grande échelle; Etruria (1769) est un jalon européen.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,,,hydraulic_cements;pressed_glass,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,frontier / limited adoption in 1776,UNIVERSAL,EXISTING_BUILDING Glassworks: progression/rework des PM de porcelaine déjà présents dans le même bâtiment que le verre; aucun nouveau Ceramic Works prévu. Peut améliorer rendement; combustible et/ou inputs des PM porcelaine.,coal; porcelain; glass; industrial_chemicals candidate for later glazing/finishing; clay abstraction,EXISTING: glassworks only (porcelain + glass PM groups),Existing vanilla porcelain PM group; exact two-PM baseline to audit before implementation,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,NONE_DIRECT,STANDARD,BAND_C_LOW_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Couvre le secteur céramique sans prétendre que l'Europe 'découvre' la porcelaine.,MEDIUM,MEDIUM,HIGH,Les pays à forte tradition céramique peuvent commencer avec cette capacité ou un équivalent. Aucun bâtiment de céramique séparé n'est supposé en V1.1.
precision_boring,Precision Boring,Production,IV,c.1775+,Machine de John Wilkinson vers 1775; précision suffisante pour les cylindres de Watt.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,coke_smelting,standardized_field_artillery,condensing_steam_engines;mechanical_tools;continuous_papermaking;armament_standardization_inspection,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,PM tooling/engine: Precision Boring Equipment; améliore qualité des cylindres et pièces.,iron; tools,tooling_workshops; engine/arms cross-branch,Precision Boring Equipment,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,NONE_DIRECT,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Pont critique métallurgie → vapeur → machine tools.,MEDIUM,MEDIUM,HIGH,Node clé de dépendance historique; pas micro-invention gratuite.
condensing_steam_engines,Condensing Steam Engines,Production,IV,1769–1770s+,Condenseur séparé de Watt (brevet 1769); moteurs Boulton & Watt commercialisés à partir des années 1770.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,atmospheric_engine;precision_boring,,rotative_steam_power,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,PM mines: Condensing Pumping Engines; forte efficacité charbon; base de la vapeur rotative.,coal; tools,mines; industrial power later,Condensing Pumping Engine,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,STEAM_AND_POWER,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Sépare l'amélioration d'efficacité de la future motorisation rotative.,MEDIUM,MEDIUM,HIGH,La source SMG souligne que le condenseur séparé réduisait fortement la consommation par rapport à Newcomen.
rotative_steam_power,Rotative Steam Power,Production,IV,1780s–1800,Moteurs rotatifs Boulton & Watt dans les années 1780; moteur de Soho 1788 entraînant de multiples machines.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,condensing_steam_engines,,mechanized_weaving;hot_blast_smelting;paddle_steamer;mechanized_naval_dockyards;mechanized_printing,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,PM de puissance vapeur dans Textile; Paper; Food; Furniture; Chemical Works; Steam Winding PM en combinaison avec Deep Mine Engineering.,coal; tools,multiple manufactories; mines,Rotative Steam Engine; Steam Winding (synergy),NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,STEAM_AND_POWER,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Transforme la vapeur de pompe en source de puissance industrielle générale.,MEDIUM,MEDIUM,HIGH,Doit ouvrir plusieurs PM mais pas remplacer automatiquement l'hydraulique.
advanced_spinning,Advanced Spinning,Production,IV,1772–1779+,Spinning mule de Samuel Crompton; mise au point dans les années 1770.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,mechanized_spinning,,mechanized_weaving,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,Textile Mills PM: Spinning Mule; qualité/output améliorés.,tools; cotton/fabric,textile_mills,Spinning Mule,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,TEXTILES,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Deuxième palier textile sans un node pour chaque machine.,MEDIUM,MEDIUM,HIGH,Peut être fusionné ultérieurement si densité finale excessive; mais V1 le conserve.
puddling_and_rolling,Puddling and Rolling,Production,IV,1783–1784+,Procédés d'Henry Cort de puddling et rolling (1783–84).,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,coke_smelting,,railways;hot_blast_smelting;iron_hull_construction,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,PM sidérurgie: Puddling Furnaces; Rolling Mills; output fer de construction accru.,coal; iron,iron/steel industry,Puddling Furnaces; Rolling Mills,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches,NONE_DIRECT,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Base matérielle des machines; rails et grandes structures avant l'acier bon marché.,MEDIUM,MEDIUM,HIGH,Node métallurgique majeur.
deep_mine_engineering,Deep Mine Engineering,Production,IV,XVIIIe tardif–début XIXe,Combinaison de puits plus profonds; drainage; ventilation; soutènement et organisation du transport souterrain.,PRODUCTION_V1_1,steam_donkey,KEEP,NO,NO,shaft_mining;atmospheric_engine,,mine_safety_engineering,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,PM mines: Deep Shaft Workings; Underground Haulage; Steam Winding si Rotative Steam Power connu.,tools; coal; engines abstraction,underground mines,Deep Shaft Workings; Underground Haulage; Steam Winding synergy,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;GEOGRAPHY:resources;ECONOMY:mining+price+shortage,RESOURCE_DISCOVERY_AND_MINING,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Palier haut rendement/haut risque avant sécurité moderne.,MEDIUM,MEDIUM,HIGH,Le couple Deep Mine + Mine Safety doit créer un vrai arbitrage gameplay.
threshing_machine,Threshing Machines,Production,IV,c.1786+,Machine de battage d'Andrew Meikle vers 1786.,PRODUCTION_V1_1,threshing_machine,RETIME,YES,YES,improved_agricultural_implements,,,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,Grain Farms PM: Threshing Machines; labor ↓; tools/energy ↑; output efficiency ↑.,tools,grain_farms,Threshing Machines,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:agriculture+eligible_land+shortage;ECONOMY:industry+inputs+prices,AGRICULTURE_FOOD_SPICES,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Première réduction mécanique importante du travail post-récolte.,MEDIUM,MEDIUM,HIGH,Ne préjuge pas de la mécanisation de la récolte elle-même; plutôt post-1836.
chemical_bleaching,Chemical Bleaching,Production,IV,1785–1799+,Berthollet applique le chlore au blanchiment; Tennant brevète la poudre de blanchiment en 1799.,PRODUCTION_V1_1,chemical_bleaching,RETIME,YES,YES,industrial_acids,,,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,Chemical Works PM: Bleaching Powder; Textile/Paper PMs consommant Industrial Chemicals.,industrial_chemicals; sulfur; coal,chemical_works; textile_mills; paper_mills,Bleaching Powder; Chemical Bleaching,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,SALT_CHEMISTRY,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Premier grand usage aval des Industrial Chemicals.,MEDIUM,MEDIUM,HIGH,Évite de traiter la chimie comme simple bonus abstrait.
cotton_gin,Cotton Gin,Production,IV,1793–1794+,Cotton gin de Whitney (1793/94) accélérant l'égrenage du coton à fibres courtes.,PRODUCTION_V1_1,cotton_gin,RETIME,YES,YES,mechanized_spinning,,,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,Cotton Plantation PM: Cotton Gin; output coton ↑; travail d'égrenage ↓.,cotton; tools,cotton_plantations,Cotton Gin,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:agriculture+eligible_land+shortage;ECONOMY:industry+inputs+prices,AGRICULTURE_FOOD_SPICES,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Relie hausse de capacité textile et production primaire de coton.,MEDIUM,MEDIUM,HIGH,Ne doit pas coder l'esclavage comme effet intrinsèque de la technologie; les relations de travail relèvent des lois/institutions.
automated_flour_milling,Automated Flour Milling,Production,IV,1783–1795+,Oliver Evans développe un système intégré et quasi continu; fonctionnement attesté en 1785; brevet 1790.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,improved_agricultural_implements,,canneries,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,Food Industries PM: Automated Flour Milling; labour ↓; tools/mechanical inputs ↑; groceries/flour efficiency ↑.,grain; tools,food_industries,Automated Flour Milling,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches,AGRICULTURE_FOOD_SPICES,STANDARD,BAND_D_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Donne une vraie branche de mécanisation aux Food Industries avant la conserve.,MEDIUM,MEDIUM,HIGH,Très bon PM existant/nouveau sans créer un nouveau good farine.
mechanical_tools,Mechanical Tools,Production,V,c.1797–1820,Tour à fileter de Maudslay vers 1800 et ensemble croissant de machines-outils précises.,PRODUCTION_V1_1,lathe;mechanical_tools,MERGE,YES,YES,precision_boring,,high_pressure_steam;interchangeable_manufacture;hydraulic_turbines;pressed_glass;fractional_distillation;rifling;mechanized_naval_dockyards;iron_hull_construction;mechanized_printing,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,Tooling Workshops PM: Precision Machine Tools; PM package Mechanized Woodworking/Power Saws possible; quality/throughput machinery ↑.,iron; tools,tooling_workshops; logging/furniture PM hooks; military industries cross-link,Precision Machine Tools; Mechanized Woodworking candidate,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,NONE_DIRECT,STANDARD,BAND_E_MEDIUM_HIGH,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Nœud transversal d'industrialisation; sans micro-node 'screw-cutting lathe'.,MEDIUM,MEDIUM,HIGH,Screw-Cutting Lathes est MERGED ici.
high_pressure_steam,High-Pressure Steam,Production,V,1802–1810+,Trevithick et Vivian brevetent un moteur haute pression en 1802; machines pratiques au début des années 1800.,PRODUCTION_V1_1,rotary_valve_engine;watertube_boiler,KEEP,NO,NO,atmospheric_engine;mechanical_tools,,railways,rotary_valve_engine and watertube_boiler remain later vanilla bridges,UNIVERSAL,post-1776,UNIVERSAL,PM Compact High-Pressure Engines; prérequis mobilité/rail; moteurs plus puissants avec risque chaudière accru.,coal; tools,industrial PMs; rail later,High-Pressure Steam Engines,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,STEAM_AND_POWER,STANDARD,BAND_E_MEDIUM_HIGH,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Branche vapeur compacte différente de la seule efficacité Watt.,MEDIUM,MEDIUM,HIGH,La dépendance à Precision Machine Tools est une abstraction de capacité de fabrication; pas une causalité exclusive.
mechanized_weaving,Mechanized Weaving,Production,V,1785 prototype; adoption pratique surtout 1800–1820,Power loom de Cartwright breveté en 1785; amélioré ensuite.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,advanced_spinning;rotative_steam_power,,,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,Textile Mills PM: Power Looms; output tissu ↑; labour composition modifiée; power/tools inputs ↑.,tools; coal/water power,textile_mills,Power Looms,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,TEXTILES,STANDARD,BAND_E_MEDIUM_HIGH,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Ne confond pas brevet 1785 avec diffusion instantanée.,MEDIUM,MEDIUM,HIGH,Placement Era V reflète adoption; pas première invention.
industrial_alkalis,Industrial Alkalis,Production,V,1791 invention; essor après 1807 et années 1820,Procédé Leblanc: sel + acide sulfurique puis calcaire/charbon pour produire la soude.,PRODUCTION_V1_1,aniline,KEEP,NO,NO,industrial_acids,,pressed_glass,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,post-1776,UNIVERSAL,Chemical Works PM: Leblanc Process; Industrial Chemicals output ↑; PM aval verre/savon/papier; forte pollution. Salt devient un input fort candidat si le good est retenu.,salt (REQUIRED Leblanc-chain input); coal; acid-process abstraction; industrial chemicals good DEFERRED,chemical_works; glassworks; paper_mills,salt-consuming alkali / Leblanc PM candidate,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,SALT_CHEMISTRY,STANDARD,BAND_E_MEDIUM_HIGH,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Deuxième grand palier Chemical Works et pivot de demande multi-sectorielle.,HIGH,HIGH,HIGH,Salt = STRONG_CANDIDATE_GOOD. Avant implémentation; auditer La Gabelle et la distribution mondiale historique. Ne pas importer ses mécaniques sans réévaluation.
