Building,Building_Unlock_Tech,Building_Era,Production_Method,PM_Unlock_Techs,PM_Min_Era,Gap,Ancestor_Status,Violation,Decision
building_coal_mine,shaft_mining,era_1,pm_electric_mine_ventilation,deep_mine_engineering;electrical_capacitors,era_9,8,YES,NO,GUARANTEED_BY_PM_GATE
building_coal_mine,shaft_mining,era_1,pm_no_mine_ventilation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_coal_mine,shaft_mining,era_1,pm_steam_mine_ventilation,deep_mine_engineering,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_coal_mine,shaft_mining,era_1,pm_atmospheric_engine_pump_building_coal_mine,atmospheric_engine,era_2,1,YES,NO,GUARANTEED_BY_PM_GATE
building_coal_mine,shaft_mining,era_1,pm_condensing_engine_pump_building_coal_mine,condensing_steam_engines,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_coal_mine,shaft_mining,era_1,pm_diesel_pump_building_coal_mine,compression_ignition,era_11,10,YES,NO,GUARANTEED_BY_PM_GATE
building_coal_mine,shaft_mining,era_1,pm_picks_and_shovels_building_coal_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_coal_mine,shaft_mining,era_1,pm_no_ore_concentration_building_coal_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_coal_mine,shaft_mining,era_1,pm_ore_concentration_building_coal_mine,geological_surveying,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_coal_mine,shaft_mining,era_1,pm_no_steam_automation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_coal_mine,shaft_mining,era_1,pm_steam_donkey_building_coal_mine,steam_donkey,era_9,8,YES,NO,GUARANTEED_BY_PM_GATE
building_coal_mine,shaft_mining,era_1,pm_rail_transport_mine,railways,era_6,5,YES,NO,GUARANTEED_BY_PM_GATE
building_coal_mine,shaft_mining,era_1,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_coffee_plantation,improved_husbandry,era_1,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_coffee_plantation,improved_husbandry,era_1,pm_steam_rail_transport,railways,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_company_headquarter,,UNLOCKED,pm_company_headquarter_government_run,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_academics,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_aristocrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_aristocrats_commercial_agriculture,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_bureaucrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_shopkeepers,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_academics,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_aristocrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_aristocrats_commercial_agriculture,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_bureaucrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_shopkeepers,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_headquarter,,UNLOCKED,pm_company_headquarter_worker_cooperative,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_government_run,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_academics,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_aristocrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_aristocrats_commercial_agriculture,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_bureaucrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_principle_divine_economics_2_shopkeepers,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_academics,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_aristocrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_aristocrats_commercial_agriculture,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_bureaucrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_privately_owned_shopkeepers,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_company_regional_headquarter,,UNLOCKED,pm_company_headquarter_worker_cooperative,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_conscription_center,,UNLOCKED,pm_advanced_tactics_training_conscription,military_statistics,era_9,,NO,NO,NOT_APPLICABLE
building_conscription_center,,UNLOCKED,pm_general_training_conscription,general_staff,era_6,,NO,NO,NOT_APPLICABLE
building_conscription_center,,UNLOCKED,pm_mobile_warfare_tactics_conscription,mobile_armor,era_12,,NO,NO,NOT_APPLICABLE
building_conscription_center,,UNLOCKED,pm_nco_incorporation_conscription,nco_training,era_11,,NO,NO,NOT_APPLICABLE
building_conscription_center,,UNLOCKED,pm_no_organization_conscription,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_conscription_center,,UNLOCKED,pm_training_streamlining_conscription,wargaming,era_9,,NO,NO,NOT_APPLICABLE
building_construction_sector,,UNLOCKED,pm_arc_welded_buildings,arc_welding,era_11,,NO,NO,NOT_APPLICABLE
building_construction_sector,,UNLOCKED,pm_iron_frame_buildings,professional_civil_engineering,era_5,,NO,NO,NOT_APPLICABLE
building_construction_sector,,UNLOCKED,pm_steel_frame_buildings,steel_frame_buildings,era_9,,NO,NO,NOT_APPLICABLE
building_construction_sector,,UNLOCKED,pm_wooden_buildings,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_copper_mine,shaft_mining,era_1,pm_dynamite_building_copper_mine,dynamite,era_8,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_copper_mine,shaft_mining,era_1,pm_nitroglycerin_building_copper_mine,nitroglycerin,era_7,6,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_copper_mine,shaft_mining,era_1,pm_no_explosives,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_copper_mine,shaft_mining,era_1,pm_electric_mine_ventilation,deep_mine_engineering;electrical_capacitors,era_9,8,YES,NO,GUARANTEED_BY_PM_GATE
building_copper_mine,shaft_mining,era_1,pm_no_mine_ventilation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_copper_mine,shaft_mining,era_1,pm_steam_mine_ventilation,deep_mine_engineering,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_copper_mine,shaft_mining,era_1,pm_atmospheric_engine_pump_building_copper_mine,atmospheric_engine,era_2,1,YES,NO,GUARANTEED_BY_PM_GATE
building_copper_mine,shaft_mining,era_1,pm_condensing_engine_pump_building_copper_mine,condensing_steam_engines,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_copper_mine,shaft_mining,era_1,pm_diesel_pump_building_copper_mine,compression_ignition,era_11,10,YES,NO,GUARANTEED_BY_PM_GATE
building_copper_mine,shaft_mining,era_1,pm_picks_and_shovels_building_copper_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_copper_mine,shaft_mining,era_1,pm_no_ore_concentration_building_copper_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_copper_mine,shaft_mining,era_1,pm_ore_concentration_building_copper_mine,geological_surveying,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_copper_mine,shaft_mining,era_1,pm_no_steam_automation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_copper_mine,shaft_mining,era_1,pm_steam_donkey_mine,steam_donkey,era_9,8,YES,NO,GUARANTEED_BY_PM_GATE
building_copper_mine,shaft_mining,era_1,pm_rail_transport_mine,railways,era_6,5,YES,NO,GUARANTEED_BY_PM_GATE
building_copper_mine,shaft_mining,era_1,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_cotton_plantation,,UNLOCKED,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_cotton_plantation,,UNLOCKED,pm_steam_rail_transport,railways,era_6,,NO,NO,NOT_APPLICABLE
building_cristo_redentor,pneumatic_tools,era_10,pm_default_building_cristo_redentor,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_cristo_redentor,pneumatic_tools,era_10,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_cristo_redentor,pneumatic_tools,era_10,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_dye_plantation,improved_husbandry,era_1,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_dye_plantation,improved_husbandry,era_1,pm_steam_rail_transport,railways,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_easter_island_heads,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_eiffel_tower,steel_frame_buildings,era_9,pm_default_building_eiffel_tower,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_eiffel_tower,steel_frame_buildings,era_9,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_eiffel_tower,steel_frame_buildings,era_9,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_electrics_industry,telephone,era_9,pm_no_radios,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_electrics_industry,telephone,era_9,pm_radios,radio,era_11,2,YES,NO,GUARANTEED_BY_PM_GATE
building_electrics_industry,telephone,era_9,pm_no_scientific_management,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_electrics_industry,telephone,era_9,pm_scientific_management_electrics_industry,corporate_management;telephone,era_10,1,YES,NO,GUARANTEED_BY_PM_GATE
building_electrics_industry,telephone,era_9,pm_telephones,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_estacion_de_madrid_atocha,steel_frame_buildings,era_9,pm_default_building_estacion_de_madrid_atocha,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_estacion_de_madrid_atocha,steel_frame_buildings,era_9,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_estacion_de_madrid_atocha,steel_frame_buildings,era_9,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_explosives_factory,nitroglycerin,era_7,pm_ammonia-soda_process,nitroglycerin,era_7,0,YES,NO,GUARANTEED_BY_PM_GATE
building_explosives_factory,nitroglycerin,era_7,pm_brine_electrolysis,electrical_capacitors;nitroglycerin,era_9,2,YES,NO,GUARANTEED_BY_PM_GATE
building_explosives_factory,nitroglycerin,era_7,pm_leblanc_process,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_explosives_factory,nitroglycerin,era_7,pm_vacuum_evaporation,dynamite,era_8,1,YES,NO,GUARANTEED_BY_PM_GATE
building_eye_of_sahara,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_financial_district,,UNLOCKED,pm_financial_district_principle_divine_economics_2,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_financial_district,,UNLOCKED,pm_financial_district_privately_owned,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_financial_district,,UNLOCKED,pm_financial_district_publicly_traded,mutual_funds,era_8,,NO,NO,NOT_APPLICABLE
building_fishing_wharf,marine_chronometry,era_3,pm_fishing_trawlers,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_fishing_wharf,marine_chronometry,era_3,pm_simple_fishing,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_fishing_wharf,marine_chronometry,era_3,pm_steam_trawlers,watertube_boiler,era_7,4,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_fishing_wharf,marine_chronometry,era_3,pm_flash_freezing_building_fishing_wharf,flash_freezing,era_12,9,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_fishing_wharf,marine_chronometry,era_3,pm_refrigerated_rail_cars_building_fishing_wharf,electric_railway,era_10,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_fishing_wharf,marine_chronometry,era_3,pm_refrigerated_storage_building_fishing_wharf,pasteurization,era_10,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_fishing_wharf,marine_chronometry,era_3,pm_unrefrigerated,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_food_industry,traditional_food_processing,era_1,pm_automated_bakery,dough_rollers,era_12,11,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_cylinder_flour_milling,automated_flour_milling,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_manual_dough_processing,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_food_industry,traditional_food_processing,era_1,pm_bakery,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_food_industry,traditional_food_processing,era_1,pm_baking_powder,baking_powder,era_7,6,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_sweeteners,sugar_refining,era_2,1,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_cannery,canneries,era_5,4,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_cannery_fish,canneries,era_5,4,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_disabled_canning,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_food_industry,traditional_food_processing,era_1,pm_vacuum_canning,vacuum_canning,era_8,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_food_industry,traditional_food_processing,era_1,pm_vacuum_canning_principle_3,vacuum_canning,era_8,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_food_industry,traditional_food_processing,era_1,pm_disabled_distillery,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_food_industry,traditional_food_processing,era_1,pm_patent_stills,fractional_distillation,era_6,5,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_pot_stills,distillation,era_1,0,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_no_spiced_food,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_food_industry,traditional_food_processing,era_1,pm_refined_spiced_food_preparations,baking_powder,era_7,6,YES,NO,GUARANTEED_BY_PM_GATE
building_food_industry,traditional_food_processing,era_1,pm_spiced_food_preparations,distillation,era_1,0,YES,NO,GUARANTEED_BY_PM_GATE
building_forbidden_city,,UNLOCKED,pm_default_building_forbidden_city,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_forbidden_city,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_forbidden_city,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_furniture_manufactory,organized_workshops,era_1,pm_assembly_lines_building_furniture_manufactory,conveyors,era_10,9,YES,NO,GUARANTEED_BY_PM_GATE
building_furniture_manufactory,organized_workshops,era_1,pm_automation_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_furniture_manufactory,organized_workshops,era_1,pm_rotary_valve_engine_building_furniture_manufactory,rotary_valve_engine,era_8,7,YES,NO,GUARANTEED_BY_PM_GATE
building_furniture_manufactory,organized_workshops,era_1,pm_watertube_boiler_building_furniture_manufactory,watertube_boiler,era_7,6,YES,NO,GUARANTEED_BY_PM_GATE
building_furniture_manufactory,organized_workshops,era_1,pm_handcrafted_furniture,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_furniture_manufactory,organized_workshops,era_1,pm_lathe,mechanical_tools,era_5,4,YES,NO,GUARANTEED_BY_PM_GATE
building_furniture_manufactory,organized_workshops,era_1,pm_mechanized_workshops,interchangeable_manufacture,era_6,5,YES,NO,GUARANTEED_BY_PM_GATE
