tech_id,branch,era,action,english_current,english_current_chars,english_proposed,english_proposed_chars,french_current,french_current_chars,french_proposed,french_proposed_chars,semantic_note,source_commit
high_pressure_steam,Production,V,KEEP,High-Pressure Steam,19,High-Pressure Steam,19,Vapeur à haute pression,23,Vapeur à haute pression,23,,e59685d60fd784f99fb64b8e16321524e5350880
mechanized_weaving,Production,V,KEEP,Mechanized Weaving,18,Mechanized Weaving,18,Tissage mécanisé,16,Tissage mécanisé,16,,e59685d60fd784f99fb64b8e16321524e5350880
industrial_alkalis,Production,V,KEEP,Industrial Alkalis,18,Industrial Alkalis,18,Alcalis industriels,19,Alcalis industriels,19,,e59685d60fd784f99fb64b8e16321524e5350880
canneries,Production,V,KEEP,Canneries,9,Canneries,9,Conserveries,12,Conserveries,12,,e59685d60fd784f99fb64b8e16321524e5350880
improved_road_engineering,Production,V,SHORTEN_BOTH,Improved Road Engineering,25,Road Engineering,16,Ingénierie routière améliorée,29,Génie routier,13,,e59685d60fd784f99fb64b8e16321524e5350880
systematic_field_drainage,Production,V,SHORTEN_BOTH,Systematic Field Drainage,25,Field Drainage,14,Drainage agricole systématique,30,Drainage agricole,17,,e59685d60fd784f99fb64b8e16321524e5350880
mine_safety_engineering,Production,V,SHORTEN_FR,Mine Safety Engineering,23,Mine Safety Engineering,23,Ingénierie de la sécurité minière,33,Sécurité minière,16,,e59685d60fd784f99fb64b8e16321524e5350880
continuous_papermaking,Production,V,SHORTEN_FR,Continuous Papermaking,22,Continuous Papermaking,22,Fabrication continue du papier,30,Papier continu,14,,e59685d60fd784f99fb64b8e16321524e5350880
coal_gasification,Production,V,KEEP,Coal Gasification,17,Coal Gasification,17,Gazéification du charbon,24,Gazéification du charbon,24,,e59685d60fd784f99fb64b8e16321524e5350880
professional_civil_engineering,Production,V,SHORTEN_BOTH,Professional Civil Engineering,30,Civil Engineering,17,Génie civil professionnel,25,Génie civil,11,,e59685d60fd784f99fb64b8e16321524e5350880
interchangeable_manufacture,Production,VI,SHORTEN_BOTH,Interchangeable Manufacture,27,Interchangeable Parts,21,Fabrication interchangeable,27,Pièces interchangeables,23,Uses the conventional 'interchangeable parts' shorthand for the manufacturing system.,e59685d60fd784f99fb64b8e16321524e5350880
railways,Production,VI,KEEP,Railways,8,Railways,8,Chemins de fer,14,Chemins de fer,14,,e59685d60fd784f99fb64b8e16321524e5350880
geological_surveying,Production,VI,KEEP,Geological Surveying,20,Geological Surveying,20,Levé géologique,15,Levé géologique,15,,e59685d60fd784f99fb64b8e16321524e5350880
hot_blast_smelting,Production,VI,KEEP,Hot Blast Smelting,18,Hot Blast Smelting,18,Fonte à vent chaud,18,Fonte à vent chaud,18,,e59685d60fd784f99fb64b8e16321524e5350880
hydraulic_cements,Production,VI,KEEP,Hydraulic Cements,17,Hydraulic Cements,17,Ciments hydrauliques,20,Ciments hydrauliques,20,,e59685d60fd784f99fb64b8e16321524e5350880
hydraulic_turbines,Production,VI,KEEP,Hydraulic Turbines,18,Hydraulic Turbines,18,Turbines hydrauliques,21,Turbines hydrauliques,21,,e59685d60fd784f99fb64b8e16321524e5350880
pressed_glass,Production,VI,KEEP,Pressed Glass,13,Pressed Glass,13,Verre pressé,12,Verre pressé,12,,e59685d60fd784f99fb64b8e16321524e5350880
fractional_distillation,Production,VI,KEEP,Fractional Distillation,23,Fractional Distillation,23,Distillation fractionnée,24,Distillation fractionnée,24,,e59685d60fd784f99fb64b8e16321524e5350880
scientific_fortification_siegecraft,Military,I,SHORTEN_BOTH,Scientific Fortification & Siegecraft,37,Fortification & Siege,21,Fortification et poliorcétique scientifiques,44,Fortification et siège,22,,e59685d60fd784f99fb64b8e16321524e5350880
state_dockyard_systems,Naval,I,SHORTEN_FR,State Dockyard Systems,22,State Dockyard Systems,22,Systèmes d’arsenaux d’État,26,Arsenaux d’État,15,,e59685d60fd784f99fb64b8e16321524e5350880
enclosed_dock_systems,Naval,I,SHORTEN_FR,Enclosed Dock Systems,21,Enclosed Dock Systems,21,Systèmes de bassins fermés,26,Bassins fermés,14,,e59685d60fd784f99fb64b8e16321524e5350880
regulated_small_arms,Military,II,SHORTEN_FR,Regulated Small Arms,20,Regulated Small Arms,20,Armes légères réglementaires,28,Armes réglementaires,20,,e59685d60fd784f99fb64b8e16321524e5350880
light_infantry_tactics,Military,III,SHORTEN_FR,Light Infantry Tactics,22,Light Infantry Tactics,22,Tactiques d’infanterie légère,29,Infanterie légère,17,,e59685d60fd784f99fb64b8e16321524e5350880
standardized_field_artillery,Military,III,SHORTEN_BOTH,Standardized Field Artillery Systems,36,Field Artillery,15,Systèmes d’artillerie de campagne standardisés,46,Artillerie de campagne,22,,e59685d60fd784f99fb64b8e16321524e5350880
permanent_military_hospitals,Military,III,SHORTEN_BOTH,Permanent Military Hospitals,28,Military Hospitals,18,Hôpitaux militaires permanents,30,Hôpitaux militaires,19,,e59685d60fd784f99fb64b8e16321524e5350880
scientific_naval_architecture,Naval,III,SHORTEN_BOTH,Scientific Naval Architecture,29,Naval Architecture,18,Architecture navale scientifique,32,Architecture navale,19,,e59685d60fd784f99fb64b8e16321524e5350880
marine_chronometry,Naval,III,KEEP,Marine Chronometry,18,Marine Chronometry,18,Chronométrie marine,19,Chronométrie marine,19,,e59685d60fd784f99fb64b8e16321524e5350880
ship_classification_surveying,Naval,III,SHORTEN_BOTH,Ship Classification & Surveying,31,Ship Class & Survey,19,Classification et inspection des navires,40,Classement et inspection,24,Both classification and surveying/inspection are retained in the short wording.,e59685d60fd784f99fb64b8e16321524e5350880
armament_standardization_inspection,Military,IV,SHORTEN_BOTH,Armament Standardization & Inspection,37,Arms Standards & Checks,23,Standardisation et inspection de l’armement,43,Contrôle de l’armement,22,Condenses standardization + inspection into standards/checks (EN) and armament control (FR).,e59685d60fd784f99fb64b8e16321524e5350880
permanent_engineer_services,Military,IV,SHORTEN_BOTH,Permanent Engineer Services,27,Engineer Corps,14,Services permanents du génie,28,Corps du génie,14,,e59685d60fd784f99fb64b8e16321524e5350880
horse_artillery,Military,IV,KEEP,Horse Artillery,15,Horse Artillery,15,Artillerie à cheval,19,Artillerie à cheval,19,,e59685d60fd784f99fb64b8e16321524e5350880
military_topographic_surveying,Military,IV,SHORTEN_BOTH,Military Topographic Surveying,30,Military Surveying,18,Levé topographique militaire,28,Topographie militaire,21,,e59685d60fd784f99fb64b8e16321524e5350880
copper_sheathing,Naval,IV,KEEP,Copper Sheathing,16,Copper Sheathing,16,Doublage en cuivre,18,Doublage en cuivre,18,,e59685d60fd784f99fb64b8e16321524e5350880
mysorean_iron_cased_rocketry,Military,IV,SHORTEN_BOTH,Mysorean Iron-Cased Rocketry,28,Mysorean Rockets,16,Fusées mysoréennes à enveloppe de fer,37,Fusées mysoréennes,18,,e59685d60fd784f99fb64b8e16321524e5350880
rifling,Military,V,KEEP,Rifling,7,Rifling,7,Rainurage,9,Rainurage,9,,e59685d60fd784f99fb64b8e16321524e5350880
corps_organization,Military,V,SHORTEN_FR,Corps Organization,18,Corps Organization,18,Organisation en corps d’armée,29,Corps d’armée,13,,e59685d60fd784f99fb64b8e16321524e5350880
logistics,Military,V,KEEP,Logistics,9,Logistics,9,Logistique,10,Logistique,10,,e59685d60fd784f99fb64b8e16321524e5350880
field_engineering_pontoon_trains,Military,V,SHORTEN_BOTH,Field Engineering & Pontoon Trains,34,Engineers & Pontoons,20,Génie de campagne et trains de pontons,38,Génie et pontons,16,Keeps both engineering and pontoons instead of dropping a co-equal concept.,e59685d60fd784f99fb64b8e16321524e5350880
explosive_field_ammunition,Military,V,SHORTEN_BOTH,Explosive Field Ammunition,26,Explosive Ammunition,20,Munitions explosives de campagne,32,Munitions explosives,20,,e59685d60fd784f99fb64b8e16321524e5350880
battlefield_evacuation,Military,V,SHORTEN_FR,Battlefield Evacuation,22,Battlefield Evacuation,22,Évacuation du champ de bataille,31,Évacuation des blessés,22,,e59685d60fd784f99fb64b8e16321524e5350880
military_veterinary_services,Military,V,SHORTEN_BOTH,Military Veterinary Services,28,Veterinary Services,19,Services vétérinaires militaires,32,Services vétérinaires,21,,e59685d60fd784f99fb64b8e16321524e5350880
casemated_fortifications,Military,V,SHORTEN_FR,Casemated Fortifications,24,Casemated Fortifications,24,Fortifications casematées,25,Forts casematés,15,,e59685d60fd784f99fb64b8e16321524e5350880
hydrographic_surveying,Naval,V,KEEP,Hydrographic Surveying,22,Hydrographic Surveying,22,Levé hydrographique,19,Levé hydrographique,19,,e59685d60fd784f99fb64b8e16321524e5350880
standardized_naval_signals,Naval,V,SHORTEN_BOTH,Standardized Naval Signals,26,Naval Signals,13,Signaux navals standardisés,27,Signaux navals,14,,e59685d60fd784f99fb64b8e16321524e5350880
paddle_steamer,Naval,V,KEEP,Paddle Steamer,14,Paddle Steamer,14,Bateau à roues à aubes,22,Bateau à roues à aubes,22,,e59685d60fd784f99fb64b8e16321524e5350880
mechanized_naval_dockyards,Naval,V,SHORTEN_BOTH,Mechanized Naval Dockyards,26,Mechanized Dockyards,20,Arsenaux navals mécanisés,25,Arsenaux mécanisés,18,,e59685d60fd784f99fb64b8e16321524e5350880
diagonal_ship_framing,Naval,V,SHORTEN_FR,Diagonal Ship Framing,21,Diagonal Ship Framing,21,Charpente navale diagonale,26,Charpente diagonale,19,,e59685d60fd784f99fb64b8e16321524e5350880
standardized_military_rockets,Military,V,SHORTEN_BOTH,Standardized Military Rocket Systems,36,Military Rockets,16,Systèmes de fusées militaires standardisés,42,Fusées militaires,17,,e59685d60fd784f99fb64b8e16321524e5350880
percussion_cap,Military,VI,KEEP,Percussion Cap,14,Percussion Cap,14,Amorce à percussion,19,Amorce à percussion,19,,e59685d60fd784f99fb64b8e16321524e5350880
general_staff,Military,VI,KEEP,General Staff,13,General Staff,13,État-major,10,État-major,10,,e59685d60fd784f99fb64b8e16321524e5350880
shell_gun,Naval,VI,KEEP,Shell Gun,9,Shell Gun,9,Canon à obus,12,Canon à obus,12,,e59685d60fd784f99fb64b8e16321524e5350880
maritime_safety_standards,Naval,VI,SHORTEN_BOTH,Maritime Safety Standards,25,Maritime Safety,15,Normes de sécurité maritime,27,Sécurité maritime,17,,e59685d60fd784f99fb64b8e16321524e5350880
modern_lighthouse_optics,Naval,VI,SHORTEN_FR,Modern Lighthouse Optics,24,Modern Lighthouse Optics,24,Optique moderne des phares,26,Optique des phares,18,,e59685d60fd784f99fb64b8e16321524e5350880
iron_hull_construction,Naval,VI,SHORTEN_FR,Iron Hull Construction,22,Iron Hull Construction,22,Construction de coques en fer,29,Coques en fer,13,,e59685d60fd784f99fb64b8e16321524e5350880
institutionalized_scientific_exchange,Society,I,SHORTEN_BOTH,Institutionalized Scientific Exchange,37,Scientific Exchange,19,Échanges scientifiques institutionnalisés,41,Échanges scientifiques,22,,e59685d60fd784f99fb64b8e16321524e5350880
international_relations,Society,I,SHORTEN_FR,International Relations,23,International Relations,23,Relations internationales,25,Relations extérieures,21,"FR uses 'Relations extérieures', a compact near-equivalent rather than the broader 'Diplomatie'.",e59685d60fd784f99fb64b8e16321524e5350880
institutionalized_public_credit,Society,I,SHORTEN_BOTH,Institutionalized Public Credit,31,Public Credit,13,Crédit public institutionnalisé,31,Crédit public,13,,e59685d60fd784f99fb64b8e16321524e5350880
stock_exchange,Society,I,KEEP,Stock Exchange,14,Stock Exchange,14,Bourse,6,Bourse,6,,e59685d60fd784f99fb64b8e16321524e5350880
commercial_insurance_markets,Society,I,SHORTEN_BOTH,Commercial Insurance Markets,28,Commercial Insurance,20,Marchés de l’assurance commerciale,34,Assurance commerciale,21,,e59685d60fd784f99fb64b8e16321524e5350880
periodical_print_networks,Society,I,SHORTEN_BOTH,Periodical Print Networks,25,Periodical Press,16,Réseaux de presse périodique,28,Presse périodique,17,,e59685d60fd784f99fb64b8e16321524e5350880
systematic_administrative_statistics,Society,II,SHORTEN_BOTH,Systematic Administrative Statistics,36,State Statistics,16,Statistiques administratives systématiques,42,Statistiques d’État,19,,e59685d60fd784f99fb64b8e16321524e5350880
variolation_networks,Society,II,KEEP,Variolation Networks,20,Variolation Networks,20,Réseaux de variolisation,24,Réseaux de variolisation,24,,e59685d60fd784f99fb64b8e16321524e5350880
codified_practical_knowledge,Society,III,SHORTEN_BOTH,Codified & Encyclopedic Practical Knowledge,43,Codified Knowledge,18,Savoirs pratiques codifiés et encyclopédiques,45,Savoirs codifiés,16,,e59685d60fd784f99fb64b8e16321524e5350880
political_economy,Society,III,KEEP,Political Economy,17,Political Economy,17,Économie politique,18,Économie politique,18,,e59685d60fd784f99fb64b8e16321524e5350880
specialized_technical_academies,Society,III,SHORTEN_BOTH,Specialized Technical Academies,31,Technical Academies,19,Académies techniques spécialisées,33,Académies techniques,20,,e59685d60fd784f99fb64b8e16321524e5350880
veterinary_science,Society,III,KEEP,Veterinary Science,18,Veterinary Science,18,Science vétérinaire,19,Science vétérinaire,19,,e59685d60fd784f99fb64b8e16321524e5350880
organized_elementary_schooling,Society,III,SHORTEN_BOTH,Organized Elementary Schooling,30,Elementary Schooling,20,Enseignement primaire organisé,30,Enseignement primaire,21,,e59685d60fd784f99fb64b8e16321524e5350880
systematic_population_registration,Society,III,SHORTEN_BOTH,Systematic Population Registration,34,Population Registers,20,Enregistrement systématique de la population,44,Registres de population,23,,e59685d60fd784f99fb64b8e16321524e5350880
medical_degrees,Society,III,KEEP,Medical Degrees,15,Medical Degrees,15,Diplômes en médecine,20,Diplômes en médecine,20,,e59685d60fd784f99fb64b8e16321524e5350880
classical_political_economy,Society,IV,SHORTEN_BOTH,Classical Political Economy,27,Classical Economics,19,Économie politique classique,28,Économie classique,18,,e59685d60fd784f99fb64b8e16321524e5350880
constitutional_government,Society,IV,SHORTEN_BOTH,Constitutional Government,25,Constitutional Rule,19,Gouvernement constitutionnel,28,Régime constitutionnel,22,,e59685d60fd784f99fb64b8e16321524e5350880
human_rights,Society,IV,KEEP,Human Rights,12,Human Rights,12,Droits de l’Homme,17,Droits de l’Homme,17,,e59685d60fd784f99fb64b8e16321524e5350880
national_sovereignty,Society,IV,SHORTEN_BOTH,National & Popular Sovereignty,30,Popular Sovereignty,19,Souveraineté nationale et populaire,35,Souveraineté populaire,22,Short card prioritizes popular sovereignty; national dimension remains in the description.,e59685d60fd784f99fb64b8e16321524e5350880
organized_reform_movements,Society,IV,SHORTEN_BOTH,Organized Reform Movements,26,Reform Movements,16,Mouvements réformateurs organisés,33,Mouvements réformistes,22,,e59685d60fd784f99fb64b8e16321524e5350880
abolitionist_mobilization,Society,IV,SHORTEN_BOTH,Abolitionist Mobilization,25,Abolitionism,12,Mobilisation abolitionniste,27,Abolitionnisme,14,,e59685d60fd784f99fb64b8e16321524e5350880
systematic_cadastral_surveying,Society,IV,SHORTEN_BOTH,Systematic Cadastral Surveying,30,Cadastral Surveying,19,Levé cadastral systématique,27,Levé cadastral,14,,e59685d60fd784f99fb64b8e16321524e5350880
systematic_legal_codification,Society,IV,SHORTEN_BOTH,Systematic Legal Codification,29,Legal Codification,18,Codification juridique systématique,35,Codification juridique,22,,e59685d60fd784f99fb64b8e16321524e5350880
scientific_metrology,Society,IV,KEEP,Scientific Metrology,20,Scientific Metrology,20,Métrologie scientifique,23,Métrologie scientifique,23,,e59685d60fd784f99fb64b8e16321524e5350880
vaccination,Society,IV,KEEP,Vaccination,11,Vaccination,11,Vaccination,11,Vaccination,11,,e59685d60fd784f99fb64b8e16321524e5350880
polytechnical_education,Society,IV,SHORTEN_FR,Polytechnical Education,23,Polytechnical Education,23,Enseignement polytechnique,26,Éducation polytechnique,23,,e59685d60fd784f99fb64b8e16321524e5350880
optical_telegraph_networks,Society,IV,SHORTEN_BOTH,Optical Telegraph Networks,26,Optical Telegraph,17,Réseaux de télégraphie optique,30,Télégraphe optique,18,,e59685d60fd784f99fb64b8e16321524e5350880
central_statistical_offices,Society,V,SHORTEN_BOTH,Central Statistical Offices,27,Statistical Offices,19,Bureaux centraux de statistique,31,Bureaux statistiques,20,,e59685d60fd784f99fb64b8e16321524e5350880
organized_immunization_campaigns,Society,V,SHORTEN_BOTH,Organized Immunization Campaigns,32,Immunization Campaigns,22,Campagnes organisées d’immunisation,35,Campagnes vaccinales,20,,e59685d60fd784f99fb64b8e16321524e5350880
mechanized_printing,Society,V,KEEP,Mechanized Printing,19,Mechanized Printing,19,Imprimerie mécanisée,20,Imprimerie mécanisée,20,,e59685d60fd784f99fb64b8e16321524e5350880
experimental_research_laboratories,Society,V,SHORTEN_BOTH,Experimental Research Laboratories,34,Research Laboratories,21,Laboratoires de recherche expérimentale,39,Recherche expérimentale,23,FR short label emphasizes experimental research rather than the laboratory institution.,e59685d60fd784f99fb64b8e16321524e5350880
specialized_professional_societies,Society,V,SHORTEN_BOTH,Specialized Professional Societies,34,Professional Societies,22,Sociétés professionnelles spécialisées,38,Sociétés savantes,17,FR uses the period-appropriate shorthand 'Sociétés savantes'.,e59685d60fd784f99fb64b8e16321524e5350880
clinicopathological_medicine,Society,V,SHORTEN_EN,Clinicopathological Medicine,28,Clinical Pathology,18,Médecine anatomoclinique,24,Médecine anatomoclinique,24,,e59685d60fd784f99fb64b8e16321524e5350880
active_principle_pharmacy,Society,V,SHORTEN_BOTH,Active-Principle Pharmacy,25,Active Principles,17,Pharmacie des principes actifs,30,Principes actifs,16,Short card emphasizes the active-principle innovation; pharmacy context remains in description.,e59685d60fd784f99fb64b8e16321524e5350880
postal_savings,Society,V,KEEP,Postal Savings,14,Postal Savings,14,Épargne postale,15,Épargne postale,15,,e59685d60fd784f99fb64b8e16321524e5350880
professional_civil_policing,Society,VI,SHORTEN_BOTH,Professional Civil Policing,27,Civil Policing,14,Police civile professionnelle,29,Police civile,13,,e59685d60fd784f99fb64b8e16321524e5350880
mass_circulation_press,Society,VI,KEEP,Mass-Circulation Press,22,Mass-Circulation Press,22,Presse à grand tirage,21,Presse à grand tirage,21,,e59685d60fd784f99fb64b8e16321524e5350880
liberal_constitutionalism,Society,VI,SHORTEN_BOTH,Liberal Constitutionalism,25,Liberal Constitution,20,Constitutionnalisme libéral,27,Constitution libérale,21,Short card uses 'Liberal Constitution / Constitution libérale' as UI shorthand for constitutionalism.,e59685d60fd784f99fb64b8e16321524e5350880
labor_movement,Society,VI,KEEP,Labor Movement,14,Labor Movement,14,Mouvement ouvrier,17,Mouvement ouvrier,17,,e59685d60fd784f99fb64b8e16321524e5350880
early_socialism_cooperativism,Society,VI,SHORTEN_BOTH,Early Socialism & Cooperativism,31,Socialism & Cooperatives,24,Socialisme précoce et coopérativisme,36,Socialismes coopératifs,23,Short label preserves socialism + cooperativism; the 'early' qualification is carried by Era VI and description.,e59685d60fd784f99fb64b8e16321524e5350880
