Technology_ID,TAG_Count,TAGs
improved_agricultural_implements,132,AGC;AIT;AJR;ARS;ASH;ASM;AUL;AUS;AWA;AWS;AYI;BEL;BEN;BEO;BGI;BGM;BIC;BLE;BMM;BND;BOR;BRG;CAY;CHI;CON;DAH;DEN;DENNOR;DIO;ETH;EWE;FIN;FRA;FTJ;FTR;FZN;GBR;GJM;GLD;GWA;HAR;HAU;HDY;HRO;HUN;HYD;IBO;IND;IREK;ISQ;JAI;JAP;JLF;KBA;KBU;KFA;KNG;KON;KOR;KRA;KRT;KRU;KSN;KZM;LBA;LND;LNG;LZO;MAD;MARATH;MAS;MBS;MDK;MEW;MJK;MJT;MNB;MNC;MOR;MOS;MRV;MSH;MTP;MUG;MYS;MZB;NET;NOR;NYM;OGD;OVB;OVM;OYO;PAN;PDI;PLC;PRU;PTN;QWR;RUS;SAF;SAR;SAX;SDM;SGU;SHW;SIN;SRR;SSU;SWE;SWZ;TGI;TGR;TKE;TMN;TRA;TRI;TSW;TUA;TUG;TUN;TUS;UBD;USA;VND;WAD;WLG;WLT;WSG;WTU;XHO;ZND
advanced_crop_rotations,43,ASM;AWA;BEL;BEO;BER;BIC;CHI;COC;DAI;DEN;DENNOR;FIN;FRA;GBR;GWA;HYD;IND;IREK;JAI;JAP;JOD;KNK;KOR;KOT;KRA;MARATH;MEW;MUG;MYS;NAG;NEP;NET;NOR;PAN;PLC;PTN;RUS;SIA;SIN;SWE;TRA;UBD;USA
shaft_mining,55,ARM;ASH;AUS;BAV;BEL;BEO;BIC;BOL;BRA;BRZ;BUK;CHI;CHL;CLM;CRO;DENNOR;ECU;EGY;FIN;FRA;GAL;GBR;HAN;HUN;IQU;IREK;MEW;MEX;MLT;MNC;MON;MSH;MTP;NOR;NPU;PAP;PER;PEU;PLC;PRU;QUE;RUS;SAR;SAX;SC1;SC3;SER;SPA;SPC;SPU;SWE;TRS;TUR;TUS;VNZ
applied_mineralogy,30,ASH;AUS;BOL;BRZ;CHL;CLM;DENNOR;FIN;HUN;KRA;MEW;MEX;MNC;MOR;MTP;NOR;NPU;PEU;PLC;PRU;RUS;SAX;SC1;SC2;SC3;SPA;SPC;SPU;SWE;TRS
atmospheric_engine,8,AUS;BEL;BEO;FRA;GBR;HUN;SPA;SPC
coke_smelting,2,CHI;GBR
industrial_canals,10,BEL;BEO;CHI;FRA;GBR;IREK;JAP;NET;PRU;RUS
international_relations,303,ABB;ABU;ACE;AGC;AIT;AJR;ALK;ALW;ANH;ARB;ARG;ARM;ARS;ASH;ASM;AUL;AUS;AWA;AWS;BAD;BAS;BAV;BCE;BEN;BER;BGI;BGM;BHN;BHO;BHU;BHV;BHW;BIC;BIK;BLG;BMM;BND;BNJ;BOL;BOR;BRA;BRE;BRG;BRU;BRZ;BTN;BUK;BUR;CAM;CAY;CHC;CHI;CHL;CHP;CHT;CIR;CLM;CMI;COB;COC;COM;CON;CRI;CRO;CUB;DAH;DAI;DEI;DEN;DENNOR;DFR;DLA;DUR;ECU;EGY;ETH;EZO;FJI;FRA;FRM;FTJ;FTR;FZN;GAL;GAR;GBR;GEN;GJM;GLD;GNI;GR3;GR4;GR5;GRE;GWA;HAI;HAM;HAN;HAR;HAU;HAW;HBC;HDJ;HDY;HEK;HER;HES;HOH;HOL;HUN;HYD;IND;ION;IQU;IR1;ISQ;JAB;JAI;JAP;JBB;JLF;JMB;JOD;JOH;JUN;KAB;KAF;KAL;KAN;KAS;KAT;KBA;KBB;KBU;KFA;KHI;KHP;KNG;KOK;KON;KOR;KRT;KSN;KTI;KUN;KUT;KZH;KZM;LAD;LAH;LBA;LIB;LIP;LND;LNG;LOU;LUA;LUB;LUC;LZO;MAD;MAH;MAI;MAK;MARATH;MAS;MBB;MBS;MCR;MEC;MEI;MEW;MEX;MGD;MICC;MJK;MJT;MKT;MLD;MLT;MNB;MNP;MOD;MOL;MON;MOR;MOS;MRV;MST;MTP;MUG;MYS;NAG;NAS;NAW;NBS;NEJ;NEP;NET;NPU;NTO;NTU;NVS;NYM;OGD;OLD;OMA;ONT;ORA;ORG;OVM;OYO;OZH;PAN;PAP;PAR;PCO;PER;PEU;PHI;PLC;PLY;PNI;PON;POR;PRA;PRG;PRK;PRU;PTA;PTN;QUE;QWR;RUS;RYU;SAF;SAK;SAR;SAT;SAX;SC1;SC2;SC3;SC4;SCH;SCM;SCW;SD1;SDM;SEL;SEQ;SER;SGU;SHS;SHW;SIA;SIC;SIL;SIN;SMB;SML;SPA;SPC;SPU;SRK;STG;SUL;SWE;SWI;TEX;TGI;TGR;TIB;TID;TKE;TNG;TRA;TRI;TRM;TRN;TRS;TUN;TUR;TUS;UCA;UNT;URU;USA;UZH;VEN;VNZ;WAD;WAL;WEI;WLD;WLG;WLT;WSG;WTU;WUR;YOG;ZAI;ZND
institutionalized_public_credit,24,AUS;AWA;BER;BIC;DEN;DENNOR;FRA;GBR;GEN;GR4;HYD;JAP;MARATH;MUG;NET;PAP;POR;RUS;SAX;SIC;SWE;TUR;USA;VEN
commercial_insurance_markets,23,BER;BIC;DEI;DEN;DENNOR;FRA;GBR;GEN;HAM;ION;KUT;MARATH;MUG;NET;NOR;PLC;POR;SIN;SPA;SPC;SWE;USA;VEN
stock_exchange,8,FRA;FRM;GBR;GEN;JAP;NET;POR;VEN
political_economy,17,AUS;DEN;DENNOR;FIN;FRA;GBR;HAN;HUN;KRA;NOR;PLC;PRU;RUS;SAX;SWE;TUS;UBD
medical_degrees,56,AUS;BAV;BEL;BEO;BIC;CHI;CHL;CUB;DEN;DENNOR;ECU;FIN;FRA;GBR;GEN;GR3;GR4;GR5;HAN;HEK;HES;HUN;IREK;JAP;KOR;KRA;MEX;MOD;MOR;NET;NPU;PAP;PAR;PEU;PLC;POR;PRU;RUS;SAR;SAX;SC1;SC3;SIC;SPA;SPC;SPU;SWE;SWI;TUN;TUR;TUS;USA;VEN;VNZ;WEI;WUR
variolation_networks,69,ADG;AIR;ASH;AUS;AWA;BER;BGI;BGM;BHV;BIC;BND;BOR;BRN;CAY;CHI;CHL;CON;DEN;DENNOR;DFR;ETH;FIN;FTJ;FTR;GBR;GJM;GR4;HAU;HDY;HUN;IREK;JAP;JLF;JUN;KFA;KRA;KRT;KUT;MARATH;MAS;MSN;MUG;NAW;NET;NOR;PLC;PRU;PTN;QWR;RUS;SD1;SDM;SGU;SHW;SIC;SIN;SOK;SWE;TGR;TRI;TUN;TUR;TUS;UBD;USA;VEN;WAD;WLG;WLT
organized_elementary_schooling,26,AUS;BOR;CHI;CON;DEN;DENNOR;ETH;FIN;GBR;HAN;HAR;JAP;KOR;KRA;MOR;NET;NOR;PLC;POR;PRU;SAX;TRI;TUN;UBD;USA;WUR
regulated_small_arms,76,ARM;AUS;AWA;BAV;BEL;BEO;BIC;BRA;BUR;CHC;CIR;CON;CRO;DAI;DEI;DEN;DENNOR;DUR;EGY;FRA;GAL;GBR;GR4;GRE;HAN;HEK;HER;HES;HUN;HYD;ION;IR1;IREK;JAB;JAP;JBB;KAB;KAN;KUN;MAI;MARATH;MAS;MLT;MOL;MON;MOR;MUG;MYS;NBB;NEJ;NET;NOR;OMA;PAN;PER;PHI;PLC;POR;PRU;RUS;SAR;SAX;SER;SIA;SIC;SPA;SPC;SWE;TRA;TRI;TRS;TUN;TUR;VEN;WAL;WUR
light_infantry_tactics,109,ABB;ABU;ACE;ARG;ARM;AUS;AWA;BAV;BEL;BEO;BHN;BIC;BOL;BUR;CHC;CHL;CHT;CIR;CRO;CUB;DAI;DEI;DEN;DENNOR;ECU;EGY;FIN;FRA;GAL;GBR;GR4;GR5;GRE;HAI;HAN;HBC;HDJ;HEK;HER;HUN;ION;IQU;IR1;IREK;JAB;JBB;JOH;KAB;KAF;KAL;KAN;KAT;KBB;KUN;LAH;LOU;LUX;MAH;MAI;MAK;MBB;MEX;MICC;MKT;MLT;MOL;MON;MYS;NET;NOR;NPU;NVS;OMA;ORG;PCO;PER;PEU;PHI;PLC;PNI;POR;PRA;PRG;PRU;RUS;SAR;SAX;SC1;SC2;SC3;SC4;SEQ;SER;SIA;SIC;SPA;SPC;SPU;SWE;TEX;TRA;TRS;TUR;URU;USA;VNZ;WAL;WUR;ZAI
standardized_field_artillery,74,AUS;AWA;BAV;BEL;BEO;BIC;BOL;BRZ;BUR;CHI;CHL;CLM;CON;CRO;CUB;DAI;DEI;DEN;DENNOR;EGY;FIN;FRA;GAL;GBR;GR4;GR5;HAI;HAN;HEK;HUN;HYD;IR1;IREK;JAP;KOR;LOU;LUX;MAS;MEX;MLT;MOR;MYS;NET;NOR;NPU;NVS;PCO;PEU;PHI;PLC;PNI;POR;PRU;RUS;SAR;SAX;SC1;SC3;SIA;SIC;SPA;SPC;SPU;SWE;TEX;TRA;TRI;TRS;TUN;TUR;URU;USA;VEN;WUR
scientific_naval_architecture,29,BCE;BIC;BRZ;CUB;DEI;DEN;DENNOR;FIN;FJI;FRA;GBR;GR4;HAW;MCR;NET;NOR;PHI;PLY;POR;RUS;SAR;SIC;SPA;SPC;SWE;TNG;TUR;UBD;VEN
urbanization,0,
railways,0,
romanticism,0,
joint_stock_companies,0,
