Technology_ID,Current_Classification,Problem_Type,Current_Gameplay_Meaning,Historical_Meaning,Final_Decision,Final_Classification,Requires_Split,Unlocks_To_Keep,Unlocks_To_Move,Suggested_Destination_Technologies,Requires_New_Technology,Confidence,Reason,Source_1,Source_2
hydrographic_surveying,C,CLASSIFICATION_REVIEW,"Nœud de levés hydrographiques systématiques, sans unlock direct.","Des levés précurseurs existent, mais les services hydrographiques nationaux réguliers restent très sélectifs et tardifs.",KEEP_CLASS,C,NO,position dans la chaîne marine,,,NO,MEDIUM,Conserver C évite de convertir quelques expéditions en capacité nationale généralisée.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
improved_agricultural_implements,B,CLASSIFICATION_TOO_LATE,Usage régulier d'outils manufacturés pour économiser du travail agricole.,Des instruments améliorés et spécialisés sont largement antérieurs à 1776 dans certaines économies.,RECLASSIFY,A (sélective),NO,pm_tools des exploitations agricoles,,,NO,HIGH,Capacité ancienne mais conditionnée par l'accès aux outils; A sélective.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
industrial_acids,A,MIXED_CONCEPT,"Ouvre actuellement trois bâtiments: chimie générale, engrais et explosifs.",La production d'acides existe avant 1776; les engrais minéraux et explosifs industriels sont postérieurs.,MOVE_UNLOCKS,A (sélective),NO,building_chemical_works,building_chemical_plant; building_explosives_factory,improved_fertilizer; nitroglycerin,NO,HIGH,"Conserver la chimie/acides anciens; déplacer les deux bâtiments tardifs vers leurs technologies existantes, sans nouveau nœud.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
industrial_canals,B,CLASSIFICATION_TOO_LATE,Premier PM de canaux du réseau de transport terrestre unifié.,Les voies d'eau commerciales organisées sont mondiales et préindustrielles; le modèle turnpike n'est pas universel.,REDEFINE_TECH,B (sélective),NO,pm_industrial_canals,,,NO,HIGH,Garder B mais redéfinir le concept et la localisation; supprimer le parent turnpike.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
industrial_ceramics,B,CLASSIFICATION_TOO_LATE,Porcelaine organisée et verre au plomb dans les verreries.,"Des manufactures nationales de porcelaine et de céramique existent avant 1776, sans être universelles.",KEEP_CLASS,B (sélective),NO,pm_ceramics; pm_leaded_glass,,,NO,HIGH,B sélective reflète une capacité manufacturière organisée; le parent verrier est supprimé séparément.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
mechanized_weaving,B,CLASSIFICATION_TOO_EARLY,Métiers mécanisés économisant fortement la main-d'œuvre.,Le power loom industriel est postérieur au 1er janvier 1776.,RECLASSIFY,C,NO,pm_mechanized_looms,,,NO,HIGH,"Le contenu gameplay est une mécanisation industrielle, pas un perfectionnement artisanal.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
medical_degrees,B,CLASSIFICATION_TOO_LATE,"Facultés, collèges, examens, titres ou licences médicales reconnus.",Ces institutions existent dans plusieurs traditions bien avant 1776; elles restent très sélectives.,RECLASSIFY,A (sélective),NO,plafond +1 de l'institution de santé; gate des lois de santé,,,NO,HIGH,A sélective correspond à la définition élargie sans exiger un diplôme professionnel moderne.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
military_veterinary_services,C,CLASSIFICATION_REVIEW,Service vétérinaire militaire institutionnalisé lié aux forces montées.,"Les premières écoles vétérinaires précèdent 1776, mais le service militaire national standardisé est plus tardif.",KEEP_CLASS,C,NO,unlock de l'unité/service militaire concerné,,,NO,MEDIUM,Le précurseur scolaire ne suffit pas au paquet militaire du nœud.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
organized_elementary_schooling,B,CLASSIFICATION_TOO_LATE,"Réseau organisé d'écoles élémentaires confessionnelles, communautaires ou d'État.",Des réseaux structurés existent bien avant 1776 sans presse périodique obligatoire.,RECLASSIFY,A (sélective),NO,plafond scolaire +2 et accès éducatif lié à la richesse,,,NO,HIGH,"A sélective, avec suppression du parent periodical_print_networks.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
professional_civil_engineering,C,CLASSIFICATION_REVIEW,Paquet de génie civil professionnel associé au ciment et aux infrastructures lourdes.,"Le Corps des Ponts et Chaussées est ancien, mais les unlocks concrets représentent une capacité industrielle ultérieure.",KEEP_CLASS,C,NO,building_cement_works; routes bétonnées; canaux aménagés; construction,,,NO,HIGH,Conserver C plutôt que dater le paquet entier d'après son seul précurseur français.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
rifling,C,CLASSIFICATION_REVIEW,"Production organisée de fusils rayés avec acier, bois dur et outils.","Les armes rayées sont anciennes, mais leur production militaire généralisée est postérieure.",KEEP_CLASS,C,NO,pm_rifles et usages militaires,,,NO,HIGH,Le seuil gameplay dépasse les exemplaires ou corps spécialisés pré-1776.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
standardized_military_rockets,C,CLASSIFICATION_REVIEW,Rockets militaires standardisées après munitions explosives et inspection d'armement.,"La standardisation nationale documentée est surtout postérieure au cutoff, malgré des traditions anciennes de fusées.",KEEP_CLASS,C,NO,position dans la chaîne d'armement standardisé,,,NO,HIGH,C demeure cohérent; le cas mysoréen spécial reste séparé.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
sugar_refining,A,MIXED_CONCEPT,Raffinage traditionnel plus un PM de betterave et trois PM à double verrou technologique.,Le raffinage est ancien; le sucre de betterave industriel est postérieur. Les PM vapeur/vide/centrifuge ne sont pas ouverts par sugar_refining seul.,MOVE_UNLOCKS,A (sélective),NO,pm_sweeteners; vacuum_pan_sugar; steam_powered_evaporation_sugar; centrifugal_machine_sugar (ces trois derniers gardent leur second gate tardif),pm_sugar_beets,improved_fertilizer,NO,HIGH,Déplacer seulement la betterave; conserver les trois PM tardifs comme exigences conjointes avec leurs technologies vapeur/mécaniques.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
systematic_cadastral_surveying,B,CLASSIFICATION_TOO_LATE,Levé foncier systématique à finalité fiscale et administrative.,Cadastres et arpentages d'État structurés existent avant 1776 dans plusieurs monarchies.,RECLASSIFY,A (sélective),NO,nœud cadastral existant,,,NO,HIGH,A sélective; ne pas confondre ancienneté et universalité.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
systematic_legal_codification,B,CLASSIFICATION_TOO_LATE,Corpus juridique systématisé et reconnu par l'État.,"Des codifications religieuses, civiles et coutumières nationales précèdent largement 1776.",RECLASSIFY,A (sélective),NO,gate de réforme foncière et fonction juridique,,,NO,HIGH,A sélective et suppression du parent statistique artificiel.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
systematic_population_registration,B,CLASSIFICATION_TOO_LATE,Registres réguliers de population pour fiscalité et administration.,Des systèmes de registres et recensements périodiques sont établis avant 1776 dans plusieurs États.,RECLASSIFY,A (sélective),NO,gate fiscal et PM administratif,,,NO,HIGH,A sélective; le niveau national reste un filtre de distribution.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
