Change_Type,Target,Current_Value,Proposed_Value,Affected_TAG_Count,Affected_TAGs,Reason,Depends_On,Risk,Validation_Required
TREE_EDGE,political_economy <- commercial_insurance_markets,commercial_insurance_markets,aucun parent,10,voir SECOND_PASS_TREE_REVIEWS,Retirer le verrou artificiel.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,political_economy <- systematic_administrative_statistics,systematic_administrative_statistics,aucun parent,1,voir SECOND_PASS_TREE_REVIEWS,Ne pas confondre outillage administratif et doctrine économique.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,regulated_small_arms <- scientific_fortification_siegecraft,scientific_fortification_siegecraft,aucun parent,24,voir SECOND_PASS_TREE_REVIEWS,Supprimer l'arête et réexaminer séparément ses descendants.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,scientific_naval_architecture <- state_dockyard_systems,state_dockyard_systems,aucun parent,5,voir SECOND_PASS_TREE_REVIEWS,Le chantier d'État n'est pas un préalable universel à la science de la coque.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,ship_classification_surveying <- enclosed_dock_systems,enclosed_dock_systems,aucun parent,1,voir SECOND_PASS_TREE_REVIEWS,Retirer le faux prérequis matériel.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,standardized_field_artillery <- regulated_small_arms,regulated_small_arms,aucun parent,24,voir SECOND_PASS_TREE_REVIEWS,Éviter que l'artillerie impose artificiellement l'industrie nationale des armes légères.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,stock_exchange <- institutionalized_public_credit,institutionalized_public_credit,aucun parent,1,voir SECOND_PASS_TREE_REVIEWS,"Distinguer bourse, dette publique et assurance.",validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,sugar_refining <- traditional_food_processing,traditional_food_processing,aucun parent,4,voir SECOND_PASS_TREE_REVIEWS,Séparer filière sucrière et manufacture alimentaire générique.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,systematic_legal_codification <- systematic_administrative_statistics,systematic_administrative_statistics,aucun parent,1,voir SECOND_PASS_TREE_REVIEWS,Retirer une dépendance institutionnelle non nécessaire.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,traditional_furniture_making <- organized_textile_production,organized_textile_production,organized_workshops (sans parent; parent ajouté à precision_boring),8,voir SECOND_PASS_TREE_REVIEWS,"Remplacer le nœud par organized_workshops: ouvrir les deux bâtiments, laisser l'aciérie seule sur coke_smelting, puis relier les PM ultérieurs via precision_boring.",validation du graphe,MEDIUM,parseur; cycles; fermeture des prérequis; UI arbre
OTHER,organized_workshops,traditional_furniture_making,"Nœud era_1 production, sans parent, ouvrant building_furniture_manufactory et building_tooling_workshop",217,cible historique héritée de traditional_furniture_making,Manufacture générale de biens domestiques et d'outils; retrait du faux gate coke_smelting pour l'outillage.,localisation EN/FR; position UI,MEDIUM,bâtiments; IA; localisation; arbre
TREE_EDGE,precision_boring <- organized_workshops,absent,ajouter organized_workshops,0,,Relie le nouveau nœud aux PM ultérieurs des deux manufactures sans faux parent textile.,organized_workshops,MEDIUM,cycle; progression PM; fermeture
MOVE_UNLOCK,building_tooling_workshop,coke_smelting,organized_workshops,217,,"Coke smelting doit rester le gate de l'aciérie, pas de l'atelier d'outils.",organized_workshops,HIGH,disponibilité des outils au départ; IA; recettes
MOVE_UNLOCK,building_furniture_manufactory,traditional_furniture_making,organized_workshops,217,,Le bâtiment devient manufacture générale de biens du foyer.,organized_workshops,MEDIUM,localisation; bâtiment; PM
CLASSIFICATION,advanced_crop_rotations,B,A (sélective),,,Le concept générique est antérieur à 1776; A ne signifie pas universel.,tree resolutions,LOW,gates réels; localisation; distribution 1776
CLASSIFICATION,advanced_spinning,B,C,,,"Redéfinir/renommer le nœud existant comme mécanisation de la couture, plutôt que créer un nouveau nœud vide.",tree resolutions,MEDIUM,gates réels; localisation; distribution 1776
CLASSIFICATION,classical_political_economy,B,C,,,La Richesse des nations paraît après le cutoff et le gameplay dépasse la seule physiocratie.,tree resolutions,LOW,gates réels; localisation; distribution 1776
CLASSIFICATION,condensing_steam_engines,B,C,,,"Le paquet gameplay représente l'adoption productive, pas l'invention isolée.",tree resolutions,LOW,gates réels; localisation; distribution 1776
CLASSIFICATION,constitutional_government,B,A (sélective),,,Capacité ancienne et sélective; la classe A n'implique aucune diffusion automatique.,tree resolutions,LOW,gates réels; localisation; distribution 1776
CLASSIFICATION,improved_agricultural_implements,B,A (sélective),,,Capacité ancienne mais conditionnée par l'accès aux outils; A sélective.,tree resolutions,LOW,gates réels; localisation; distribution 1776
MOVE_UNLOCK,industrial_acids,A,A (sélective); déplacer building_chemical_plant; building_explosives_factory vers improved_fertilizer; nitroglycerin,,,"Conserver la chimie/acides anciens; déplacer les deux bâtiments tardifs vers leurs technologies existantes, sans nouveau nœud.",tree resolutions,MEDIUM,gates réels; localisation; distribution 1776
CLASSIFICATION,industrial_canals,B,B (sélective),,,Garder B mais redéfinir le concept et la localisation; supprimer le parent turnpike.,tree resolutions,MEDIUM,gates réels; localisation; distribution 1776
CLASSIFICATION,mechanized_weaving,B,C,,,"Le contenu gameplay est une mécanisation industrielle, pas un perfectionnement artisanal.",tree resolutions,LOW,gates réels; localisation; distribution 1776
CLASSIFICATION,medical_degrees,B,A (sélective),,,A sélective correspond à la définition élargie sans exiger un diplôme professionnel moderne.,tree resolutions,LOW,gates réels; localisation; distribution 1776
CLASSIFICATION,organized_elementary_schooling,B,A (sélective),,,"A sélective, avec suppression du parent periodical_print_networks.",tree resolutions,LOW,gates réels; localisation; distribution 1776
MOVE_UNLOCK,sugar_refining,A,A (sélective); déplacer pm_sugar_beets vers improved_fertilizer,,,Déplacer seulement la betterave; conserver les trois PM tardifs comme exigences conjointes avec leurs technologies vapeur/mécaniques.,tree resolutions,MEDIUM,gates réels; localisation; distribution 1776
CLASSIFICATION,systematic_cadastral_surveying,B,A (sélective),,,A sélective; ne pas confondre ancienneté et universalité.,tree resolutions,LOW,gates réels; localisation; distribution 1776
CLASSIFICATION,systematic_legal_codification,B,A (sélective),,,A sélective et suppression du parent statistique artificiel.,tree resolutions,LOW,gates réels; localisation; distribution 1776
CLASSIFICATION,systematic_population_registration,B,A (sélective),,,A sélective; le niveau national reste un filtre de distribution.,tree resolutions,LOW,gates réels; localisation; distribution 1776
MOVE_UNLOCK,building_urban_center,gate urbanization,aucun gate technologique,0,,Bâtiment systémique fondamental; paved_roads (era_10) n'est pas un remplacement acceptable.,même changement atomique que le nettoyage urbanization,CRITICAL,spawn automatique des centres urbains; construction; parser
MOVE_UNLOCK,building_construction_sector,gate urbanization hérité de vanilla,override ciblé sans gate technologique,0,,La construction doit être disponible au départ sans attribution d'un alias caché.,même changement atomique que le nettoyage urbanization,CRITICAL,construction au départ pour tous les tiers; IA; parser
TREE_EDGE,tech_bureaucracy; urban_planning <- urbanization,deux arêtes entre alias cachés,retirer urbanization de leurs parents,0,,Rendre urbanization inerte jusque dans le graphe caché.,conserver les trois IDs pour compatibilité externe,MEDIUM,références externes; cycles; parser
OTHER,attributions historiques urbanization,267 attributions directes dans 267 fichiers pays,retirer les attributions,267,voir working tree,"Après suppression des deux gates, l'alias n'a plus aucune responsabilité gameplay ni pertinence historique.",gates des deux bâtiments supprimés et validés,HIGH,tous les pays gardent construction sector et urban center disponibles
OTHER,paliers de départ urbanization,4 attributions dans common/scripted_effects/00_starting_inventions.txt,retirer les 4 attributions temporaires,0,,Compatibilité temporaire devenue inutile après retrait des gates.,gates des deux bâtiments supprimés et validés,HIGH,tiers 3 à 6; démarrage; absence de double responsabilité
COMPATIBILITY_PRESERVE,urbanization,alias caché encore fonctionnel,conserver uniquement une définition d'alias inerte (ID/texture/catégorie/can_research=no),0,,Préserver les références externes sans conserver de gameplay caché.,"nettoyage atomique des gates, arêtes et grants",MEDIUM,scan global des références; 0 unlock; 0 modifier; 0 attribution interne
COUNTRY_TECH_ADD,ABB:codified_practical_knowledge,ABSENT,PRESENT,1,ABB,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ABB:distillation,ABSENT,PRESENT,1,ABB,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ABB:international_relations,ABSENT,PRESENT,1,ABB,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ABB:light_infantry_tactics,ABSENT,PRESENT,1,ABB,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ABB:organized_textile_production,ABSENT,PRESENT,1,ABB,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ABB:traditional_food_processing,ABSENT,PRESENT,1,ABB,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ABU:codified_practical_knowledge,ABSENT,PRESENT,1,ABU,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ABU:light_infantry_tactics,ABSENT,PRESENT,1,ABU,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ABU:traditional_food_processing,ABSENT,PRESENT,1,ABU,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ACE:codified_practical_knowledge,ABSENT,PRESENT,1,ACE,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ACE:light_infantry_tactics,ABSENT,PRESENT,1,ACE,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ACE:shaft_mining,PRESENT,ABSENT,1,ACE,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ACE:sugar_refining,ABSENT,PRESENT,1,ACE,REVIEW arbitré PRESENT pour la capacité traditionnelle; les PM modernes attachés au nœud restent un bloqueur de classification.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ACE:traditional_food_processing,ABSENT,PRESENT,1,ACE,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ADG:variolation_networks,ABSENT,PRESENT,1,ADG,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AGC:improved_agricultural_implements,ABSENT,PRESENT,1,AGC,REVIEW arbitré PRESENT : capacité institutionnelle ou productive établie avant le 1er janvier 1776.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,AGC:shaft_mining,PRESENT,ABSENT,1,AGC,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,AGC:systematic_administrative_statistics,PRESENT,ABSENT,1,AGC,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AGC:traditional_food_processing,ABSENT,PRESENT,1,AGC,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AGC:organized_workshops,ABSENT,PRESENT,1,AGC,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AIR:variolation_networks,ABSENT,PRESENT,1,AIR,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,AIT:distillation,PRESENT,ABSENT,1,AIT,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AIT:improved_agricultural_implements,ABSENT,PRESENT,1,AIT,REVIEW arbitré PRESENT : capacité institutionnelle ou productive établie avant le 1er janvier 1776.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,AIT:shaft_mining,PRESENT,ABSENT,1,AIT,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,AIT:systematic_administrative_statistics,PRESENT,ABSENT,1,AIT,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AIT:traditional_food_processing,ABSENT,PRESENT,1,AIT,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AIT:organized_workshops,ABSENT,PRESENT,1,AIT,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AJR:distillation,ABSENT,PRESENT,1,AJR,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AJR:improved_agricultural_implements,ABSENT,PRESENT,1,AJR,REVIEW arbitré PRESENT : capacité institutionnelle ou productive établie avant le 1er janvier 1776.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AJR:international_relations,ABSENT,PRESENT,1,AJR,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AJR:organized_textile_production,ABSENT,PRESENT,1,AJR,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AJR:traditional_food_processing,ABSENT,PRESENT,1,AJR,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,AJR:organized_workshops,ABSENT,PRESENT,1,AJR,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ALK:improved_husbandry,PRESENT,ABSENT,1,ALK,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ALK:organized_textile_production,PRESENT,ABSENT,1,ALK,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ALW:organized_textile_production,PRESENT,ABSENT,1,ALW,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ALW:sugar_refining,ABSENT,PRESENT,1,ALW,REVIEW arbitré PRESENT pour la capacité traditionnelle; les PM modernes attachés au nœud restent un bloqueur de classification.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ALW:systematic_administrative_statistics,PRESENT,ABSENT,1,ALW,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ALW:traditional_food_processing,ABSENT,PRESENT,1,ALW,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ALW:traditional_papermaking,ABSENT,PRESENT,1,ALW,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ANH:improved_husbandry,PRESENT,ABSENT,1,ANH,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ANH:shaft_mining,PRESENT,ABSENT,1,ANH,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ANH:systematic_administrative_statistics,PRESENT,ABSENT,1,ANH,REMOVE régional historiquement justifié.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ANH:traditional_food_processing,ABSENT,PRESENT,1,ANH,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ANH:organized_workshops,ABSENT,PRESENT,1,ANH,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ANK:improved_agricultural_implements,ABSENT,PRESENT,1,ANK,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ANK:international_relations,ABSENT,PRESENT,1,ANK,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ANK:traditional_food_processing,ABSENT,PRESENT,1,ANK,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ANK:organized_workshops,ABSENT,PRESENT,1,ANK,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARB:codified_practical_knowledge,ABSENT,PRESENT,1,ARB,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARB:distillation,ABSENT,PRESENT,1,ARB,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARB:international_relations,ABSENT,PRESENT,1,ARB,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ARB:shaft_mining,PRESENT,ABSENT,1,ARB,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARB:traditional_food_processing,ABSENT,PRESENT,1,ARB,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARB:organized_workshops,ABSENT,PRESENT,1,ARB,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARG:light_infantry_tactics,ABSENT,PRESENT,1,ARG,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ARG:systematic_administrative_statistics,PRESENT,ABSENT,1,ARG,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARG:traditional_food_processing,ABSENT,PRESENT,1,ARG,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARG:organized_workshops,ABSENT,PRESENT,1,ARG,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_REMOVE,ARH:improved_husbandry,PRESENT,ABSENT,1,ARH,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARM:codified_practical_knowledge,ABSENT,PRESENT,1,ARM,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARM:light_infantry_tactics,ABSENT,PRESENT,1,ARM,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARM:regulated_small_arms,ABSENT,PRESENT,1,ARM,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARM:traditional_food_processing,ABSENT,PRESENT,1,ARM,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
COUNTRY_TECH_ADD,ARM:organized_workshops,ABSENT,PRESENT,1,ARM,ADD régional historiquement justifié; l’arbre est évalué séparément.,TREE/CLASSIFICATION resolutions,LOW,prerequisite closure; duplicate grants; parser
