TAG,Country,Region,Subregion,Current_Tier,Tier_Action,Recommended_Tier,Technology_ID,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Note,Gameplay_Note,Reason,Source_1,Source_2
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,international_relations,TIER,KEEP,HIGH,ABSTRACT,—,"society, era_1, classe A; déblocages: —.","Diplomatie, tribut, commerce caravanier ou maritime et relations avec voisins/Empires justifient ce nœud abstrait sans supposer un ministère moderne des Affaires étrangères.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,codified_practical_knowledge,TIER,KEEP,MEDIUM,ABSTRACT,Chaîne de prérequis incomplète: les traditions savantes/manuscrites peuvent justifier l’enfant sans imposer presse périodique et échange scientifique institutionnalisé; tolérance C.,"society, era_2, classe A; déblocages: —.","Les administrations, juristes, artisans et traditions manuscrites fournissent un socle de savoir pratique codifié, mais le nœud doit rester une abstraction préindustrielle.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,systematic_administrative_statistics,TIER,REMOVE,MEDIUM,ABSENT,—,"society, era_2, classe A; déblocages: bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance.",Le bundle générique projette une bureaucratie statistique systématique que les sources ne montrent pas à l’échelle de ce TAG en 1776.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,urbanization,TIER,KEEP,HIGH,ABSTRACT,Nœud/alias de compatibilité; ne pas l’interpréter comme une urbanisation industrielle du XIXe siècle.,"society, era_7, classe E; déblocages: bâtiment:building_construction_sector, bâtiment:building_urban_center.",Le nœud est explicitement signalé comme exception de compatibilité dans le CSV; le conserver évite de confondre architecture de l’arbre et capacité historique.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ARB,Arabistan,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabistan / Khuzestan,tier_5,REPLACE_WITH_EXPLICIT_SETUP,,improved_husbandry,TIER,KEEP,HIGH,ESTABLISHED,—,"production, era_1, classe A; déblocages: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry.",Agriculture et élevage organisés sont antérieurs à 1776 dans l’ensemble de ces sociétés; le nœud reste assez générique pour représenter ces capacités sans imposer une mécanisation.,https://www.iranicaonline.org/articles/karim-khan-zand/,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651
ARB,Arabistan,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabistan / Khuzestan,tier_5,REPLACE_WITH_EXPLICIT_SETUP,,organized_textile_production,TIER,KEEP,HIGH,ESTABLISHED,—,"production, era_1, classe A; déblocages: PM:pm_craftsman_sewing, bâtiment:building_textile_mill.","Production textile artisanale/proto-industrielle attestée ou plausible à l’échelle des villes, oasis ou foyers domestiques; ne pas confondre avec filature mécanisée.",https://www.iranicaonline.org/articles/karim-khan-zand/,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651
ARB,Arabistan,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabistan / Khuzestan,tier_5,REPLACE_WITH_EXPLICIT_SETUP,,shaft_mining,TIER,REVIEW,LOW,SECTORAL,—,"production, era_1, classe A; déblocages: bâtiment:building_coal_mine, bâtiment:building_copper_mine, bâtiment:building_iron_mine, bâtiment:building_lead_mine, bâtiment:building_limestone_quarry, bâtiment:building_salt_mine, bâtiment:building_sulfur_mine, décret:decree_encourage_resource_industry.","Des extractions locales sont possibles, mais les sources retenues ne démontrent pas une capacité nationale suffisamment systématique pour tous les bâtiments miniers du nœud.",https://www.iranicaonline.org/articles/karim-khan-zand/,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651
ARB,Arabistan,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabistan / Khuzestan,tier_5,REPLACE_WITH_EXPLICIT_SETUP,,codified_practical_knowledge,TIER,KEEP,MEDIUM,ABSTRACT,Chaîne de prérequis incomplète: les traditions savantes/manuscrites peuvent justifier l’enfant sans imposer presse périodique et échange scientifique institutionnalisé; tolérance C.,"society, era_2, classe A; déblocages: —.","Les administrations, juristes, artisans et traditions manuscrites fournissent un socle de savoir pratique codifié, mais le nœud doit rester une abstraction préindustrielle.",https://www.iranicaonline.org/articles/karim-khan-zand/,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651
ARB,Arabistan,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabistan / Khuzestan,tier_5,REPLACE_WITH_EXPLICIT_SETUP,,systematic_administrative_statistics,TIER,REMOVE,MEDIUM,ABSENT,—,"society, era_2, classe A; déblocages: bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance.",Le bundle générique projette une bureaucratie statistique systématique que les sources ne montrent pas à l’échelle de ce TAG en 1776.,https://www.iranicaonline.org/articles/karim-khan-zand/,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651
ARB,Arabistan,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabistan / Khuzestan,tier_5,REPLACE_WITH_EXPLICIT_SETUP,,urbanization,TIER,KEEP,HIGH,ABSTRACT,Nœud/alias de compatibilité; ne pas l’interpréter comme une urbanisation industrielle du XIXe siècle.,"society, era_7, classe E; déblocages: bâtiment:building_construction_sector, bâtiment:building_urban_center.",Le nœud est explicitement signalé comme exception de compatibilité dans le CSV; le conserver évite de confondre architecture de l’arbre et capacité historique.,https://www.iranicaonline.org/articles/karim-khan-zand/,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,regulated_small_arms,TIER,REVIEW,MEDIUM,SECTORAL,Parent de fortification manquant; ne pas ajouter automatiquement. La distinction entre armes possédées et industrie réglementaire est décisive.,"military, era_2, classe A; déblocages: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry.","Des armes à feu sont disponibles et parfois fabriquées/réparées, mais les preuves ne suffisent pas pour une production/standardisation étatique locale complète.",https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,light_infantry_tactics,TIER,REVIEW,MEDIUM,SECTORAL,Le prérequis armes réglementaires est parfois REVIEW/sectoriel; accepter au besoin une abstraction locale plutôt que supposer une armée européenne standard.,"military, era_3, classe B; déblocages: —.","La guerre locale emploie fantassins armés, tirailleurs, milices ou forces irrégulières; l’équivalence exacte avec ce nœud frontière reste contextuelle.",https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,standardized_field_artillery,TIER,REMOVE,MEDIUM,ABSENT,L’enfant `standardized_field_artillery` est trop institutionnalisé pour la capacité locale attestée; ne pas confondre armes à feu ou petites pièces avec artillerie de campagne standardisée.,"military, era_3, classe B; déblocages: PM:pm_cannons.","Les forces locales reposent surtout sur milices, cavalerie, mousquets ou artillerie occasionnelle; aucune base suffisante pour le PM de canons standardisés.",https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,distillation,TIER,KEEP,HIGH,ESTABLISHED,—,"production, era_1, classe A; déblocages: PM:pm_pot_stills, PM:pm_spiced_food_preparations.",La distillation et les préparations alimentaires associées sont des techniques anciennes et largement diffusées; aucune innovation postérieure à 1776 n’est requise.,https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,improved_husbandry,TIER,KEEP,HIGH,ESTABLISHED,—,"production, era_1, classe A; déblocages: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry.",Agriculture et élevage organisés sont antérieurs à 1776 dans l’ensemble de ces sociétés; le nœud reste assez générique pour représenter ces capacités sans imposer une mécanisation.,https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,organized_textile_production,TIER,KEEP,HIGH,ESTABLISHED,—,"production, era_1, classe A; déblocages: PM:pm_craftsman_sewing, bâtiment:building_textile_mill.","Production textile artisanale/proto-industrielle attestée ou plausible à l’échelle des villes, oasis ou foyers domestiques; ne pas confondre avec filature mécanisée.",https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,shaft_mining,TIER,REVIEW,MEDIUM,SECTORAL,—,"production, era_1, classe A; déblocages: bâtiment:building_coal_mine, bâtiment:building_copper_mine, bâtiment:building_iron_mine, bâtiment:building_lead_mine, bâtiment:building_limestone_quarry, bâtiment:building_salt_mine, bâtiment:building_sulfur_mine, décret:decree_encourage_resource_industry.","L’extraction et la métallurgie existent, mais les preuves réunies ne suffisent pas à valider uniformément l’échelle de « puits de mine » correspondant aux bâtiments miniers du jeu.",https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,international_relations,TIER,KEEP,HIGH,ABSTRACT,—,"society, era_1, classe A; déblocages: —.","Diplomatie, tribut, commerce caravanier ou maritime et relations avec voisins/Empires justifient ce nœud abstrait sans supposer un ministère moderne des Affaires étrangères.",https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,codified_practical_knowledge,TIER,KEEP,MEDIUM,ABSTRACT,Chaîne de prérequis incomplète: les traditions savantes/manuscrites peuvent justifier l’enfant sans imposer presse périodique et échange scientifique institutionnalisé; tolérance C.,"society, era_2, classe A; déblocages: —.","Les administrations, juristes, artisans et traditions manuscrites fournissent un socle de savoir pratique codifié, mais le nœud doit rester une abstraction préindustrielle.",https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,systematic_administrative_statistics,TIER,REMOVE,MEDIUM,ABSENT,—,"society, era_2, classe A; déblocages: bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance.",Le bundle générique projette une bureaucratie statistique systématique que les sources ne montrent pas à l’échelle de ce TAG en 1776.,https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
ARM,Armenia,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arménie / Caucase méridional,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,urbanization,TIER,KEEP,HIGH,ABSTRACT,Nœud/alias de compatibilité; ne pas l’interpréter comme une urbanisation industrielle du XIXe siècle.,"society, era_7, classe E; déblocages: bâtiment:building_construction_sector, bâtiment:building_urban_center.",Le nœud est explicitement signalé comme exception de compatibilité dans le CSV; le conserver évite de confondre architecture de l’arbre et capacité historique.,https://www.iranicaonline.org/articles/armenia/,https://www.iranicaonline.org/articles/firearms-i-history/
BHN,Bahrain,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — Bahreïn,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,regulated_small_arms,TIER,REVIEW,MEDIUM,SECTORAL,Le parent de fortification est absent; ne pas l’ajouter. Le nœud est plus fort que la simple diffusion de mousquets.,"military, era_2, classe A; déblocages: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry.","Les matchlocks sont largement diffusés dans l’Arabie du XVIIIe siècle, parfois avec fabrication/réparation locale, mais `regulated_small_arms` débloque aussi une industrie d’armes et une fonderie d’artillerie.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
BHN,Bahrain,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — Bahreïn,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,light_infantry_tactics,TIER,REVIEW,MEDIUM,SECTORAL,Le prérequis armes réglementaires est parfois REVIEW/sectoriel; accepter au besoin une abstraction locale plutôt que supposer une armée européenne standard.,"military, era_3, classe B; déblocages: —.","La guerre locale emploie fantassins armés, tirailleurs, milices ou forces irrégulières; l’équivalence exacte avec ce nœud frontière reste contextuelle.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
