TAG,Country,Audit_Region,Research_Region,Research_Coverage,Current_Tier,Regional_Tier_Action,Synthesis_Strategy,Recommended_Tier,Current_Tech_Count,Final_Tech_Count,ADD_Count,REMOVE_Count,Review_Present_Kept_Count,Review_Absent_Left_Absent_Count,ADD_Technologies,REMOVE_Technologies,Tier_Derived_REMOVEs,Explicit_REMOVEs,Final_Technologies,Source_File,Synthesis_Note,Post_Tier_Change_Explicit_Adds,Post_Tier_Change_Tier_Removals
AJR,Ajuran,East Africa,AFRICA,MATRIX,tier_6,KEEP_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,0,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\ajr - ajuran.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ALK,Alaska,Pacific Coast,AMERICAS_CARIBBEAN,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,4,0,7,2,0,,codified_practical_knowledge;distillation;light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics,codified_practical_knowledge;distillation;light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics,,improved_husbandry;international_relations;organized_textile_production;urbanization,common/history/countries/alk - alyaska.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ALW,Alwar,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,7,0,4,1,0,,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\alw - alwar.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ANH,Anhalt,Central Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,11,11,0,0,4,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/anh - anhalt.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ANK,Ankole,East Africa,AFRICA,MATRIX,tier_6,KEEP_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,0,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\ank - ankole.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ANU,Anuak,East Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\anu - anuak.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
APC,Apache,Great Plains,AMERICAS_CARIBBEAN,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\apc - apache.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ARB,Arabistan,Greater Persia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,6,5,0,1,1,0,,systematic_administrative_statistics,systematic_administrative_statistics,,codified_practical_knowledge;improved_husbandry;organized_textile_production;shaft_mining;urbanization,common/history/countries/arb - arabistan.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ARG,Argentina,La Plata,AMERICAS_CARIBBEAN,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,13,8,0,5,2,0,,codified_practical_knowledge;institutionalized_scientific_exchange;regulated_small_arms;shaft_mining;standardized_field_artillery,codified_practical_knowledge;regulated_small_arms;shaft_mining;standardized_field_artillery,institutionalized_scientific_exchange,colonization;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;systematic_administrative_statistics;urbanization,common/history/countries/arg - argentina.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ARH,Arnhem,Oceania,OCEANIA_PACIFIC,MATRIX,tier_6,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,2,2,1,1,1,0,traditional_food_processing,urbanization,urbanization,,improved_husbandry;traditional_food_processing,C:\Games\Victoria 3\game\common\history\countries\arh - arnhem.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ARM,Armenia,Greater Persia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,9,0,2,3,0,,standardized_field_artillery;systematic_administrative_statistics,standardized_field_artillery;systematic_administrative_statistics,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;urbanization,common/history/countries/arm - armenia.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ARP,Arapaho,Great Plains,AMERICAS_CARIBBEAN,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\arp - arapaho.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ARR,Arrernte,Oceania,OCEANIA_PACIFIC,MATRIX,tier_6,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,2,2,1,1,1,0,traditional_food_processing,urbanization,urbanization,,improved_husbandry;traditional_food_processing,C:\Games\Victoria 3\game\common\history\countries\arr - arrernte.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ARS,Arsiland,East Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,7,7,0,0,2,0,,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/ars - arsiland.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ASH,Ashanti,West Africa,AFRICA,MATRIX,tier_6,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,3,6,3,0,0,2,codified_practical_knowledge;organized_textile_production;systematic_administrative_statistics,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;urbanization,common/history/countries/ash - ashanti.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ASM,Assam,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,9,0,2,2,1,,light_infantry_tactics;standardized_field_artillery,light_infantry_tactics;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;regulated_small_arms;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\asm - assam.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ATB,Athabaska,Canada,AMERICAS_CARIBBEAN,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\atb - athabaska.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ATR,Kel Ataram,West Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\atr - ataram.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AUL,Aulihan,East Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\aul - aulihan.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AUS,Austria,Central Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,,14,15,2,1,1,0,atmospheric_engine;scientific_fortification_siegecraft,romanticism,,romanticism,atmospheric_engine;codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;systematic_legal_codification;urbanization,common/history/countries/aus - austria.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AWA,Awadh,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,12,2,1,0,1,scientific_fortification_siegecraft;traditional_food_processing,shaft_mining,shaft_mining,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery;systematic_administrative_statistics;traditional_food_processing;urbanization,C:\Games\Victoria 3\game\common\history\countries\awa - awadh.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
AWS,Aussa,East Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,7,7,0,0,2,0,,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/aws - aussa.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AYI,Anyi,West Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\ayi - anyi.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BAD,Baden,Central Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,11,11,0,0,4,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/bad - baden.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BAG,Rewah,North India,SOUTH_ASIA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,6,5,0,1,0,0,,shaft_mining,shaft_mining,,codified_practical_knowledge;improved_husbandry;organized_textile_production;systematic_administrative_statistics;urbanization,common/history/countries/bag - bagelkhand.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BAL,Bali,Indonesia,EAST_ASIA_SE_ASIA,MATRIX,tier_5,KEEP_TIER,KEEP_TIER_AND_PATCH,,6,6,0,0,1,0,,,,,codified_practical_knowledge;improved_husbandry;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/bal - bali.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BAS,Bastar,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,8,0,3,3,0,,light_infantry_tactics;regulated_small_arms;standardized_field_artillery,light_infantry_tactics;regulated_small_arms;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\bas - bastar.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BAV,Bavaria,Central Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,,11,11,0,0,0,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/bav - bavaria.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BCE,Ceylon,South India,SOUTH_ASIA,MATRIX,tier_2,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,19,11,0,8,2,0,,atmospheric_engine;coke_smelting;commercial_insurance_markets;institutionalized_public_credit;periodical_print_networks;precision_boring;shaft_mining;stock_exchange,atmospheric_engine;coke_smelting;commercial_insurance_markets;institutionalized_public_credit;periodical_print_networks;precision_boring;shaft_mining;stock_exchange,,distillation;enclosed_dock_systems;improved_husbandry;institutionalized_scientific_exchange;international_relations;organized_forestry;organized_textile_production;scientific_fortification_siegecraft;state_dockyard_systems;traditional_food_processing;traditional_papermaking,C:\Games\Victoria 3\game\common\history\countries\bce - ceylon.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BEL,Belgium,Western Europe,WESTERN_EUROPE,MATRIX,tier_1,CHANGE_TIER,CHANGE_TIER_AND_PATCH,tier_4,22,23,5,4,3,0,codified_practical_knowledge;light_infantry_tactics;regulated_small_arms;standardized_field_artillery;urbanization,coke_smelting;precision_boring;scientific_naval_architecture;state_dockyard_systems,coke_smelting;precision_boring;scientific_naval_architecture;state_dockyard_systems,,advanced_crop_rotations;atmospheric_engine;codified_practical_knowledge;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_husbandry;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_forestry;organized_textile_production;periodical_print_networks;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;standardized_field_artillery;stock_exchange;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking;urbanization,C:\Games\Victoria 3\game\common\history\countries\bel - belgium.txt,Regional research explicitly recommends changing to tier_4; then apply additions/removals.,advanced_crop_rotations;atmospheric_engine;commercial_insurance_markets;enclosed_dock_systems;institutionalized_public_credit;institutionalized_scientific_exchange;organized_forestry;periodical_print_networks;scientific_fortification_siegecraft;stock_exchange;traditional_food_processing;traditional_papermaking,
BEN,Benin,West Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,7,7,0,0,1,1,,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/ben - benin.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BEO,Belgium,Western Europe,WESTERN_EUROPE,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,,13,18,5,0,2,0,advanced_crop_rotations;atmospheric_engine;institutionalized_scientific_exchange;periodical_print_networks;scientific_fortification_siegecraft,,,,advanced_crop_rotations;atmospheric_engine;codified_practical_knowledge;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;periodical_print_networks;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;systematic_legal_codification;urbanization,common/history/countries/beo - belgium old.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BER,Baroda,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,8,0,3,1,0,,light_infantry_tactics;shaft_mining;standardized_field_artillery,light_infantry_tactics;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;regulated_small_arms;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\ber - beroda.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BGI,Bagirmi,Equatorial Africa,AFRICA,MATRIX,tier_6,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,3,3,0,0,0,0,,,,,improved_husbandry;international_relations;urbanization,common/history/countries/bgi - bagirmi.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BGM,Begemder,East Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,6,6,0,0,2,0,,,,,codified_practical_knowledge;improved_husbandry;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\bgm - begemder.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BHN,Bahrain,Arabia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,8,0,3,2,0,,shaft_mining;standardized_field_artillery;systematic_administrative_statistics,shaft_mining;standardized_field_artillery;systematic_administrative_statistics,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;urbanization,C:\Games\Victoria 3\game\common\history\countries\bhn - bahrain.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BHO,Bhopal,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,8,0,3,1,0,,light_infantry_tactics;shaft_mining;standardized_field_artillery,light_infantry_tactics;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;regulated_small_arms;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\bho - bhopal.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BHU,Bhutan,Himalayas,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,7,0,4,2,0,,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\bhu - bhutan.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BHV,Bhavnagar,North India,SOUTH_ASIA,MATRIX,tier_4;tier_5,REVIEW_TIER,EXPLICIT_SETUP,,11,7,0,4,1,0,,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\bhv - bhavnagar.txt;common/history/countries/bhv - gujarati prince.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BHW,Bahawalpur,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,8,0,3,2,0,,light_infantry_tactics;shaft_mining;standardized_field_artillery,light_infantry_tactics;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;regulated_small_arms;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\bhw - bahawalpur.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
BIC,East India,North India,SOUTH_ASIA,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,,13,18,5,0,0,5,enclosed_dock_systems;military_topographic_surveying;scientific_fortification_siegecraft;state_dockyard_systems;traditional_food_processing,,,,codified_practical_knowledge;colonization;distillation;enclosed_dock_systems;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;military_topographic_surveying;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;standardized_field_artillery;state_dockyard_systems;systematic_administrative_statistics;traditional_food_processing;urbanization,common/history/countries/bic - british east india company.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
BIK,Bikaner,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,7,0,4,0,0,,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\bik - bikaner.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
