TAG,Country,Technology_ID,Missing_Direct_Prerequisites,Was_Missing_Before,Synthesis_Policy
PAN,Punjab,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PAN,Punjab,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MYB,Mayurbhanj,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SMB,Sambas,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SMB,Sambas,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
AUS,Austria,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
AUS,Austria,atmospheric_engine,coke_smelting,NO,DO_NOT_AUTO_ADD
AUS,Austria,specialized_technical_academies,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
SCH,Schleswig,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SCH,Schleswig,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
KON,Kongo,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TRS,Transylvania,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
JAP,Japan,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
JAP,Japan,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
GWA,Gwalior,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
GWA,Gwalior,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
IR1,Mamluk Iraq,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
IR1,Mamluk Iraq,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
GAR,Garhwal,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
NPU,North Peru,medical_degrees,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
NPU,North Peru,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
NPU,North Peru,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
NPU,North Peru,commercial_insurance_markets,institutionalized_public_credit,YES,DO_NOT_AUTO_ADD
MICC,Michigan Tribal Confederation,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
MON,Montenegro,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MON,Montenegro,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
HAN,Hanover,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HAN,Hanover,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
IQU,Iquicha,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
BOR,Bornu,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KUT,Kutch,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SAR,Sardinia-Piedmont,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SAR,Sardinia-Piedmont,specialized_technical_academies,institutionalized_scientific_exchange,NO,DO_NOT_AUTO_ADD
DHA,Dharampur,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MEW,Mewar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MEW,Mewar,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
CHC,Chechnya,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CHC,Chechnya,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MKT,Miskitia,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
LUB,Lübeck,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
LUB,Lübeck,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SHS,Shan,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SHS,Shan,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
IDA,Idar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SC1,Nueva España,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
SC1,Nueva España,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SEQ,Indian Territory,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
SUL,Sulu,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SUL,Sulu,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
ANH,Anhalt,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ANH,Anhalt,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
FTJ,Futa Jallon,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAB,Kabul,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAB,Kabul,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
DFR,Darfur,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CHT,Chitral,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CHT,Chitral,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
KFA,Kaffa,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
NEJ,Nejd,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TID,Tidore,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TID,Tidore,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
TUR,Turkey,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TUR,Turkey,specialized_technical_academies,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
BHU,Bhutan,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SIL,Sierra Leone,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CAM,Cambodia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CHP,Champasak,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CHP,Champasak,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
FTR,Futa Toro,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
URU,Uruguay,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
GR4,Naples,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
GR4,Naples,specialized_technical_academies,institutionalized_scientific_exchange,NO,DO_NOT_AUTO_ADD
SCW,Schwarzburg,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SCW,Schwarzburg,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MEC,Mecklenburg,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MEC,Mecklenburg,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
KAS,Kashmir,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
KAS,Kashmir,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAS,Kashmir,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
CHL,Chile,medical_degrees,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
CHL,Chile,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CHL,Chile,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
CHL,Chile,commercial_insurance_markets,institutionalized_public_credit,YES,DO_NOT_AUTO_ADD
CLM,Colombia,medical_degrees,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
CLM,Colombia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
