formation_id,tag,formation_name,hq_region,formation_state_regions,current_2d4_status,current_2d4_name,research_recommendation,proposed_historical_name,name_variants,birth_date,birth_date_precision,birth_place,birth_polity,v3_birth_state,death_date,death_date_precision,rank_status_1776,office_on_1776_01_01,office_start,office_start_precision,office_end,office_end_precision,army_theatre_1776,historical_culture_identity,v3_culture_recommendation,culture_confidence,historical_religion,v3_religion_recommendation,religion_confidence,caste_social_origin,interest_group_mapping,ideology_recommendation,documented_traits_only,portrait_or_visual_reference,mod_character_template_dna_status,probable_2d4_errors,reference_date_confidence,decision_notes,source_1_url,source_2_url,source_3_url,repo_source_url
GEN1776-128,NAG,NagpurArmy,region_north_india,STATE_CENTRAL_PROVINCES; STATE_ORISSA conscripts,PROCEDURAL_ALLOWED,,ADD_NAMED_HISTORICAL_GENERAL_CONDITIONAL_RULER_DUPLICATION,Mudhoji Bhonsle,Mudhoji Bhosle; Mudhoji Bhonsle; Mudhoji I,,unknown; do not use weak 1735 claim,Unknown in priority sources consulted,"Maratha/Bhonsle sphere, unresolved",UNRESOLVED,1788-05-19,exact_day_high_confidence,Sena-Dhurandhar; regent/master of Berar and Nagpur after victory over Sabaji,Unchallenged master/regent of Berar and Nagpur; experienced military chief with Sena-Dhurandhar title,1775-01-26,battle-date threshold for uncontested mastery,1788-05-19,death,Nagpur / Berar / Chandrapur; Bhonsle forces,Marathi,marathi,HIGH,Hindu probable,hindu,MEDIUM-HIGH,Bhonsle dynastic military nobility,ig_armed_forces + ig_landowners,NONE,Experienced dynastic commander; victorious at Panchgaon 26 Jan 1775; restored/controlled state after civil conflict.,No secure contemporary portrait established in this pass; avoid creating distinctive DNA from modern images.,Formation currently procedural. Check country-history ruler creation before implementation to avoid duplicate Mudhoji character.,Current general entirely procedural. Main implementation risk is duplicating a ruler if Mudhoji already exists elsewhere.,HIGH_FOR_ROLE / MEDIUM_FOR_CHARACTER_DUPLICATION,"Strong historical commander for NagpurArmy, but add only if the mod does not already instantiate him as the ruler; otherwise reuse/attach existing character if engine architecture permits.",https://gazetteers.maharashtra.gov.in/cultural.maharashtra.gov.in/english/gazetteer/WARDHA/his_marathas.html,https://gazetteers.maharashtra.gov.in/cultural.maharashtra.gov.in/english/gazetteer/Nagpur/his1.html,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-129,MYS,cleanup2d3b_mys_land_2,region_south_india,STATE_MYSORE,NAMED_DEFAULT_TEMPLATE,Hyder Ali,RETAIN_NAMED_HISTORICAL_GENERAL,Hyder Ali,Haidar Ali; Hyder Ali Khan; Ḥaydar ʿAlī,c.1722,year_uncertain; early-life chronology explicitly uncertain,Budikote near Kolar (commonly attested; early-life details uncertain),Mysore/Deccan frontier polity; exact sovereignty at birth should not be overstated,STATE_MYSORE,1782-12-07,exact_day_high_confidence,De facto ruler of Mysore and supreme military commander,De facto sovereign and military head of Mysore,1761,year_for_effective_power,1782-12-07,death,Mysore / Deccan; conflict with Maratha and Hyderabad forces; expanding state army,Mysorean/Deccani Muslim; South Indian Persianate military milieu,deccani is present in mod and is preferable to blindly inheriting kannada; verify character-system token semantics,MEDIUM-HIGH,Islam; Sunni attribution probable but not re-proven in priority-source pass,sunni provisional,MEDIUM,Muslim military family; brother Shahbaz was a Mysore army officer,ig_armed_forces primary; ig_landowners/ruler secondary only if needed,NONE,Self-made military commander; energetic organizer; adapted disciplined drill/artillery and military technology. Avoid modern “reformer” ideology token unless separately justified.,Use established Hyder Ali portrait tradition; mature South Indian Muslim ruler/commander in Mysorean court-military dress. Do not use generic Kannada-Hindu DNA.,Current 2D-4 direct character uses template=default; no explicit birth/culture/religion/DNA in formation file.,Age procedural; if country default supplies Hindu religion it is wrong; culture may be oversimplified if inherited as Kannada; origin/DNA absent.,HIGH,Retain. Culture/religion must be personal and explicitly pinned; do not let MYS country defaults determine them.,https://vishwakosh.marathi.gov.in/20182/,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-130,MYS,cleanup2d3b_mys_land_1,region_south_india,STATE_MYSORE,PROCEDURAL_ALLOWED,,ADD_NAMED_HISTORICAL_GENERAL,Tipu Sultan,Tipu; Tipu Sultan; Fateh Ali Khan; Shah Bahadur Fateh Ali Khan,1750-11-20,exact_day_high_confidence,"Devanahalli, near Bangalore",Kingdom of Mysore,STATE_MYSORE,1799-05-04,exact_day_high_confidence,Prince and experienced field commander under Hyder Ali,Senior Mysore field commander; had already independently fought campaigns before accession,by 1767,at_least_by_year; commanded cavalry/corps before 1776,1782,accession after Hyder death,Mysore / Maratha frontier campaigns,Mysorean/Deccani Muslim; Persianate court and military culture,deccani preferred over automatic kannada; verify token and personal semantics,MEDIUM-HIGH,Islam; Sunni attribution probable,sunni provisional,MEDIUM,Eldest son of Hyder Ali; Mysore ruling military household,ig_armed_forces,NONE for 1776; do not project later state policies backward,Militarily trained from youth; already independently commanded and fought Maratha forces before 1776.,"Use authenticated Tipu portrait tradition only with age adjustment: he is 25 on reference date, not the older ruler depicted in many later portraits.","Formation currently procedural; no Tipu character was found in the targeted branch name search performed for this audit, but country/event files should still be checked before implementation.",Current general entirely procedural. Any older Tipu appearance would be anachronistic for age 25.,HIGH,Strong second Mysore commander and preferable to a procedural general. Keep subordinate-to-Hyder framing for 1776.,https://vishwakosh.marathi.gov.in/17542/,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-131,COO,CoochBeharArmy,region_north_india,STATE_WEST_BENGAL,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"Dhairyendra/Dhairjendra Narayan had resumed rule in 1775, but the ruler is not automatically a field general. No separate commander securely tied to 1 Jan 1776 was found.",,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-132,GAR,GarhwalArmy,region_north_india,STATE_AGRA,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"Lalit Shah was ruler (1772–1780) and later campaigned against Kumaon, but the documented invasion falls after the reference date. Prempati Khanduri is associated with a later campaign, not securely with 1 Jan 1776.",,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-133,SAT,SataraArmy,region_south_india,STATE_BOMBAY,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL_STRUCTURE_DUBIOUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"Ram Raja was Chhatrapati, but effective Peshwa supremacy makes an independent modern Satara standing-army commander questionable. An older military captain Bapuji Khanderao is documented earlier, not securely in office in 1776.",,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-134,KHP,KolhapurArmy,region_south_india,STATE_BOMBAY,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"1776–78 conflict is documented, but no commander securely in office on 1 Jan 1776. Yasvantrao Sinde is documented leading military action in 1777 and is therefore post-reference.",,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-135,KNO,KurnoolArmy,region_south_india,STATE_KURNOOL,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"Munavvar Khan was Nawab in this period, but no separate independent army commander was securely identified for 1 Jan 1776. Do not turn the ruler into a general by default.",,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-136,BHV,BhavnagarArmy,region_north_india,STATE_GUJARAT,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL_RULER_NOT_AUTO_GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"Wakhatsinhji Akherajji is a plausible military-ruler reserve candidate, but reference-date field command was not secured from priority-tier evidence. Keep procedural rather than overclaim.",,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-137,PUD,PudukottaiArmy,region_south_india,STATE_MADRAS,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL_RULER_NOT_AUTO_GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"Raya Raghunatha Tondaiman ruled 1769–1789 and later faced Hyder Ali, but no exact 1 Jan 1776 independent military command is documented here.",,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-138,JEY,JeyporeArmy,region_south_india,STATE_CIRCARS,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL_NO_COMMANDER_SECURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"Government Odisha material confirms Vikram Dev I ruled Jeypore 1758–1781, but no separate field commander for 1 Jan 1776 was secured. Do not assign the ruler solely because the formation exists.",https://sujogportal.odisha.gov.in/nabarangpur/city/history/,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-139,COC,CochinArmy,region_south_india,STATE_TRAVANCORE,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,Kerala Archaeology confirms a military-chief tradition (Sardar Mannadiyar / Kongad Nair commanders) but does not establish which individual held command on 1 Jan 1776. Existing 2D-4 note “pending structure rework” remains appropriate.,https://www.archaeology.kerala.gov.in/pages/sakthan-thampuran-archaeological-museum-thrissur/52,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-140,TRA,TravancoreArmy,region_south_india,STATE_TRAVANCORE,NAMED_DEFAULT_TEMPLATE,Eustachius De Lannoy,RETAIN_NAMED_HISTORICAL_GENERAL,Eustachius Benedictus De Lannoy,Eustachius De Lannoy; Eustachius Benedictus de Lannoy; Eustathius de Lannoy; De Lanoy,1715,year_high_confidence; exact day and birthplace disputed,"Disputed: Belgium/Southern Netherlands in Ulloor tradition; Arras, Artois, Kingdom of France in Mark de Lannoy reconstruction",DISPUTED — Southern Netherlands vs Kingdom of France (Arras),UNRESOLVED_OUTSIDE_SOUTH_ASIA,1777-06-01,exact_day_high_confidence_from_tomb/records,General / Commander-in-Chief of Travancore forces (dux generalis; European commander),Commander-in-Chief of Travancore army,1761,exact_year_high_confidence; succeeded Marthanda Pillai,1777-06-01,death,"Travancore; fortification system, army drill, Udayagiri and southern Kerala defenses",Fleming / Southern Netherlandish European; not Malayali,flemish,HIGH,Roman Catholic,catholic,HIGH,European VOC-trained soldier in Travancore service; no Indian caste,ig_armed_forces,NONE,Military engineer/fortification expert; organizer of European-style discipline; long loyal service to Travancore.,No securely authenticated life portrait established. Best visual anchors are his Udayagiri tomb/epitaph and period Flemish/Dutch officer material; avoid modern AI portraits.,Current 2D-4 direct character uses template=default; no culture/religion/birth/DNA pinned.,SEVERE: default Travancore generation can wrongly make him Malayali and Hindu; age/DNA also procedural; birth origin missing. Must be Flemish/Southern Netherlandish and Roman Catholic.,VERY_HIGH,One of the strongest matches in the entire region. The 1898 Madras Government compilation explicitly states he was a Fleming and C-in-C 1761–1777.,https://commons.wikimedia.org/wiki/File:The_Nayar_Brigade_of_Travancore._%28IA_nayarbrigadeoftr00madr%29.pdf,https://dutchinkerala.com/article15.php,https://dutchinkerala.com/1743.php,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-141,SIN,SindhArmy,region_north_india,STATE_SINDH,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL_DYNASTIC_TRANSITION,,"Reserve/context: Mian Ghulam Nabi Kalhoro, ruler 1775–1776",,,,,,,,"Kalhora ruler, not automatically a general",Ruler of Sindh according to Government of Sindh antiquities chronology,,,,,Sindh; violent Kalhora-Talpur dynastic conflict,Sindhi/Kalhora,,,Muslim,,,,,,,,,,MEDIUM,"Government of Sindh confirms Ghulam Nabi ruled 1775–1776 and died in battle, but exact succession chronology is unstable across secondary works and he should not automatically fill a general slot merely as ruler. Keep procedural pending a commander-specific source.",https://antiquities.sindhculture.gov.pk/tour/tomb-of-mian-ghulam-nabi-kalhoro-hyderabad/,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
