"component","subsystem","status","canonical_report","canonical_results","final_verdict","gameplay_file","final_commit","runtime_validated","static_validated","open_issue","out_of_scope","notes"
"Bombay 2.e","retreat","FINAL","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_RESULTS.csv","PASS_BOMBAY_TRIGGER_RUNTIME_VALIDATION","events/india_events/sepoy_mutiny_events.txt","6d6db23","true","true","false","false","Canonical Bombay validation"
"Protection Bengal","core","FINAL","../sepoy/HOTFIX_5C2E4C1M_B1_FIX_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1M_B1_FIX_RUNTIME_RESULTS.csv","PASS","events/india_events/sepoy_mutiny_events.txt","f881fec","true","true","false","false","Core preserved"
"Protection Madras","core","FINAL","../sepoy/HOTFIX_5C2E4C1T_SEPOY_C1_FIX_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1T_C1_FIX_RUNTIME_RESULTS.csv","PASS","events/india_events/sepoy_mutiny_events.txt","5565a75","true","true","false","false","Core preserved"
"Protection Bombay","core","FINAL","../sepoy/HOTFIX_5C2E4C1X_SEPOY_E1_FIX_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1X_E1_FIX_RUNTIME_RESULTS.csv","PASS_TERRITORIAL","events/india_events/sepoy_mutiny_events.txt","f19fbd7","true","true","false","false","Core preserved"
"Radicaux Bengal","effects","FINAL","../sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RESULTS.csv","PASS_B1_RADICAL_2B_RUNTIME_PARTIAL_UI","events/india_events/sepoy_mutiny_events.txt","1ef66f3","true","true","false","false","Second-tick observation resolved"
"Radicaux Madras","effects","FINAL","../sepoy/HOTFIX_5C2E4C1T_SEPOY_C1_FIX_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1T_C1_FIX_RUNTIME_RESULTS.csv","PASS","events/india_events/sepoy_mutiny_events.txt","5565a75","true","true","false","false","Regional effects validated"
"Radicaux Bombay","effects","FINAL","../sepoy/HOTFIX_5C2E4C1AB_E1_RADICAL_CLEAN_RERUN.md","../sepoy/HOTFIX_5C2E4C1AB_E1_RADICAL_CLEAN_RESULTS.csv","PASS","events/india_events/sepoy_mutiny_events.txt","f995f2a","true","true","false","false","Clean rerun validated"
"Trigger Bombay","availability","FINAL","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_RESULTS.csv","BOMBAY_TRIGGER_ACCESS_CONFIRMED","events/india_events/sepoy_mutiny_events.txt","6d6db23","true","true","false","false","Positive and negative controls"
"E-2 positif","availability","FINAL","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_RESULTS.csv","PASS","test evidence","6d6db23","true","true","false","false","Available with Bombay and no West Bengal"
"E-3 négatif","availability","FINAL","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_RESULTS.csv","PASS","test evidence","6d6db23","true","true","false","false","Hidden without Bombay"
"COO","subject integrity","FINAL","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_RESULTS.csv","PASS","test evidence","6d6db23","true","true","false","false","Preserved after reload"
"JEY","subject integrity","FINAL","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_RESULTS.csv","PASS","test evidence","6d6db23","true","true","false","false","Preserved after reload"
"East Bengal","territory","FINAL","../sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RESULTS.csv","PASS","events/india_events/sepoy_mutiny_events.txt","1ef66f3","true","true","false","false","Expected retreat behavior"
"West Bengal","territory","FINAL","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","../sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_RESULTS.csv","WEST_BENGAL_RETREAT_TRANSFER_EXPECTED","events/india_events/sepoy_mutiny_events.txt","6d6db23","true","true","false","false","Deferred decision resolved; no protection recommended"
"Travancore","territory","FINAL","../states_and_setup/HOTFIX_5C1_AUDIT_INDIA_REGION_REFERENCES.md","","PASS","multiple","","true","true","false","false","Travancore and STATE_TRAVANCORE preserved"
"MARATH/SAT/KHP","territory","FINAL","../states_and_setup/HOTFIX_5C1_AUDIT_INDIA_REGION_REFERENCES.md","","PASS","multiple","","true","true","false","false","Preserved; stash untouched"
"Intégrité des sauvegardes","evidence","FINAL","HOTFIX_5_INDIA_CLOSURE.md","","PASS","","","false","true","false","true","No save changed in AH"
"Intégrité des fichiers","audit","FINAL","HOTFIX_5_INDIA_CLOSURE.md","../../_index/HOTFIX_REPORT_MOVE_MAP.csv","PASS","","","false","true","false","false","122 historical hashes preserved"
"Clôture globale","closure","FINAL","HOTFIX_5_INDIA_CLOSURE.md","HOTFIX_5_INDIA_CLOSURE_MANIFEST.csv","HOTFIX_5_INDIA_COMPLETE","","","true","true","false","false","Current merge/hotfix scope closed"

